Binder1,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
Jerala_P1,11.0,50652.0,45.0,16.0,33.0,19.0,2071.0,18.0,26.0,40.0,17.0,26.0
Jerala_P2,44640.0,15.0,28.0,24.0,34.0,35.0,34.0,17.0,22.0,22.0,17.0,27.0
Jerala_P3,28.0,793.0,2011.0,6950.0,12.0,11.0,221.0,1801.0,15.0,30.0,9.0,11.0
Jerala_P4,44.0,37.0,62861.0,8.0,32.0,9.0,414.0,26.0,35.0,1867.0,27.0,19194.0
Jerala_P5,26.0,28.0,28.0,14.0,13.0,5295.0,50.0,17.0,24.0,21.0,11.0,35.0
Jerala_P6,19.0,19.0,11.0,3.0,22.0,,12.0,10.0,11.0,9.0,10.0,15.0
Jerala_P7,5.0,14.0,8.0,7.0,10.0,11.0,9.0,97.0,4.0,8.0,19.0,11.0
Jerala_P8,40.0,51.0,15.0,14.0,20.0,27.0,8358.0,1.0,34.0,30.0,26.0,31.0
Jerala_P9,21.0,18.0,33.0,6.0,3611.0,21.0,27.0,19.0,10.0,35849.0,21.0,103.0
Jerala_P10,51.0,54.0,61.0,33.0,31.0,43.0,26.0,92.0,53897.0,4.0,39.0,41.0
Jerala_P11,28.0,15.0,122.0,207.0,8317.0,31.0,38.0,12.0,10.0,55.0,18.0,1487.0
Jerala_P12,11.0,24.0,9.0,22.0,43.0,32.0,35.0,19.0,92.0,4737.0,9486.0,14.0
