Binder1,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
Jerala_P1,26,61887,137,72,164,79,198,72,88,144,56,94
Jerala_P2,109859,20,134,111,198,155,130,108,53,85,55,131
Jerala_P3,88,314,842,1328,72,50,89,1712,54,130,33,40
Jerala_P4,186,73,95134,7,108,42,136,85,59,652,58,69797
Jerala_P5,99,122,100,54,90,1190,194,85,83,159,56,146
Jerala_P6,63,67,41,36,59,2,54,61,42,19,57,37
Jerala_P7,37,65,36,53,62,64,79,83,27,56,55,55
Jerala_P8,185,160,48,94,96,113,2622,2,130,137,121,125
Jerala_P9,84,55,107,37,1413,73,95,51,6,29946,66,88
Jerala_P10,217,236,157,108,142,154,61,399,28748,3,162,144
Jerala_P11,62,46,113,378,24380,97,84,56,25,73,11,266
Jerala_P12,38,103,34,64,143,95,136,110,57,1860,2571,38
