Binder,N5,N6,N7,N8,P5A,P6A,P7A,P8A,N1,N2,AN3,AN35,AN4,BN3,BN35,BN4,PUMA_M144A_A139G,PUMA_M144A_A139G_A150G,PUMA_M144A_D147G,PUMA_M144A_E132A,PUMA_M144A_E136G,PUMA_M144A_E158A,PUMA_M144A_I137A,PUMA_M144A_R143A,PUMA_M144A_W133F,PUMA_M144A_Y152A,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
PUMA_M144A_R143A,591.0,239.0,604.0,288.0,454.0,335.0,310.0,767.0,319.0,566.0,529.0,359.0,528.0,234.0,615.0,8457.0,298.0,244.0,621.0,761.0,519.0,616.0,495.0,282.0,316.0,251.0,76.0,146.0,110.0,328.0,84.0,103.0,117.0,54.0,337.0,32.0,51.0,58.0
PUMA_M144A_W133F,257.0,258.0,350.0,335.0,378.0,249.0,174.0,234.0,143.0,816.0,483.0,333.0,388.0,179.0,365.0,377.0,741.0,333.0,374.0,574.0,198.0,295.0,630.0,392.0,,388.0,12728.0,169.0,67.0,179.0,105.0,103.0,193.0,89.0,26.0,417.0,154.0,119.0
PUMA_M144A_Y152A,426.0,257.0,513.0,444.0,319.0,362.0,107.0,324.0,261.0,356.0,1055.0,404.0,269.0,299.0,394.0,644.0,323.0,232.0,689.0,307.0,527.0,224.0,412.0,696.0,302.0,1.0,46.0,85.0,92.0,137.0,15.0,170.0,45.0,115.0,165.0,135.0,71.0,253.0
Jerala_P1,59.0,147.0,72.0,154.0,112.0,87.0,63.0,199.0,65.0,223.0,208.0,461.0,2433.0,235.0,199.0,10870.0,100.0,181.0,208.0,177.0,277.0,21.0,258.0,219.0,137.0,70.0,1.0,17792.0,46.0,72.0,81.0,14.0,30.0,5.0,61.0,5.0,28.0,67.0
Jerala_P2,86.0,100.0,64.0,135.0,70.0,141.0,25.0,184.0,48.0,350.0,61.0,179.0,53730.0,136.0,346.0,132.0,311.0,68.0,133.0,225.0,124.0,8.0,251.0,175.0,160.0,119.0,14270.0,3.0,26.0,23.0,44.0,15.0,20.0,,10.0,109.0,,26.0
Jerala_P3,94.0,131.0,271.0,50.0,58.0,176.0,55.0,133.0,33.0,251.0,92.0,148.0,158.0,150.0,381.0,369.0,96.0,148.0,141.0,72.0,29.0,146.0,151.0,106.0,202.0,91.0,1.0,70.0,3.0,3724.0,41.0,45.0,3.0,33.0,50.0,6.0,9.0,169.0
Jerala_P4,121.0,231.0,166.0,181.0,81.0,321.0,68.0,190.0,117.0,107.0,116.0,7882.0,140.0,72.0,292.0,346.0,867.0,273.0,156.0,228.0,122.0,607.0,244.0,158.0,191.0,149.0,47.0,29.0,19864.0,,,7.0,116.0,40.0,16.0,90.0,15.0,60.0
Jerala_P5,111.0,13640.0,348.0,370.0,112.0,109985.0,212.0,523.0,287.0,334.0,73.0,233.0,158.0,62.0,101.0,253.0,165.0,93.0,163.0,53.0,195.0,78.0,181.0,207.0,215.0,411.0,206.0,30.0,24.0,32.0,39.0,22836.0,24.0,244.0,6.0,397.0,27.0,49.0
Jerala_P6,81523.0,76.0,149.0,197.0,26852.0,200.0,138.0,128.0,42.0,145.0,82.0,101.0,145.0,62.0,91.0,202.0,72.0,1643.0,280.0,175.0,106.0,123.0,82.0,177.0,151.0,303.0,148.0,21.0,116.0,1.0,236.0,2.0,17.0,40.0,101.0,1.0,6.0,11.0
Jerala_P7,157.0,208.0,305.0,21930.0,67.0,36.0,1166.0,4613.0,53.0,326.0,147.0,106.0,84.0,2.0,181.0,2388.0,304.0,110.0,11.0,111.0,117.0,47.0,50.0,144.0,68.0,51.0,9.0,5.0,2.0,12.0,2.0,135.0,66.0,6393.0,,1.0,115.0,
Jerala_P8,8183.0,119.0,4228.0,92.0,144.0,198.0,23654.0,158.0,74.0,233.0,183.0,426.0,59.0,40.0,192.0,510.0,646.0,172.0,129.0,89.0,154.0,10283.0,81.0,147.0,32.0,446.0,224.0,86.0,86.0,33.0,29.0,35.0,4783.0,,201.0,83.0,51.0,104.0
Jerala_P9,2401.0,45.0,159.0,3914.0,66.0,247.0,42.0,108.0,567.0,208.0,599.0,141.0,87.0,276.0,2366.0,251.0,242.0,153.0,450.0,348.0,239.0,55.0,218.0,339.0,296.0,185.0,105.0,197.0,121.0,30.0,76.0,97.0,1.0,129.0,,9940.0,15.0,6.0
Jerala_P10,152.0,70.0,16237.0,189.0,363.0,236.0,30.0,7764.0,137.0,262.0,84.0,145.0,1766.0,31.0,117.0,171.0,224.0,2807.0,94.0,141.0,83.0,238.0,220.0,775.0,144.0,115.0,18.0,60.0,15.0,58.0,11.0,5.0,7.0,71.0,2.0,1.0,58.0,32.0
Jerala_P11,1815.0,4153.0,1161.0,2193.0,1452.0,747.0,632.0,635.0,346.0,20248.0,900.0,897.0,569.0,113.0,1246.0,1780.0,1262.0,12487.0,813.0,1178.0,719.0,1222.0,788.0,1371.0,1174.0,668.0,414.0,293.0,382.0,1295.0,452.0,91.0,63.0,384.0,249.0,56.0,,16328.0
Jerala_P12,320.0,141.0,287.0,38.0,196.0,161.0,35.0,73.0,20.0,261.0,193.0,187.0,141.0,111.0,345.0,74.0,557.0,119.0,143.0,66.0,36.0,110.0,64.0,479.0,99.0,127.0,109.0,,145.0,13.0,121.0,45.0,142.0,1.0,30.0,71.0,13838.0,47.0
