"","trp1_l61_2mM","his1_l61_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P4:AD:Jerala_P8",2262,193,225,6,169.467994264875,-0.344297175942715,0.364506895428929,0.122644499699359,NA
"DBD:Jerala_P4:AD:Jerala_P9",4152,360,128,11,221.114554054891,0.0125825197995754,0.333141822944437,0.953017916915601,NA
"DBD:Jerala_P4:AD:Jerala_P10",4647,966,244,30,455.933416565796,0.351862663128162,0.401291573734527,0.115454055166939,0.174589059032933
"DBD:Jerala_P4:AD:Jerala_P11",2266,1524,130,16,404.084487226616,1.20132675575985,0.887962633970996,0.00246218350814498,0.00954096109406181
"DBD:Jerala_P4:AD:Jerala_P12",3052,268,214,6,191.330113020334,-0.264049211848492,0.339844134310056,0.227693865603026,NA
"DBD:Jerala_P5:AD:Jerala_P1",3203,221,161,9,183.624942662407,-0.206674868237633,0.326472209740827,0.341201402745272,NA
"DBD:Jerala_P5:AD:Jerala_P2",4294,280,321,12,276.716437776663,-0.304070321608593,0.372770829905579,0.16704849917877,0.240860626722877
"DBD:Jerala_P5:AD:Jerala_P3",3212,230,143,12,193.843509070389,-0.0753503975033846,0.325857846260594,0.725640897068209,NA
"DBD:Jerala_P5:AD:Jerala_P4",2329,191,100,7,135.199902396466,-0.0641680551527921,0.332753163227396,0.764240126670844,NA
"DBD:Jerala_P5:AD:Jerala_P5",1320,204,51,1,76.2486396955004,0.0446358699914833,0.415933352650762,0.813514246690535,NA
"DBD:Jerala_P5:AD:Jerala_P6",1203,21659,220,5264,28779.637203965,8.17066580222896,0.853884349398998,4.60123674968877e-22,3.56595848100879e-21
"DBD:Jerala_P5:AD:Jerala_P7",3083,347,192,8,207.274791925881,-0.0688240834916687,0.326194251246053,0.748461096893357,NA
