"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P4:AD:Jerala_P5",4121,341,4110,229,1125.9828939242,-0.0153872382879198,0.124521172505136,0.463426515422689,0.789400084079914
"DBD:Jerala_P4:AD:Jerala_P6",4917,347,1570,97,843.163915125864,-0.0230377460283262,0.215374702398972,0.600815563514641,0.789400084079914
"DBD:Jerala_P4:AD:Jerala_P7",3106,236,2778,670,1325.74309869876,0.0752615960043861,0.343562252012979,0.260798659620851,0.698428067676573
"DBD:Jerala_P4:AD:Jerala_P8",2262,193,2830,174,719.61539548827,-0.0113292840628761,0.123715617518665,0.607812788446813,0.789400084079914
"DBD:Jerala_P4:AD:Jerala_P9",4152,360,1438,96,785.24586588175,-0.00924377086594164,0.186154046272122,0.814131886445425,0.862021997412803
"DBD:Jerala_P4:AD:Jerala_P10",4647,966,4222,2446,3946.23597140257,1.46275449476473,1.21931771436849,0.0052336329105199,0.034256506323403
"DBD:Jerala_P4:AD:Jerala_P11",2266,1524,1717,128,1562.4820059376,0.526029219328495,1.01126568314482,0.0490299452134009,0.248661137152673
"DBD:Jerala_P4:AD:Jerala_P12",3052,268,1136,15557,16735.8032629058,5.08519825314607,1.59185787459077,0.000161816157606785,0.00145634541846107
"DBD:Jerala_P5:AD:Jerala_P1",3203,221,3504,184,874.244116879754,-0.0289777051855971,0.168890985497328,0.301617242251073,0.748842808347491
"DBD:Jerala_P5:AD:Jerala_P2",4294,280,3895,255,1103.13994561938,-0.0181610198552518,0.136066433112178,0.429024657619273,0.789400084079914
"DBD:Jerala_P5:AD:Jerala_P3",3212,230,2417,147,754.141014583189,-0.018081302683999,0.13488495798841,0.42555762155919,0.789400084079914
"DBD:Jerala_P5:AD:Jerala_P4",2329,191,1255,77,493.181963343686,-0.0124200411076775,0.146612133644212,0.653725012184689,0.789400084079914
"DBD:Jerala_P5:AD:Jerala_P5",1320,204,1909,169,578.706222131274,0.0158296438878419,0.141024876976856,0.527533508787732,0.789400084079914
"DBD:Jerala_P5:AD:Jerala_P6",1203,21659,2184,9798,26454.9541719983,6.48941952161592,0.674160843937156,2.32385792272044e-22,3.7181726763527e-21
"DBD:Jerala_P5:AD:Jerala_P7",3083,347,6117,342,1336.67699645721,-0.0101115335901441,0.148595457196568,0.726101889277511,0.807120383684647
"DBD:Jerala_P5:AD:Jerala_P8",2649,196,2363,153,689.939265256981,-0.0136597891986043,0.119668885789288,0.502012870875687,0.789400084079914
"DBD:Jerala_P5:AD:Jerala_P9",2917,257,2292,143,738.196640068687,-0.00869090843855349,0.11025497089921,0.656576310160738,0.789400084079914
"DBD:Jerala_P5:AD:Jerala_P10",2038,135,5026,270,940.072505242543,-0.0310569220012202,0.239871418947157,0.523870943084173,0.789400084079914
"DBD:Jerala_P5:AD:Jerala_P11",2945,871,1664,89,1085.37680718729,0.0916960126378601,0.412889300115868,0.286189538846044,0.735915957032686
"DBD:Jerala_P5:AD:Jerala_P12",3141,283,3938,221,989.493838603598,-0.0129347038511913,0.124880605323287,0.554112913916862,0.789400084079914
"DBD:Jerala_P6:AD:Jerala_P1",2453,166,2680,152,678.409096630939,-0.0244417355304835,0.158249173056658,0.358948508583485,0.789400084079914
"DBD:Jerala_P6:AD:Jerala_P2",2679,1363,2270,149,1540.89931107224,0.263292482901708,0.698819376529087,0.0969531367105281,0.410625049597531
"DBD:Jerala_P6:AD:Jerala_P3",2999,230,1166,75,561.346086637634,-0.0157585975506309,0.18090665591514,0.663315348428261,0.789400084079914
"DBD:Jerala_P6:AD:Jerala_P4",1449,119,1061,66,348.721386137842,-0.0113158380303196,0.120581511661952,0.595243777719072,0.789400084079914
"DBD:Jerala_P6:AD:Jerala_P5",1663,3625,1499,332,3262.79923543418,3.34343777435549,1.17635506591591,0.000346496994419317,0.00293503336449304
"DBD:Jerala_P6:AD:Jerala_P6",23,6,6,2,8.67420806600003,0.2469651588333,0.692109963932336,0.114515487644509,0.462696792025853
"DBD:Jerala_P6:AD:Jerala_P7",3166,244,1850,115,681.421225610835,-0.0144888536720691,0.141237390905127,0.571073319254062,0.789400084079914
"DBD:Jerala_P6:AD:Jerala_P8",2849,193,1720,117,612.206904691479,-0.016946320434313,0.140075887168425,0.487579364330962,0.789400084079914
"DBD:Jerala_P6:AD:Jerala_P9",1546,2437,1299,95,2114.76217592086,1.76156214878854,1.69596852730453,0.00997982473865112,0.0574837904946304
"DBD:Jerala_P6:AD:Jerala_P10",2524,159,741,44,407.369138405575,-0.0330382281780338,0.245322530916405,0.506228672658099,0.789400084079914
"DBD:Jerala_P6:AD:Jerala_P11",2376,196,2009,111,597.349081799489,-0.0152884083621258,0.127604864906811,0.482686597107886,0.789400084079914
"DBD:Jerala_P6:AD:Jerala_P12",1919,140,1407,91,452.752995076436,-0.014709327093794,0.126355338840154,0.496993885750465,0.789400084079914
"DBD:Jerala_P7:AD:Jerala_P1",1688,122,1340,72,397.379861453878,-0.0236177527257361,0.153453501354858,0.357277212382297,0.789400084079914
"DBD:Jerala_P7:AD:Jerala_P2",2073,117,2149,119,536.822990193772,-0.038048527765182,0.199503373167264,0.258410321684379,0.698428067676573
"DBD:Jerala_P7:AD:Jerala_P3",1745,135,1483,92,443.654445778702,-0.0136671812903168,0.120449372651581,0.505686333529598,0.789400084079914
"DBD:Jerala_P7:AD:Jerala_P4",1048,80,1347,88,337.086929617865,-0.0125910370967164,0.136612730144358,0.614295960822971,0.789400084079914
"DBD:Jerala_P7:AD:Jerala_P5",3027,221,2053,107,662.587504575834,-0.0240320055442059,0.162765731044495,0.390606944716647,0.789400084079914
"DBD:Jerala_P7:AD:Jerala_P6",2176,157,1417,95,488.98160344131,-0.0142801397867403,0.129742952221129,0.52841881364555,0.789400084079914
"DBD:Jerala_P7:AD:Jerala_P7",1564,144,1508,100,447.503015673247,-0.00593828376214583,0.100461669691959,0.740314747388816,0.813781096366332
"DBD:Jerala_P7:AD:Jerala_P8",2019,3266,1392,746,3446.96997914933,3.51589277340112,0.769841088420707,3.18544761673279e-06,3.82253714007935e-05
"DBD:Jerala_P7:AD:Jerala_P9",2028,141,983,56,390.282832980708,-0.0238744214857779,0.182878927818411,0.480129978706176,0.789400084079914
"DBD:Jerala_P7:AD:Jerala_P10",1334,124,1790,110,449.48383965126,-0.0091727866571871,0.122019699845463,0.680451318692541,0.793640833776589
"DBD:Jerala_P7:AD:Jerala_P11",2102,1348,1954,136,1448.46960979468,0.414894997734483,0.884924146677077,0.0600649660330758,0.288311836958764
"DBD:Jerala_P7:AD:Jerala_P12",2541,201,1444,75,529.341384752561,-0.0191222815469274,0.165509284657453,0.532031977984243,0.789400084079914
"DBD:Jerala_P8:AD:Jerala_P1",3013,238,4876,313,1119.57150920598,-0.0129130189408197,0.154331134792801,0.662894388520044,0.789400084079914
"DBD:Jerala_P8:AD:Jerala_P2",3599,276,3787,315,1103.3539212288,-0.00374584402292424,0.112567131977974,0.858948114106017,0.877223605895506
"DBD:Jerala_P8:AD:Jerala_P3",2486,189,1757,89,556.661991907409,-0.0227459184399365,0.15917606717071,0.407623869963664,0.789400084079914
"DBD:Jerala_P8:AD:Jerala_P4",2153,171,2412,169,656.093957474948,-0.00848768522556359,0.115959846634146,0.685603199216642,0.793640833776589
"DBD:Jerala_P8:AD:Jerala_P5",3406,243,2825,171,836.208825148796,-0.0183430944556684,0.133201442868206,0.408452488243606,0.789400084079914
"DBD:Jerala_P8:AD:Jerala_P6",2744,259,4016,254,983.688557886419,-0.00815994278180508,0.126007438846353,0.728650346381973,0.807120383684647
"DBD:Jerala_P8:AD:Jerala_P7",2071,29996,2410,18154,41398.1516297674,6.79855666360405,0.531272790442675,5.86616819146133e-38,1.68945643914086e-36
"DBD:Jerala_P8:AD:Jerala_P8",3,0,6,2,2.79420442066939,0.13672593359583,0.597620367427537,0.335343583147581,0.786824964390271
"DBD:Jerala_P8:AD:Jerala_P9",3133,260,3173,209,896.935381567689,-0.00915876142118608,0.108258366067947,0.628884720424507,0.789400084079914
"DBD:Jerala_P8:AD:Jerala_P10",1600,1096,3672,228,1462.41328539119,0.165379659826867,0.530992469202506,0.137215182502362,0.506640673854877
"DBD:Jerala_P8:AD:Jerala_P11",2190,176,3954,220,841.642560273176,-0.0201376668851634,0.176014776562776,0.544704924254252,0.789400084079914
"DBD:Jerala_P8:AD:Jerala_P12",3965,370,3632,164,1029.1765361548,-0.0171203126416576,0.141706661858866,0.489653445770219,0.789400084079914
"DBD:Jerala_P9:AD:Jerala_P1",2816,1140,1977,126,1338.50618987991,0.177031712459376,0.569393164887881,0.147251997905719,0.530107192460589
"DBD:Jerala_P9:AD:Jerala_P2",2271,866,2000,106,1077.8159799562,0.118700218199278,0.456055868670123,0.20545441679859,0.655941922404809
"DBD:Jerala_P9:AD:Jerala_P3",4845,308,3530,163,1038.12773439321,-0.0461012120809581,0.217981330737898,0.209537002990425,0.655941922404809
"DBD:Jerala_P9:AD:Jerala_P4",1896,102,1269,67,386.755130712104,-0.0537665723042495,0.237054928792397,0.182384526478468,0.625318376497603
"DBD:Jerala_P9:AD:Jerala_P5",7351,450,3753,4194,5547.0759740805,0.839895592944805,1.30936895802216,0.0324497170935817,0.173065157832436
"DBD:Jerala_P9:AD:Jerala_P6",3432,196,2971,159,802.857883980836,-0.0444831330847968,0.207461746976996,0.196014019002268,0.641500425825603
"DBD:Jerala_P9:AD:Jerala_P7",2664,2462,4101,178,2530.04909908449,0.381447059759162,0.885645047600002,0.0791204857868768,0.35350453690234
"DBD:Jerala_P9:AD:Jerala_P8",4258,906,2754,126,1334.38588335629,0.0337822501776529,0.256996912455124,0.525918423509884,0.789400084079914
"DBD:Jerala_P9:AD:Jerala_P9",7,15,6,12,24.57458878555,4.43689524392751,0.763106527339131,3.82357313827244e-09,5.00540483555665e-08
"DBD:Jerala_P9:AD:Jerala_P10",1339,69496,2408,42353,95707.3706965152,8.19411949402965,0.637746848309724,1.78640726237642e-38,6.43106614455511e-37
"DBD:Jerala_P9:AD:Jerala_P11",2204,137,2956,130,638.509856433197,-0.0563932543597574,0.251092068304014,0.195080449673528,0.641500425825603
"DBD:Jerala_P9:AD:Jerala_P12",3540,219,2564,229,867.423399017104,-0.00836336051903681,0.117160965540784,0.694435729554516,0.793640833776589
"DBD:Jerala_P10:AD:Jerala_P1",4259,326,5098,337,1318.31239206655,-0.0116959864765911,0.127180433987398,0.608530660579167,0.789400084079914
"DBD:Jerala_P10:AD:Jerala_P2",5282,415,6044,422,1624.32540836249,-0.00884910793146198,0.117745212334465,0.677905191191532,0.793640833776589
"DBD:Jerala_P10:AD:Jerala_P3",6396,1021,4536,309,1911.22096466188,0.0162514090672246,0.162956324645353,0.599166552254776,0.789400084079914
"DBD:Jerala_P10:AD:Jerala_P4",1905,160,3674,219,785.182423995357,-0.01564688232799,0.17200247926803,0.642277105806055,0.789400084079914
"DBD:Jerala_P10:AD:Jerala_P5",5595,7314,3297,218,6297.25867026782,1.44560573565602,1.67139629048271,0.0164505244986879,0.0911105972235023
"DBD:Jerala_P10:AD:Jerala_P6",5601,2544,4966,333,3036.58130418608,0.205547115561574,0.602420689744254,0.115674198006463,0.462696792025853
"DBD:Jerala_P10:AD:Jerala_P7",5186,418,1732,107,938.761177237639,-0.0149130239890956,0.199811660471471,0.722129564784146,0.807120383684647
"DBD:Jerala_P10:AD:Jerala_P8",3338,280,11007,741,2121.44081216118,-0.0117196440113909,0.230882865774949,0.821027210889179,0.862977506336071
"DBD:Jerala_P10:AD:Jerala_P9",1561,59826,1733,70229,117607.53046768,8.71113807837476,0.591877963150437,8.12957050728718e-50,3.90219384349785e-48
"DBD:Jerala_P10:AD:Jerala_P10",8,8,4,6,13.0652069799936,3.5976488960557,0.872051176327875,1.70881849379046e-05,0.000175764187932733
"DBD:Jerala_P10:AD:Jerala_P11",2959,2000,4496,310,2380.76558071154,0.306243114707468,0.733379084843598,0.0726336596575959,0.337395064215929
"DBD:Jerala_P10:AD:Jerala_P12",7001,604,3496,227,1477.2750575505,-0.00909809651330772,0.145830590373271,0.748545315625076,0.81659488977281
"DBD:Jerala_P11:AD:Jerala_P1",1736,190,2447,188,662.42854005553,0.00152367810549328,0.115857459260154,0.944909600955145,0.951517360402384
"DBD:Jerala_P11:AD:Jerala_P2",3909,383,1686,171,882.994573928305,0.00508877346432142,0.140191465275267,0.854144783700896,0.877223605895506
"DBD:Jerala_P11:AD:Jerala_P3",2653,291,3184,572,1264.30486376625,0.0610969107856748,0.292348161067592,0.261978575291809,0.698428067676573
"DBD:Jerala_P11:AD:Jerala_P4",1747,262,2329,351,876.661713795429,0.0611276980777444,0.275087979053093,0.214345361654621,0.656717703792882
"DBD:Jerala_P11:AD:Jerala_P5",2224,258,3164,6665,7561.05181335902,3.14219893456112,1.8474642902485,0.0025923033617375,0.0183687236475633
"DBD:Jerala_P11:AD:Jerala_P6",2725,259,3874,272,989.474905165181,-0.00440713832236505,0.120879619554177,0.847888052226566,0.877223605895506
"DBD:Jerala_P11:AD:Jerala_P7",1566,478,3782,382,1173.80773868262,0.0599386465081408,0.286391622143655,0.257471619497212,0.698428067676573
"DBD:Jerala_P11:AD:Jerala_P8",2400,273,2516,199,789.067265498558,0.00352303161110239,0.0965342156485497,0.839877373673456,0.876393781224476
"DBD:Jerala_P11:AD:Jerala_P9",2218,278,835,78,515.985157288446,0.0152799104583472,0.18927673210132,0.693443862735447,0.793640833776589
"DBD:Jerala_P11:AD:Jerala_P10",1520,2162,2542,389,2318.23128356427,2.05112023185864,1.28339008932259,0.00255835695319497,0.0183687236475633
"DBD:Jerala_P11:AD:Jerala_P11",75,231,198,77,272.272595850748,3.42006351373137,0.841774725333207,2.12146988450096e-05,0.000203661108912092
"DBD:Jerala_P11:AD:Jerala_P12",1073,8068,1351,5200,11560.5131633369,5.8384305051745,0.542399585554238,2.31957863144239e-27,4.77170461325292e-26
"DBD:Jerala_P12:AD:Jerala_P1",3432,264,834,50,564.735729873478,-0.0198146022731319,0.243049673589147,0.711852771988754,0.807120383684647
