"","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P5:AD:Jerala_P11",1664,89,204,36,261.754022033859,0.0410895590709181,0.251476622763198,0.203495721470133,0.290708173528761
"DBD:Jerala_P5:AD:Jerala_P12",3938,221,220,6,199.878628820308,-0.0173785381835347,0.135672594030369,0.273449897037553,NA
"DBD:Jerala_P6:AD:Jerala_P7",1850,115,160,5,121.453005099369,-0.0159318297101045,0.134402517970116,0.318344047618416,NA
"DBD:Jerala_P6:AD:Jerala_P8",1720,117,105,14,144.503847178503,0.0100235541258326,0.110886881372646,0.4597068170027,NA
"DBD:Jerala_P6:AD:Jerala_P9",1299,95,163,357,1664.76241240281,1.44204842681697,2.2842537998126,0.0201093016378433,0.0446873369729852
"DBD:Jerala_P6:AD:Jerala_P10",741,44,164,374,1719.83469802395,1.57924547761556,2.42494068609872,0.019055370536505,0.0446873369729852
"DBD:Jerala_P6:AD:Jerala_P11",2009,111,122,14,152.610079358172,0.00383399065325287,0.0885062043169987,0.737501291439189,NA
"DBD:Jerala_P6:AD:Jerala_P12",1407,91,219,11,151.534974140137,-0.00912396932647561,0.116509376616618,0.53798933694597,NA
"DBD:Jerala_P7:AD:Jerala_P8",1392,746,92,2263,10214.1350818792,7.3266869442542,1.48083447873832,3.61581784611593e-07,1.44632713844637e-06
"DBD:Jerala_P7:AD:Jerala_P9",983,56,160,11,120.779498932397,-0.00381568253683131,0.110451853432751,0.80083956928303,NA
"DBD:Jerala_P7:AD:Jerala_P10",1790,110,58,3,82.6717247156996,-0.00313121944865245,0.0998067636468842,0.815366164219548,NA
"DBD:Jerala_P7:AD:Jerala_P11",1954,136,92,5,109.181671026814,-0.00149925665356031,0.0822397157621832,0.889338838205032,NA
"DBD:Jerala_P7:AD:Jerala_P12",1444,75,157,6,109.618658225284,-0.0236620314091765,0.171133978596857,0.25060640004852,NA
"DBD:Jerala_P8:AD:Jerala_P9",3173,209,50,3,124.934120943534,-0.000533806726006325,0.105975309539289,0.97101489874563,NA
"DBD:Jerala_P8:AD:Jerala_P10",3672,228,179,5,181.395235032759,-0.0104213342643274,0.10937163928386,0.429711444918518,NA
"DBD:Jerala_P8:AD:Jerala_P11",3954,220,189,12,217.979773402002,-0.00410895772065103,0.0790296534206502,0.679366183861288,NA
"DBD:Jerala_P8:AD:Jerala_P12",3632,164,292,23,277.194700943113,-0.00232967755508195,0.087059810715023,0.838654494225737,0.906653507271067
"DBD:Jerala_P9:AD:Jerala_P10",2408,42353,112,2876,22027.1656832255,8.20476902445436,0.631314788284729,5.76904904671414e-39,5.76904904671414e-38
"DBD:Jerala_P9:AD:Jerala_P11",2956,130,153,7,149.920825212169,-0.0172226333934947,0.135327845046925,0.276989751863306,NA
"DBD:Jerala_P9:AD:Jerala_P12",2564,229,259,13,220.527714647504,-0.00153056202686293,0.0760222885310979,0.876374723322088,NA
"DBD:Jerala_P10:AD:Jerala_P11",4496,310,213,5,222.186694215086,-0.00884325651175653,0.105530889617695,0.496052853585909,NA
"DBD:Jerala_P10:AD:Jerala_P12",3496,227,154,4,167.022030141665,-0.00854307599582018,0.104890578821383,0.510036915391111,NA
"DBD:Jerala_P11:AD:Jerala_P12",1351,5200,183,5374,24962.0749356939,7.90225025724505,1.63488947467003,5.60621573820685e-07,2.03862390480249e-06
"DBD:Jerala_P1:AD:Jerala_P1",5,11,4,0,3.57591755337941,0.0883522176870577,0.65589095303453,0.492399056593931,NA
"DBD:Jerala_P2:AD:Jerala_P2",23,5,2,1,6.43770393280069,0.143165038106734,0.702597486781839,0.247217953611645,NA
"DBD:Jerala_P3:AD:Jerala_P3",1676,2928,51,2,689.512590042646,1.78830174516092,2.13499135521408,0.00856762024310617,0.0244789149803033
"DBD:Jerala_P4:AD:Jerala_P4",5,4,2,0,1.50185574938582,0.0846588929066761,0.756661538636396,0.596512032997663,NA
"DBD:Jerala_P5:AD:Jerala_P5",1909,133,51,1,78.9044252159386,-0.00381996373996139,0.117306286418291,0.815183906509215,NA
"DBD:Jerala_P6:AD:Jerala_P6",6,2,1,1,5.22905496049343,0.319098689234986,1.13052346433925,0.142278314089136,NA
"DBD:Jerala_P7:AD:Jerala_P7",1508,79,68,1,65.1391322035083,-0.0204105797440065,0.177168354514573,0.369701389398815,NA
"DBD:Jerala_P8:AD:Jerala_P8",6,2,1,0,0.808728912503706,0.0983216590531685,0.799292027484585,0.559726842537019,NA
"DBD:Jerala_P12:AD:Jerala_P12",1433,68,104,1,71.3320782380362,-0.0570404497597592,0.296357170587292,0.141481516371235,NA
"DBD:Jerala_P2:AD:Jerala_P1",1811,51509,76,1339,17211.8183494812,8.27183615810844,0.807959169132957,5.90031588408904e-25,4.72025270727123e-24
"DBD:Jerala_P3:AD:Jerala_P1",3445,194,202,11,203.0293613733,-0.00624427214527857,0.0862013955948596,0.555173163024767,NA
"DBD:Jerala_P4:AD:Jerala_P1",3790,209,248,20,264.347338499701,-0.000756584660786779,0.076364891763416,0.939298410429054,0.942255055529513
"DBD:Jerala_P5:AD:Jerala_P1",3504,184,161,9,181.782466623709,-0.00682663144239646,0.0900843378096422,0.536303132470678,NA
"DBD:Jerala_P6:AD:Jerala_P1",2680,152,126,1,116.268259711628,-0.0236161242190497,0.177453071355641,0.278168430699229,NA
"DBD:Jerala_P7:AD:Jerala_P1",1340,72,47,1,55.1013005211381,-0.0136689662341939,0.161667206891236,0.535971673200981,NA
"DBD:Jerala_P8:AD:Jerala_P1",4876,313,143,4,205.578140778676,-0.00670593093922082,0.104891678229962,0.618980138993219,NA
"DBD:Jerala_P9:AD:Jerala_P1",1977,126,170,21,199.407651104465,0.0103846581949486,0.116605732045264,0.471951467374403,NA
"DBD:Jerala_P10:AD:Jerala_P1",5098,337,192,15,276.48917960967,0.000709317991242839,0.0753808468980934,0.942255055529513,0.942255055529513
"DBD:Jerala_P11:AD:Jerala_P1",2447,188,126,9,155.640318024762,0.0019537422473259,0.0755354335858278,0.840858185324396,NA
