,count_DBDAD_trp1_l62_2mM,count_ADDBD_trp1_l62_2mM,count_DBDAD_his1_l62_2mM,count_ADDBD_his1_l62_2mM,count_DBDAD_trp1_l67,count_ADDBD_trp1_l67,count_DBDAD_his1_l67,count_ADDBD_his1_l67
Jerala_P1:Jerala_P2,1523.0,1811.0,53793.0,51509.0,148.0,76.0,5223.0,1339.0
Jerala_P1:Jerala_P3,4103.0,3445.0,210.0,194.0,199.0,202.0,13.0,11.0
Jerala_P1:Jerala_P4,2693.0,3790.0,167.0,209.0,166.0,248.0,15.0,20.0
Jerala_P1:Jerala_P5,5479.0,3504.0,289.0,184.0,96.0,161.0,6.0,9.0
Jerala_P1:Jerala_P6,3346.0,2680.0,184.0,152.0,209.0,126.0,27.0,1.0
Jerala_P1:Jerala_P7,2158.0,1340.0,3621.0,72.0,193.0,47.0,6.0,1.0
Jerala_P1:Jerala_P8,3075.0,4876.0,158.0,313.0,202.0,143.0,5.0,4.0
Jerala_P1:Jerala_P9,3525.0,1977.0,167.0,126.0,115.0,170.0,11.0,21.0
Jerala_P1:Jerala_P10,5302.0,5098.0,289.0,337.0,196.0,192.0,7.0,15.0
Jerala_P1:Jerala_P11,2414.0,2447.0,114.0,188.0,190.0,126.0,17.0,9.0
Jerala_P1:Jerala_P12,2235.0,834.0,136.0,50.0,179.0,192.0,16.0,9.0
Jerala_P2:Jerala_P3,2610.0,4677.0,141.0,1749.0,252.0,150.0,7.0,15.0
Jerala_P2:Jerala_P4,2812.0,1817.0,175.0,102.0,147.0,145.0,97.0,4.0
Jerala_P2:Jerala_P5,5276.0,3895.0,356.0,255.0,278.0,321.0,32.0,12.0
Jerala_P2:Jerala_P6,4938.0,2270.0,290.0,149.0,192.0,178.0,2.0,21.0
Jerala_P2:Jerala_P7,4089.0,2149.0,289.0,119.0,109.0,158.0,5.0,8.0
Jerala_P2:Jerala_P8,2798.0,3787.0,180.0,315.0,187.0,228.0,12.0,7.0
Jerala_P2:Jerala_P9,1772.0,2000.0,128.0,106.0,91.0,193.0,5.0,26.0
Jerala_P10:Jerala_P2,2418.0,6044.0,187.0,422.0,98.0,166.0,4.0,9.0
Jerala_P11:Jerala_P2,1720.0,1686.0,94.0,171.0,162.0,108.0,12.0,7.0
Jerala_P12:Jerala_P2,3162.0,3205.0,175.0,200.0,120.0,152.0,4.0,3.0
Jerala_P3:Jerala_P4,1106.0,1087.0,11380.0,70559.0,79.0,85.0,2683.0,2203.0
Jerala_P3:Jerala_P5,1660.0,2417.0,106.0,147.0,106.0,143.0,39.0,12.0
Jerala_P3:Jerala_P6,1552.0,1166.0,95.0,75.0,210.0,192.0,7.0,10.0
Jerala_P3:Jerala_P7,1893.0,1483.0,537.0,92.0,134.0,162.0,6.0,5.0
Jerala_P3:Jerala_P8,2795.0,1757.0,1792.0,89.0,125.0,235.0,26.0,159.0
Jerala_P3:Jerala_P9,1690.0,3530.0,97.0,163.0,77.0,299.0,2.0,19.0
Jerala_P10:Jerala_P3,3994.0,4536.0,236.0,309.0,94.0,505.0,7.0,59.0
Jerala_P11:Jerala_P3,912.0,3184.0,54.0,572.0,175.0,116.0,5.0,3.0
Jerala_P12:Jerala_P3,1037.0,1265.0,77.0,75.0,53.0,137.0,0.0,156.0
Jerala_P4:Jerala_P5,4110.0,1255.0,229.0,77.0,257.0,100.0,7.0,7.0
Jerala_P4:Jerala_P6,1570.0,1061.0,97.0,66.0,296.0,184.0,11.0,19.0
Jerala_P4:Jerala_P7,2778.0,1347.0,670.0,88.0,149.0,193.0,7.0,11.0
Jerala_P4:Jerala_P8,2830.0,2412.0,174.0,169.0,225.0,130.0,6.0,2.0
Jerala_P4:Jerala_P9,1438.0,1269.0,96.0,67.0,128.0,125.0,11.0,7.0
