,count_DBDAD_trp1_l45,count_ADDBD_trp1_l45,count_DBDAD_his1_l45,count_ADDBD_his1_l45,count_DBDAD_trp1_l66,count_ADDBD_trp1_l66,count_DBDAD_his1_l66,count_ADDBD_his1_l66
Bcl-B:alphaMCL1,40916.0,27384.0,18777.0,12004.0,1427.0,1431.0,832.0,139.0
Bcl-w:Bcl-xL,732.0,527.0,78.0,45.0,5620.0,6082.0,969.0,1420.0
Bcl-w:Bfl-1,3121.0,2496.0,354.0,3366.0,5609.0,4190.0,753.0,599.0
Bcl-w:FECM04,4289.0,3650.0,1050.0,664.0,3529.0,3748.0,1497.0,478.0
Bcl-w:Mcl1[151-321],4316.0,2013.0,548.0,644.0,7382.0,4801.0,1062.0,800.0
Bcl-w:XCDP07,784.0,2188.0,1181.0,2028.0,966.0,763.0,7469.0,9197.0
Bcl-w:alphaBCL2,4573.0,2669.0,986.0,459.0,3995.0,3598.0,7176.0,8807.0
Bcl-w:alphaBCLB,3656.0,4554.0,269.0,417.0,2697.0,2684.0,692.0,286.0
Bcl-w:alphaBFL1,4898.0,3986.0,1569.0,617.0,3265.0,3881.0,843.0,761.0
Bcl-w:alphaMCL1,6207.0,3012.0,269.0,177.0,3024.0,4063.0,500.0,945.0
Bcl-xL:Bfl-1,2301.0,2425.0,779.0,1328.0,3602.0,2403.0,851.0,592.0
Bcl-xL:FECM04,2974.0,2706.0,5599.0,2183.0,1801.0,1625.0,14271.0,10376.0
Bcl-xL:Mcl1[151-321],3573.0,1936.0,1011.0,607.0,5251.0,2950.0,736.0,471.0
Bcl-xL:XCDP07,3323.0,2145.0,359.0,3030.0,717.0,472.0,5708.0,3732.0
Bcl-xL:alphaBCL2,4719.0,1579.0,1219.0,209.0,2349.0,2144.0,2818.0,8450.0
Bcl-xL:alphaBCLB,2889.0,4418.0,535.0,985.0,1909.0,1606.0,756.0,199.0
Bcl-xL:alphaBFL1,3681.0,3066.0,5568.0,3875.0,1634.0,1751.0,12544.0,10206.0
Bcl-xL:alphaMCL1,4051.0,2322.0,598.0,338.0,1900.0,2173.0,223.0,219.0
Bfl-1:FECM04,6721.0,8501.0,20465.0,16861.0,981.0,1472.0,12766.0,7177.0
Bfl-1:Mcl1[151-321],11067.0,7282.0,4380.0,3466.0,3185.0,2841.0,453.0,684.0
Bfl-1:XCDP07,1664.0,5969.0,368.0,5830.0,450.0,1008.0,163.0,317.0
Bfl-1:alphaBCL2,7382.0,5781.0,1220.0,775.0,1707.0,2377.0,669.0,421.0
