,trp1_l43,his1_l43,trp1_l44,his1_l44,trp1_l49,his1_l49
DBD:A_ZCON_13:AD:ZCON_150_resurf_A,1504.0,325.0,271.0,35.0,2.0,1.0
DBD:A_ZCON_13:AD:ZCON_150_resurf_B,308.0,1.0,190.0,26.0,4.0,1.0
DBD:A_ZCON_13:AD:ZCON_152_A,164.0,83.0,82.0,2.0,1.0,0.0
DBD:A_ZCON_13:AD:ZCON_152_B,3443.0,424.0,181.0,34.0,3.0,4.0
DBD:A_ZCON_13:AD:ZCON_152_T2_A,13.0,2.0,112.0,14.0,12.0,0.0
DBD:A_ZCON_13:AD:ZCON_152_T2_B,415.0,6.0,302.0,52.0,0.0,8.0
DBD:A_ZCON_13:AD:ZCON_152_T4_A,826.0,0.0,317.0,26.0,3.0,1.0
DBD:A_ZCON_13:AD:ZCON_152_T4_B,240.0,99.0,196.0,51.0,11.0,0.0
DBD:A_ZCON_13:AD:ZCON_154_LL_A,1345.0,43.0,331.0,88.0,37.0,15.0
DBD:A_ZCON_13:AD:ZCON_154_LL_B,1841.0,346.0,354.0,117.0,16.0,7.0
DBD:A_ZCON_13:AD:ZCON_154_resurf_A,2191.0,294.0,259.0,135.0,2.0,0.0
DBD:A_ZCON_13:AD:ZCON_154_resurf_B,3037.0,534.0,337.0,12173.0,3.0,1.0
DBD:A_ZCON_13:AD:ZCON_155_LL_A,4599.0,295.0,567.0,24.0,38.0,1.0
DBD:A_ZCON_13:AD:ZCON_155_LL_B,1534.0,79.0,281.0,89.0,6.0,11.0
DBD:A_ZCON_13:AD:ZCON_155_cutT2_A,1325.0,3.0,147.0,6.0,8.0,0.0
DBD:A_ZCON_13:AD:ZCON_155_cutT2_B,405.0,4.0,58.0,5.0,7.0,6.0
DBD:A_ZCON_13:AD:ZCON_155_cutT4_A,1692.0,23.0,390.0,5049.0,6.0,0.0
DBD:A_ZCON_13:AD:ZCON_155_cutT4_B,184.0,0.0,313.0,28.0,14.0,0.0
DBD:A_ZCON_13:AD:ZCON_155_cutT5_A,1.0,0.0,18.0,2.0,20.0,1.0
DBD:A_ZCON_13:AD:ZCON_155_cutT5_B,198.0,141.0,380.0,22.0,45.0,2.0
DBD:A_ZCON_13:AD:ZCON_155_resurf_A,4698.0,367.0,772.0,68.0,35.0,5.0
DBD:A_ZCON_13:AD:ZCON_155_resurf_B,11.0,1.0,247.0,17.0,14.0,8.0
DBD:A_ZCON_13:AD:ZCON_15_re_loop_LL_A,1541.0,45.0,237.0,25.0,4.0,3.0
DBD:A_ZCON_13:AD:ZCON_15_re_loop_LL_B,4690.0,602.0,330.0,42.0,12.0,8.0
DBD:A_ZCON_13:AD:ZCON_15_re_loop_resurf_A,90.0,4.0,273.0,129.0,7.0,10.0
DBD:A_ZCON_13:AD:ZCON_15_re_loop_resurf_B,608.0,7.0,202.0,27.0,8.0,0.0
DBD:A_ZCON_13:AD:ZCON_2_CC_A,1597.0,40.0,169.0,8.0,4.0,0.0
DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_A,1180.0,121.0,156.0,13.0,9.0,0.0
DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_B,408.0,27.0,204.0,23.0,18.0,0.0
DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_cutT2_A,1270.0,363.0,147.0,9.0,4.0,1.0
DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_cutT2_B,2119.0,161.0,600.0,112.0,33.0,1.0
DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_cutT4_A,472.0,67.0,138.0,10.0,7.0,1.0
DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_cutT4_B,856.0,40.0,254.0,147.0,10.0,0.0
DBD:A_ZCON_13:AD:ZCON_2_CC_resurf_cutT6_B,712.0,0.0,211.0,2.0,4.0,0.0
DBD:A_ZCON_13:AD:ZCON_37_LL_A,1432.0,182.0,234.0,20.0,14.0,2.0
DBD:A_ZCON_13:AD:ZCON_37_LL_B,777.0,104.0,229.0,7.0,15.0,5.0
DBD:A_ZCON_13:AD:ZCON_37_resurf_A,1027.0,110.0,166.0,20.0,1.0,1.0
DBD:A_ZCON_13:AD:ZCON_37_resurf_B,762.0,291.0,142.0,47.0,2.0,0.0
DBD:A_ZCON_13:AD:ZCON_VR_2_A,159.0,3.0,83.0,10.0,9.0,12.0
DBD:A_ZCON_13:AD:ZCON_VR_2_B,1394.0,111.0,652.0,59.0,6.0,4.0
DBD:A_ZCON_13:AD:ZCON_VR_2_cutT2_A,1753.0,356.0,238.0,29.0,8.0,4.0
DBD:A_ZCON_13:AD:ZCON_VR_2_cutT2_B,1019.0,208.0,301.0,123.0,8.0,4.0
DBD:A_ZCON_13:AD:ZCON_VR_2_cutT4_A,6.0,0.0,345.0,13.0,14.0,0.0
DBD:A_ZCON_13:AD:ZCON_VR_2_cutT4_B,5.0,8.0,327.0,14.0,14.0,0.0
DBD:A_ZCON_13:AD:ZCON_VR_2_cutT6_A,369.0,0.0,90.0,1.0,8.0,0.0
DBD:A_ZCON_13:AD:ZCON_VR_2_cutT6_B,791.0,25.0,257.0,89.0,19.0,1.0
DBD:A_ZCON_13:AD:ZCON_VR_2_resurf_A,2713.0,475.0,195.0,36.0,0.0,1.0
DBD:A_ZCON_13:AD:ZCON_VR_2_resurf_B,1180.0,109.0,106.0,9.0,9.0,9.0
DBD:A_ZCON_13:AD:mALb8_A,48.0,1.0,491.0,82.0,9.0,8.0
