,trp1_l43,his1_l43,trp1_l44,his1_l44,trp1_l49,his1_l49
DBD:DHDr2_03_A:AD:B_ZCON_37,606.0,18.0,162.0,18.0,16.0,7.0
DBD:DHDr2_03_A:AD:B_ZCON_6,1473.0,132.0,142.0,24.0,28.0,10.0
DBD:DHDr2_03_A:AD:DHDr2_00_A,1331.0,53.0,382.0,50.0,25.0,2.0
DBD:DHDr2_03_A:AD:DHDr2_00_B,2177.0,624.0,37.0,9.0,16.0,19.0
DBD:DHDr2_03_A:AD:DHDr2_01_A,5.0,0.0,82.0,8.0,4.0,1.0
DBD:DHDr2_03_A:AD:DHDr2_01_B,430.0,50.0,143.0,2294.0,4.0,2.0
DBD:DHDr2_03_A:AD:DHDr2_02_A,627.0,115.0,107.0,148.0,4.0,6.0
DBD:DHDr2_03_A:AD:DHDr2_02_B,499.0,2259.0,109.0,3361.0,28.0,7.0
DBD:DHDr2_03_A:AD:DHDr2_03_A,1404.0,178.0,62.0,11.0,12.0,7.0
DBD:DHDr2_03_A:AD:DHDr2_03_B,699.0,11820.0,296.0,22461.0,44.0,163.0
DBD:DHDr2_03_A:AD:DHDr2_04_A,1902.0,175.0,283.0,170.0,19.0,6.0
DBD:DHDr2_03_A:AD:DHDr2_04_B,3997.0,30.0,291.0,532.0,32.0,137.0
DBD:DHDr2_03_A:AD:DHDr2_05_A,2419.0,66.0,186.0,42.0,40.0,9.0
DBD:DHDr2_03_A:AD:DHDr2_05_B,2904.0,195.0,1029.0,136.0,52.0,11.0
DBD:DHDr2_03_A:AD:DHDr2_06_A,1165.0,41.0,134.0,20.0,19.0,16.0
DBD:DHDr2_03_A:AD:DHDr2_06_B,167.0,3.0,228.0,42.0,27.0,9.0
DBD:DHDr2_03_A:AD:DHDr2_07_A,1230.0,63.0,375.0,17.0,33.0,18.0
DBD:DHDr2_03_A:AD:DHDr2_07_B,798.0,45.0,229.0,43.0,24.0,5.0
DBD:DHDr2_03_A:AD:DHDr2_08_A,562.0,15.0,305.0,55.0,19.0,28.0
DBD:DHDr2_03_A:AD:DHDr2_08_B,3915.0,56955.0,180.0,2948.0,23.0,10.0
DBD:DHDr2_03_A:AD:DHDr2_09_A,124.0,20.0,214.0,23.0,15.0,24.0
DBD:DHDr2_03_A:AD:DHDr2_09_B,1625.0,15.0,125.0,11.0,10.0,18.0
DBD:DHDr2_03_A:AD:DHDr2_10_A,3179.0,59.0,213.0,36.0,15.0,21.0
DBD:DHDr2_03_A:AD:DHDr2_10_B,703.0,2.0,451.0,30.0,15.0,2.0
DBD:DHDr2_03_A:AD:DHDr2_11_A,1319.0,13128.0,247.0,1112.0,8.0,3.0
DBD:DHDr2_03_A:AD:DHDr2_11_B,1804.0,115.0,641.0,115.0,49.0,22.0
DBD:DHDr2_03_A:AD:DHDr2_12_A,38.0,38.0,46.0,36.0,3.0,6.0
DBD:DHDr2_03_A:AD:DHDr2_12_B,977.0,246.0,510.0,46.0,33.0,4.0
DBD:DHDr2_03_A:AD:DHDr2_13_A,2064.0,220.0,390.0,797.0,39.0,43.0
DBD:DHDr2_03_A:AD:DHDr2_13_B,1704.0,64.0,407.0,61.0,44.0,2.0
DBD:DHDr2_03_A:AD:DHDr2_14_A,852.0,66.0,87.0,4.0,9.0,2.0
DBD:DHDr2_03_A:AD:DHDr2_14_B,532.0,20.0,259.0,67.0,22.0,4.0
DBD:DHDr2_03_A:AD:DHDr2_15_A,514.0,506.0,157.0,17.0,36.0,3.0
DBD:DHDr2_03_A:AD:DHDr2_15_B,1290.0,149.0,246.0,19.0,11.0,4.0
DBD:DHDr2_03_A:AD:DHDr2_16_A,1889.0,264.0,234.0,38.0,10.0,5.0
DBD:DHDr2_03_A:AD:DHDr2_16_B,472.0,16.0,290.0,230.0,23.0,7.0
DBD:DHDr2_03_A:AD:DHDr2_17_A,1072.0,5.0,7.0,9.0,6.0,23.0
DBD:DHDr2_03_A:AD:DHDr2_17_B,913.0,139.0,180.0,27.0,19.0,11.0
DBD:DHDr2_03_A:AD:DHDr2_18_A,133.0,9.0,316.0,115.0,23.0,5.0
DBD:DHDr2_03_A:AD:DHDr2_18_B,1235.0,11.0,974.0,87.0,40.0,7.0
DBD:DHDr2_03_A:AD:DHDr2_19_A,1681.0,204.0,82.0,35.0,15.0,15.0
DBD:DHDr2_03_A:AD:DHDr2_19_B,2262.0,546.0,387.0,216.0,27.0,95.0
DBD:DHDr2_03_A:AD:DHDr2_20_A,455.0,25.0,306.0,4.0,16.0,3.0
DBD:DHDr2_03_A:AD:DHDr2_20_B,692.0,31.0,439.0,53.0,23.0,3.0
DBD:DHDr2_03_A:AD:ZCON_150_LL_A,2244.0,420.0,488.0,61.0,51.0,4.0
DBD:DHDr2_03_A:AD:ZCON_150_LL_B,4419.0,417.0,513.0,154.0,28.0,8.0
DBD:DHDr2_03_A:AD:ZCON_150_resurf_A,881.0,13.0,258.0,1641.0,15.0,7.0
DBD:DHDr2_03_A:AD:ZCON_150_resurf_B,2900.0,141.0,203.0,20.0,23.0,12.0
DBD:DHDr2_03_A:AD:ZCON_152_A,1934.0,96.0,177.0,32.0,13.0,1.0
DBD:DHDr2_03_A:AD:ZCON_152_B,1961.0,843.0,336.0,2018.0,8.0,6.0
DBD:DHDr2_03_A:AD:ZCON_152_T2_A,1610.0,64.0,150.0,31.0,56.0,1.0
DBD:DHDr2_03_A:AD:ZCON_152_T2_B,774.0,47.0,262.0,109.0,20.0,24.0
DBD:DHDr2_03_A:AD:ZCON_152_T4_A,918.0,237.0,119.0,14.0,53.0,1.0
DBD:DHDr2_03_A:AD:ZCON_152_T4_B,611.0,2.0,139.0,18.0,28.0,1.0
DBD:DHDr2_03_A:AD:ZCON_154_LL_A,2579.0,131.0,810.0,189.0,59.0,49.0
DBD:DHDr2_03_A:AD:ZCON_154_LL_B,3046.0,548.0,401.0,127.0,33.0,74.0
DBD:DHDr2_03_A:AD:ZCON_154_resurf_A,1353.0,2471.0,124.0,71.0,6.0,2.0
DBD:DHDr2_03_A:AD:ZCON_154_resurf_B,1766.0,270.0,139.0,152.0,21.0,11.0
DBD:DHDr2_03_A:AD:ZCON_155_LL_A,3140.0,452.0,1020.0,125.0,106.0,32.0
DBD:DHDr2_03_A:AD:ZCON_155_LL_B,1901.0,282.0,546.0,46.0,27.0,33.0
DBD:DHDr2_03_A:AD:ZCON_155_cutT2_A,1264.0,606.0,193.0,38.0,46.0,0.0
DBD:DHDr2_03_A:AD:ZCON_155_cutT2_B,168.0,14.0,141.0,33.0,37.0,33.0
DBD:DHDr2_03_A:AD:ZCON_155_cutT4_A,1223.0,0.0,95.0,3.0,28.0,2.0
DBD:DHDr2_03_A:AD:ZCON_155_cutT4_B,6.0,0.0,402.0,53.0,96.0,3.0
DBD:DHDr2_03_A:AD:ZCON_155_cutT5_A,973.0,105.0,310.0,18.0,43.0,0.0
DBD:DHDr2_03_A:AD:ZCON_155_cutT5_B,1954.0,132.0,1329.0,175.0,136.0,10.0
DBD:DHDr2_03_A:AD:ZCON_155_resurf_A,1790.0,126.0,960.0,93.0,116.0,31.0
DBD:DHDr2_03_A:AD:ZCON_155_resurf_B,821.0,121.0,152.0,13.0,24.0,26.0
DBD:DHDr2_03_A:AD:ZCON_15_re_loop_LL_A,2008.0,178.0,260.0,119.0,20.0,42.0
DBD:DHDr2_03_A:AD:ZCON_15_re_loop_LL_B,3323.0,689.0,885.0,124.0,74.0,39.0
DBD:DHDr2_03_A:AD:ZCON_15_re_loop_resurf_A,1945.0,100.0,173.0,25.0,11.0,34.0
DBD:DHDr2_03_A:AD:ZCON_15_re_loop_resurf_B,7007.0,243.0,358.0,55.0,23.0,2.0
DBD:DHDr2_03_A:AD:ZCON_2_CC_A,3139.0,266.0,205.0,14.0,21.0,2.0
DBD:DHDr2_03_A:AD:ZCON_2_CC_B,1.0,0.0,1.0,0.0,3.0,5.0
DBD:DHDr2_03_A:AD:ZCON_2_CC_resurf_A,2744.0,152.0,222.0,85.0,25.0,5.0
DBD:DHDr2_03_A:AD:ZCON_2_CC_resurf_B,1922.0,85.0,853.0,49.0,70.0,2.0
DBD:DHDr2_03_A:AD:ZCON_2_CC_resurf_cutT2_A,2411.0,7.0,552.0,40.0,19.0,2.0
DBD:DHDr2_03_A:AD:ZCON_2_CC_resurf_cutT2_B,2124.0,31.0,1018.0,73.0,165.0,17.0
DBD:DHDr2_03_A:AD:ZCON_2_CC_resurf_cutT4_A,6.0,4.0,273.0,14.0,50.0,0.0
DBD:DHDr2_03_A:AD:ZCON_2_CC_resurf_cutT4_B,1116.0,11.0,313.0,48.0,34.0,2.0
DBD:DHDr2_03_A:AD:ZCON_2_CC_resurf_cutT6_A,2.0,0.0,176.0,14.0,30.0,2.0
DBD:DHDr2_03_A:AD:ZCON_2_CC_resurf_cutT6_B,1.0,0.0,247.0,29.0,21.0,0.0
DBD:DHDr2_03_A:AD:ZCON_37_LL_A,1870.0,1419.0,481.0,584.0,27.0,21.0
DBD:DHDr2_03_A:AD:ZCON_37_LL_B,2410.0,357.0,390.0,85.0,47.0,21.0
DBD:DHDr2_03_A:AD:ZCON_37_resurf_A,991.0,152.0,126.0,9.0,8.0,4.0
DBD:DHDr2_03_A:AD:ZCON_37_resurf_B,816.0,74.0,263.0,128.0,14.0,3.0
DBD:DHDr2_03_A:AD:ZCON_VR_2_A,2980.0,1659.0,258.0,1364.0,17.0,328.0
DBD:DHDr2_03_A:AD:ZCON_VR_2_B,3599.0,461.0,423.0,54.0,36.0,35.0
DBD:DHDr2_03_A:AD:ZCON_VR_2_cutT2_A,1005.0,88.0,502.0,71.0,31.0,13.0
DBD:DHDr2_03_A:AD:ZCON_VR_2_cutT2_B,2444.0,108.0,521.0,55.0,74.0,4.0
DBD:DHDr2_03_A:AD:ZCON_VR_2_cutT4_A,551.0,42.0,311.0,21.0,54.0,0.0
DBD:DHDr2_03_A:AD:ZCON_VR_2_cutT4_B,184.0,52.0,590.0,99.0,37.0,1.0
DBD:DHDr2_03_A:AD:ZCON_VR_2_cutT6_A,2.0,0.0,138.0,19.0,56.0,6.0
DBD:DHDr2_03_A:AD:ZCON_VR_2_cutT6_B,1830.0,16.0,686.0,22.0,38.0,0.0
DBD:DHDr2_03_A:AD:ZCON_VR_2_resurf_A,267.0,646.0,112.0,3791.0,17.0,7.0
DBD:DHDr2_03_A:AD:ZCON_VR_2_resurf_B,2452.0,32690.0,258.0,4675.0,29.0,142.0
DBD:DHDr2_03_A:AD:mALb8_A,219.0,14.0,549.0,19.0,41.0,16.0
DBD:DHDr2_03_A:AD:mALb8_B,3389.0,78.0,261.0,15.0,19.0,3.0
DBD:DHDr2_03_A:AD:mALb8_cutT1_A,8.0,11.0,100.0,20.0,18.0,5.0
DBD:DHDr2_03_A:AD:mALb8_cutT1_B,10.0,7.0,227.0,31.0,39.0,8.0
DBD:DHDr2_03_A:AD:mALb8_cutT2_A,186.0,1.0,95.0,10.0,44.0,4.0
DBD:DHDr2_03_A:AD:mALb8_cutT2_B,768.0,7.0,316.0,30.0,39.0,3.0
DBD:DHDr2_03_A:AD:mALb8_cutT3_A,445.0,51.0,45.0,37.0,53.0,1.0
DBD:DHDr2_03_A:AD:mALb8_cutT3_B,30.0,0.0,273.0,38.0,20.0,1.0
DBD:DHDr2_03_A:AD:mALb8_cutT4_A,479.0,0.0,411.0,72.0,36.0,0.0
DBD:DHDr2_03_A:AD:mALb8_cutT4_B,516.0,7.0,207.0,38.0,19.0,0.0
DBD:DHDr2_03_B:AD:A_ZCON_13,273.0,16738.0,110.0,1446.0,21.0,10.0
DBD:DHDr2_03_B:AD:A_ZCON_150,4292.0,629.0,449.0,100.0,32.0,6.0
DBD:DHDr2_03_B:AD:A_ZCON_154,1348.0,806.0,427.0,107.0,73.0,66.0
DBD:DHDr2_03_B:AD:A_ZCON_155,3646.0,705.0,572.0,128.0,107.0,9.0
DBD:DHDr2_03_B:AD:A_ZCON_15_re_loop,2905.0,198.0,402.0,41.0,27.0,24.0
DBD:DHDr2_03_B:AD:A_ZCON_162,1949.0,194.0,414.0,40.0,28.0,13.0
DBD:DHDr2_03_B:AD:A_ZCON_37_3,1662.0,450.0,147.0,13.0,21.0,13.0
DBD:DHDr2_03_B:AD:A_ZCON_37,718.0,31.0,367.0,33.0,34.0,9.0
DBD:DHDr2_03_B:AD:A_ZCON_6,105.0,84.0,416.0,66.0,54.0,22.0
DBD:DHDr2_03_B:AD:B_ZCON_13,227.0,62.0,123.0,67.0,26.0,11.0
DBD:DHDr2_03_B:AD:B_ZCON_150,800.0,7824.0,199.0,1348.0,25.0,69.0
DBD:DHDr2_03_B:AD:B_ZCON_154,2910.0,748.0,471.0,190.0,69.0,35.0
DBD:DHDr2_03_B:AD:B_ZCON_155,953.0,32.0,155.0,38.0,15.0,46.0
DBD:DHDr2_03_B:AD:B_ZCON_15_re_loop,2578.0,205.0,435.0,64.0,56.0,83.0
DBD:DHDr2_03_B:AD:B_ZCON_162,1504.0,37.0,308.0,25.0,39.0,49.0
DBD:DHDr2_03_B:AD:B_ZCON_37_3,1560.0,155.0,355.0,42.0,36.0,12.0
DBD:DHDr2_03_B:AD:B_ZCON_37,890.0,95.0,226.0,72.0,33.0,18.0
DBD:DHDr2_03_B:AD:B_ZCON_6,2037.0,146.0,296.0,88.0,29.0,13.0
DBD:DHDr2_03_B:AD:DHDr2_00_A,1138.0,58.0,362.0,90.0,31.0,3.0
DBD:DHDr2_03_B:AD:DHDr2_00_B,1799.0,59.0,272.0,22.0,13.0,40.0
DBD:DHDr2_03_B:AD:DHDr2_01_A,189.0,54.0,50.0,6.0,5.0,2.0
DBD:DHDr2_03_B:AD:DHDr2_01_B,3436.0,266.0,93.0,1.0,16.0,4.0
DBD:DHDr2_03_B:AD:DHDr2_02_A,148.0,83.0,88.0,35.0,66.0,18.0
DBD:DHDr2_03_B:AD:DHDr2_02_B,1286.0,43.0,298.0,32.0,36.0,13.0
DBD:DHDr2_03_B:AD:DHDr2_03_A,1694.0,31161.0,142.0,1318.0,6.0,14.0
DBD:DHDr2_03_B:AD:DHDr2_03_B,519.0,126.0,25.0,53.0,41.0,221.0
DBD:DHDr2_03_B:AD:DHDr2_04_A,1541.0,29.0,273.0,47.0,31.0,10.0
DBD:DHDr2_03_B:AD:DHDr2_04_B,5574.0,1008.0,168.0,30.0,82.0,196.0
DBD:DHDr2_03_B:AD:DHDr2_05_A,1133.0,47.0,226.0,37.0,15.0,18.0
DBD:DHDr2_03_B:AD:DHDr2_05_B,4907.0,309.0,582.0,47.0,86.0,19.0
DBD:DHDr2_03_B:AD:DHDr2_06_A,627.0,7.0,452.0,53.0,17.0,21.0
DBD:DHDr2_03_B:AD:DHDr2_06_B,468.0,28.0,167.0,13188.0,10.0,7.0
DBD:DHDr2_03_B:AD:DHDr2_07_A,2928.0,6081.0,504.0,789.0,25.0,270.0
DBD:DHDr2_03_B:AD:DHDr2_07_B,2547.0,172.0,197.0,27.0,17.0,12.0
DBD:DHDr2_03_B:AD:DHDr2_08_A,569.0,3974.0,197.0,14871.0,9.0,36.0
DBD:DHDr2_03_B:AD:DHDr2_08_B,2085.0,266.0,472.0,131.0,28.0,18.0
DBD:DHDr2_03_B:AD:DHDr2_09_A,1858.0,204.0,191.0,8.0,21.0,41.0
DBD:DHDr2_03_B:AD:DHDr2_09_B,13.0,32.0,246.0,1092.0,16.0,24.0
DBD:DHDr2_03_B:AD:DHDr2_10_A,1923.0,116.0,349.0,75.0,26.0,29.0
DBD:DHDr2_03_B:AD:DHDr2_10_B,2107.0,246.0,281.0,8.0,42.0,3.0
DBD:DHDr2_03_B:AD:DHDr2_11_A,513.0,70.0,431.0,1284.0,10.0,9.0
DBD:DHDr2_03_B:AD:DHDr2_11_B,5299.0,1133.0,453.0,56.0,80.0,348.0
DBD:DHDr2_03_B:AD:DHDr2_12_A,204.0,124.0,167.0,39.0,9.0,10.0
DBD:DHDr2_03_B:AD:DHDr2_12_B,3805.0,222.0,363.0,96.0,68.0,5.0
DBD:DHDr2_03_B:AD:DHDr2_13_A,3373.0,2228.0,211.0,96.0,32.0,53.0
DBD:DHDr2_03_B:AD:DHDr2_13_B,1732.0,112.0,356.0,37.0,47.0,7.0
DBD:DHDr2_03_B:AD:DHDr2_14_A,1623.0,175.0,141.0,13.0,22.0,2.0
DBD:DHDr2_03_B:AD:DHDr2_14_B,1113.0,9.0,118.0,38.0,22.0,18.0
DBD:DHDr2_03_B:AD:DHDr2_15_A,2876.0,42.0,245.0,32.0,32.0,4.0
DBD:DHDr2_03_B:AD:DHDr2_15_B,1854.0,8607.0,134.0,741.0,7.0,13.0
DBD:DHDr2_03_B:AD:DHDr2_16_A,4629.0,612.0,363.0,46.0,12.0,12.0
DBD:DHDr2_03_B:AD:DHDr2_16_B,1939.0,354.0,149.0,39.0,39.0,8.0
DBD:DHDr2_03_B:AD:DHDr2_17_A,387.0,7.0,19.0,1.0,9.0,33.0
DBD:DHDr2_03_B:AD:DHDr2_17_B,2870.0,195.0,362.0,22.0,38.0,18.0
DBD:DHDr2_03_B:AD:DHDr2_18_A,1001.0,81.0,372.0,133.0,38.0,9.0
DBD:DHDr2_03_B:AD:DHDr2_18_B,827.0,20.0,323.0,2900.0,85.0,9.0
DBD:DHDr2_03_B:AD:DHDr2_19_A,1524.0,307.0,192.0,13.0,25.0,14.0
DBD:DHDr2_03_B:AD:DHDr2_19_B,1635.0,10428.0,160.0,1042.0,32.0,802.0
DBD:DHDr2_03_B:AD:DHDr2_20_A,10.0,2.0,297.0,119.0,31.0,5.0
DBD:DHDr2_03_B:AD:DHDr2_20_B,223.0,11.0,187.0,39.0,39.0,12.0
DBD:DHDr2_03_B:AD:ZCON_150_LL_A,3414.0,594.0,706.0,95.0,48.0,11.0
DBD:DHDr2_03_B:AD:ZCON_150_LL_B,2725.0,1609.0,632.0,325.0,48.0,34.0
DBD:DHDr2_03_B:AD:ZCON_150_resurf_A,1193.0,103.0,184.0,33.0,22.0,2.0
DBD:DHDr2_03_B:AD:ZCON_150_resurf_B,1934.0,383.0,153.0,49.0,30.0,11.0
DBD:DHDr2_03_B:AD:ZCON_152_A,2539.0,15052.0,215.0,962.0,5.0,0.0
DBD:DHDr2_03_B:AD:ZCON_152_B,1912.0,168.0,338.0,64.0,19.0,18.0
DBD:DHDr2_03_B:AD:ZCON_152_T2_A,1462.0,26412.0,191.0,6937.0,55.0,8.0
DBD:DHDr2_03_B:AD:ZCON_152_T2_B,304.0,85.0,288.0,93.0,20.0,41.0
DBD:DHDr2_03_B:AD:ZCON_152_T4_A,244.0,0.0,522.0,46.0,42.0,4.0
DBD:DHDr2_03_B:AD:ZCON_152_T4_B,1429.0,319.0,269.0,29.0,27.0,0.0
DBD:DHDr2_03_B:AD:ZCON_154_LL_A,3766.0,391.0,478.0,58.0,163.0,98.0
DBD:DHDr2_03_B:AD:ZCON_154_LL_B,3881.0,454.0,806.0,178.0,81.0,92.0
DBD:DHDr2_03_B:AD:ZCON_154_resurf_A,1108.0,45.0,249.0,41.0,21.0,2.0
DBD:DHDr2_03_B:AD:ZCON_154_resurf_B,3091.0,1083.0,393.0,103.0,24.0,30.0
DBD:DHDr2_03_B:AD:ZCON_155_LL_A,4778.0,529.0,741.0,144.0,154.0,17.0
DBD:DHDr2_03_B:AD:ZCON_155_LL_B,1196.0,112.0,380.0,93.0,49.0,49.0
DBD:DHDr2_03_B:AD:ZCON_155_cutT2_A,2710.0,127.0,338.0,24.0,56.0,3.0
DBD:DHDr2_03_B:AD:ZCON_155_cutT2_B,667.0,209.0,288.0,85.0,58.0,73.0
DBD:DHDr2_03_B:AD:ZCON_155_cutT4_A,11.0,1.0,280.0,11.0,47.0,1.0
DBD:DHDr2_03_B:AD:ZCON_155_cutT4_B,304.0,55.0,276.0,70.0,108.0,1.0
DBD:DHDr2_03_B:AD:ZCON_155_cutT5_A,2.0,0.0,80.0,46.0,63.0,1.0
DBD:DHDr2_03_B:AD:ZCON_155_cutT5_B,806.0,52.0,1318.0,164.0,386.0,15.0
DBD:DHDr2_03_B:AD:ZCON_155_resurf_A,3064.0,160.0,777.0,84.0,151.0,74.0
DBD:DHDr2_03_B:AD:ZCON_155_resurf_B,1250.0,162.0,352.0,35.0,30.0,42.0
DBD:DHDr2_03_B:AD:ZCON_15_re_loop_LL_A,2997.0,305.0,496.0,58.0,44.0,66.0
DBD:DHDr2_03_B:AD:ZCON_15_re_loop_LL_B,7689.0,534.0,653.0,53.0,118.0,85.0
DBD:DHDr2_03_B:AD:ZCON_15_re_loop_resurf_A,5088.0,2061.0,468.0,53.0,15.0,50.0
DBD:DHDr2_03_B:AD:ZCON_15_re_loop_resurf_B,2624.0,27367.0,464.0,116.0,43.0,8.0
DBD:DHDr2_03_B:AD:ZCON_2_CC_A,1862.0,151.0,172.0,16.0,42.0,5.0
DBD:DHDr2_03_B:AD:ZCON_2_CC_B,1.0,0.0,125.0,0.0,4.0,10.0
DBD:DHDr2_03_B:AD:ZCON_2_CC_resurf_A,2596.0,35.0,417.0,228.0,17.0,4.0
DBD:DHDr2_03_B:AD:ZCON_2_CC_resurf_B,2966.0,299.0,405.0,27.0,146.0,169.0
DBD:DHDr2_03_B:AD:ZCON_2_CC_resurf_cutT2_A,1938.0,63.0,235.0,23.0,80.0,2.0
DBD:DHDr2_03_B:AD:ZCON_2_CC_resurf_cutT2_B,7938.0,181.0,723.0,111.0,146.0,34.0
DBD:DHDr2_03_B:AD:ZCON_2_CC_resurf_cutT4_A,197.0,12.0,213.0,7.0,33.0,3.0
DBD:DHDr2_03_B:AD:ZCON_2_CC_resurf_cutT4_B,1294.0,56.0,423.0,37.0,82.0,9.0
DBD:DHDr2_03_B:AD:ZCON_2_CC_resurf_cutT6_A,375.0,0.0,267.0,32.0,91.0,6.0
DBD:DHDr2_03_B:AD:ZCON_2_CC_resurf_cutT6_B,491.0,4.0,206.0,27.0,28.0,3.0
DBD:DHDr2_03_B:AD:ZCON_37_LL_A,3818.0,260.0,389.0,72.0,58.0,30.0
DBD:DHDr2_03_B:AD:ZCON_37_LL_B,4881.0,169.0,813.0,229.0,70.0,25.0
DBD:DHDr2_03_B:AD:ZCON_37_resurf_A,3416.0,178.0,417.0,92.0,26.0,11.0
DBD:DHDr2_03_B:AD:ZCON_37_resurf_B,1570.0,179.0,190.0,57.0,9.0,6.0
DBD:DHDr2_03_B:AD:ZCON_VR_2_A,254.0,33.0,34.0,3.0,26.0,114.0
DBD:DHDr2_03_B:AD:ZCON_VR_2_B,2766.0,16005.0,301.0,45.0,53.0,52.0
DBD:DHDr2_03_B:AD:ZCON_VR_2_cutT2_A,3710.0,313.0,403.0,19.0,47.0,22.0
DBD:DHDr2_03_B:AD:ZCON_VR_2_cutT2_B,1377.0,625.0,290.0,66.0,83.0,13.0
DBD:DHDr2_03_B:AD:ZCON_VR_2_cutT4_A,947.0,17.0,446.0,76.0,90.0,11.0
DBD:DHDr2_03_B:AD:ZCON_VR_2_cutT4_B,541.0,110.0,607.0,52.0,88.0,7.0
DBD:DHDr2_03_B:AD:ZCON_VR_2_cutT6_A,915.0,12.0,443.0,83.0,60.0,3.0
DBD:DHDr2_03_B:AD:ZCON_VR_2_cutT6_B,302.0,1.0,453.0,52.0,61.0,4.0
DBD:DHDr2_03_B:AD:ZCON_VR_2_resurf_A,1389.0,317.0,310.0,50.0,6.0,8.0
DBD:DHDr2_03_B:AD:ZCON_VR_2_resurf_B,2822.0,76052.0,166.0,58.0,40.0,164.0
DBD:DHDr2_03_B:AD:mALb8_A,228.0,31.0,452.0,31.0,76.0,67.0
DBD:DHDr2_03_B:AD:mALb8_B,2243.0,124.0,179.0,46.0,40.0,6.0
DBD:DHDr2_03_B:AD:mALb8_cutT1_A,925.0,215.0,267.0,46.0,41.0,1.0
DBD:DHDr2_03_B:AD:mALb8_cutT1_B,2426.0,66.0,155.0,24.0,60.0,25.0
DBD:DHDr2_03_B:AD:mALb8_cutT2_A,323.0,15.0,389.0,158.0,44.0,2.0
DBD:DHDr2_03_B:AD:mALb8_cutT2_B,1602.0,52.0,169.0,5.0,85.0,13.0
DBD:DHDr2_03_B:AD:mALb8_cutT3_A,141.0,22.0,186.0,42.0,65.0,3.0
DBD:DHDr2_03_B:AD:mALb8_cutT3_B,23.0,1.0,246.0,28.0,39.0,2.0
DBD:DHDr2_03_B:AD:mALb8_cutT4_A,4.0,1.0,112.0,27.0,53.0,5.0
DBD:DHDr2_03_B:AD:mALb8_cutT4_B,4.0,0.0,255.0,66.0,29.0,1.0
DBD:DHDr2_04_A:AD:A_ZCON_13,311.0,28.0,92.0,16.0,8.0,1.0
DBD:DHDr2_04_A:AD:A_ZCON_150,1331.0,57.0,201.0,16.0,23.0,0.0
DBD:DHDr2_04_A:AD:A_ZCON_154,1590.0,174.0,299.0,52.0,70.0,3.0
DBD:DHDr2_04_A:AD:A_ZCON_155,1078.0,104.0,217.0,7.0,74.0,0.0
DBD:DHDr2_04_A:AD:A_ZCON_15_re_loop,1120.0,179.0,66.0,1.0,29.0,2.0
DBD:DHDr2_04_A:AD:A_ZCON_162,923.0,48.0,89.0,30.0,20.0,1.0
DBD:DHDr2_04_A:AD:A_ZCON_37_3,1685.0,58.0,103.0,0.0,30.0,4.0
DBD:DHDr2_04_A:AD:A_ZCON_37,213.0,20.0,87.0,11.0,28.0,13.0
DBD:DHDr2_04_A:AD:A_ZCON_6,1495.0,83.0,47.0,16.0,24.0,2.0
DBD:DHDr2_04_A:AD:B_ZCON_13,1221.0,4320.0,66.0,499.0,51.0,40.0
DBD:DHDr2_04_A:AD:B_ZCON_150,2484.0,169.0,100.0,68.0,20.0,3.0
DBD:DHDr2_04_A:AD:B_ZCON_154,1319.0,95.0,170.0,48.0,44.0,5.0
DBD:DHDr2_04_A:AD:B_ZCON_155,441.0,37.0,46.0,12.0,7.0,1.0
DBD:DHDr2_04_A:AD:B_ZCON_15_re_loop,1610.0,94.0,162.0,29.0,46.0,14.0
DBD:DHDr2_04_A:AD:B_ZCON_162,1865.0,161.0,91.0,33.0,30.0,3.0
DBD:DHDr2_04_A:AD:B_ZCON_37_3,703.0,66.0,144.0,20.0,14.0,2.0
DBD:DHDr2_04_A:AD:B_ZCON_37,380.0,138.0,250.0,46.0,33.0,2.0
DBD:DHDr2_04_A:AD:B_ZCON_6,1406.0,156.0,46.0,11.0,17.0,0.0
DBD:DHDr2_04_A:AD:DHDr2_00_A,1537.0,88.0,245.0,16.0,27.0,0.0
DBD:DHDr2_04_A:AD:DHDr2_00_B,1639.0,47.0,95.0,12.0,15.0,3.0
DBD:DHDr2_04_A:AD:DHDr2_01_A,114.0,14.0,20.0,1.0,17.0,0.0
DBD:DHDr2_04_A:AD:DHDr2_01_B,1894.0,28.0,49.0,2.0,41.0,0.0
DBD:DHDr2_04_A:AD:DHDr2_02_A,769.0,10.0,21.0,8.0,11.0,1.0
DBD:DHDr2_04_A:AD:DHDr2_02_B,1952.0,83.0,45.0,6.0,32.0,1.0
DBD:DHDr2_04_A:AD:DHDr2_03_A,360.0,8.0,111.0,14.0,10.0,3.0
DBD:DHDr2_04_A:AD:DHDr2_03_B,1451.0,64.0,149.0,45.0,51.0,40.0
DBD:DHDr2_04_A:AD:DHDr2_04_A,532.0,1018.0,86.0,23.0,14.0,3.0
DBD:DHDr2_04_A:AD:DHDr2_04_B,2710.0,52.0,144.0,11.0,61.0,26.0
DBD:DHDr2_04_A:AD:DHDr2_05_A,1334.0,79.0,183.0,151.0,32.0,2.0
DBD:DHDr2_04_A:AD:DHDr2_05_B,998.0,15.0,324.0,32.0,66.0,5.0
DBD:DHDr2_04_A:AD:DHDr2_06_A,193.0,21.0,158.0,25.0,21.0,6.0
DBD:DHDr2_04_A:AD:DHDr2_06_B,365.0,24.0,149.0,26.0,18.0,1.0
