"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P5:AD:Jerala_P8",2649,196,2363,153,202,2,243.20983819183,-0.26376806683644,0.262326372258966,0.06671879967036,NA
"DBD:Jerala_P5:AD:Jerala_P9",2917,257,2292,143,166,8,272.222043747092,-0.135655873977933,0.223852576437446,0.342320349924052,NA
"DBD:Jerala_P5:AD:Jerala_P10",2038,135,5026,270,77,2,261.386238441745,-0.119603796774141,0.27329035250929,0.336994561517469,NA
"DBD:Jerala_P5:AD:Jerala_P11",2945,871,1664,89,204,36,505.203097473189,0.225965456007772,0.388027125409271,0.0933962524205389,0.140094378630808
"DBD:Jerala_P5:AD:Jerala_P12",3141,283,3938,221,220,6,340.790149697917,-0.197940238572867,0.236153322266074,0.164496300531551,NA
"DBD:Jerala_P6:AD:Jerala_P7",3166,244,1850,115,160,5,241.877317622215,-0.186100135842942,0.240124827784203,0.186861354375794,NA
"DBD:Jerala_P6:AD:Jerala_P8",2849,193,1720,117,105,14,251.167889515677,-0.0144845012629701,0.236537531088515,0.915986389686036,NA
"DBD:Jerala_P6:AD:Jerala_P9",1546,2437,1299,95,163,357,2316.27860159122,2.96456917704521,2.17863689460584,0.00254344601562568,0.00763033804687703
"DBD:Jerala_P6:AD:Jerala_P10",2524,159,741,44,164,374,1994.2654503312,1.6789112166848,2.09119392362665,NA,NA
"DBD:Jerala_P6:AD:Jerala_P11",2376,196,2009,111,122,14,253.242214867322,-0.0349437843292938,0.233883062778544,0.800866636517504,NA
"DBD:Jerala_P6:AD:Jerala_P12",1919,140,1407,91,219,11,236.27519406543,-0.165952718555271,0.260986367689328,0.215681930233585,NA
"DBD:Jerala_P7:AD:Jerala_P8",2019,3266,1392,746,92,2263,11994.5801131672,6.68959679327488,1.33006159617018,2.61532710399839e-07,9.4151775743942e-07
"DBD:Jerala_P7:AD:Jerala_P9",2028,141,983,56,160,11,201.5384241838,-0.113103719559615,0.261349498497456,0.379051590861,NA
"DBD:Jerala_P7:AD:Jerala_P10",1334,124,1790,110,58,3,142.087647102286,-0.0586198592281885,0.243692561407947,0.662727927976097,NA
"DBD:Jerala_P7:AD:Jerala_P11",2102,1348,1954,136,92,5,401.278551723704,0.439621094128357,0.569122213375737,0.018249369152869,NA
"DBD:Jerala_P7:AD:Jerala_P12",2541,201,1444,75,157,6,209.28303296983,-0.194219478101719,0.252595286996874,0.16164858819268,NA
"DBD:Jerala_P8:AD:Jerala_P9",3133,260,3173,209,50,3,246.842790179864,-0.0356000862217398,0.253531645954335,0.781201111789256,NA
"DBD:Jerala_P8:AD:Jerala_P10",1600,1096,3672,228,179,5,434.097146064897,0.164100743326394,0.306566563602988,0.188653963327044,NA
"DBD:Jerala_P8:AD:Jerala_P11",2190,176,3954,220,189,12,324.478997553875,-0.124221800467784,0.241054210068276,0.367098980660497,NA
"DBD:Jerala_P8:AD:Jerala_P12",3965,370,3632,164,292,23,458.174022260036,-0.0515132890439868,0.255710820566418,0.685797297081554,0.729373057436119
"DBD:Jerala_P9:AD:Jerala_P10",1339,69496,2408,42353,112,2876,37016.82381829,8.37052815720288,0.449006307336283,6.23761441119257e-78,5.61385297007332e-77
"DBD:Jerala_P9:AD:Jerala_P11",2204,137,2956,130,153,7,239.143345094124,-0.293088465755355,0.255340025078604,0.0458467376028558,NA
"DBD:Jerala_P9:AD:Jerala_P12",3540,219,2564,229,259,13,359.103873956867,-0.128719387690526,0.238333782963526,0.353922583416981,NA
"DBD:Jerala_P10:AD:Jerala_P11",2959,2000,4496,310,213,5,664.661444564884,0.152655973784461,0.383326510183546,0.200984190259981,0.267978920346641
"DBD:Jerala_P10:AD:Jerala_P12",7001,604,3496,227,154,4,425.966464232584,-0.0740058508540527,0.264636693110714,0.548673284596574,NA
"DBD:Jerala_P11:AD:Jerala_P12",1073,8068,1351,5200,183,5374,29277.2906063413,7.92920198106575,0.930324646625719,NA,NA
"DBD:Jerala_P1:AD:Jerala_P1",14,8,5,11,4,0,5.83080493616318,0.448358299307791,0.892166570657013,0.0454721245250168,NA
"DBD:Jerala_P2:AD:Jerala_P2",48,9,23,5,2,1,9.71705911136242,0.200615132494854,0.443486809695701,0.127021237332541,NA
"DBD:Jerala_P3:AD:Jerala_P3",1540,135,1676,2928,51,2,840.595572185923,1.6705973972179,1.73750313283388,NA,NA
"DBD:Jerala_P4:AD:Jerala_P4",9,3,5,4,2,0,2.4504814473085,0.254849862446006,0.666926472881289,0.115190644363208,NA
"DBD:Jerala_P5:AD:Jerala_P5",1320,174,1909,133,51,1,146.492428571182,0.00670865126016007,0.252087752452358,0.958418976351843,NA
"DBD:Jerala_P6:AD:Jerala_P6",23,6,6,2,1,1,7.33299755085177,0.328445592117736,0.714507838150551,0.0683141093378443,NA
"DBD:Jerala_P7:AD:Jerala_P7",1564,123,1508,79,68,1,126.196646627317,-0.1638481891213,0.254030957708093,0.227714534264433,NA
"DBD:Jerala_P8:AD:Jerala_P8",3,0,6,2,1,0,1.00450692360267,0.154720330210137,0.519933426556321,0.23113019516521,NA
"DBD:Jerala_P12:AD:Jerala_P12",3174,301,1433,68,104,1,193.64142146761,-0.111135580290636,0.266115304575019,0.379003851785875,NA
"DBD:Jerala_P2:AD:Jerala_P1",571,31951,1811,51509,76,1339,25108.4009043964,8.36026330956356,0.702578741069251,5.06488686021433e-33,3.64671853935432e-32
"DBD:Jerala_P3:AD:Jerala_P1",1615,117,3445,194,202,11,286.938159850997,-0.143953951623304,0.254406294393782,0.282851551832593,NA
"DBD:Jerala_P4:AD:Jerala_P1",2322,174,3790,209,248,20,379.646367475944,-0.0688308518962107,0.251961536116955,0.597291373735973,NA
"DBD:Jerala_P5:AD:Jerala_P1",3203,221,3504,184,161,9,308.249211893134,-0.205355766840294,0.226567808609394,0.154239190106095,NA
"DBD:Jerala_P6:AD:Jerala_P1",2453,166,2680,152,126,1,210.086597163044,-0.224265079860761,0.261367757043149,0.109255117350627,NA
"DBD:Jerala_P7:AD:Jerala_P1",1688,122,1340,72,47,1,116.120942614165,-0.129111068475357,0.256559578999694,0.328027650846598,NA
"DBD:Jerala_P8:AD:Jerala_P1",3013,238,4876,313,143,4,336.369787967845,-0.111092715794595,0.250206472816671,0.404882141398506,NA
"DBD:Jerala_P9:AD:Jerala_P1",2816,1140,1977,126,170,21,480.248702815406,0.275504510902119,0.398325160368877,0.0566586123477614,0.0971290497390196
"DBD:Jerala_P10:AD:Jerala_P1",4259,326,5098,337,192,15,454.692113068604,-0.0465388541108727,0.248074189671678,0.723911574977401,0.744594762833898
"DBD:Jerala_P11:AD:Jerala_P1",1736,190,2447,188,126,9,245.44068006365,0.0073325377247704,0.229852482906767,0.958207753739164,NA
"DBD:Jerala_P12:AD:Jerala_P1",3432,264,834,50,192,9,244.30860762488,-0.115244795321065,0.270272274652678,0.357035762842383,NA
"DBD:Jerala_P3:AD:Jerala_P2",3416,241,4677,1749,150,15,754.549384459303,0.215663885960848,0.485237598477995,0.115495481062367,0.166313492729809
"DBD:Jerala_P4:AD:Jerala_P2",2577,713,1817,102,145,4,299.92770266565,0.118334008366185,0.26551024831538,0.352862065932796,NA
"DBD:Jerala_P5:AD:Jerala_P2",4294,280,3895,255,321,12,431.599702746717,-0.191139100214286,0.253784850079701,0.166791912171076,NA
"DBD:Jerala_P6:AD:Jerala_P2",2679,1363,2270,149,178,21,531.127915634245,0.291498492689738,0.448581456371166,0.0518156757546526,0.0932682163583748
"DBD:Jerala_P7:AD:Jerala_P2",2073,117,2149,119,158,8,221.313993747098,-0.244748089487389,0.250877941753802,0.0874354460709471,NA
"DBD:Jerala_P8:AD:Jerala_P2",3599,276,3787,315,228,7,375.700726086903,-0.109644321343876,0.239422695145649,0.426180253197023,NA
"DBD:Jerala_P9:AD:Jerala_P2",2271,866,2000,106,193,26,450.371387538903,0.244726115821148,0.352506201678598,0.0759818868882573,0.11892817078162
"DBD:Jerala_P10:AD:Jerala_P2",5282,415,6044,422,166,9,489.870600029313,-0.0499614862339446,0.262197922465679,0.684978422924586,0.729373057436119
"DBD:Jerala_P11:AD:Jerala_P2",3909,383,1686,171,108,7,282.510968559138,0.0412827317372675,0.23905528383513,0.762091215399528,NA
"DBD:Jerala_P12:AD:Jerala_P2",4263,289,3205,200,152,3,304.410280980893,-0.194318583380127,0.242240307286887,0.168176185057411,NA
