,trp1_l61_2mM,his1_l61_2mM,trp1_l62_2mM,his1_l62_2mM,trp1_l67,his1_l67
DBD:Jerala_P7:AD:Jerala_P1,1688,122.0,1340,72,47.0,1.0
DBD:Jerala_P7:AD:Jerala_P2,2073,117.0,2149,119,158.0,8.0
DBD:Jerala_P7:AD:Jerala_P3,1745,135.0,1483,92,162.0,5.0
DBD:Jerala_P7:AD:Jerala_P4,1048,80.0,1347,88,193.0,11.0
DBD:Jerala_P7:AD:Jerala_P5,3027,221.0,2053,107,63.0,14.0
DBD:Jerala_P7:AD:Jerala_P6,2176,157.0,1417,95,140.0,4.0
DBD:Jerala_P7:AD:Jerala_P7,1564,144.0,1508,100,68.0,1.0
DBD:Jerala_P7:AD:Jerala_P8,2019,3266.0,1392,746,92.0,2263.0
DBD:Jerala_P7:AD:Jerala_P9,2028,141.0,983,56,160.0,11.0
DBD:Jerala_P7:AD:Jerala_P10,1334,124.0,1790,110,58.0,3.0
DBD:Jerala_P7:AD:Jerala_P11,2102,1348.0,1954,136,92.0,5.0
DBD:Jerala_P7:AD:Jerala_P12,2541,201.0,1444,75,157.0,6.0
DBD:Jerala_P8:AD:Jerala_P1,3013,238.0,4876,313,143.0,4.0
DBD:Jerala_P8:AD:Jerala_P2,3599,276.0,3787,315,228.0,7.0
DBD:Jerala_P8:AD:Jerala_P3,2486,189.0,1757,89,235.0,159.0
DBD:Jerala_P8:AD:Jerala_P4,2153,171.0,2412,169,130.0,2.0
DBD:Jerala_P8:AD:Jerala_P5,3406,243.0,2825,171,140.0,5.0
DBD:Jerala_P8:AD:Jerala_P6,2744,259.0,4016,254,208.0,14.0
DBD:Jerala_P8:AD:Jerala_P7,2071,29996.0,2410,18154,97.0,3182.0
DBD:Jerala_P8:AD:Jerala_P8,3,0.0,6,2,1.0,0.0
DBD:Jerala_P8:AD:Jerala_P9,3133,260.0,3173,209,50.0,3.0
DBD:Jerala_P8:AD:Jerala_P10,1600,1096.0,3672,228,179.0,5.0
DBD:Jerala_P8:AD:Jerala_P11,2190,176.0,3954,220,189.0,12.0
DBD:Jerala_P8:AD:Jerala_P12,3965,370.0,3632,164,292.0,23.0
DBD:Jerala_P9:AD:Jerala_P1,2816,1140.0,1977,126,170.0,21.0
DBD:Jerala_P9:AD:Jerala_P2,2271,866.0,2000,106,193.0,26.0
DBD:Jerala_P9:AD:Jerala_P3,4845,308.0,3530,163,299.0,19.0
DBD:Jerala_P9:AD:Jerala_P4,1896,102.0,1269,67,125.0,7.0
DBD:Jerala_P9:AD:Jerala_P5,7351,450.0,3753,4194,113.0,11.0
DBD:Jerala_P9:AD:Jerala_P6,3432,196.0,2971,159,131.0,6.0
DBD:Jerala_P9:AD:Jerala_P7,2664,2462.0,4101,178,186.0,8.0
DBD:Jerala_P9:AD:Jerala_P8,4258,906.0,2754,126,176.0,17.0
DBD:Jerala_P9:AD:Jerala_P10,1339,69496.0,2408,42353,112.0,2876.0
DBD:Jerala_P9:AD:Jerala_P11,2204,137.0,2956,130,153.0,7.0
DBD:Jerala_P9:AD:Jerala_P12,3540,219.0,2564,229,259.0,13.0
DBD:Jerala_P10:AD:Jerala_P1,4259,326.0,5098,337,192.0,15.0
DBD:Jerala_P10:AD:Jerala_P2,5282,415.0,6044,422,166.0,9.0
DBD:Jerala_P10:AD:Jerala_P3,6396,1021.0,4536,309,505.0,59.0
DBD:Jerala_P10:AD:Jerala_P4,1905,160.0,3674,219,135.0,5.0
DBD:Jerala_P10:AD:Jerala_P5,5595,7314.0,3297,218,234.0,6.0
DBD:Jerala_P10:AD:Jerala_P6,5601,2544.0,4966,333,256.0,33.0
DBD:Jerala_P10:AD:Jerala_P7,5186,418.0,1732,107,294.0,13.0
DBD:Jerala_P10:AD:Jerala_P8,3338,280.0,11007,741,187.0,6.0
DBD:Jerala_P10:AD:Jerala_P9,1561,59826.0,1733,70229,128.0,4934.0
DBD:Jerala_P10:AD:Jerala_P11,2959,2000.0,4496,310,213.0,5.0
DBD:Jerala_P10:AD:Jerala_P12,7001,604.0,3496,227,154.0,4.0
DBD:Jerala_P11:AD:Jerala_P1,1736,190.0,2447,188,114.0,53.0
DBD:Jerala_P11:AD:Jerala_P2,3909,383.0,1686,171,212.0,139.0
DBD:Jerala_P11:AD:Jerala_P3,2653,291.0,3184,572,129.0,42.0
DBD:Jerala_P11:AD:Jerala_P4,1747,262.0,2329,351,158.0,361.0
DBD:Jerala_P11:AD:Jerala_P5,2224,258.0,3164,6665,269.0,211.0
DBD:Jerala_P11:AD:Jerala_P6,2725,259.0,3874,272,239.0,110.0
DBD:Jerala_P11:AD:Jerala_P7,1566,478.0,3782,382,115.0,71.0
DBD:Jerala_P11:AD:Jerala_P8,2400,273.0,2516,199,159.0,71.0
DBD:Jerala_P11:AD:Jerala_P9,2218,278.0,835,78,61.0,5.0
DBD:Jerala_P11:AD:Jerala_P10,1520,2162.0,2542,389,152.0,61.0
DBD:Jerala_P11:AD:Jerala_P11,75,231.0,198,77,19.0,6.0
DBD:Jerala_P11:AD:Jerala_P12,1073,8068.0,1351,5200,35.0,705.0
DBD:Jerala_P12:AD:Jerala_P1,3432,264.0,834,50,192.0,9.0
DBD:Jerala_P12:AD:Jerala_P2,4263,289.0,3205,200,152.0,3.0
DBD:Jerala_P12:AD:Jerala_P3,3173,284.0,1265,75,137.0,156.0
DBD:Jerala_P12:AD:Jerala_P4,1707,113.0,2022,117,203.0,12.0
DBD:Jerala_P12:AD:Jerala_P5,3629,255.0,4485,274,152.0,8.0
DBD:Jerala_P12:AD:Jerala_P6,3169,220.0,3638,242,278.0,13.0
DBD:Jerala_P12:AD:Jerala_P7,3227,461.0,5175,265,206.0,8.0
DBD:Jerala_P12:AD:Jerala_P8,3097,217.0,2890,194,197.0,6.0
DBD:Jerala_P12:AD:Jerala_P9,2249,144.0,1442,241,60.0,2.0
DBD:Jerala_P12:AD:Jerala_P10,3112,496.0,3535,5395,201.0,8.0
DBD:Jerala_P12:AD:Jerala_P11,1503,35130.0,822,15002,121.0,2719.0
DBD:Jerala_P12:AD:Jerala_P12,3174,353.0,1433,86,104.0,1.0
