"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P4:AD:Jerala_P5",4121,341,4110,229,257,7,397.119342310671,-0.318301206206169,0.291969850272909,0.123179258433931,NA
"DBD:Jerala_P4:AD:Jerala_P6",4917,347,1570,97,296,11,357.256466621283,-0.302435699923427,0.327581462970028,0.143507575883831,NA
"DBD:Jerala_P4:AD:Jerala_P7",3106,236,2778,670,149,7,409.349737595948,0.231689446585231,0.342584017381221,0.250073753100177,NA
"DBD:Jerala_P4:AD:Jerala_P8",2262,193,2830,174,225,6,281.404540494479,-0.351511384062328,0.283921712370396,0.0876967582836191,NA
"DBD:Jerala_P4:AD:Jerala_P9",4152,360,1438,96,128,11,285.458915360035,-0.0518784483926072,0.303089583915576,0.799032904251795,NA
"DBD:Jerala_P4:AD:Jerala_P10",4647,966,4222,2446,244,30,1188.45566278462,0.466920245175451,0.720804963496902,0.0567180676368647,0.0984501068990191
"DBD:Jerala_P4:AD:Jerala_P11",2266,1524,1717,128,130,16,497.103937526648,0.63141699023689,0.627338061213805,0.0156206426834249,0.0449093477148465
"DBD:Jerala_P4:AD:Jerala_P12",3052,268,1136,15557,214,6,4231.77852171722,3.38963895800332,2.2681195041634,NA,NA
"DBD:Jerala_P5:AD:Jerala_P1",3203,221,3504,184,161,9,311.032600217723,-0.314354070234015,0.262820873836276,0.118136158819735,NA
"DBD:Jerala_P5:AD:Jerala_P2",4294,280,3895,255,321,12,435.38390166198,-0.311690519725869,0.30452889680124,0.132582074764853,NA
"DBD:Jerala_P5:AD:Jerala_P3",3212,230,2417,147,143,12,287.986953561575,-0.190778256661578,0.257786254076308,0.338879178038965,NA
"DBD:Jerala_P5:AD:Jerala_P4",2329,191,1255,77,100,7,186.606544455191,-0.144136408239756,0.290018365209643,0.480961854937494,NA
"DBD:Jerala_P5:AD:Jerala_P5",1320,204,1909,169,51,1,164.846023544271,0.102340879374859,0.318922426183956,0.612216483263177,NA
"DBD:Jerala_P5:AD:Jerala_P6",1203,21659,2184,9798,220,5264,29658.7359553039,7.60830939343579,0.728345763860286,7.45202679591194e-26,4.28491540764937e-25
"DBD:Jerala_P5:AD:Jerala_P7",3083,347,6117,342,192,8,432.017675857266,-0.142382820525961,0.320079164633109,0.481635339686195,NA
"DBD:Jerala_P5:AD:Jerala_P8",2649,196,2363,153,202,2,248.48087176683,-0.402394244106614,0.299617229708477,0.0539953473342334,NA
"DBD:Jerala_P5:AD:Jerala_P9",2917,257,2292,143,166,8,274.24251817658,-0.215944526249682,0.259242629737318,0.280092327406951,NA
"DBD:Jerala_P5:AD:Jerala_P10",2038,135,5026,270,77,2,268.619135887817,-0.11991223119632,0.411925530453244,0.489308172035463,NA
"DBD:Jerala_P5:AD:Jerala_P11",2945,871,1664,89,204,36,494.04988064003,0.331282489913011,0.413922838920045,0.105505094528248,0.156555946719336
"DBD:Jerala_P5:AD:Jerala_P12",3141,283,3938,221,220,6,346.48108358296,-0.302574550007457,0.280543962666571,0.139609868237376,NA
"DBD:Jerala_P6:AD:Jerala_P1",2453,166,2680,152,126,1,215.45785242624,-0.349168311957676,0.307130961902404,0.0936591159256698,NA
"DBD:Jerala_P6:AD:Jerala_P2",2679,1363,2270,149,178,21,530.737336660119,0.409615748529172,0.459853519714984,0.0577859323102938,0.0984501068990191
"DBD:Jerala_P6:AD:Jerala_P3",2999,230,1166,75,192,10,247.913442308969,-0.233584177194753,0.309221964006897,0.255640817594852,NA
"DBD:Jerala_P6:AD:Jerala_P4",1449,119,1061,66,184,19,232.450761262747,-0.0293109536842856,0.329826190509922,0.882494760270416,NA
"DBD:Jerala_P6:AD:Jerala_P5",1663,3625,1499,332,158,1237,6280.63639699408,5.4816189237634,1.35537017450615,1.44278217776531e-05,5.53066501476702e-05
"DBD:Jerala_P6:AD:Jerala_P6",23,6,6,2,1,1,6.85952378841813,0.382571851004907,0.758264711709517,0.102038222068536,NA
"DBD:Jerala_P6:AD:Jerala_P7",3166,244,1850,115,160,5,244.879473706878,-0.293757410281873,0.281479301436022,0.151646585979626,NA
"DBD:Jerala_P6:AD:Jerala_P8",2849,193,1720,117,105,14,248.585353131338,-0.0604014582739819,0.27747878260997,0.766278128669557,NA
"DBD:Jerala_P6:AD:Jerala_P9",1546,2437,1299,95,163,357,2139.08007894678,3.08562481101166,1.9780470922027,0.00184660904800383,0.00653415509293663
"DBD:Jerala_P6:AD:Jerala_P10",2524,159,741,44,164,374,1798.15739839664,1.71591777828141,1.96634096501841,NA,NA
"DBD:Jerala_P6:AD:Jerala_P11",2376,196,2009,111,122,14,250.826066220057,-0.0942125813790603,0.271931895272317,0.641660837778729,NA
"DBD:Jerala_P6:AD:Jerala_P12",1919,140,1407,91,219,11,235.047768285491,-0.30109835560023,0.311685601565427,0.146005947020398,NA
"DBD:Jerala_P7:AD:Jerala_P1",1688,122,1340,72,47,1,118.713302210639,-0.198507708252726,0.327966564806369,0.326844235463556,NA
"DBD:Jerala_P7:AD:Jerala_P2",2073,117,2149,119,158,8,222.106302878015,-0.394821900915059,0.286532374520091,0.0562230542982187,NA
"DBD:Jerala_P7:AD:Jerala_P3",1745,135,1483,92,162,5,187.022123123748,-0.360102840549063,0.299017927052452,0.0832593534285017,NA
"DBD:Jerala_P7:AD:Jerala_P4",1048,80,1347,88,193,11,197.744058555332,-0.225255236058458,0.332806251336115,0.266517829087829,NA
"DBD:Jerala_P7:AD:Jerala_P5",3027,221,2053,107,63,14,246.711591575995,-0.00382310021350341,0.295126561332321,0.985054926597657,NA
"DBD:Jerala_P7:AD:Jerala_P6",2176,157,1417,95,140,4,186.220175892465,-0.324006164675576,0.291130268066871,0.116589682886619,NA
"DBD:Jerala_P7:AD:Jerala_P7",1564,144,1508,100,68,1,138.271386726893,-0.141050501067046,0.31016099246905,0.488824671821627,NA
"DBD:Jerala_P7:AD:Jerala_P8",2019,3266,1392,746,92,2263,10808.123661316,6.56166737227101,1.19347975321036,2.17106130992573e-08,9.07898365968943e-08
"DBD:Jerala_P7:AD:Jerala_P9",2028,141,983,56,160,11,199.30258372963,-0.220050982180119,0.319952572935065,0.281424674278114,NA
"DBD:Jerala_P7:AD:Jerala_P10",1334,124,1790,110,58,3,144.274971471439,-0.101894104056465,0.304096921432995,0.617373847629714,NA
"DBD:Jerala_P7:AD:Jerala_P11",2102,1348,1954,136,92,5,408.219813250512,0.554472141499341,0.536604340894862,0.0213114825731632,NA
"DBD:Jerala_P7:AD:Jerala_P12",2541,201,1444,75,157,6,210.666940805335,-0.316745760520661,0.298128569015375,0.125957066714108,NA
"DBD:Jerala_P8:AD:Jerala_P1",3013,238,4876,313,143,4,343.95017171139,-0.183340196900541,0.310073225433249,0.369838299080229,NA
"DBD:Jerala_P8:AD:Jerala_P2",3599,276,3787,315,228,7,381.681084410823,-0.179194073437622,0.291703618210619,0.381681839524599,NA
"DBD:Jerala_P8:AD:Jerala_P3",2486,189,1757,89,235,159,915.816843870115,0.521843152538341,0.883745422201742,0.0563428281881903,0.0984501068990191
"DBD:Jerala_P8:AD:Jerala_P4",2153,171,2412,169,130,2,215.600849398309,-0.237770774188898,0.293714524911518,0.247314770579779,NA
"DBD:Jerala_P8:AD:Jerala_P5",3406,243,2825,171,140,5,276.606781728004,-0.27949956040783,0.268776127921063,0.16743281771457,NA
"DBD:Jerala_P8:AD:Jerala_P6",2744,259,4016,254,208,14,376.156565320362,-0.126179701736547,0.282434564728715,0.536059406955348,NA
"DBD:Jerala_P8:AD:Jerala_P7",2071,29996,2410,18154,97,3182,24145.9886777943,7.57761151933541,0.600143390218649,7.45047475924089e-37,5.71203064875135e-36
"DBD:Jerala_P8:AD:Jerala_P8",3,0,6,2,1,0,1.03386073749728,0.189554563669213,0.599749353164393,0.306677168725135,NA
"DBD:Jerala_P8:AD:Jerala_P9",3133,260,3173,209,50,3,252.140797046599,-0.0688994391888351,0.316065864628232,0.733144883875217,NA
"DBD:Jerala_P8:AD:Jerala_P10",1600,1096,3672,228,179,5,442.664207179883,0.24527445733379,0.372352276855322,0.214296667780024,0.266422884267057
"DBD:Jerala_P8:AD:Jerala_P11",2190,176,3954,220,189,12,326.007921482355,-0.216071857217419,0.289707362673333,0.292021115841368,NA
"DBD:Jerala_P8:AD:Jerala_P12",3965,370,3632,164,292,23,455.16964562124,-0.122729322495153,0.314376980020586,0.545399300445781,0.627209195512648
"DBD:Jerala_P9:AD:Jerala_P1",2816,1140,1977,126,170,21,478.501763172789,0.392323467189597,0.417358005217782,0.0646879720998252,0.106273097021141
"DBD:Jerala_P9:AD:Jerala_P2",2271,866,2000,106,193,26,444.665864083481,0.35445240737305,0.381260579182671,0.0886047024508809,0.135860543758017
"DBD:Jerala_P9:AD:Jerala_P3",4845,308,3530,163,299,19,442.330148984796,-0.274660215518564,0.31143587997953,0.183267146222276,0.240865392177849
"DBD:Jerala_P9:AD:Jerala_P4",1896,102,1269,67,125,7,169.113116267378,-0.394444627117538,0.306988671044993,0.0596776426347436,NA
"DBD:Jerala_P9:AD:Jerala_P5",7351,450,3753,4194,113,11,1456.72633298172,0.479816949557035,0.905782593526318,NA,NA
"DBD:Jerala_P9:AD:Jerala_P6",3432,196,2971,159,131,6,269.857791085245,-0.371916280009441,0.270486730618828,0.0673987825781135,NA
"DBD:Jerala_P9:AD:Jerala_P7",2664,2462,4101,178,186,8,718.441309440345,0.309118993023119,0.534367238944663,NA,NA
"DBD:Jerala_P9:AD:Jerala_P8",4258,906,2754,126,176,17,462.841972578536,0.167821417851737,0.34387551720192,0.395728864887652,0.479040204864
"DBD:Jerala_P9:AD:Jerala_P10",1339,69496,2408,42353,112,2876,36115.8191844597,8.29980894767794,0.402787735777961,1.04712892448153e-94,1.20419826315376e-93
"DBD:Jerala_P9:AD:Jerala_P11",2204,137,2956,130,153,7,241.346617562536,-0.451605776057736,0.285339928119499,0.0293255034148255,NA
"DBD:Jerala_P9:AD:Jerala_P12",3540,219,2564,229,259,13,360.076205027799,-0.222523248499381,0.282185117520793,0.276335114836775,NA
"DBD:Jerala_P10:AD:Jerala_P1",4259,326,5098,337,192,15,457.894039252914,-0.0960128324503298,0.307618814922522,0.637192044458996,0.667530914262708
"DBD:Jerala_P10:AD:Jerala_P2",5282,415,6044,422,166,9,498.322312558138,-0.0928384399237023,0.334732852066906,0.638507831033894,0.667530914262708
"DBD:Jerala_P10:AD:Jerala_P3",6396,1021,4536,309,505,59,902.398903624599,0.0942528671682475,0.388768970941331,0.593732942719764,0.650278937264503
"DBD:Jerala_P10:AD:Jerala_P4",1905,160,3674,219,135,5,262.828247437469,-0.212807551526655,0.300124716350739,0.300052854225559,NA
"DBD:Jerala_P10:AD:Jerala_P5",5595,7314,3297,218,234,6,1643.36874442875,0.529403930957743,1.01019019520001,NA,NA
"DBD:Jerala_P10:AD:Jerala_P6",5601,2544,4966,333,256,33,977.242291544864,0.262482395169771,0.486002946638547,0.17303713048677,0.234109058893866
"DBD:Jerala_P10:AD:Jerala_P7",5186,418,1732,107,294,13,388.82685791804,-0.211852506896974,0.325185178029792,0.297526220176725,NA
"DBD:Jerala_P10:AD:Jerala_P8",3338,280,11007,741,187,6,617.197987638379,-0.0761367431726481,0.385878494294955,0.665471533332917,0.680259789629204
