"","count_DBDAD_trp1_l45","count_ADDBD_trp1_l45","count_DBDAD_his1_l45","count_ADDBD_his1_l45","count_DBDAD_trp1_l66","count_ADDBD_trp1_l66","count_DBDAD_his1_l66","count_ADDBD_his1_l66","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Bcl-xL:Bfl-1",2301,2425,779,1328,3602,2403,851,592,2153.00474366177,-0.143262292589379,0.615533246116963,0.76254902795413,0.86326305051411
"Bcl-xL:FECM04",2974,2706,5599,2183,1801,1625,14271,10376,14906.1434637105,3.48604470946878,0.914568693669681,1.75684633348132e-05,0.000175684633348132
"Bcl-xL:Mcl1[151-321]",3573,1936,1011,607,5251,2950,736,471,2364.28442892502,-0.600523040233997,0.698115970015589,0.246706779610197,0.411177966016995
"Bcl-xL:XCDP07",3323,2145,359,3030,717,472,5708,3732,5866.1982052206,3.16463494816678,0.971723128537875,0.000134024599884659,0.000699258782006917
"Bcl-xL:alphaBCL2",4719,1579,1219,209,2349,2144,2818,8450,6981.23953900338,1.60442435648035,1.12499015534797,0.0354050290724265,0.0849720697738237
"Bcl-xL:alphaBCLB",2889,4418,535,985,1909,1606,756,199,1504.82875835869,-0.274477067478142,0.548270285111656,0.530740093820512,0.707653458427349
"Bcl-xL:alphaBFL1",3681,3066,5568,3875,1634,1751,12544,10206,14023.053953429,3.44400091349527,0.867108633813991,1.00760649123435e-05,0.000120912778948122
"Bcl-xL:alphaMCL1",4051,2322,598,338,1900,2173,223,219,1221.54487072285,-1.15816843899935,0.642973134833487,0.021423552870341,0.0558875292269764
"Bfl-1:FECM04",6721,8501,20465,16861,981,1472,12766,7177,15313.4428296917,3.66667563673245,0.630223956137296,1.16659545911185e-09,2.79982910186844e-08
"Bfl-1:Mcl1[151-321]",11067,7282,4380,3466,3185,2841,453,684,2926.04982967772,-0.188080826086066,0.429776375896486,0.608942665016253,0.768369942198298
"Bfl-1:XCDP07",1664,5969,368,5830,450,1008,163,317,1357.88491455389,0.374628638606545,0.475009132844174,0.34321799123331,0.517138705894195
"Bfl-1:alphaBCL2",7382,5781,1220,775,1707,2377,669,421,1891.47050087668,-0.390400308743251,0.505248076272151,0.344759137262797,0.517138705894195
"Bfl-1:alphaBCLB",8024,11961,2375,4222,1273,1372,684,160,2170.68263461913,0.0371425209300895,0.484719198392809,0.926321558314248,0.976998539964145
"Bfl-1:alphaBFL1",9606,10719,38446,45510,928,1359,13955,6340,20118.5990566299,3.92533844556989,0.580823509855121,2.44005508610071e-12,1.46403305166042e-10
"Bfl-1:alphaMCL1",13591,5932,8416,5662,1217,1867,2237,1779,4612.99607002342,1.34390859707522,0.595805857955541,0.00548392895475879,0.0173176703834488
"FECM04:Mcl1[151-321]",11931,8777,4886,7380,2982,2304,659,967,3563.53963202339,0.281536561444716,0.433228347628106,0.44620537387116,0.64511620318722
"FECM04:XCDP07",1606,8574,137,2467,488,756,51,216,927.251900019889,-0.653793738216032,0.559467383706338,0.141770374168085,0.27003880793921
"FECM04:alphaBCL2",8075,6238,404,506,1775,1429,290,269,1373.58018287786,-1.10235365464556,0.546975210919472,0.0133150807795361,0.0371583649661472
"FECM04:alphaBCLB",10066,14578,1130,2742,1103,938,404,153,1787.54532543563,-0.503477453977359,0.49953099254142,0.219194593778373,0.381207989179779
"FECM04:alphaBFL1",15989,11538,1504,1759,1314,1358,117,251,1802.58944290902,-1.20871123694123,0.493417660223553,0.00357040719472908,0.0126014371578673
"FECM04:alphaMCL1",11748,7601,1902,1114,1191,1602,238,193,1586.6148263273,-0.952691243575678,0.395430764798317,0.00567081866033634,0.0174486728010349
"Mcl1[151-321]:XCDP07",2070,10848,1609,48913,619,1130,5191,12462,14998.3800218253,3.82984574864596,0.745375851342287,4.29571516056511e-08,7.36408313239734e-07
"Mcl1[151-321]:alphaBCL2",8790,8939,901,762,2205,3843,317,590,2233.1104134454,-1.04389427161345,0.585007112392889,0.0251873742660687,0.0643081896154944
"Mcl1[151-321]:alphaBCLB",10304,21979,3010,8049,1493,2019,227,194,2895.12862591098,-0.236070974133887,0.540200634689825,0.585948313652801,0.756062340197163
"Mcl1[151-321]:alphaBFL1",13738,16689,7778,9164,1789,3134,811,429,4065.59301613193,0.258857555068104,0.501699827984075,0.529157081701544,0.707653458427349
"Mcl1[151-321]:alphaMCL1",11884,11830,34855,46823,1457,2491,7195,12446,19540.4017631973,3.47569287614914,0.504663261917196,1.3886254814362e-12,1.46403305166042e-10
"XCDP07:alphaBCL2",6651,1770,2025,77,890,402,360,335,1034.05734224092,0.191726262850082,0.578084759262409,0.672970040239806,0.815721260896735
"XCDP07:alphaBCLB",7288,4159,4575,498,520,314,66,23,989.149535524493,-0.326119609157027,0.638318362713032,0.502276636667181,0.700078143218279
"XCDP07:alphaBFL1",10580,2509,3742,235,529,544,188,94,1087.97424292287,-0.420365437490621,0.532616562755999,0.327125076577419,0.503269348580645
"XCDP07:alphaMCL1",10619,3279,2466,298,552,430,91,68,922.38461924432,-0.759972026902774,0.597360513950069,0.103943368737068,0.207886737474136
"alphaBCL2:alphaBCLB",7112,19627,450,1598,1299,1128,161,188,1626.18184628139,-1.5049403039709,0.514600412349813,0.000625213069251854,0.00258708856242146
"alphaBCL2:alphaBFL1",11828,15257,645,1725,1375,1790,176,313,1867.16857676832,-1.42843734495106,0.457852673432672,0.0003353944711774,0.00149064209412178
"alphaBCL2:alphaMCL1",11492,8717,447,882,1333,1858,103,221,1469.74130546352,-1.96002736162859,0.430178475661916,9.00919680559561e-07,1.34189320335249e-05
"alphaBCLB:alphaBFL1",24575,12279,3957,1669,1001,1424,112,429,2339.00927970031,-0.666093855933075,0.588050112247111,0.148571682697806,0.275814379098752
"alphaBCLB:alphaMCL1",21093,8230,2722,1790,762,1238,87,230,1824.61043381843,-0.775379734780736,0.580119678679604,0.0904249241196814,0.190368261304592
"alphaBFL1:alphaMCL1",19340,13820,1445,2100,1408,1394,136,167,1994.01430158855,-1.37548916006446,0.556657196050332,0.00286499126944548,0.0107437172604205
"2CDP06:2CDP06",153,153,7,10,5,5,1,2,14.2980141443234,-1.60450681394452,0.667176640978512,0.0030098172218666,0.0109447898976967
"BCDP01:BCDP01",1076,1076,4111,5895,42,42,37,50,1072.09725786948,3.00263124320726,0.897859087873447,0.000112070912588503,0.000640405214791443
"BECM01:BECM01",9031,9031,3539,5074,40,40,7,10,1390.55756973757,0.190062896437289,1.077365678703,0.775080544088837,0.869249208323929
"Bcl-2:Bcl-2",3492,3492,1450,2079,992,992,204,275,1144.57317129354,0.0529063269874594,0.383007956369783,0.875232396600704,0.937748996357897
"Bcl-B:Bcl-B",586,586,924,1325,26,26,3,4,261.064981328257,1.26753055578296,1.13330126356117,0.0858636686995888,0.183993575784833
"Bcl-w:Bcl-w",679,679,38,54,857,857,174,234,562.974187624321,-0.284381110139566,0.845700072027298,0.626642866234819,0.775228288125549
"Bcl-xL:Bcl-xL",56,56,38,54,754,754,379,511,747.159768665511,0.406131875340509,0.964268101865251,0.521684766540588,0.707653458427349
"Bfl-1:Bfl-1",3335,3335,2084,2988,438,438,153,207,1026.71554647772,0.684627000341047,0.494905936845086,0.0928428604112916,0.192088676713017
"FECM04:FECM04",7663,7663,799,1146,20,20,5,6,666.750715948294,-0.666186604519892,1.01906107506294,0.313970918533759,0.496672894486964
"Mcl1[151-321]:Mcl1[151-321]",4936,4936,2841,4073,866,866,210,283,1517.12371042151,0.454874396692448,0.421352376477718,0.208111648577826,0.372737281034913
"XCDP07:XCDP07",695,695,313,449,76,76,39,52,189.421810763372,0.496127112148331,0.659197204360008,0.318698440629135,0.496672894486964
"alphaBCL2:alphaBCL2",2153,2153,90,129,9,9,5,6,161.80654663095,-1.39866592468861,1.14130872443816,0.0626233093580507,0.144515329287809
"alphaBCLB:alphaBCLB",8010,8010,2746,3938,74,74,8,11,1158.463307162,0.110162778557455,1.01247478613019,0.864541687901741,0.934639662596477
"alphaBFL1:alphaBFL1",2260,2260,652,935,97,97,17,23,343.301363301993,-0.0199176924320705,0.735619990433393,0.970250619685084,0.976998539964145
"alphaMCL1:alphaMCL1",7951,7951,984,1411,3,3,1,2,716.768851019521,-0.48581484032971,1.07467083385756,0.470360323287374,0.671388354379269
