,trp1_l61_2mM,his1_l61_2mM,trp1_l62_2mM,his1_l62_2mM
DBD:Jerala_P8:AD:Jerala_P6,2744,259.0,4016,254
DBD:Jerala_P8:AD:Jerala_P7,2071,29996.0,2410,18154
DBD:Jerala_P8:AD:Jerala_P8,3,0.0,6,2
DBD:Jerala_P8:AD:Jerala_P9,3133,260.0,3173,209
DBD:Jerala_P8:AD:Jerala_P10,1600,1096.0,3672,228
DBD:Jerala_P8:AD:Jerala_P11,2190,176.0,3954,220
DBD:Jerala_P8:AD:Jerala_P12,3965,370.0,3632,164
DBD:Jerala_P9:AD:Jerala_P1,2816,1140.0,1977,126
DBD:Jerala_P9:AD:Jerala_P2,2271,866.0,2000,106
DBD:Jerala_P9:AD:Jerala_P3,4845,308.0,3530,163
DBD:Jerala_P9:AD:Jerala_P4,1896,102.0,1269,67
DBD:Jerala_P9:AD:Jerala_P5,7351,450.0,3753,4194
DBD:Jerala_P9:AD:Jerala_P6,3432,196.0,2971,159
DBD:Jerala_P9:AD:Jerala_P7,2664,2462.0,4101,178
DBD:Jerala_P9:AD:Jerala_P8,4258,906.0,2754,126
DBD:Jerala_P9:AD:Jerala_P9,7,15.0,6,12
DBD:Jerala_P9:AD:Jerala_P10,1339,69496.0,2408,42353
DBD:Jerala_P9:AD:Jerala_P11,2204,137.0,2956,130
DBD:Jerala_P9:AD:Jerala_P12,3540,219.0,2564,229
DBD:Jerala_P10:AD:Jerala_P1,4259,326.0,5098,337
DBD:Jerala_P10:AD:Jerala_P2,5282,415.0,6044,422
DBD:Jerala_P10:AD:Jerala_P3,6396,1021.0,4536,309
DBD:Jerala_P10:AD:Jerala_P4,1905,160.0,3674,219
DBD:Jerala_P10:AD:Jerala_P5,5595,7314.0,3297,218
DBD:Jerala_P10:AD:Jerala_P6,5601,2544.0,4966,333
DBD:Jerala_P10:AD:Jerala_P7,5186,418.0,1732,107
DBD:Jerala_P10:AD:Jerala_P8,3338,280.0,11007,741
DBD:Jerala_P10:AD:Jerala_P9,1561,59826.0,1733,70229
DBD:Jerala_P10:AD:Jerala_P10,8,8.0,4,6
DBD:Jerala_P10:AD:Jerala_P11,2959,2000.0,4496,310
DBD:Jerala_P10:AD:Jerala_P12,7001,604.0,3496,227
DBD:Jerala_P11:AD:Jerala_P1,1736,190.0,2447,188
DBD:Jerala_P11:AD:Jerala_P2,3909,383.0,1686,171
DBD:Jerala_P11:AD:Jerala_P3,2653,291.0,3184,572
DBD:Jerala_P11:AD:Jerala_P4,1747,262.0,2329,351
DBD:Jerala_P11:AD:Jerala_P5,2224,258.0,3164,6665
DBD:Jerala_P11:AD:Jerala_P6,2725,259.0,3874,272
