"","trp1_l43","his1_l43","trp1_l44","his1_l44","trp1_l49","his1_l49","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:A_ZCON_13:AD:DHDr2_11_A",913,33,244,53,4,2,45.5282340270175,-0.000850784990215302,0.318099505739664,0.992800309952594,NA
"DBD:A_ZCON_13:AD:DHDr2_11_B",1805,252,296,71,59,44,205.459966003634,0.175834763847317,0.475156054285002,0.178035618665808,0.478661778781192
"DBD:A_ZCON_13:AD:DHDr2_12_A",81,39,65,9,3,3,19.3507406497963,0.189996128397637,0.556943472993513,0.19706184869878,NA
"DBD:A_ZCON_13:AD:DHDr2_12_B",666,8,262,41,9,1,36.9584079388323,-0.0670715136228279,0.390648220741065,0.540184003144336,NA
"DBD:A_ZCON_13:AD:DHDr2_13_A",1304,102,131,27,6,6,57.8740520462016,0.0495820291177385,0.326569113519793,0.604885756113176,NA
"DBD:A_ZCON_13:AD:DHDr2_13_B",1040,4,414,25,16,1,46.4794316775821,-0.414682214532874,0.874277538973573,0.0796085864729285,NA
"DBD:A_ZCON_13:AD:DHDr2_14_A",421,2,147,19,1,0,16.868125421395,-0.0978188645176789,0.543798349119507,0.506464776053506,NA
"DBD:A_ZCON_13:AD:DHDr2_14_B",866,201,185,32,7,1,61.8907635431294,0.100849422508861,0.430885248234595,0.391939770084524,NA
"DBD:A_ZCON_13:AD:DHDr2_15_A",1800,40,209,16,11,0,45.1739289278036,-0.244589572820545,0.655330352485104,0.154684524651051,NA
"DBD:A_ZCON_13:AD:DHDr2_15_B",903,365,148,26,4,1,82.5852575175154,0.257238364875539,0.720617671163768,0.169495297839108,NA
"DBD:A_ZCON_13:AD:DHDr2_16_A",2577,231,180,6,2,5,85.0092764422078,0.0227179418037175,0.41129403561093,0.846428768227238,NA
"DBD:A_ZCON_13:AD:DHDr2_16_B",1176,17,70,15,10,0,27.7191950392417,-0.205760254762033,0.617132084784987,0.201753185079839,NA
"DBD:A_ZCON_13:AD:DHDr2_17_A",1,0,9,0,2,2,5.33338511626023,0.114474472630128,0.784322420570517,0.5882300139823,NA
"DBD:A_ZCON_13:AD:DHDr2_17_B",2137,96,168,13,9,2,58.0526922980893,-0.0655161010352529,0.379568240202856,0.540270612435825,NA
"DBD:A_ZCON_13:AD:DHDr2_18_A",415,2,288,15,3,2,26.8338334240479,-0.147374379972945,0.561987191465464,0.319369162672871,NA
"DBD:A_ZCON_13:AD:DHDr2_18_B",998,114,397,6,7,2,54.830953543061,-0.040123488034429,0.369384569181305,0.703967123458276,NA
"DBD:A_ZCON_13:AD:DHDr2_19_A",1235,72,207,54,2,0,48.8679587212113,0.00631016936653166,0.390776334606677,0.95518213768421,NA
"DBD:A_ZCON_13:AD:DHDr2_19_B",1460,749,337,165,14,16,225.406745664769,1.12519400953979,1.1943535556981,0.0101372032034517,0.0643818737718522
"DBD:A_ZCON_13:AD:DHDr2_20_A",583,10,2,0,4,1,12.2113276584616,-0.144866934843019,0.681574714263578,0.423525038201469,NA
"DBD:A_ZCON_13:AD:DHDr2_20_B",991,1,324,29,11,3,44.22100345544,-0.134005568745132,0.530662503504677,0.340747997012411,NA
"DBD:A_ZCON_13:AD:ZCON_150_LL_A",1774,112,369,42,12,1,71.8097256707101,-0.0413221384046853,0.328559618722422,0.667592363489104,NA
"DBD:A_ZCON_13:AD:ZCON_150_LL_B",3606,286,535,200,8,1,164.936910491903,0.0438229446934681,0.387849818760079,0.690388333504581,0.884376436200115
"DBD:A_ZCON_13:AD:ZCON_150_resurf_A",1504,325,271,35,2,1,90.1829270701641,0.0981469216144514,0.486400568524042,0.45560326869315,NA
"DBD:A_ZCON_13:AD:ZCON_150_resurf_B",308,1,190,26,4,1,22.4655005213926,-0.054086208383743,0.441620741158785,0.661206341227076,NA
"DBD:A_ZCON_13:AD:ZCON_152_A",164,83,82,2,1,0,18.9921717918263,0.115172989973812,0.573505097711835,0.453599548394403,NA
"DBD:A_ZCON_13:AD:ZCON_152_B",3443,424,181,34,3,4,129.872958331999,0.0653150525294616,0.43739164425211,0.590406079578458,0.831844246778087
"DBD:A_ZCON_13:AD:ZCON_152_T2_A",13,2,112,14,12,0,14.5099798859165,-0.120657710101155,0.607470551552171,0.458217477844821,NA
"DBD:A_ZCON_13:AD:ZCON_152_T2_B",415,6,302,52,0,8,48.0572668259496,0.0606683853664847,0.479967209134338,0.649096728022064,NA
"DBD:A_ZCON_13:AD:ZCON_152_T4_A",826,0,317,26,3,1,33.3507289985095,-0.158290788932,0.64756583454923,0.352261053874151,NA
"DBD:A_ZCON_13:AD:ZCON_152_T4_B",240,99,196,51,11,0,44.4227394380356,0.0818317232801978,0.419261959677644,0.4792661177939,NA
"DBD:A_ZCON_13:AD:ZCON_154_LL_A",1345,43,331,88,37,15,106.16124427409,0.0277015290840616,0.282413664541284,0.751617393156154,NA
"DBD:A_ZCON_13:AD:ZCON_154_LL_B",1841,346,354,117,16,7,140.311325817418,0.156977753689299,0.445637150442232,0.203785133980035,0.515707263930644
"DBD:A_ZCON_13:AD:ZCON_154_resurf_A",2191,294,259,135,2,0,116.417027346535,0.103199243229805,0.529327233335858,0.469401095069931,NA
"DBD:A_ZCON_13:AD:ZCON_154_resurf_B",3037,534,337,12173,3,1,3237.90320324831,4.29114982846543,2.15194273426193,NA,NA
"DBD:A_ZCON_13:AD:ZCON_155_LL_A",4599,295,567,24,38,1,148.348159220425,-0.0788016794646218,0.416005098098917,0.493284407833102,0.776645820545921
"DBD:A_ZCON_13:AD:ZCON_155_LL_B",1534,79,281,89,6,11,89.3626681821809,0.0804845491241225,0.354704393809573,0.429672452393143,NA
"DBD:A_ZCON_13:AD:ZCON_155_cutT2_A",1325,3,147,6,8,0,27.4363895320428,-1.79515133132513,1.70455159718454,0.00814834975111646,NA
"DBD:A_ZCON_13:AD:ZCON_155_cutT2_B",405,4,58,5,7,6,24.3430542155918,0.011075936910045,0.377597460784421,0.918876273956056,NA
"DBD:A_ZCON_13:AD:ZCON_155_cutT4_A",1692,23,390,5049,6,0,1330.22665157531,2.20363621235334,2.31819328975985,NA,NA
"DBD:A_ZCON_13:AD:ZCON_155_cutT4_B",184,0,313,28,14,0,29.4215678180817,-0.155700533046532,0.6779314233478,0.384090280298337,NA
"DBD:A_ZCON_13:AD:ZCON_155_cutT5_A",1,0,18,2,20,1,12.6714902010842,-0.319569477094802,1.0190892893563,0.223150253958792,NA
"DBD:A_ZCON_13:AD:ZCON_155_cutT5_B",198,141,380,22,45,2,70.8127782563358,-0.0266445796744784,0.348617212075987,0.792032760025128,NA
