"","trp1_l43","his1_l43","trp1_l44","his1_l44","trp1_l49","his1_l49","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:DHDr2_07_B:AD:ZCON_155_LL_B",2566,85,559,125,17,6,118.625879260128,-0.0108794757353045,0.28600413921425,0.901394599458832,NA
"DBD:DHDr2_07_B:AD:ZCON_155_cutT2_A",1475,28,573,40,27,0,69.0274836007857,-0.33101165768447,0.747032811263086,0.0975162669129693,NA
"DBD:DHDr2_07_B:AD:ZCON_155_cutT2_B",258,14,289,49,27,11,64.76456166882,0.0284161983727311,0.340572954637426,0.774316090433182,NA
"DBD:DHDr2_07_B:AD:ZCON_155_cutT4_A",4,1,288,21,32,0,33.0550920866315,-0.267529967568838,0.879888275632351,0.239361889357386,NA
"DBD:DHDr2_07_B:AD:ZCON_155_cutT4_B",774,17,278,22,72,5,72.9257781053409,-0.324194996160441,0.711338328754689,0.091161233396706,NA
"DBD:DHDr2_07_B:AD:ZCON_155_cutT5_A",123,0,172,24,28,0,28.1321131491338,-0.183494682390287,0.726342104159489,0.334103451225212,NA
"DBD:DHDr2_07_B:AD:ZCON_155_cutT5_B",1216,13,928,213,130,2,175.55134326711,-0.0865678994409343,0.456657437764174,0.487539283426323,0.77261532996988
"DBD:DHDr2_07_B:AD:ZCON_155_resurf_A",2130,65,785,64,107,7,148.98860626539,-0.322803443618894,0.607624157765857,0.0629332953582874,0.250464587398758
"DBD:DHDr2_07_B:AD:ZCON_155_resurf_B",2060,1372,182,26,16,6,265.381779739025,0.607913134351414,1.14317036243845,NA,NA
"DBD:DHDr2_07_B:AD:ZCON_15_re_loop_LL_A",3539,353,388,105,25,8,165.633088288399,0.0483392090028622,0.308517443504016,0.601188994169295,0.838967185778355
"DBD:DHDr2_07_B:AD:ZCON_15_re_loop_LL_B",3268,610,556,117,33,9,217.479976517384,0.0983509378669239,0.374623299811821,0.355271563846746,0.674451576683977
"DBD:DHDr2_07_B:AD:ZCON_15_re_loop_resurf_A",435,69,208,198,11,15,110.096912963321,0.939385699450966,1.14316186310804,0.0153246454553298,NA
"DBD:DHDr2_07_B:AD:ZCON_15_re_loop_resurf_B",2643,50018,409,13439,13,8,11063.7235420474,6.65435763849612,1.39664941078364,2.04767315459304e-07,4.91983269577089e-06
"DBD:DHDr2_07_B:AD:ZCON_2_CC_A",3081,41265,146,16,17,0,6296.4363121658,4.49115939747217,2.53721849705149,NA,NA
"DBD:DHDr2_07_B:AD:ZCON_2_CC_B",1,0,40,1,4,1,5.87503471325008,-0.14838580754765,0.765795247602385,0.467003979966599,NA
"DBD:DHDr2_07_B:AD:ZCON_2_CC_resurf_A",3410,42,232,25,17,0,70.1962611563062,-0.408697994630599,0.878257021660667,0.0840137751164071,NA
"DBD:DHDr2_07_B:AD:ZCON_2_CC_resurf_B",1572,124,581,99,33,0,102.874665051097,-0.0324179593453196,0.350269017105156,0.748886157690608,NA
"DBD:DHDr2_07_B:AD:ZCON_2_CC_resurf_cutT2_A",1399,60,379,118,16,0,79.2984300850462,0.000788528977258005,0.357766483686234,0.993937292548063,NA
"DBD:DHDr2_07_B:AD:ZCON_2_CC_resurf_cutT2_B",1150,36,1129,179,77,3,155.491223415511,-0.0732696113364856,0.390348242370549,0.502303934493869,0.782136873466467
"DBD:DHDr2_07_B:AD:ZCON_2_CC_resurf_cutT4_A",2,11,323,56,21,1,41.8321916881922,-0.0305320505556634,0.485782913354826,0.824073337319956,NA
"DBD:DHDr2_07_B:AD:ZCON_2_CC_resurf_cutT4_B",1430,3,185,20,100,42,160.848191773331,0.0245237741717671,0.440441023130246,0.844621071384876,0.941901838202044
"DBD:DHDr2_07_B:AD:ZCON_2_CC_resurf_cutT6_A",4,2,238,46,52,0,46.7806510983104,-0.140301197694248,0.680234291610016,0.438546534861392,NA
"DBD:DHDr2_07_B:AD:ZCON_2_CC_resurf_cutT6_B",1,0,342,73,13,1,41.5681165074606,-4.42123255070541e-05,0.582578474554775,0.999785959504307,NA
"DBD:DHDr2_07_B:AD:ZCON_37_LL_A",3120,242,708,131,29,3,156.415112049037,-0.00474617224826443,0.291052536658913,0.957324698334629,0.984535319201548
"DBD:DHDr2_07_B:AD:ZCON_37_LL_B",2531,131,485,126,39,4,128.535434955,-0.0157783176143898,0.270725719298249,0.853594721784747,0.944026700346941
"DBD:DHDr2_07_B:AD:ZCON_37_resurf_A",680,103,193,2840,13,0,762.08333368536,3.07375221562865,2.23868203579472,NA,NA
"DBD:DHDr2_07_B:AD:ZCON_37_resurf_B",973,58,199,7,8,0,34.2003616309737,-0.102412709684398,0.461871778508689,0.412753706332156,NA
"DBD:DHDr2_07_B:AD:ZCON_VR_2_A",1838,59,152,5,13,8,60.1192775486479,-0.0417189775974524,0.357176629212934,0.684274678852378,NA
"DBD:DHDr2_07_B:AD:ZCON_VR_2_B",1146,187,274,40,24,6,86.8657375573654,0.053952428571937,0.292069403354148,0.550068115309683,NA
"DBD:DHDr2_07_B:AD:ZCON_VR_2_cutT2_A",1354,192,327,961,24,4,323.179076599624,1.04280007628103,1.39444133552116,0.0216788014181118,0.116226017992498
"DBD:DHDr2_07_B:AD:ZCON_VR_2_cutT2_B",1318,183,342,68,30,4,97.1599778586151,0.0328512902039151,0.272927803135436,0.703937879519447,NA
"DBD:DHDr2_07_B:AD:ZCON_VR_2_cutT4_A",9,0,320,99,49,0,62.2061198467994,-0.0420917750353875,0.615202930756989,0.807054371347484,NA
"DBD:DHDr2_07_B:AD:ZCON_VR_2_cutT4_B",705,121,304,46,29,0,64.9770678459175,-0.0116132513272746,0.332762571228037,0.905273819320956,NA
"DBD:DHDr2_07_B:AD:ZCON_VR_2_cutT6_A",292,1,400,75,47,0,62.0472284523028,-0.101023506203517,0.561464058780369,0.505875815898542,NA
"DBD:DHDr2_07_B:AD:ZCON_VR_2_cutT6_B",746,5,564,37,25,0,55.0265599600351,-0.334527843233655,0.831365301664268,0.124836435662047,NA
"DBD:DHDr2_07_B:AD:ZCON_VR_2_resurf_A",2275,515,139,21,2,1,118.536605821705,0.141998368792974,0.595397639798378,0.366299232597559,NA
"DBD:DHDr2_07_B:AD:ZCON_VR_2_resurf_B",2130,574,203,42,14,10,157.514783185355,0.235507550528707,0.626830667280351,0.153824101368393,0.439594238082992
"DBD:DHDr2_07_B:AD:mALb8_A",956,33,240,57,42,4,68.6707884952618,-0.0585513410049616,0.309178598513198,0.529230160678757,NA
"DBD:DHDr2_07_B:AD:mALb8_B",1685,141,104,75,15,1,73.4781859671654,0.0454468569905714,0.349712525268264,0.651961056029449,NA
"DBD:DHDr2_07_B:AD:mALb8_cutT1_A",13,8,161,39,14,0,24.8577000585445,-0.0158757385435888,0.467093059827638,0.904856221051012,NA
"DBD:DHDr2_07_B:AD:mALb8_cutT1_B",125,18,133,8,39,1,32.2555929580705,-0.304813016432287,0.762862290454359,0.127802066083077,NA
"DBD:DHDr2_07_B:AD:mALb8_cutT2_A",123,1,398,108,30,0,60.4554510766756,-0.0165703656899522,0.49813739734669,0.906708510349764,NA
"DBD:DHDr2_07_B:AD:mALb8_cutT2_B",514,6,250,4,25,1,32.4397032960064,-2.1547297456476,1.47595392372562,0.00294459769468333,NA
"DBD:DHDr2_07_B:AD:mALb8_cutT3_A",2,17,199,23,19,1,28.0023822635428,-0.0598800056452166,0.494834496561838,0.66331343654355,NA
"DBD:DHDr2_07_B:AD:mALb8_cutT3_B",1,0,128,26,18,1,22.6317492865545,-0.0550743859587169,0.595849394605116,0.740373328616645,NA
"DBD:DHDr2_07_B:AD:mALb8_cutT4_A",1,0,198,32,27,0,29.4221794142977,-0.114866777535333,0.713885079173246,0.551903384874464,NA
"DBD:DHDr2_07_B:AD:mALb8_cutT4_B",765,43,209,40,14,0,41.1866656212412,-0.0388169383932195,0.336482369670577,0.691887248318023,NA
"DBD:DHDr2_08_A:AD:A_ZCON_13",1914,49200,123,10,18,3,7487.25360663945,5.97525214446829,1.93862582231354,NA,NA
"DBD:DHDr2_08_A:AD:A_ZCON_150",1810,164,479,130,31,0,114.214739056504,0.00682776295833796,0.346490208229639,0.94606899135936,NA
"DBD:DHDr2_08_A:AD:A_ZCON_154",654,266,421,77,68,13,143.542477633786,0.0628470964520376,0.314423767876012,0.50437321611862,0.782451032184061
"DBD:DHDr2_08_A:AD:A_ZCON_155",225,30,420,24,62,1,62.5492258872837,-0.352074711067264,0.795476818075858,0.0970737988073276,NA
"DBD:DHDr2_08_A:AD:A_ZCON_15_re_loop",1230,385,167,43,11,5,105.819070187514,0.259176961629649,0.643478666230542,0.129092378131666,NA
"DBD:DHDr2_08_A:AD:A_ZCON_162",1698,239,264,47,25,1,92.9488991982448,0.0246028235688707,0.325616693637929,0.797268033228426,NA
"DBD:DHDr2_08_A:AD:A_ZCON_37_3",588,5,197,20,9,11,47.3938253136597,0.0323777394941847,0.369955001416617,0.760200123670634,NA
"DBD:DHDr2_08_A:AD:A_ZCON_37",584,26,218,38,32,9,62.8094137336276,-0.00536113073770201,0.287284890900501,0.95142544804148,NA
"DBD:DHDr2_08_A:AD:A_ZCON_6",546,34,169,22,29,3,43.9851526781396,-0.0781340024540027,0.32591902995864,0.420415722603419,NA
"DBD:DHDr2_08_A:AD:B_ZCON_13",323,33,349,80,28,2,61.397439818477,-0.0060057018569138,0.318506527145463,0.949253590442974,NA
"DBD:DHDr2_08_A:AD:B_ZCON_150",2090,308,399,80,26,2,124.662791502134,0.0410797092219947,0.323533012080331,0.666048765877199,0.874230452443784
"DBD:DHDr2_08_A:AD:B_ZCON_154",2437,137,418,72,34,9,119.318575370505,-0.0142740333538771,0.249321214224375,0.864089638674149,NA
"DBD:DHDr2_08_A:AD:B_ZCON_155",3,23,169,21,21,34,93.943409979451,0.293122516374353,0.862825300058502,0.188826264068404,NA
"DBD:DHDr2_08_A:AD:B_ZCON_15_re_loop",841,6723,465,5700,63,20,2569.84127667803,4.88310054347217,1.16145674759257,5.73404211893915e-06,9.9004886928147e-05
"DBD:DHDr2_08_A:AD:B_ZCON_162",743,95,284,99,12,11,88.1292428290573,0.195028714939987,0.463592330127911,0.137115030299198,NA
"DBD:DHDr2_08_A:AD:B_ZCON_37_3",366,2,208,69,23,2,45.9332357917752,-0.00809247918956387,0.385762937931197,0.941846890593634,NA
"DBD:DHDr2_08_A:AD:B_ZCON_37",689,8,312,54,16,3,49.9845791148465,-0.0422074437088435,0.34683457841764,0.673556114171216,NA
"DBD:DHDr2_08_A:AD:B_ZCON_6",2340,148,148,12,21,5,78.7559171500208,-0.0248890864577801,0.329529038099444,0.796767487825819,NA
"DBD:DHDr2_08_A:AD:DHDr2_00_A",390,38,230,90,34,2,63.1211471937561,0.0150194761066918,0.316152397153228,0.872773931013137,NA
"DBD:DHDr2_08_A:AD:DHDr2_00_B",1093,13,166,90,14,6,63.3038035934386,0.0432979534105035,0.34295561325115,0.662802798356296,NA
"DBD:DHDr2_08_A:AD:DHDr2_01_A",79,2,40,2,5,0,5.80606231222483,-0.282698927744417,0.827603870301152,0.186550615939154,NA
"DBD:DHDr2_08_A:AD:DHDr2_01_B",696,12,175,33,5,2,32.2144085104448,-0.0312394847832986,0.332557404070536,0.747946518164913,NA
"DBD:DHDr2_08_A:AD:DHDr2_02_A",114,38,70,16,6,6,28.9794713390291,0.25986912791994,0.619812382305424,0.118103833982478,NA
"DBD:DHDr2_08_A:AD:DHDr2_02_B",211,13,124,11,29,1,28.1819644246221,-0.245829393107179,0.646027142543478,0.148162168048604,NA
"DBD:DHDr2_08_A:AD:DHDr2_03_A",547,95,133,15,11,2,39.4450412818264,0.0408671654916316,0.314013600936547,0.661396611664262,NA
"DBD:DHDr2_08_A:AD:DHDr2_03_B",2175,10406,218,2850,34,73,2497.21990917638,5.19789342515827,0.993197299288507,4.45456552028771e-08,1.18293462149862e-06
"DBD:DHDr2_08_A:AD:DHDr2_04_A",1659,121,410,42,18,1,76.4337493619615,-0.0460112349001318,0.322562989367359,0.628202647434168,NA
"DBD:DHDr2_08_A:AD:DHDr2_04_B",2722,60,331,46,48,60,208.958721498972,0.105794083699043,0.447032242091548,0.383474182763842,0.694320679398168
"DBD:DHDr2_08_A:AD:DHDr2_05_A",681,34,199,29,27,5,51.6905892786418,-0.0455995442413908,0.283042515938775,0.606370511389547,NA
"DBD:DHDr2_08_A:AD:DHDr2_05_B",2111,112,297,30,63,9,109.390886244405,-0.0765848384061134,0.31697728855143,0.422840380098141,NA
"DBD:DHDr2_08_A:AD:DHDr2_06_A",891,4,126,32,14,2,35.092592031807,-0.0791972978433131,0.407635816079013,0.483462230556605,NA
"DBD:DHDr2_08_A:AD:DHDr2_06_B",125,2,221,20,19,3,31.3397067722861,-0.0850783405988998,0.45834651381195,0.496953542438554,NA
"DBD:DHDr2_08_A:AD:DHDr2_07_A",1165,2800,295,371,22,12,578.728478120198,3.35656314005516,1.3026167722944,0.000377332807905638,0.00412883923060121
"DBD:DHDr2_08_A:AD:DHDr2_07_B",1087,39,164,67,9,5,56.8763213624403,0.0443337444841403,0.307115437055006,0.630301221679151,NA
"DBD:DHDr2_08_A:AD:DHDr2_08_A",6,4,21,6,9,11,29.2994562761525,0.307161245281725,0.889018862232154,0.181636906528188,NA
"DBD:DHDr2_08_A:AD:DHDr2_08_B",868,4992,200,4877,11,3,2028.61621640877,5.63356032774584,1.30299457327564,2.54874313731117e-06,4.72401738225715e-05
"DBD:DHDr2_08_A:AD:DHDr2_09_A",2422,273,231,96,11,10,128.936387018045,0.118000202077231,0.405499465998207,0.296998448493761,0.615307629856497
"DBD:DHDr2_08_A:AD:DHDr2_09_B",499,1177,97,351,16,19,322.973771588571,3.91824588167066,0.863219944343701,2.2077236655431e-06,4.12562681696758e-05
"DBD:DHDr2_08_A:AD:DHDr2_10_A",1519,78,331,282,15,4,130.661085045166,0.154198333370078,0.501902277632897,0.249638675473709,0.565955679144341
"DBD:DHDr2_08_A:AD:DHDr2_10_B",2955,46,77,5,19,2,58.6397232981557,-0.332591554807361,0.798722528371204,0.114339278736698,NA
"DBD:DHDr2_08_A:AD:DHDr2_11_A",1653,157,388,43,5,2,77.0153728375209,0.00412925995143712,0.327847201706669,0.965868199065904,NA
"DBD:DHDr2_08_A:AD:DHDr2_11_B",1448,150,666,139,44,8,140.394925309117,0.020006983057577,0.257820020278523,0.812213928854487,0.930926100232955
"DBD:DHDr2_08_A:AD:DHDr2_12_A",363,37,84,25,6,5,32.6131504923174,0.120456550248018,0.383596762906557,0.27211736376789,NA
"DBD:DHDr2_08_A:AD:DHDr2_12_B",1181,60,379,57,18,5,72.1453041593301,-0.020903032842647,0.263865073358702,0.805378238797949,NA
"DBD:DHDr2_08_A:AD:DHDr2_13_A",952,11781,209,64,14,12,1849.11560565046,5.14332730198411,1.54154771978413,NA,NA
"DBD:DHDr2_08_A:AD:DHDr2_13_B",1440,257,341,50,44,8,119.679242055041,0.0426473709873953,0.283029863580113,0.629117715723158,NA
"DBD:DHDr2_08_A:AD:DHDr2_14_A",741,2,245,1557,5,154,726.392544792362,3.63179936932841,1.99075998058043,0.00132305864631542,0.0122863176133299
"DBD:DHDr2_08_A:AD:DHDr2_14_B",1169,30,222,30,15,0,42.3743658123969,-0.136743534598794,0.469255173831846,0.279597542684453,NA
"DBD:DHDr2_08_A:AD:DHDr2_15_A",1218,19,77,26,33,2,46.3869844545243,-0.164916868039374,0.501272128491913,0.219729161871221,NA
"DBD:DHDr2_08_A:AD:DHDr2_15_B",1364,168,220,36,8,2,67.6620091691672,0.0411767099174738,0.332448401779908,0.671334142552277,NA
"DBD:DHDr2_08_A:AD:DHDr2_16_A",1242,21,540,71,2,7,74.0101923828265,-0.0138631061328368,0.36150030137468,0.89452859471814,NA
"DBD:DHDr2_08_A:AD:DHDr2_16_B",973,41827,320,9156,20,226,9147.93370572886,7.49807073847874,1.00848289829504,8.39720625580983e-15,9.66151588388343e-13
"DBD:DHDr2_08_A:AD:DHDr2_17_A",106,8,18,0,3,4,12.6108503048367,0.113453987894545,0.575789673446139,0.462771902977783,NA
"DBD:DHDr2_08_A:AD:DHDr2_17_B",1126,60,346,153,15,6,95.1461580341556,0.0856250835575756,0.358321631878538,0.404881146048919,NA
"DBD:DHDr2_08_A:AD:DHDr2_18_A",1963,140,430,112,12,3,102.723047681328,0.0254880663037922,0.303676326520661,0.779855830552432,NA
"DBD:DHDr2_08_A:AD:DHDr2_18_B",1992,93,385,20,50,3,88.3403257555679,-0.207201474556212,0.502709062115421,0.136035238759929,NA
"DBD:DHDr2_08_A:AD:DHDr2_19_A",11,56,269,29,6,9,48.4603659671323,0.118372260086851,0.525735659935509,0.39893790607203,NA
"DBD:DHDr2_08_A:AD:DHDr2_19_B",1566,196,512,92,30,25,157.432168309751,0.124673903398797,0.351316474784524,0.238336942608978,0.555118846800102
"DBD:DHDr2_08_A:AD:DHDr2_20_A",293,11,38,5,9,1,14.1910291193359,-0.0985345142160947,0.425036035110211,0.397749960912164,NA
"DBD:DHDr2_08_A:AD:DHDr2_20_B",1710,76,252,67,52,13,109.622095074679,-0.00493622700214372,0.261597796962119,0.953246521840158,NA
"DBD:DHDr2_08_A:AD:ZCON_150_LL_A",1896,233,512,134,30,4,135.619425809532,0.0458181445559182,0.294021082743517,0.610827155287754,0.846322540478066
"DBD:DHDr2_08_A:AD:ZCON_150_LL_B",4622,343,519,63,41,4,171.131469015706,-0.0275624318374251,0.310434758781433,0.76580312529389,0.914767265327498
"DBD:DHDr2_08_A:AD:ZCON_150_resurf_A",1668,167,270,22,10,2,70.5644915696345,0.000598744939735006,0.320944284915407,0.994967267414382,NA
"DBD:DHDr2_08_A:AD:ZCON_150_resurf_B",532,24,284,75,20,4,58.5995589839397,0.0148075749158291,0.29927240258294,0.869735618445864,NA
"DBD:DHDr2_08_A:AD:ZCON_152_A",1299,102,180,4,6,1,44.0952618897238,-0.0357703750130481,0.387801071905926,0.746045070011952,NA
"DBD:DHDr2_08_A:AD:ZCON_152_B",442,142,109,15,28,6,60.2518064930898,0.0744999425054745,0.363041946730091,0.470972186155618,NA
"DBD:DHDr2_08_A:AD:ZCON_152_T2_A",312,28,205,31,42,1,46.3280359738562,-0.122721257320923,0.44760725462798,0.31266366298892,NA
"DBD:DHDr2_08_A:AD:ZCON_152_T2_B",197,56,52,42,17,11,53.6486503520122,0.362727857157681,0.743512065122686,0.0747137799959661,NA
"DBD:DHDr2_08_A:AD:ZCON_152_T4_A",6,0,318,22,26,0,31.6735530775365,-0.231618724592259,0.859492592368981,0.299331492516372,NA
"DBD:DHDr2_08_A:AD:ZCON_152_T4_B",4,0,396,57,12,0,37.4029361292514,-0.0499160587695787,0.62694228864979,0.775511878383998,NA
"DBD:DHDr2_08_A:AD:ZCON_154_LL_A",2156,264,383,403,69,26,268.509647566326,0.289952427701576,0.580480450253515,0.0767503250884129,0.285046700010113
"DBD:DHDr2_08_A:AD:ZCON_154_LL_B",2640,241,649,94,30,23,179.123570527307,0.060773884572806,0.28379284791016,0.499046761660634,0.780630845573868
"DBD:DHDr2_08_A:AD:ZCON_154_resurf_A",593,35,158,83,13,2,50.2624334062306,0.0681965325925522,0.346814534362103,0.495461161205182,NA
"DBD:DHDr2_08_A:AD:ZCON_154_resurf_B",763,112,253,67,15,10,80.8349199622798,0.150117353129266,0.380101927599832,0.184143824395657,NA
"DBD:DHDr2_08_A:AD:ZCON_155_LL_A",5969,642,960,212,126,38,396.806660958839,0.0512796007375974,0.261347935185743,0.555534924328888,0.814689680732959
"DBD:DHDr2_08_A:AD:ZCON_155_LL_B",2458,307,382,84,45,10,153.925732030292,0.0473886141345203,0.277819510079243,0.59027109152924,0.831844246778087
"DBD:DHDr2_08_A:AD:ZCON_155_cutT2_A",361,0,204,27,27,2,36.5638955824259,-0.12652140411149,0.564609324926248,0.399276173430514,NA
"DBD:DHDr2_08_A:AD:ZCON_155_cutT2_B",921,32,281,38,55,18,99.0987422234595,-0.00121763369197919,0.306989663932672,0.98942533270923,NA
"DBD:DHDr2_08_A:AD:ZCON_155_cutT4_A",26,0,78,4,25,0,16.422429706425,-0.758343124994297,1.47652051929478,0.0640650879757232,NA
"DBD:DHDr2_08_A:AD:ZCON_155_cutT4_B",698,91,354,2023,79,2,594.062660428264,0.915436119704886,1.47354235535255,NA,NA
"DBD:DHDr2_08_A:AD:ZCON_155_cutT5_A",1,1,64,10,55,0,31.2633998982307,-0.534629562591997,1.28054177009812,0.112533029943075,NA
"DBD:DHDr2_08_A:AD:ZCON_155_cutT5_B",6,2,1107,150,162,10,182.577017620513,-0.0980534582572539,0.587957415076085,0.539221841285519,0.8048795310781
"DBD:DHDr2_08_A:AD:ZCON_155_resurf_A",434,48,678,139,110,25,178.634634464987,0.00815195842006815,0.332140341245616,0.93335096163471,0.978890502569411
"DBD:DHDr2_08_A:AD:ZCON_155_resurf_B",587,17,237,8,17,20,69.5956521136354,0.0682401783766603,0.417541880483126,0.556357727282342,NA
"DBD:DHDr2_08_A:AD:ZCON_15_re_loop_LL_A",918,133,419,61,21,18,110.270392166421,0.108265217520274,0.346816142959916,0.293145453127711,NA
"DBD:DHDr2_08_A:AD:ZCON_15_re_loop_LL_B",2969,3533,533,1919,76,41,1198.74271850004,3.27746456485096,1.0060334266635,0.000104428013295004,0.00130996576898512
"DBD:DHDr2_08_A:AD:ZCON_15_re_loop_resurf_A",1525,146,238,99,9,15,109.469668779604,0.191278112210861,0.482050204881354,0.152079132196049,NA
"DBD:DHDr2_08_A:AD:ZCON_15_re_loop_resurf_B",2488,1110,525,384,18,9,343.806949946609,0.735656425045992,1.09679683173988,0.0286458325932205,0.142945852533862
"DBD:DHDr2_08_A:AD:ZCON_2_CC_A",2241,100,113,43,18,1,67.3411963722522,-0.0379008717346423,0.340936277627173,0.701724991592304,NA
"DBD:DHDr2_08_A:AD:ZCON_2_CC_B",1,0,27,0,3,6,14.5713437964452,0.212028815321196,0.89313058041438,0.362524796833604,NA
"DBD:DHDr2_08_A:AD:ZCON_2_CC_resurf_A",2609,359,217,14,27,3,116.109863478197,0.027055808858102,0.361878569328988,0.795280145477769,NA
"DBD:DHDr2_08_A:AD:ZCON_2_CC_resurf_B",10,33,320,89,61,3,76.2733766016184,-0.0256848314620429,0.433181754371675,0.834706030167144,NA
"DBD:DHDr2_08_A:AD:ZCON_2_CC_resurf_cutT2_A",1455,16,382,39,20,2,59.1440216690822,-0.204200663537465,0.538102753835782,0.158432772425418,NA
"DBD:DHDr2_08_A:AD:ZCON_2_CC_resurf_cutT2_B",4486,88,920,197,131,22,260.683527546405,-0.056597364512341,0.295800789884938,0.533851301581787,0.801448348350386
"DBD:DHDr2_08_A:AD:ZCON_2_CC_resurf_cutT4_A",20,11,129,8,23,0,20.3150305684176,-0.250373935916978,0.774513934829393,0.211123702839743,NA
"DBD:DHDr2_08_A:AD:ZCON_2_CC_resurf_cutT4_B",296,4,403,98,50,0,69.9480169375179,-0.0645388749948787,0.488013456445268,0.633082907621927,NA
"DBD:DHDr2_08_A:AD:ZCON_2_CC_resurf_cutT6_A",95,0,129,61,40,0,40.9980527617759,-0.0539058190546881,0.571054482773362,0.735287481183156,NA
"DBD:DHDr2_08_A:AD:ZCON_2_CC_resurf_cutT6_B",1,0,296,18,56,2,47.6909339100699,-0.25956367545522,0.892825167774623,0.26097716308736,NA
"DBD:DHDr2_08_A:AD:ZCON_37_LL_A",1605,111,323,26,42,19,113.627813091139,0.0169091856123156,0.284726328235462,0.847028823221461,NA
"DBD:DHDr2_08_A:AD:ZCON_37_LL_B",1564,123,546,69,56,15,134.191507809234,-0.00794603334284602,0.246858375770151,0.923811601190522,0.975361190654768
"DBD:DHDr2_08_A:AD:ZCON_37_resurf_A",6,9,265,12,28,2,33.1141155352012,-0.184614824657785,0.668307007242089,0.288791515402196,NA
"DBD:DHDr2_08_A:AD:ZCON_37_resurf_B",1297,51,373,63,7,2,62.2494293936372,-0.0249671946008759,0.315041448058135,0.789417747920504,NA
"DBD:DHDr2_08_A:AD:ZCON_VR_2_A",251,11,70,4,18,36,88.9488329281074,0.405444181657288,0.979619897504863,0.115967872005977,NA
"DBD:DHDr2_08_A:AD:ZCON_VR_2_B",548,183,683,145,49,19,161.558401601577,0.0922490197797909,0.348576205047334,0.363925671532073,0.680504529353195
"DBD:DHDr2_08_A:AD:ZCON_VR_2_cutT2_A",1085,214,205,32,31,3,82.4973678404248,0.0407417858520733,0.312804394949692,0.661583559360575,NA
"DBD:DHDr2_08_A:AD:ZCON_VR_2_cutT2_B",2237,364,295,25,87,4,148.868575062759,-0.0140830406724343,0.329103894831704,0.884217923439184,0.959205348862239
"DBD:DHDr2_08_A:AD:ZCON_VR_2_cutT4_A",591,11,450,42,72,3,78.4788092806216,-0.291742812998546,0.702371546730619,0.116989499103901,NA
"DBD:DHDr2_08_A:AD:ZCON_VR_2_cutT4_B",357,42,294,36,54,1,59.7294534583677,-0.13918070485308,0.472582397971038,0.274053027803565,NA
"DBD:DHDr2_08_A:AD:ZCON_VR_2_cutT6_A",1,0,219,208,27,2,79.2059614846037,0.125602364530739,0.702075954879226,0.505857456665245,NA
"DBD:DHDr2_08_A:AD:ZCON_VR_2_cutT6_B",4,0,346,52,45,2,53.41269108439,-0.0923883714356382,0.616187475668789,0.583100899188394,NA
"DBD:DHDr2_08_A:AD:ZCON_VR_2_resurf_A",249,170,242,104,7,1,70.9023791835657,0.286124109215014,0.709375904157089,0.125931008424967,NA
"DBD:DHDr2_08_A:AD:ZCON_VR_2_resurf_B",769,155,238,74,25,33,139.156896061529,0.508477890541945,0.823034438942147,0.0362502603427237,0.170054165512715
"DBD:DHDr2_08_A:AD:mALb8_A",574,110,432,54,31,9,88.3070179190327,0.0283194878619949,0.270640185551063,0.74175461072161,NA
"DBD:DHDr2_08_A:AD:mALb8_B",546,45,185,13,27,2,41.1152134228875,-0.10256952421414,0.37089168981357,0.333409099899904,NA
"DBD:DHDr2_08_A:AD:mALb8_cutT1_A",327,11,315,105,26,0,58.0826438696933,-0.000450051425460023,0.408767387595558,0.996934041093117,NA
"DBD:DHDr2_08_A:AD:mALb8_cutT1_B",272,8,213,49,137,58,206.113961081072,0.065121781838526,0.485624655433358,0.628182099488567,0.856686783452228
"DBD:DHDr2_08_A:AD:mALb8_cutT2_A",415,0,283,51,50,2,57.5161240802857,-0.120711463216949,0.571049266891975,0.428385753094282,NA
"DBD:DHDr2_08_A:AD:mALb8_cutT2_B",4,5,291,38,42,4,50.7985154254363,-0.0726912163375591,0.514465302089966,0.608075684053634,NA
"DBD:DHDr2_08_A:AD:mALb8_cutT3_A",4,15,165,14,54,7,52.332410370862,-0.0680383008517196,0.503471354187813,0.624873505395293,NA
"DBD:DHDr2_08_A:AD:mALb8_cutT3_B",551,20,325,51,22,0,46.8247153432904,-0.0801954503442383,0.415744967003088,0.485191950404416,NA
"DBD:DHDr2_08_A:AD:mALb8_cutT4_A",2,0,218,28,35,0,33.0309582184402,-0.172385139636373,0.78721790303421,0.406588157824594,NA
"DBD:DHDr2_08_A:AD:mALb8_cutT4_B",818,9,153,16,22,1,33.8494576919134,-0.384279731402988,0.77276196991714,0.0702613847538782,NA
"DBD:DHDr2_08_B:AD:A_ZCON_13",374,23,102,55,5,1,30.5977412152458,0.089173495834109,0.4018981449137,0.423899914070736,NA
"DBD:DHDr2_08_B:AD:A_ZCON_150",2480,33,306,41,19,2,70.3070729789954,-0.203649710245251,0.531486322102133,0.155900150481675,NA
"DBD:DHDr2_08_B:AD:A_ZCON_154",3204,393,181,30,71,11,167.240706044471,0.0178112728142648,0.322064122232629,0.851384600006099,0.944026700346941
