,trp1_l62_2mM,his1_l62_2mM,trp1_l67,his1_l67
DBD:Jerala_P8:AD:Jerala_P4,2412,169,130.0,2.0
DBD:Jerala_P8:AD:Jerala_P5,2825,171,140.0,5.0
DBD:Jerala_P8:AD:Jerala_P6,4016,254,208.0,14.0
DBD:Jerala_P8:AD:Jerala_P7,2410,18154,97.0,3182.0
DBD:Jerala_P8:AD:Jerala_P8,6,2,1.0,0.0
DBD:Jerala_P8:AD:Jerala_P9,3173,209,50.0,3.0
DBD:Jerala_P8:AD:Jerala_P10,3672,228,179.0,5.0
DBD:Jerala_P8:AD:Jerala_P11,3954,220,189.0,12.0
DBD:Jerala_P8:AD:Jerala_P12,3632,164,292.0,23.0
DBD:Jerala_P9:AD:Jerala_P1,1977,126,170.0,21.0
DBD:Jerala_P9:AD:Jerala_P2,2000,106,193.0,26.0
DBD:Jerala_P9:AD:Jerala_P3,3530,163,299.0,19.0
DBD:Jerala_P9:AD:Jerala_P4,1269,67,125.0,7.0
DBD:Jerala_P9:AD:Jerala_P5,3753,4194,113.0,11.0
DBD:Jerala_P9:AD:Jerala_P6,2971,159,131.0,6.0
DBD:Jerala_P9:AD:Jerala_P7,4101,178,186.0,8.0
DBD:Jerala_P9:AD:Jerala_P8,2754,126,176.0,17.0
DBD:Jerala_P9:AD:Jerala_P10,2408,42353,112.0,2876.0
DBD:Jerala_P9:AD:Jerala_P11,2956,130,153.0,7.0
DBD:Jerala_P9:AD:Jerala_P12,2564,229,259.0,13.0
DBD:Jerala_P10:AD:Jerala_P1,5098,337,192.0,15.0
DBD:Jerala_P10:AD:Jerala_P2,6044,422,166.0,9.0
DBD:Jerala_P10:AD:Jerala_P3,4536,309,505.0,59.0
DBD:Jerala_P10:AD:Jerala_P4,3674,219,135.0,5.0
DBD:Jerala_P10:AD:Jerala_P5,3297,218,234.0,6.0
DBD:Jerala_P10:AD:Jerala_P6,4966,333,256.0,33.0
DBD:Jerala_P10:AD:Jerala_P7,1732,107,294.0,13.0
DBD:Jerala_P10:AD:Jerala_P8,11007,741,187.0,6.0
DBD:Jerala_P10:AD:Jerala_P9,1733,70229,128.0,4934.0
DBD:Jerala_P10:AD:Jerala_P11,4496,310,213.0,5.0
DBD:Jerala_P10:AD:Jerala_P12,3496,227,154.0,4.0
DBD:Jerala_P11:AD:Jerala_P1,2447,188,114.0,53.0
DBD:Jerala_P11:AD:Jerala_P2,1686,171,212.0,139.0
DBD:Jerala_P11:AD:Jerala_P3,3184,572,129.0,42.0
DBD:Jerala_P11:AD:Jerala_P4,2329,351,158.0,361.0
DBD:Jerala_P11:AD:Jerala_P5,3164,6665,269.0,211.0
DBD:Jerala_P11:AD:Jerala_P6,3874,272,239.0,110.0
DBD:Jerala_P11:AD:Jerala_P7,3782,382,115.0,71.0
DBD:Jerala_P11:AD:Jerala_P8,2516,199,159.0,71.0
DBD:Jerala_P11:AD:Jerala_P9,835,78,61.0,5.0
DBD:Jerala_P11:AD:Jerala_P10,2542,389,152.0,61.0
DBD:Jerala_P11:AD:Jerala_P11,198,77,19.0,6.0
DBD:Jerala_P11:AD:Jerala_P12,1351,5200,35.0,705.0
DBD:Jerala_P12:AD:Jerala_P1,834,50,192.0,9.0
DBD:Jerala_P12:AD:Jerala_P2,3205,200,152.0,3.0
DBD:Jerala_P12:AD:Jerala_P3,1265,75,137.0,156.0
DBD:Jerala_P12:AD:Jerala_P4,2022,117,203.0,12.0
DBD:Jerala_P12:AD:Jerala_P5,4485,274,152.0,8.0
DBD:Jerala_P12:AD:Jerala_P6,3638,242,278.0,13.0
DBD:Jerala_P12:AD:Jerala_P7,5175,265,206.0,8.0
DBD:Jerala_P12:AD:Jerala_P8,2890,194,197.0,6.0
DBD:Jerala_P12:AD:Jerala_P9,1442,241,60.0,2.0
DBD:Jerala_P12:AD:Jerala_P10,3535,5395,201.0,8.0
DBD:Jerala_P12:AD:Jerala_P11,822,15002,121.0,2719.0
DBD:Jerala_P12:AD:Jerala_P12,1433,86,104.0,1.0
