"","trp1_l61_2mM","his1_l61_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P2",1356,62934,148,5223,36143.7706673903,8.94588852614189,0.763942335923865,4.15957285576925e-32,5.61542335528849e-31
"DBD:Jerala_P1:AD:Jerala_P3",3068,215,199,13,209.14175919012,-0.0829573288238319,0.255050672569317,0.514440484802462,NA
"DBD:Jerala_P1:AD:Jerala_P4",1644,129,166,15,172.945742935523,0.0146091508667952,0.270077054785039,0.898044789804257,NA
"DBD:Jerala_P1:AD:Jerala_P5",2895,251,96,6,145.007948440578,-0.0181711727957853,0.25550513361727,0.883586778568333,NA
"DBD:Jerala_P1:AD:Jerala_P6",4762,381,209,27,335.599041690323,0.0733914077217974,0.274681894346961,0.527819836342132,0.647778890056253
"DBD:Jerala_P1:AD:Jerala_P7",3556,281,193,6,190.075593308759,-0.160982209954463,0.254002706852471,0.229851005004297,NA
"DBD:Jerala_P1:AD:Jerala_P8",2271,171,202,5,150.186415731371,-0.227078243362335,0.306264489261951,0.0931373834171896,NA
"DBD:Jerala_P1:AD:Jerala_P9",2007,951,115,11,270.434801353225,0.737910436622683,0.732989424240685,0.00414019886430345,0.0149047159114924
"DBD:Jerala_P1:AD:Jerala_P10",4838,250,196,7,211.733897564384,-0.263055963831705,0.29040089632971,0.0627268956287363,NA
"DBD:Jerala_P1:AD:Jerala_P11",2468,144,190,17,205.91244492175,-0.0145726926120217,0.267353001191077,0.899887920416714,NA
"DBD:Jerala_P1:AD:Jerala_P12",2808,1334,179,16,387.543402442519,0.436402531118497,0.596249648039328,0.0205045513895852,0.0442898310015041
"DBD:Jerala_P2:AD:Jerala_P3",3980,599,252,7,269.379899552977,-0.00382682233019703,0.263072164593317,0.974269078275521,0.974269078275521
"DBD:Jerala_P2:AD:Jerala_P4",2330,211,147,97,603.905334919809,0.777338088504848,1.22267565602845,0.0204077375019373,0.0442898310015041
"DBD:Jerala_P2:AD:Jerala_P5",5504,1073,278,32,501.239679608115,0.165718595288539,0.325930492339976,0.177112713190686,0.265669069786029
"DBD:Jerala_P2:AD:Jerala_P6",3296,1184,192,2,305.546924568498,0.113218197514726,0.340782639238069,0.308047188431045,0.405720687201864
"DBD:Jerala_P2:AD:Jerala_P7",4359,341,109,5,181.349661108637,-0.0586127117754687,0.261092730532289,0.631340525830992,NA
"DBD:Jerala_P2:AD:Jerala_P8",4395,363,187,12,244.59926070941,-0.0396258688826252,0.249643531746922,0.75758380559719,0.818190510044965
"DBD:Jerala_P2:AD:Jerala_P9",1814,138,91,5,103.609689443072,-0.0721117774356005,0.266251848958608,0.548951576120514,NA
"DBD:Jerala_P2:AD:Jerala_P10",3133,253,98,4,139.664658575783,-0.0609970170374466,0.263596693111275,0.613703410558771,NA
"DBD:Jerala_P2:AD:Jerala_P11",3345,247,162,12,202.116768928314,-0.0550602054227348,0.246850705166095,0.672993441794711,NA
"DBD:Jerala_P2:AD:Jerala_P12",3622,349,120,4,169.147789818937,-0.0369745945182077,0.258728933279735,0.762719694701363,NA
"DBD:Jerala_P3:AD:Jerala_P4",269,11454,79,2683,15322.3162715762,8.83325493221057,1.05534877680396,2.1318738606215e-17,1.2791243163729e-16
"DBD:Jerala_P3:AD:Jerala_P5",2565,192,106,39,299.904077826916,0.313356821739217,0.539101659209255,0.0505187561327047,0.097429029684502
"DBD:Jerala_P3:AD:Jerala_P6",1728,110,210,7,144.574120005753,-0.212607381228265,0.342221256152284,0.105799223817495,NA
"DBD:Jerala_P3:AD:Jerala_P7",2176,141,134,6,128.131684429411,-0.155285438104943,0.275033188910289,0.224109040925914,NA
"DBD:Jerala_P3:AD:Jerala_P8",1716,120,125,26,215.50554048036,0.178332479115701,0.352066111401941,0.151817008528381,NA
"DBD:Jerala_P3:AD:Jerala_P9",2965,175,77,2,108.34047526265,-0.124847789701674,0.298927718250573,0.288373208154611,NA
"DBD:Jerala_P3:AD:Jerala_P10",3781,256,94,7,164.378683740656,-0.0547160845392318,0.258541378491217,0.657637120504595,NA
"DBD:Jerala_P3:AD:Jerala_P11",1641,95,175,5,120.012465616812,-0.261327523169684,0.389015706015308,0.0642809497300177,NA
"DBD:Jerala_P3:AD:Jerala_P12",1691,116,53,0,61.3495402326509,-0.091809684233823,0.358275806968303,0.389029499336693,NA
"DBD:Jerala_P4:AD:Jerala_P5",4121,341,257,7,233.147875350821,-0.165555617999334,0.26494044513468,0.2082666931086,0.303956795347687
"DBD:Jerala_P4:AD:Jerala_P6",4917,347,296,11,278.960769946432,-0.157925384605713,0.271406561360506,0.220790760821003,0.313755291693005
"DBD:Jerala_P4:AD:Jerala_P7",3106,236,149,7,167.398386403835,-0.11529384094521,0.24926910153086,0.383013087131851,NA
"DBD:Jerala_P4:AD:Jerala_P8",2262,193,225,6,165.5689288351,-0.199647502054685,0.288804832297187,0.130999955049875,NA
"DBD:Jerala_P4:AD:Jerala_P9",4152,360,128,11,217.058683638854,0.0167559101165624,0.250301038298024,0.895468841078061,NA
"DBD:Jerala_P4:AD:Jerala_P10",4647,966,244,30,450.396106931892,0.207463137279214,0.339428175523917,0.111925590853213,0.183150966850711
"DBD:Jerala_P4:AD:Jerala_P11",2266,1524,130,16,393.275917944757,1.13663353927335,1.02730505461428,0.00267495421254249,0.0103176805340925
"DBD:Jerala_P4:AD:Jerala_P12",3052,268,214,6,186.457109572435,-0.163395788137808,0.258126817319862,0.219688010985365,NA
"DBD:Jerala_P5:AD:Jerala_P6",1203,21659,220,5264,29966.7069685813,8.23573078726661,0.972232076180918,1.02944940646672e-17,6.94878349365033e-17
"DBD:Jerala_P5:AD:Jerala_P7",3083,347,192,8,202.516858152456,-0.0359461445593475,0.244417263198423,0.784383854996487,NA
"DBD:Jerala_P5:AD:Jerala_P8",2649,196,202,2,144.997538070874,-0.259142894040384,0.357106532410854,0.0643557070174114,NA
"DBD:Jerala_P5:AD:Jerala_P9",2917,257,166,8,177.900711090031,-0.0851464419398423,0.244687894517794,0.521011773680453,NA
"DBD:Jerala_P5:AD:Jerala_P10",2038,135,77,2,87.3067433153582,-0.113230208880184,0.295968588791655,0.32879431897322,NA
"DBD:Jerala_P5:AD:Jerala_P11",2945,871,204,36,426.355278393264,0.444792228883868,0.570819240106519,0.0175559776474695,0.0434832166858281
"DBD:Jerala_P5:AD:Jerala_P12",3141,283,220,6,192.053601778651,-0.157543251903847,0.257491465284169,0.235202703170902,NA
"DBD:Jerala_P6:AD:Jerala_P7",3166,244,160,5,162.907330760399,-0.14853922411339,0.258419048754171,0.258741162042744,NA
"DBD:Jerala_P6:AD:Jerala_P8",2849,193,105,14,178.346232824333,0.0366978100702533,0.257037306755502,0.766488921230776,NA
"DBD:Jerala_P6:AD:Jerala_P9",1546,2437,163,357,2251.4850055858,4.39544351717,1.64446705118914,0.000255293221591659,0.00106044876661151
"DBD:Jerala_P6:AD:Jerala_P10",2524,159,164,374,1999.67705539139,2.0500165305973,2.30102869898479,0.00920415230133492,0.0292367190748286
"DBD:Jerala_P6:AD:Jerala_P11",2376,196,122,14,176.475306396937,0.0509013329196247,0.255365701438766,0.684418559940069,NA
"DBD:Jerala_P6:AD:Jerala_P12",1919,140,219,11,175.203868975122,-0.112380945594862,0.277974469003818,0.350976323629775,NA
"DBD:Jerala_P7:AD:Jerala_P8",2019,3266,92,2263,11968.1087937435,7.3853752521345,1.11444093717435,1.69676431889011e-11,8.32957029273328e-11
"DBD:Jerala_P7:AD:Jerala_P9",2028,141,160,11,158.952333211817,-0.0661101229706322,0.264964025928525,0.583175286455388,NA
"DBD:Jerala_P7:AD:Jerala_P10",1334,124,58,3,73.5320409009,-0.0193407726532557,0.279110940887958,0.858828093153521,NA
"DBD:Jerala_P7:AD:Jerala_P11",2102,1348,92,5,296.241118899893,0.708771768251721,0.899021982524157,0.0100807038702082,0.0302421116106247
"DBD:Jerala_P7:AD:Jerala_P12",2541,201,157,6,150.353985489342,-0.13790453554525,0.25911140397268,0.289556511462527,NA
"DBD:Jerala_P8:AD:Jerala_P9",3133,260,50,3,120.946409404006,-0.0137465498761817,0.278272281834445,0.899602466872524,NA
"DBD:Jerala_P8:AD:Jerala_P10",1600,1096,179,5,275.880291211,0.260414010275537,0.45927960795227,0.0710521231801593,0.12376821457189
"DBD:Jerala_P8:AD:Jerala_P11",2190,176,189,12,180.932727462067,-0.0637462876570027,0.259848657215741,0.60498901070866,NA
"DBD:Jerala_P8:AD:Jerala_P12",3965,370,292,23,326.525441886972,0.0198621882134109,0.267517004077056,0.863915317015066,0.897142829207953
"DBD:Jerala_P9:AD:Jerala_P10",1339,69496,112,2876,25326.4233306906,8.73342904975169,0.665318903198305,8.97119782827791e-40,2.42222341363503e-38
"DBD:Jerala_P9:AD:Jerala_P11",2204,137,153,7,138.841934488425,-0.166430683047543,0.280743602459411,0.194221282392342,NA
"DBD:Jerala_P9:AD:Jerala_P12",3540,219,259,13,235.770241847513,-0.142864989442995,0.270704414655163,0.261047035555851,0.361449741538871
"DBD:Jerala_P10:AD:Jerala_P11",2959,2000,213,5,448.322940195505,0.252325958853319,0.552203183666008,0.0913981311389643,0.154234346297002
"DBD:Jerala_P10:AD:Jerala_P12",7001,604,154,4,273.217625228392,-0.055380462330772,0.283615344723022,0.614541532756487,0.721418321061963
"DBD:Jerala_P11:AD:Jerala_P12",1073,8068,183,5374,28398.9366908285,8.34148510366627,1.09948056239705,1.3452168365658e-14,7.26417091745534e-14
"DBD:Jerala_P1:AD:Jerala_P1",14,8,4,0,2.69557071915421,0.037595374240531,1.17678732720511,0.897574194346265,NA
"DBD:Jerala_P2:AD:Jerala_P2",48,9,2,1,7.81723546764758,0.149824276184253,0.995843288598434,0.52932946128524,NA
"DBD:Jerala_P3:AD:Jerala_P3",1540,135,51,2,71.3423725172765,-0.0292905550055927,0.287122720985936,0.781452093744896,NA
"DBD:Jerala_P4:AD:Jerala_P4",9,3,2,0,1.22463919109213,0.0515420499455302,1.18985461135122,0.861092241405803,NA
"DBD:Jerala_P5:AD:Jerala_P5",1320,174,51,1,68.8357256657243,0.00758336038104827,0.293310285320574,0.940696798064264,NA
"DBD:Jerala_P6:AD:Jerala_P6",23,6,1,1,6.64429264481051,0.233792153781019,1.22071513679409,0.414826437142638,NA
"DBD:Jerala_P7:AD:Jerala_P7",1564,123,68,1,70.0564176511696,-0.0853941153106675,0.310720589979383,0.428984779125266,NA
"DBD:Jerala_P8:AD:Jerala_P8",3,0,1,0,0.355618730668141,0.0510757041654604,1.20469785272048,0.863813657021408,NA
"DBD:Jerala_P12:AD:Jerala_P12",3174,301,104,1,134.499117806785,-0.0640696962935556,0.280747595626409,0.568433910509275,NA
"DBD:Jerala_P2:AD:Jerala_P1",571,31951,76,1339,11735.1128740411,8.38014317395746,0.789707576781087,1.09085635576074e-26,9.8177072018467e-26
"DBD:Jerala_P3:AD:Jerala_P1",1615,117,202,11,161.543210449056,-0.0875985949097272,0.280863252226965,0.448966010720939,NA
"DBD:Jerala_P4:AD:Jerala_P1",2322,174,248,20,241.187561747957,0.00367184292861013,0.273328489728267,0.973777190486653,0.974269078275521
"DBD:Jerala_P5:AD:Jerala_P1",3203,221,161,9,180.390347295273,-0.126702607350887,0.249244555191818,0.340543584723953,NA
