"","trp1_l68","his1_l68","trp1_new_1_smaller","his1_new_1_smaller","trp1_new_2_smaller","his1_new_2_smaller","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:PUMA_M144A_I137A:AD:PUMA_M144A_E132A",8020,954,1642,62,977,164,1052.54936834301,-0.0288060212376315,0.381703046975012,0.866194646866999,NA
"DBD:PUMA_M144A_R143A:AD:PUMA_M144A_E132A",9764,761,1360,66,612,79,961.163790489255,-0.109930594624873,0.406694794594582,0.526531230204467,NA
"DBD:PUMA_M144A_W133F:AD:PUMA_M144A_E132A",7637,574,575,16,244,26,652.210589533464,-0.0680405208221045,0.555387043012345,NA,NA
"DBD:PUMA_M144A_Y152A:AD:PUMA_M144A_E132A",6364,307,1646,164,1106,100,760.545423894556,-0.286475633674744,0.38143451625737,0.150501514081343,NA
"DBD:Jerala_P1:AD:PUMA_M144A_E132A",1161,177,4946,10645,3364,414,7333.27992237169,1.08892088932328,1.5295538144514,NA,NA
"DBD:Jerala_P2:AD:PUMA_M144A_E132A",5113,225,2202,110,1347,1001,1077.67632796303,0.0524793916843328,0.364462402621623,0.767197230293181,NA
"DBD:Jerala_P3:AD:PUMA_M144A_E132A",1776,72,1634,124,1011,107,431.49726662067,-0.351663581868684,0.368763407618063,0.0879101619808957,NA
"DBD:Jerala_P4:AD:PUMA_M144A_E132A",2418,228,4592,2141,3033,688,2368.11735810232,0.239527032153513,0.528721653448854,0.220181976906785,0.369965634666503
"DBD:Jerala_P5:AD:PUMA_M144A_E132A",1211,53,1946,168,1894,715,789.843032553473,0.0468735867033923,0.370300805333169,0.788949496599452,NA
"DBD:Jerala_P6:AD:PUMA_M144A_E132A",1591,175,2106,5322,817,92,3587.38824474344,1.76447425718334,1.765297056274,NA,NA
"DBD:Jerala_P7:AD:PUMA_M144A_E132A",949,111,2372,103,971,395,562.189872067496,-0.0214708977849734,0.34340535862512,0.907028327395222,NA
"DBD:Jerala_P8:AD:PUMA_M144A_E132A",1383,89,2124,124,1088,74,445.986455486502,-0.411485789021287,0.413324575334291,0.0551408705343507,NA
"DBD:Jerala_P9:AD:PUMA_M144A_E132A",2798,348,2570,3486,1074,179,2702.04372046432,0.878124154984053,1.18388927612708,NA,NA
"DBD:Jerala_P10:AD:PUMA_M144A_E132A",3299,141,2297,109,1357,284,668.586130176208,-0.324199100860906,0.342056137907078,0.110688861824232,NA
"DBD:Jerala_P11:AD:PUMA_M144A_E132A",1213,49,1284,251,1036,601,661.831334778474,0.220636819696101,0.395836165472055,0.245964509872546,NA
"DBD:Jerala_P12:AD:PUMA_M144A_E132A",768,66,1748,54,1745,200,463.44346834066,-0.357694215140239,0.448651079904368,0.0885041356264306,NA
"DBD:PUMA_M144A_E158A:AD:PUMA_M144A_E136G",12352,573,1992,893,1239,197,1645.39213082118,0.021297723946049,0.389249745605983,0.899611014296377,0.945633986139376
"DBD:PUMA_M144A_I137A:AD:PUMA_M144A_E136G",9305,841,1510,2108,661,71,2209.92396776839,0.284317306839783,0.623264105618053,0.179161516212389,0.318514399953175
"DBD:PUMA_M144A_R143A:AD:PUMA_M144A_E136G",9210,519,1057,60,830,177,877.654594359111,-0.177650492426351,0.404081437343326,0.332727794436011,NA
"DBD:PUMA_M144A_W133F:AD:PUMA_M144A_E136G",3375,198,594,16,293,73,336.51017738837,-0.186098769932406,0.410891108284668,0.312305890367231,NA
"DBD:PUMA_M144A_Y152A:AD:PUMA_M144A_E136G",10492,527,1392,2295,607,84,2236.92738076321,0.245431355556303,0.595457206721452,0.22531952688966,0.374773893210411
"DBD:Jerala_P1:AD:PUMA_M144A_E136G",2931,277,4634,222,2372,324,1042.5087743068,-0.267937220994757,0.358527637805005,0.176207616608683,NA
"DBD:Jerala_P2:AD:PUMA_M144A_E136G",3011,124,2424,2383,1585,193,2005.68421716751,0.408549575550205,0.733991343215002,NA,NA
"DBD:Jerala_P3:AD:PUMA_M144A_E136G",770,29,1559,77,1169,246,411.281143072156,-0.156724403483017,0.380081257028368,0.392578923524409,NA
"DBD:Jerala_P4:AD:PUMA_M144A_E136G",1375,122,2771,167,1946,388,744.434487973953,-0.137278111995253,0.348227603920858,0.464688833361357,NA
"DBD:Jerala_P5:AD:PUMA_M144A_E136G",2657,195,1771,67,1196,129,523.172513797608,-0.423283727342015,0.367211689659249,0.046019745935548,NA
"DBD:Jerala_P6:AD:PUMA_M144A_E136G",829,106,2445,185,1079,399,621.245538907655,0.0312200004424222,0.345143299251715,0.864808102649983,NA
"DBD:Jerala_P7:AD:PUMA_M144A_E136G",2155,117,1301,176,923,80,456.697378984765,-0.180617001236459,0.336594600098894,0.349846831263384,NA
"DBD:Jerala_P8:AD:PUMA_M144A_E136G",2515,154,1445,103,728,230,496.311701952997,-0.119742480013547,0.312102119360599,0.539042189941329,NA
"DBD:Jerala_P9:AD:PUMA_M144A_E136G",1650,239,1224,53,727,46,372.27227304496,-0.164323499638101,0.358841465757103,0.381619418112486,NA
"DBD:Jerala_P10:AD:PUMA_M144A_E136G",2427,83,1774,1052,1124,1842,1770.80783415986,0.746636499983618,0.941652895404035,0.0249758287450431,0.0853453874341151
"DBD:Jerala_P11:AD:PUMA_M144A_E136G",1536,155,2220,347,1198,380,759.489264713333,0.128513962771996,0.337696444110985,0.498243525318126,NA
"DBD:Jerala_P12:AD:PUMA_M144A_E136G",872,36,2201,204,1249,138,497.763942275854,-0.163911764980644,0.377000849903882,0.37474598642443,NA
"DBD:PUMA_M144A_I137A:AD:PUMA_M144A_E158A",5510,669,137,22,74,22,555.687535900522,0.0218953482755686,0.584383065654939,NA,NA
"DBD:PUMA_M144A_R143A:AD:PUMA_M144A_E158A",10835,616,222,2,66,1,750.324324961437,-0.0891658535296366,0.759917997078091,NA,NA
"DBD:PUMA_M144A_W133F:AD:PUMA_M144A_E158A",4070,295,90,0,36,12,314.098845993774,-0.0510581642564555,0.742935694910004,NA,NA
"DBD:PUMA_M144A_Y152A:AD:PUMA_M144A_E158A",3283,224,119,10,64,9,259.758462988133,-0.0665744354392935,0.576154730193024,NA,NA
"DBD:Jerala_P1:AD:PUMA_M144A_E158A",1019,21,477,21,389,33,148.959768414115,-0.626694906560247,0.697511137025043,0.0233417546295568,NA
"DBD:Jerala_P2:AD:PUMA_M144A_E158A",254,8,745,17,202,46,111.112240772871,-0.253218023862577,0.522411298029593,0.19921911916011,NA
"DBD:Jerala_P3:AD:PUMA_M144A_E158A",1748,146,214,4,173,82,204.512212256855,-0.0238242155882611,0.404684640548171,0.885922939583598,NA
"DBD:Jerala_P4:AD:PUMA_M144A_E158A",2501,607,531,44,324,55,475.594242630536,0.171315510923736,0.411164440624502,NA,NA
"DBD:Jerala_P5:AD:PUMA_M144A_E158A",801,78,289,7,74,10,101.247785336725,-0.0899742193383198,0.440302242721061,0.594629531951643,NA
"DBD:Jerala_P6:AD:PUMA_M144A_E158A",1105,123,249,9,183,16,145.357393012059,-0.0654492849028448,0.413148587058456,0.696549963978559,NA
"DBD:Jerala_P7:AD:PUMA_M144A_E158A",978,47,174,14,155,7,100.100020406998,-0.219902216812331,0.509925624071281,0.249136708811637,NA
"DBD:Jerala_P8:AD:PUMA_M144A_E158A",2588,10283,231,15,89,10,4396.01908961901,3.05015642331105,2.30212912007615,NA,NA
"DBD:Jerala_P9:AD:PUMA_M144A_E158A",1174,55,170,7,160,22,114.335985805196,-0.211426000872542,0.491177632823506,0.26169392734112,NA
"DBD:Jerala_P10:AD:PUMA_M144A_E158A",4270,238,217,20,245,18,342.928433354382,-0.173689373546156,0.458617464780483,0.337551734732998,NA
"DBD:Jerala_P11:AD:PUMA_M144A_E158A",3123,171,128,78,318,22,303.381162338053,-0.0926631339244619,0.400947052498795,0.590461203061706,NA
"DBD:Jerala_P12:AD:PUMA_M144A_E158A",1296,110,264,14,113,2,139.31504954851,-0.094637665924907,0.453873088018217,0.577126837458238,NA
"DBD:PUMA_M144A_R143A:AD:PUMA_M144A_I137A",9166,495,1000,104,933,118,874.245549189686,-0.197972139216737,0.405426719640838,0.287951234578809,NA
"DBD:PUMA_M144A_W133F:AD:PUMA_M144A_I137A",7981,630,798,40,220,52,727.265155561377,-0.0544151944532378,0.506880588442747,0.750574569155774,NA
"DBD:PUMA_M144A_Y152A:AD:PUMA_M144A_I137A",8829,412,1707,45,937,207,872.027825436316,-0.278977601370159,0.43673712827553,0.158854725481905,NA
"DBD:Jerala_P1:AD:PUMA_M144A_I137A",2947,258,4445,619,3583,26305,12307.7856197306,2.40335750654976,1.89414666073908,NA,NA
"DBD:Jerala_P2:AD:PUMA_M144A_I137A",3514,251,2525,79,1846,408,821.306487608393,-0.209164019801741,0.34676183827937,0.280469383824009,NA
"DBD:Jerala_P3:AD:PUMA_M144A_I137A",2286,151,1733,105,1152,174,523.66137671099,-0.310497094161194,0.31935649463122,0.124497714720996,NA
"DBD:Jerala_P4:AD:PUMA_M144A_I137A",2440,244,3623,210,2457,360,960.523264608418,-0.211314611609559,0.344614098181825,0.276679357025154,NA
"DBD:Jerala_P5:AD:PUMA_M144A_I137A",2435,181,2591,185,1206,1012,1002.17239972606,0.170388766600093,0.375335297102989,0.358840729576672,NA
"DBD:Jerala_P6:AD:PUMA_M144A_I137A",1462,82,1395,102,978,95,385.325599193254,-0.343318366338106,0.36158587456077,0.0941742754509931,NA
"DBD:Jerala_P7:AD:PUMA_M144A_I137A",834,50,1480,165,785,346,473.788615377699,0.0931656658512055,0.354909525761919,0.610251168470299,NA
"DBD:Jerala_P8:AD:PUMA_M144A_I137A",1290,81,1981,127,1194,4077,2125.22303805165,0.890995019030689,1.20508105984018,NA,NA
"DBD:Jerala_P9:AD:PUMA_M144A_I137A",2051,218,1605,143,1040,184,548.693209354633,-0.0952764425419681,0.300906269915962,0.626997529701355,NA
"DBD:Jerala_P10:AD:PUMA_M144A_I137A",4510,220,2205,7535,1786,4014,6814.16232450948,2.20933829054382,1.7643620037737,0.00445841313162026,0.0222470311820243
"DBD:Jerala_P11:AD:PUMA_M144A_I137A",1846,211,2142,440,929,416,834.98798719235,0.262959689154323,0.357035925474759,0.183498259394607,NA
"DBD:Jerala_P12:AD:PUMA_M144A_I137A",601,64,1963,101,1307,230,465.313496840311,-0.169073384148159,0.368391352101464,0.364972800312208,NA
"DBD:PUMA_M144A_W133F:AD:PUMA_M144A_R143A",4600,392,617,19,287,24,452.212813185659,-0.0676023847390127,0.501210866357136,NA,NA
"DBD:PUMA_M144A_Y152A:AD:PUMA_M144A_R143A",10359,696,1384,53,1102,171,1042.28123620199,-0.156070386431574,0.411060380793016,0.385000211907728,NA
"DBD:Jerala_P1:AD:PUMA_M144A_R143A",2333,219,4635,2448,2762,423,2408.69582071016,0.257170532986814,0.567108801106065,0.201795828921289,0.348556431773135
"DBD:Jerala_P2:AD:PUMA_M144A_R143A",3707,175,2733,122,1915,289,794.147052754849,-0.408546434984343,0.368438959517875,0.052908517068939,NA
"DBD:Jerala_P3:AD:PUMA_M144A_R143A",1893,106,1625,192,1109,205,541.988992798218,-0.102021183181857,0.320123386491641,0.596907680202851,NA
"DBD:Jerala_P4:AD:PUMA_M144A_R143A",1823,158,3919,1887,2071,389,1895.62630104005,0.27024678682968,0.552189096276282,0.181750409111434,0.319518512815118
"DBD:Jerala_P5:AD:PUMA_M144A_R143A",2133,207,2269,206,1312,214,667.300544017133,-0.120956122807877,0.310023837767488,0.535689466496782,NA
"DBD:Jerala_P6:AD:PUMA_M144A_R143A",1220,177,1862,794,823,151,866.202541850171,0.360563767397573,0.497176842961507,0.0911124734985972,NA
"DBD:Jerala_P7:AD:PUMA_M144A_R143A",1227,144,1520,89,1017,10715,4869.81194939125,2.67289798982404,1.99444757612653,NA,NA
"DBD:Jerala_P8:AD:PUMA_M144A_R143A",1473,147,2720,152,1213,105,553.731259485927,-0.318928490012244,0.363440239371473,0.115968908555452,NA
"DBD:Jerala_P9:AD:PUMA_M144A_R143A",2741,339,1677,120,1029,124,593.208789499945,-0.115400526814563,0.321644227522496,0.549842921045897,NA
"DBD:Jerala_P10:AD:PUMA_M144A_R143A",2926,775,1817,138,1791,1055,1269.41351981044,0.273415342873441,0.423495842881295,0.165287726867731,NA
"DBD:Jerala_P11:AD:PUMA_M144A_R143A",711,41,1295,169,861,461,511.524973489081,0.163925115033557,0.380278112936315,0.373446806870375,NA
"DBD:Jerala_P12:AD:PUMA_M144A_R143A",2990,479,2379,1295,1179,264,1484.74408646996,0.403600502118085,0.564891973433458,0.0739107372002219,0.191161801973349
"DBD:PUMA_M144A_Y152A:AD:PUMA_M144A_W133F",6330,302,1536,413,934,65,867.333662143728,-0.0541072530735282,0.364994270744827,0.760080025669947,NA
"DBD:Jerala_P1:AD:PUMA_M144A_W133F",2123,137,5664,5478,3104,594,4354.08657454716,0.479960874097392,0.927984714127407,0.0923616657635139,0.215200391208497
"DBD:Jerala_P2:AD:PUMA_M144A_W133F",3453,160,3208,258,2179,254,900.202007665547,-0.2914279628343,0.355909190428013,0.145918854165977,NA
"DBD:Jerala_P3:AD:PUMA_M144A_W133F",2104,202,1659,172,1411,186,603.545372167912,-0.145774882926996,0.308733988630296,0.457219888562571,NA
"DBD:Jerala_P4:AD:PUMA_M144A_W133F",2793,191,6168,972,2543,487,1632.87557107506,0.0352335132259774,0.383718372299805,0.836486601441733,0.909296028470732
"DBD:Jerala_P5:AD:PUMA_M144A_W133F",2866,215,2342,130,1097,217,641.166251366546,-0.243840477741017,0.311557416385822,0.220797992721561,NA
"DBD:Jerala_P6:AD:PUMA_M144A_W133F",1984,151,2051,150,1381,296,631.851326745651,-0.137073664020305,0.317363491251275,0.48103160934912,NA
"DBD:Jerala_P7:AD:PUMA_M144A_W133F",1226,68,1810,54,1509,1279,917.982221329321,0.181063580343251,0.443522023895127,0.320534142920129,NA
"DBD:Jerala_P8:AD:PUMA_M144A_W133F",1138,32,1804,68,912,127,362.558229857422,-0.433702532953117,0.472987864620831,0.0507692205732961,NA
"DBD:Jerala_P9:AD:PUMA_M144A_W133F",2692,296,1609,107,893,161,563.049976441762,-0.108939239591984,0.313538712571403,0.575268984625341,NA
"DBD:Jerala_P10:AD:PUMA_M144A_W133F",1809,144,2286,114,1503,116,551.116199063905,-0.470363932919174,0.391764230474031,0.0312210306334396,NA
"DBD:Jerala_P11:AD:PUMA_M144A_W133F",1260,122,1723,1833,1038,614,1676.12343446923,1.05247408234967,1.13506512932468,0.0123478093017262,0.0521351948295107
"DBD:Jerala_P12:AD:PUMA_M144A_W133F",1223,99,3386,210,1721,354,755.615504001778,-0.135517116390826,0.355908636657159,0.465764764199622,NA
"DBD:Jerala_P1:AD:PUMA_M144A_Y152A",1388,70,3753,192,2376,2469,1718.571997544,0.199928486802441,0.512238438730444,0.286752181880672,0.43856216052338
"DBD:Jerala_P2:AD:PUMA_M144A_Y152A",2433,119,2603,81,1413,206,596.90846256134,-0.516931221121169,0.414641196757875,0.0215780208042354,NA
"DBD:Jerala_P3:AD:PUMA_M144A_Y152A",1015,91,1706,69,1048,238,436.418430318897,-0.164085416227957,0.346508763748849,0.388256355540811,NA
"DBD:Jerala_P4:AD:PUMA_M144A_Y152A",1847,149,3552,252,2484,444,954.152800402759,-0.135617408091102,0.354464755311079,0.466269224626355,NA
"DBD:Jerala_P5:AD:PUMA_M144A_Y152A",5487,411,1606,1465,1217,132,1567.6559653888,0.267601508448745,0.51542231658257,0.179244945722637,0.318514399953175
"DBD:Jerala_P6:AD:PUMA_M144A_Y152A",2070,303,2331,137,1507,563,833.147731770745,0.0628028107808495,0.330817235576079,0.739669362103447,NA
"DBD:Jerala_P7:AD:PUMA_M144A_Y152A",766,51,1936,1928,1215,207,1542.32693543649,0.624029180174601,0.944502109155929,0.0455931585971481,0.13327230974551
