"","count_DBDAD_trp1_l62_2mM","count_ADDBD_trp1_l62_2mM","count_DBDAD_his1_l62_2mM","count_ADDBD_his1_l62_2mM","count_DBDAD_trp1_l67","count_ADDBD_trp1_l67","count_DBDAD_his1_l67","count_ADDBD_his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P1:Jerala_P2",1523,1811,53793,51509,148,76,5223,1339,25069.4359893941,8.58103224650816,0.375647832922406,6.45902696207893e-116,2.4221351107796e-114
"Jerala_P1:Jerala_P3",4103,3445,210,194,199,202,13,11,215.311783892231,-0.139850560234781,0.184576594298397,0.17614906949602,0.423916506700476
"Jerala_P1:Jerala_P4",2693,3790,167,209,166,248,15,20,229.621866489177,-0.0228267008495251,0.184515519878511,0.812503505878961,0.916516088838653
"Jerala_P1:Jerala_P5",5479,3504,289,184,96,161,6,9,195.354722059386,-0.0844355332549693,0.201028041758042,0.36016500818644,0.641913624595119
"Jerala_P1:Jerala_P6",3346,2680,184,152,209,126,27,1,192.686891631597,-0.0655069148051255,0.196680432829246,0.476531093138124,0.697610886595244
"Jerala_P1:Jerala_P7",2158,1340,3621,72,193,47,6,1,495.443189488505,0.110383510784416,0.40668697692986,0.241216064924347,0.469525755538778
"Jerala_P1:Jerala_P8",3075,4876,158,313,202,143,5,4,183.322714911292,-0.165872127330923,0.220716669934872,0.0994674128052447,0.404137248125573
"Jerala_P1:Jerala_P9",3525,1977,167,126,115,170,11,21,189.088251764154,0.0197543408398684,0.193985283661646,0.827002665548027,0.916516088838653
"Jerala_P1:Jerala_P10",5302,5098,289,337,196,192,7,15,256.562567592155,-0.0724667540684688,0.193752423220718,0.441391239671782,0.697610886595244
"Jerala_P1:Jerala_P11",2414,2447,114,188,190,126,17,9,173.154964598716,-0.0283669976505261,0.186655767164904,0.765687734714198,0.890960441683937
"Jerala_P1:Jerala_P12",2235,834,136,50,179,192,16,9,153.050496573608,-0.0500465261263283,0.20980866464242,0.549567030524963,0.736027273024504
"Jerala_P2:Jerala_P3",2610,4677,141,1749,252,150,7,15,349.261981898012,0.0511059513250165,0.23563333425585,0.501659737116188,0.7098958544097
"Jerala_P2:Jerala_P4",2812,1817,175,102,147,145,97,4,322.710893145538,0.0854781919769111,0.270737792300036,0.289529075079582,0.542867015774217
"Jerala_P2:Jerala_P5",5276,3895,356,255,278,321,32,12,321.4902688229,-0.0252992495484443,0.199981524026461,0.770441472629375,0.890960441683937
"Jerala_P2:Jerala_P6",4938,2270,290,149,192,178,2,21,212.878635070986,-0.0361017553508375,0.200767541284291,0.678057196234007,0.852355380480639
"Jerala_P2:Jerala_P7",4089,2149,289,119,109,158,5,8,163.202156892299,-0.0654486293265495,0.197550815276815,0.47480191495064,0.697610886595244
"Jerala_P2:Jerala_P8",2798,3787,180,315,187,228,12,7,205.837770458528,-0.0874062902539217,0.17935548903491,0.387772280156916,0.641913624595119
"Jerala_P2:Jerala_P9",1772,2000,128,106,91,193,5,26,167.006206143546,0.0372946258330789,0.201599370815646,0.666599257820722,0.852355380480639
"Jerala_P10:Jerala_P2",2418,6044,187,422,98,166,4,9,198.849107942524,-0.030614598943213,0.19031429968133,0.742322102949682,0.890960441683937
"Jerala_P11:Jerala_P2",1720,1686,94,171,162,108,12,7,135.362014893399,-0.0148217376362625,0.190548033443326,0.872668085472824,0.921832484654391
"Jerala_P12:Jerala_P2",3162,3205,175,200,120,152,4,3,146.178425661442,-0.142920664098547,0.211908919238949,0.145261928577778,0.404137248125573
"Jerala_P3:Jerala_P4",1106,1087,11380,70559,79,85,2683,2203,18717.2079213438,8.67516284324749,0.598823614245122,5.38514430748794e-48,1.34628607687198e-46
"Jerala_P3:Jerala_P5",1660,2417,106,147,106,143,39,12,205.120495552385,0.150503381486071,0.254339441141903,0.114835149544018,0.404137248125573
"Jerala_P3:Jerala_P6",1552,1166,95,75,210,192,7,10,135.767224864276,-0.130610690086586,0.236176330729306,0.158473415648927,0.404137248125573
"Jerala_P3:Jerala_P7",1893,1483,537,92,134,162,6,5,164.053196845351,0.0399686500109222,0.206322668480215,0.634688101161201,0.835115922580527
"Jerala_P3:Jerala_P8",2795,1757,1792,89,125,235,26,159,722.746653202393,1.11335551550253,1.44983828118943,0.0109139766708104,0.0744134773009797
"Jerala_P3:Jerala_P9",1690,3530,97,163,77,299,2,19,171.398104266009,-0.113001950901929,0.20295186658141,0.237045609822719,0.469525755538778
