"","count_DBDAD_trp1_l61_2mM","count_ADDBD_trp1_l61_2mM","count_DBDAD_his1_l61_2mM","count_ADDBD_his1_l61_2mM","count_DBDAD_trp1_l62_2mM","count_ADDBD_trp1_l62_2mM","count_DBDAD_his1_l62_2mM","count_ADDBD_his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P12:Jerala_P4",3052,1707,268,113,1136,2022,15557,117,9698.68341008133,0.805298932377738,1.22081282175374,0.0560861848786761,0.175653374367043
"Jerala_P5:Jerala_P6",1203,1663,21659,3625,2184,1499,9798,332,15149.5735443012,4.83123721509569,0.806572790632165,1.09244911148205e-09,9.46789229951108e-09
"Jerala_P5:Jerala_P7",3083,3027,347,221,6117,2053,342,107,1050.9417142474,-0.245709590657588,0.282916249524868,0.218497569781114,0.354469810562002
"Jerala_P5:Jerala_P8",2649,3406,196,243,2363,2825,153,171,790.978548010365,-0.420097080058699,0.163312455260483,0.00443259100256058,0.0216088811374828
"Jerala_P5:Jerala_P9",2917,7351,257,450,2292,3753,143,4194,3012.35490395634,0.251955165272112,0.471473391558928,0.22267975278895,0.354469810562002
"Jerala_P10:Jerala_P5",2038,5595,135,7314,5026,3297,270,218,3514.73814801319,0.247345538216398,0.555329877471716,0.249989396174512,0.364405417898349
"Jerala_P11:Jerala_P5",2945,2224,871,258,1664,3164,89,6665,4076.82052386579,1.060315721317,1.19109724934439,0.0211246544680578,0.0748965022049323
"Jerala_P12:Jerala_P5",3141,3629,283,255,3938,4485,221,274,1088.99149626998,-0.316284745784216,0.243050088996247,0.0973491513132862,0.233412826362633
"Jerala_P6:Jerala_P7",3166,2176,244,157,1850,1417,115,95,606.387651270117,-0.332039998444663,0.218286145745325,0.0660153635882097,0.183937467329008
"Jerala_P6:Jerala_P8",2849,2744,193,259,1720,4016,117,254,823.629346890863,-0.272438565947594,0.246907294850171,0.155746534424616,0.311493068849232
"Jerala_P6:Jerala_P9",1546,3432,2437,196,1299,2971,95,159,1445.93103488715,0.231099002639508,0.509652800804565,0.264736874509374,0.370840027304982
"Jerala_P10:Jerala_P6",2524,5601,159,2544,741,4966,44,333,1694.29940947881,0.0768664643191095,0.369363181204163,0.679525851543494,0.737883121202314
"Jerala_P11:Jerala_P6",2376,2725,196,259,2009,3874,111,272,816.819067325294,-0.250286180659526,0.233152046043969,0.1807804581903,0.3279273427638
"Jerala_P12:Jerala_P6",1919,3169,140,220,1407,3638,91,242,718.347658743752,-0.339011080514391,0.221794396587001,0.0628513512393099,0.183937467329008
