"","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P1",5,13,4,0,4.17702274809723,0.141354721152352,0.751045808821379,0.371232452676741,NA
"DBD:Jerala_P1:AD:Jerala_P2",1523,53793,148,5223,33913.6006260091,8.96642112805328,0.366872730619541,2.4780285179341e-132,8.05359268328584e-131
"DBD:Jerala_P1:AD:Jerala_P3",4103,210,199,13,227.671206324496,-0.00695919629792903,0.0897208864759512,0.539508177222913,0.701360630389787
"DBD:Jerala_P1:AD:Jerala_P4",2693,167,166,15,192.466204569086,0.000610280308440826,0.0750535878231225,0.952146583631577,NA
"DBD:Jerala_P1:AD:Jerala_P5",5479,289,96,6,212.593732469571,-0.00771042962494027,0.117503726585509,0.642058564328446,0.745246547881232
"DBD:Jerala_P1:AD:Jerala_P6",3346,184,209,27,268.872235444224,0.00685988360572559,0.0992156778225564,0.60296165511893,0.739268332474474
"DBD:Jerala_P1:AD:Jerala_P7",2158,3621,193,6,947.991627777382,0.801667598122294,1.55676649232234,0.0380410149267349,0.0852194612344903
"DBD:Jerala_P1:AD:Jerala_P8",3075,158,202,5,165.811343575104,-0.0378145589402744,0.209470380596206,0.160742608877558,NA
"DBD:Jerala_P1:AD:Jerala_P9",3525,167,115,11,176.422720901577,-0.00374862862461415,0.0874343676027702,0.75238334248574,NA
"DBD:Jerala_P1:AD:Jerala_P10",5302,289,196,7,241.145421358005,-0.0137932093222708,0.126381479347501,0.390764533060139,0.590690573230443
"DBD:Jerala_P1:AD:Jerala_P11",2414,114,190,17,190.262478392441,-0.00232191545525826,0.0877099591985594,0.849081292580474,NA
"DBD:Jerala_P1:AD:Jerala_P12",2235,136,179,16,185.079297505588,0.000457240857749785,0.0811041179928674,0.967456459159781,NA
"DBD:Jerala_P2:AD:Jerala_P1",1811,51509,76,1339,17404.2091986925,8.27385797105543,0.691158073643044,2.22124899306553e-33,2.88762369098519e-32
"DBD:Jerala_P2:AD:Jerala_P2",23,6,2,1,6.44069817395436,0.204179019556724,0.808558237046232,0.198798100252141,NA
"DBD:Jerala_P2:AD:Jerala_P3",2610,141,252,7,175.813348930572,-0.0460822453352603,0.23257916148046,0.13095526478454,NA
"DBD:Jerala_P2:AD:Jerala_P4",2812,175,147,97,528.291070386496,0.458521940427412,1.02479205625816,0.0393320590313032,0.0852194612344903
"DBD:Jerala_P2:AD:Jerala_P5",5276,356,278,32,381.45129893964,0.00715590548552614,0.107362350944232,0.626451173570704,0.740351386947196
"DBD:Jerala_P2:AD:Jerala_P6",4938,290,192,2,213.402689422245,-0.0242424697841449,0.179028367834523,0.308599458932279,0.501474120764954
"DBD:Jerala_P2:AD:Jerala_P7",4089,289,109,5,187.945445990173,-0.00201605661359707,0.0973022784547931,0.8854571705177,NA
"DBD:Jerala_P2:AD:Jerala_P8",2798,180,187,12,190.720125657233,-0.00326373081654428,0.0775884748013112,0.750031567406097,NA
"DBD:Jerala_P2:AD:Jerala_P9",1772,128,91,5,105.770969310435,-0.00181120825029699,0.0933721948157023,0.891626915558995,NA
"DBD:Jerala_P2:AD:Jerala_P10",2418,187,98,4,128.361044851597,-0.00151324220184868,0.0956074944992366,0.912261096310712,NA
"DBD:Jerala_P2:AD:Jerala_P11",1720,94,162,12,145.362721738451,-0.0046141212914681,0.0978187599058343,0.734468476954862,NA
"DBD:Jerala_P2:AD:Jerala_P12",3162,175,120,4,144.560106580295,-0.0129947485846955,0.129546943207469,0.446753860432901,NA
"DBD:Jerala_P3:AD:Jerala_P1",3445,194,202,11,205.178889436383,-0.00800674430639725,0.0938481353567289,0.495466701560894,NA
"DBD:Jerala_P3:AD:Jerala_P2",4677,1749,150,15,586.324893360548,0.216566063489306,0.715315608742791,0.099586386848642,0.17980875403227
"DBD:Jerala_P3:AD:Jerala_P3",1676,3723,51,2,907.577643860693,2.15726456647968,2.34528193591321,0.00968880254886165,0.0322370561753138
"DBD:Jerala_P3:AD:Jerala_P4",1106,11380,79,2683,13689.501814333,8.22375726715467,0.897400409627841,2.20330093467466e-20,1.79018200942316e-19
"DBD:Jerala_P3:AD:Jerala_P5",1660,106,106,39,242.687792707874,0.291641522605274,0.681168019002652,0.029081510018743,0.0727037750468576
"DBD:Jerala_P3:AD:Jerala_P6",1552,95,210,7,135.325651276691,-0.032043951169761,0.201600392392642,0.225846868697501,NA
"DBD:Jerala_P3:AD:Jerala_P7",1893,537,134,6,217.876720712942,0.113488300962273,0.39928918344593,0.065781057389031,0.130101295737578
"DBD:Jerala_P3:AD:Jerala_P8",2795,1792,125,26,601.91576619632,0.852477427716588,1.37058805672878,0.0187076060107062,0.0552724723043593
"DBD:Jerala_P3:AD:Jerala_P9",1690,97,77,2,81.0326454616372,-0.0151815827076492,0.151838903351422,0.473864141245548,NA
"DBD:Jerala_P3:AD:Jerala_P10",3994,236,94,7,178.204517611916,-0.00256170505122016,0.0951042813910317,0.849662998595684,NA
"DBD:Jerala_P3:AD:Jerala_P11",912,54,175,5,96.941814384892,-0.0606557781181481,0.304897649515199,0.165925920796007,NA
"DBD:Jerala_P3:AD:Jerala_P12",1037,77,53,0,50.2792339082595,-0.0148978569116236,0.181024106746481,0.599256375037066,NA
"DBD:Jerala_P4:AD:Jerala_P1",3790,209,248,20,264.272542766548,-0.00211176666753186,0.0772083528935743,0.838937291874183,0.86557022177495
"DBD:Jerala_P4:AD:Jerala_P2",1817,102,145,4,111.316087528428,-0.0283540289958797,0.187832678237623,0.245979675714174,NA
"DBD:Jerala_P4:AD:Jerala_P3",1087,70559,85,2203,25327.8033405978,9.18590866290682,0.473370706181315,2.56001214656674e-84,5.54669298422795e-83
"DBD:Jerala_P4:AD:Jerala_P4",5,4,2,0,1.55690742739152,0.109601614541658,0.752295641299934,0.519340289093867,NA
"DBD:Jerala_P4:AD:Jerala_P5",4110,229,257,7,223.449273116735,-0.0261215271628897,0.167342775486497,0.207652502125796,0.355195069425703
"DBD:Jerala_P4:AD:Jerala_P6",1570,97,296,11,176.203271233844,-0.0318337374750793,0.204292545981626,0.240476578079055,NA
"DBD:Jerala_P4:AD:Jerala_P7",2778,670,149,7,272.056025530031,0.0824023316503594,0.341098775602655,0.0977251311923363,0.17980875403227
"DBD:Jerala_P4:AD:Jerala_P8",2830,174,225,6,175.680022675288,-0.0240556841554409,0.162787712119304,0.236036924491504,NA
"DBD:Jerala_P4:AD:Jerala_P9",1438,96,128,11,127.465508970875,0.00062051785785223,0.0918372116927419,0.962226870263765,NA
"DBD:Jerala_P4:AD:Jerala_P10",4222,2446,244,30,826.267541222357,0.312809576515671,0.911328404897635,0.0842280137228216,0.161024143881865
"DBD:Jerala_P4:AD:Jerala_P11",1717,128,130,16,160.773126609203,0.0100376527430076,0.112131198742833,0.491428453705093,NA
"DBD:Jerala_P4:AD:Jerala_P12",1136,15557,214,6,3681.19006826634,3.74633175142147,2.73331249532374,0.00353644694785382,0.0176822347392691
"DBD:Jerala_P5:AD:Jerala_P1",3504,184,161,9,184.400024595797,-0.00875075686503004,0.100118884205689,0.489982281392499,NA
"DBD:Jerala_P5:AD:Jerala_P2",3895,255,321,12,263.863862904531,-0.01320801592046,0.117042607595772,0.35816378955503,0.554301102882784
"DBD:Jerala_P5:AD:Jerala_P3",2417,147,143,12,164.416375113584,-0.000766137364354045,0.0777249795386868,0.94245645382361,NA
"DBD:Jerala_P5:AD:Jerala_P4",1255,77,100,7,95.7719032996276,-0.00426710263148429,0.103378658609978,0.772415075064084,NA
"DBD:Jerala_P5:AD:Jerala_P5",1909,169,51,1,90.1266547468285,0.00195091016353087,0.130529684745165,0.924152079949475,NA
"DBD:Jerala_P5:AD:Jerala_P6",2184,9798,220,5264,23995.0764828155,7.59524296927593,1.32930287764587,5.33292961645985e-09,3.85156027855433e-08
"DBD:Jerala_P5:AD:Jerala_P7",6117,342,192,8,270.484241390188,-0.010455507917835,0.116786531302202,0.496913929260838,0.690949476776669
"DBD:Jerala_P5:AD:Jerala_P8",2363,153,202,2,139.975262929625,-0.0451322892777866,0.24552662936504,0.174090751227914,NA
"DBD:Jerala_P5:AD:Jerala_P9",2292,143,166,8,151.209197627188,-0.00852830260342769,0.101795849669015,0.514655371691578,NA
"DBD:Jerala_P5:AD:Jerala_P10",5026,270,77,2,178.692242977385,-0.0241742872645596,0.318656043366313,0.693899694393269,NA
"DBD:Jerala_P5:AD:Jerala_P11",1664,89,204,36,253.473137149423,0.0394458042614698,0.240644021641659,0.237959664332375,0.396599440553959
"DBD:Jerala_P5:AD:Jerala_P12",3938,221,220,6,204.335081482821,-0.0218414627454019,0.154047952092369,0.253167371238728,NA
"DBD:Jerala_P6:AD:Jerala_P1",2680,152,126,1,120.224800320003,-0.0300164478208572,0.205673984048146,0.284406916600195,NA
"DBD:Jerala_P6:AD:Jerala_P2",2270,149,178,21,208.958996096466,0.00738151086063161,0.10003173605539,0.574979966243756,NA
"DBD:Jerala_P6:AD:Jerala_P3",1166,75,192,10,131.412460060724,-0.0126527891930838,0.138279851083829,0.509245321650282,NA
"DBD:Jerala_P6:AD:Jerala_P4",1061,66,184,19,162.324218021539,0.00721857989963918,0.128293601238954,0.704193497499511,NA
"DBD:Jerala_P6:AD:Jerala_P5",1499,332,158,1237,5231.82236253782,5.59375328240312,1.96730540673217,0.000268198912846466,0.00145274411125169
"DBD:Jerala_P6:AD:Jerala_P6",6,2,1,1,4.95072648597175,0.388916552336587,1.21336077059941,0.137993957441503,NA
"DBD:Jerala_P6:AD:Jerala_P7",1850,115,160,5,123.116570052264,-0.0200585298712823,0.155016598770651,0.313270474181111,NA
"DBD:Jerala_P6:AD:Jerala_P8",1720,117,105,14,143.194513250179,0.0093754639218097,0.110905282130838,0.520713810278346,NA
"DBD:Jerala_P6:AD:Jerala_P9",1299,95,163,357,1557.05141477654,2.21462956142347,2.41212488990571,0.00991909420778887,0.0322370561753138
"DBD:Jerala_P6:AD:Jerala_P10",741,44,164,374,1605.81359093071,2.38397084989289,2.54437095224934,0.00968823328301668,0.0322370561753138
"DBD:Jerala_P6:AD:Jerala_P11",2009,111,122,14,151.504835339674,0.00280794141137243,0.0891292893719359,0.820570280408194,NA
"DBD:Jerala_P6:AD:Jerala_P12",1407,91,219,11,150.812481649287,-0.0128659030764826,0.133805561244631,0.476576961540473,NA
"DBD:Jerala_P7:AD:Jerala_P1",1340,72,47,1,56.8465174885776,-0.0167546904602367,0.174367147295778,0.518187183388416,NA
"DBD:Jerala_P7:AD:Jerala_P2",2149,119,158,8,141.007904317294,-0.0116203280648312,0.116618758743969,0.435042956857677,NA
"DBD:Jerala_P7:AD:Jerala_P3",1483,92,162,5,112.010476554698,-0.0270309094229738,0.185166498978773,0.264972225863255,NA
"DBD:Jerala_P7:AD:Jerala_P4",1347,88,193,11,141.928890939549,-0.00860729349888739,0.117789313418275,0.598046197626083,NA
"DBD:Jerala_P7:AD:Jerala_P5",2053,107,63,14,135.116887204136,0.0133866749758093,0.134940827344569,0.459682519004284,NA
"DBD:Jerala_P7:AD:Jerala_P6",1417,95,140,4,101.391605082509,-0.0207178743795557,0.163754942203176,0.33783789757341,NA
