"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P5:AD:Jerala_P8",2649,196,2363,153,689.939265256981,-0.0135118485994462,0.118346761569751,0.498922421970462,0.789404555413207
"DBD:Jerala_P5:AD:Jerala_P9",2917,257,2292,143,738.196640068687,-0.00858658305792206,0.109005104063113,0.654653551478601,0.789404555413207
"DBD:Jerala_P5:AD:Jerala_P10",2038,135,5026,270,940.072505242543,-0.0307418190843126,0.238814308213013,0.524239832962283,0.789404555413207
"DBD:Jerala_P5:AD:Jerala_P11",2945,871,1664,89,1085.37680718729,0.0906984687468086,0.411114843475604,0.287134283109217,0.7383452994237
"DBD:Jerala_P5:AD:Jerala_P12",3141,283,3938,221,989.493838603598,-0.0127884296123515,0.123648351076569,0.552060622680564,0.789404555413207
"DBD:Jerala_P6:AD:Jerala_P7",3166,244,1850,115,681.421225610835,-0.0143260473653906,0.140088131520488,0.569897009468112,0.789404555413207
"DBD:Jerala_P6:AD:Jerala_P8",2849,193,1720,117,612.206904691479,-0.0167613476851404,0.138839506350652,0.485643229983068,0.789404555413207
"DBD:Jerala_P6:AD:Jerala_P9",1546,2437,1299,95,2114.76217592086,1.74181463774665,1.69721543842832,0.0101814138414846,0.0586449437269515
"DBD:Jerala_P6:AD:Jerala_P10",2524,159,741,44,407.369138405575,-0.0327041289783781,0.24426088157983,0.506645457047745,0.789404555413207
"DBD:Jerala_P6:AD:Jerala_P11",2376,196,2009,111,597.349081799489,-0.015122673573615,0.12630042835136,0.479935480062312,0.789404555413207
"DBD:Jerala_P6:AD:Jerala_P12",1919,140,1407,91,452.752995076436,-0.0145481836293376,0.125055464222228,0.494318063498633,0.789404555413207
"DBD:Jerala_P7:AD:Jerala_P8",2019,3266,1392,746,3446.96997914933,3.5158120225332,0.769455978891981,3.14967461228388e-06,3.77960953474066e-05
"DBD:Jerala_P7:AD:Jerala_P9",2028,141,983,56,390.282832980708,-0.0236198938474909,0.181726692766654,0.479551285355862,0.789404555413207
"DBD:Jerala_P7:AD:Jerala_P10",1334,124,1790,110,449.48383965126,-0.00906544682503667,0.120867250844226,0.679233751356024,0.792656467549103
"DBD:Jerala_P7:AD:Jerala_P11",2102,1348,1954,136,1448.46960979468,0.409627660793124,0.880854268901575,0.060545823472068,0.290619952665927
