"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P2",1356,62934,1523,53793,148,5223,43144.1014204395,8.38641221389246,0.341192080175603,8.40332183075228e-134,5.79829206321907e-132
"DBD:Jerala_P1:AD:Jerala_P3",3068,215,4103,210,199,13,397.459222327454,-0.566438246381513,0.330343918751006,0.0371492412725712,0.111447723817714
"DBD:Jerala_P1:AD:Jerala_P4",1644,129,2693,167,166,15,289.899610940661,-0.381038914583071,0.333740511361677,0.163528453500515,0.23507215190699
"DBD:Jerala_P1:AD:Jerala_P6",4762,381,3346,184,209,27,480.322537516407,-0.309169696578886,0.335876803749449,0.2598042828077,0.309077508857436
"DBD:Jerala_P1:AD:Jerala_P9",2007,951,3525,167,115,11,447.856762208215,0.292025179946683,0.419613680832176,0.329490563333485,0.355232013593913
"DBD:Jerala_P1:AD:Jerala_P11",2468,144,2414,114,190,17,301.633617610467,-0.678713912781556,0.301980371610364,0.00814409551004888,0.0351214118870858
"DBD:Jerala_P1:AD:Jerala_P12",2808,1334,2235,136,179,16,532.471677157872,0.397242754303757,0.472563619894762,0.199189436252066,0.254519835210974
"DBD:Jerala_P2:AD:Jerala_P1",571,31951,1811,51509,76,1339,26147.9794884011,8.09867992809437,0.599277076075048,5.49835000809398e-42,5.41980215083549e-41
"DBD:Jerala_P2:AD:Jerala_P4",2330,211,2812,175,147,97,537.377056481305,0.426131712792482,0.475120119062341,0.170624933138966,0.236278100625168
"DBD:Jerala_P2:AD:Jerala_P5",5504,1073,5276,356,278,32,775.352907695339,0.0590719719159057,0.438618516645327,0.84299913490621,0.855396181007772
"DBD:Jerala_P2:AD:Jerala_P8",4395,363,2798,180,187,12,404.456733260872,-0.404541839762933,0.320051843571789,0.129682404077761,0.203990308478839
"DBD:Jerala_P2:AD:Jerala_P11",3345,247,1720,94,162,12,292.617524641347,-0.523192534155101,0.314545507718154,0.047500157912719,0.126058111383754
"DBD:Jerala_P3:AD:Jerala_P1",1615,117,3445,194,202,11,318.628358432851,-0.531059139734493,0.370857704753021,0.0660216177528556,0.139609405873813
"DBD:Jerala_P3:AD:Jerala_P2",3416,241,4677,1749,150,15,902.349065040357,0.436628680475873,0.643465887781194,NA,NA
"DBD:Jerala_P3:AD:Jerala_P4",269,11454,1106,11380,79,2683,12996.6668429962,7.53544852788077,0.699800801079592,2.31657013437309e-27,1.77603710301937e-26
"DBD:Jerala_P3:AD:Jerala_P5",2565,192,1660,106,106,39,316.980478160664,0.106230384955298,0.340255637421742,0.700323757260303,0.73215665531759
"DBD:Jerala_P3:AD:Jerala_P8",1716,120,2795,1792,125,26,823.422064664921,0.892390737065266,0.897955638688639,0.0343179822843767,0.10763367171009
"DBD:Jerala_P4:AD:Jerala_P1",2322,174,3790,209,248,20,400.93424942731,-0.481296825077794,0.341613976741175,0.0823502712672882,0.155151723374169
"DBD:Jerala_P4:AD:Jerala_P3",1484,79476,1087,70559,85,2203,43599.809668355,8.79679288247234,0.429238773490193,8.97072096871996e-94,2.06326582280559e-92
"DBD:Jerala_P4:AD:Jerala_P6",4917,347,1570,97,296,11,392.53542701537,-0.657226266507859,0.392251061048779,0.0269442596029947,0.0885311386955539
"DBD:Jerala_P4:AD:Jerala_P9",4152,360,1438,96,128,11,310.287925491892,-0.288143212604832,0.354841356781639,0.307028228677736,0.347294225881374
