,count_DBDAD_trp1_l61_2mM,count_ADDBD_trp1_l61_2mM,count_DBDAD_his1_l61_2mM,count_ADDBD_his1_l61_2mM,count_DBDAD_trp1_l62_2mM,count_ADDBD_trp1_l62_2mM,count_DBDAD_his1_l62_2mM,count_ADDBD_his1_l62_2mM
Jerala_P6:Jerala_P9,1546.0,3432.0,2437.0,196.0,1299.0,2971.0,95.0,159.0
Jerala_P10:Jerala_P6,2524.0,5601.0,159.0,2544.0,741.0,4966.0,44.0,333.0
Jerala_P11:Jerala_P6,2376.0,2725.0,196.0,259.0,2009.0,3874.0,111.0,272.0
Jerala_P12:Jerala_P6,1919.0,3169.0,140.0,220.0,1407.0,3638.0,91.0,242.0
Jerala_P7:Jerala_P8,2019.0,2071.0,3266.0,29996.0,1392.0,2410.0,746.0,18154.0
Jerala_P7:Jerala_P9,2028.0,2664.0,141.0,2462.0,983.0,4101.0,56.0,178.0
Jerala_P10:Jerala_P7,1334.0,5186.0,124.0,418.0,1790.0,1732.0,110.0,107.0
Jerala_P11:Jerala_P7,2102.0,1566.0,1348.0,478.0,1954.0,3782.0,136.0,382.0
Jerala_P12:Jerala_P7,2541.0,3227.0,201.0,461.0,1444.0,5175.0,75.0,265.0
Jerala_P8:Jerala_P9,3133.0,4258.0,260.0,906.0,3173.0,2754.0,209.0,126.0
Jerala_P10:Jerala_P8,1600.0,3338.0,1096.0,280.0,3672.0,11007.0,228.0,741.0
Jerala_P11:Jerala_P8,2190.0,2400.0,176.0,273.0,3954.0,2516.0,220.0,199.0
Jerala_P12:Jerala_P8,3965.0,3097.0,370.0,217.0,3632.0,2890.0,164.0,194.0
Jerala_P10:Jerala_P9,1339.0,1561.0,69496.0,59826.0,2408.0,1733.0,42353.0,70229.0
Jerala_P11:Jerala_P9,2204.0,2218.0,137.0,278.0,2956.0,835.0,130.0,78.0
Jerala_P12:Jerala_P9,3540.0,2249.0,219.0,144.0,2564.0,1442.0,229.0,241.0
Jerala_P10:Jerala_P11,2959.0,1520.0,2000.0,2162.0,4496.0,2542.0,310.0,389.0
Jerala_P10:Jerala_P12,7001.0,3112.0,604.0,496.0,3496.0,3535.0,227.0,5395.0
Jerala_P11:Jerala_P12,1073.0,1503.0,8068.0,35130.0,1351.0,822.0,5200.0,15002.0
Jerala_P1:Jerala_P1,14.0,14.0,8.0,10.0,5.0,5.0,11.0,16.0
Jerala_P2:Jerala_P2,48.0,48.0,9.0,12.0,23.0,23.0,5.0,8.0
Jerala_P3:Jerala_P3,1540.0,1540.0,135.0,176.0,1676.0,1676.0,2928.0,4410.0
Jerala_P4:Jerala_P4,9.0,9.0,3.0,4.0,5.0,5.0,4.0,5.0
Jerala_P5:Jerala_P5,1320.0,1320.0,174.0,227.0,1909.0,1909.0,133.0,201.0
Jerala_P6:Jerala_P6,23.0,23.0,6.0,7.0,6.0,6.0,2.0,3.0
Jerala_P7:Jerala_P7,1564.0,1564.0,123.0,160.0,1508.0,1508.0,79.0,119.0
Jerala_P8:Jerala_P8,3.0,3.0,0.0,0.0,6.0,6.0,2.0,3.0
Jerala_P9:Jerala_P9,7.0,7.0,13.0,17.0,6.0,6.0,10.0,15.0
Jerala_P10:Jerala_P10,8.0,8.0,7.0,9.0,4.0,4.0,5.0,8.0
Jerala_P11:Jerala_P11,75.0,75.0,197.0,257.0,198.0,198.0,61.0,92.0
Jerala_P12:Jerala_P12,3174.0,3174.0,301.0,392.0,1433.0,1433.0,68.0,102.0
