,count_DBDAD_trp1_l61_2mM,count_ADDBD_trp1_l61_2mM,count_DBDAD_his1_l61_2mM,count_ADDBD_his1_l61_2mM,count_DBDAD_trp1_l67,count_ADDBD_trp1_l67,count_DBDAD_his1_l67,count_ADDBD_his1_l67
Jerala_P11:Jerala_P5,2945.0,2224.0,871.0,258.0,204.0,136.0,36.0,19.0
Jerala_P12:Jerala_P5,3141.0,3629.0,283.0,255.0,220.0,152.0,6.0,8.0
Jerala_P6:Jerala_P7,3166.0,2176.0,244.0,157.0,160.0,140.0,5.0,4.0
Jerala_P6:Jerala_P8,2849.0,2744.0,193.0,259.0,105.0,208.0,14.0,14.0
Jerala_P6:Jerala_P9,1546.0,3432.0,2437.0,196.0,163.0,131.0,357.0,6.0
Jerala_P10:Jerala_P6,2524.0,5601.0,159.0,2544.0,164.0,256.0,374.0,33.0
Jerala_P11:Jerala_P6,2376.0,2725.0,196.0,259.0,122.0,81.0,14.0,8.0
Jerala_P12:Jerala_P6,1919.0,3169.0,140.0,220.0,219.0,278.0,11.0,13.0
Jerala_P7:Jerala_P8,2019.0,2071.0,3266.0,29996.0,92.0,97.0,2263.0,3182.0
Jerala_P7:Jerala_P9,2028.0,2664.0,141.0,2462.0,160.0,186.0,11.0,8.0
Jerala_P10:Jerala_P7,1334.0,5186.0,124.0,418.0,58.0,294.0,3.0,13.0
Jerala_P11:Jerala_P7,2102.0,1566.0,1348.0,478.0,92.0,61.0,5.0,3.0
Jerala_P12:Jerala_P7,2541.0,3227.0,201.0,461.0,157.0,206.0,6.0,8.0
Jerala_P8:Jerala_P9,3133.0,4258.0,260.0,906.0,50.0,176.0,3.0,17.0
Jerala_P10:Jerala_P8,1600.0,3338.0,1096.0,280.0,179.0,187.0,5.0,6.0
Jerala_P11:Jerala_P8,2190.0,2400.0,176.0,273.0,189.0,126.0,12.0,7.0
Jerala_P12:Jerala_P8,3965.0,3097.0,370.0,217.0,292.0,197.0,23.0,6.0
Jerala_P10:Jerala_P9,1339.0,1561.0,69496.0,59826.0,112.0,128.0,2876.0,4934.0
Jerala_P11:Jerala_P9,2204.0,2218.0,137.0,278.0,153.0,102.0,7.0,4.0
Jerala_P12:Jerala_P9,3540.0,2249.0,219.0,144.0,259.0,60.0,13.0,2.0
