"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P2",1356,62934,1523,53793,148,5223,20852.9209781052,6.21451238537641,0.784790941470129,4.60874610548866e-16,3.16875779573582e-15
"DBD:Jerala_P2:AD:Jerala_P1",571,31951,1811,51509,76,1339,16043.8207897979,6.24748903804854,0.888266422497353,3.66583328554861e-13,1.26267590946674e-12
"DBD:Jerala_P2:AD:Jerala_P4",2330,211,2812,175,147,97,429.121649774085,-1.68441967487852,0.516671981372971,0.000729593614343688,0.0017398001572811
"DBD:Jerala_P2:AD:Jerala_P5",5504,1073,5276,356,278,32,870.523427256975,-1.65473548605252,0.758985215809771,0.0195873900419019,0.0264003952738678
"DBD:Jerala_P3:AD:Jerala_P4",269,11454,1106,11380,79,2683,4916.75214876795,5.26091167269039,0.661034248065894,5.11089967054165e-16,3.16875779573582e-15
"DBD:Jerala_P3:AD:Jerala_P5",2565,192,1660,106,106,39,322.505106290184,-2.14486880466276,0.455012775971874,1.27859121415614e-06,3.60330251262184e-06
"DBD:Jerala_P4:AD:Jerala_P3",1484,79476,1087,70559,85,2203,25185.9468088616,6.66309692256835,0.950981632085213,3.49692090005653e-13,1.26267590946674e-12
"DBD:Jerala_P4:AD:Jerala_P10",4647,966,4222,2446,244,30,1260.26513997381,0.241355940816271,0.962635273227073,0.782806334111431,0.808899878581812
"DBD:Jerala_P5:AD:Jerala_P6",1203,21659,2184,9798,220,5264,6583.715107458,4.36552718711846,0.503673812688119,1.65399340021303e-18,2.5636897703302e-17
"DBD:Jerala_P5:AD:Jerala_P11",2945,871,1664,89,204,36,451.278583306167,-1.48984810412473,0.640623336196336,0.0143292089340491,0.0211526417597867
"DBD:Jerala_P6:AD:Jerala_P5",1663,3625,1499,332,158,1237,1112.9406283389,1.68465280477089,0.759056059803295,0.0175005681419465,0.0246598914727428
"DBD:Jerala_P6:AD:Jerala_P9",1546,2437,1299,95,163,357,602.422816087931,0.625310342531363,0.700809126923752,0.344906712315136,0.39600400302849
"DBD:Jerala_P6:AD:Jerala_P10",2524,159,741,44,164,374,420.741678526804,-0.479186046814816,1.06755279203833,0.61547708312897,0.681421056321359
"DBD:Jerala_P7:AD:Jerala_P8",2019,3266,1392,746,92,2263,1550.42893988327,2.39834906799119,0.846492239310275,0.00226225652897057,0.00467533015987251
"DBD:Jerala_P8:AD:Jerala_P3",2486,189,1757,89,235,159,438.43648270086,-1.68902930315802,0.585330234518893,0.00256044511422017,0.00496086240880158
"DBD:Jerala_P8:AD:Jerala_P7",2071,29996,2410,18154,97,3182,8538.5724818064,4.79341602095064,0.587166111729161,1.10651848342792e-16,1.14340243287552e-15
"DBD:Jerala_P9:AD:Jerala_P10",1339,69496,2408,42353,112,2876,17749.1288926881,5.86808615672552,0.785183597226569,1.75366193347072e-14,9.06058665626537e-14
"DBD:Jerala_P10:AD:Jerala_P3",6396,1021,4536,309,505,59,1003.90657239992,-1.97666789562531,0.710642725892566,0.00313927618908406,0.00540653121453365
"DBD:Jerala_P10:AD:Jerala_P6",5601,2544,4966,333,256,33,971.022424839777,-0.92319538740063,0.827379182188821,0.228273214176477,0.272171909210415
"DBD:Jerala_P10:AD:Jerala_P9",1561,59826,1733,70229,128,4934,24498.4533767274,6.30524697290864,0.874850136675481,1.01488374901921e-13,4.49448517422791e-13
"DBD:Jerala_P11:AD:Jerala_P1",1736,190,2447,188,114,53,348.351222122957,-1.61714977736614,0.502592299163352,0.00087286957194903,0.00193278262360142
"DBD:Jerala_P11:AD:Jerala_P2",3909,383,1686,171,212,139,521.401253526115,-1.53272431982777,0.560121432892201,0.00435773809877965,0.00710999374011416
"DBD:Jerala_P11:AD:Jerala_P3",2653,291,3184,572,129,42,535.174805222781,-0.868982219051124,0.729220855873448,0.204814023748885,0.253969389448617
"DBD:Jerala_P11:AD:Jerala_P4",1747,262,2329,351,158,361,532.533071426331,-0.196595743561642,0.632972410384384,0.744929182467663,0.796303608844743
"DBD:Jerala_P11:AD:Jerala_P5",2224,258,3164,6665,269,211,2144.55541152782,1.75283266627636,1.08866732939918,NA,NA
"DBD:Jerala_P11:AD:Jerala_P6",2725,259,3874,272,239,110,583.885966063208,-1.69093515500566,0.595685672787895,0.00296806375085361,0.00540653121453365
"DBD:Jerala_P11:AD:Jerala_P7",1566,478,3782,382,115,71,482.554814913705,-0.909848167342717,0.616490120867181,0.122029586894101,0.157621549738213
"DBD:Jerala_P11:AD:Jerala_P8",2400,273,2516,199,159,71,426.863638193782,-1.64942361146509,0.499056045190186,0.000631775411835279,0.00163208648057447
"DBD:Jerala_P11:AD:Jerala_P10",1520,2162,2542,389,152,61,587.784680455281,0.115430196106362,0.681306202016701,0.858250125672069,0.858250125672069
"DBD:Jerala_P11:AD:Jerala_P12",1073,8068,1351,5200,35,705,2379.89843322252,3.818419459477,0.796027085706758,5.66936706625483e-07,1.757503790539e-06
"DBD:Jerala_P12:AD:Jerala_P3",3173,284,1265,75,137,156,396.89798440408,-1.43910232095114,0.576948019602602,0.00920833452452139,0.0142729185130082
"DBD:Jerala_P12:AD:Jerala_P11",1503,35130,822,15002,121,2719,7948.98463415343,5.27363569437679,0.58135208535412,3.52628989391168e-20,1.09314986711262e-18
