,trp1_l45,his1_l45,trp1_l66,his1_l66
DBD:Bcl-xL:AD:alphaBCL2,4719,1219,2349,2818
DBD:Bcl-xL:AD:alphaBCLB,2889,535,1909,756
DBD:Bcl-xL:AD:alphaBFL1,3681,5568,1634,12544
DBD:Bcl-xL:AD:alphaMCL1,4051,598,1900,223
DBD:Bfl-1:AD:2CDP06,9182,771,1107,401
DBD:Bfl-1:AD:BCDP01,7443,17342,1030,15704
DBD:Bfl-1:AD:BECM01,7589,18056,1085,7454
DBD:Bfl-1:AD:Bcl-2,5096,1584,1926,511
DBD:Bfl-1:AD:Bcl-B,20127,13658,1306,344
DBD:Bfl-1:AD:Bcl-w,2496,3366,4190,599
DBD:Bfl-1:AD:Bcl-xL,2425,1328,2403,592
DBD:Bfl-1:AD:Bfl-1,3335,2465,438,181
DBD:Bfl-1:AD:FECM04,6721,20465,981,12766
DBD:Bfl-1:AD:Mcl1[151-321],11067,4380,3185,453
DBD:Bfl-1:AD:XCDP07,1664,368,450,163
DBD:Bfl-1:AD:alphaBCL2,7382,1220,1707,669
DBD:Bfl-1:AD:alphaBCLB,8024,2375,1273,684
DBD:Bfl-1:AD:alphaBFL1,9606,38446,928,13955
DBD:Bfl-1:AD:alphaMCL1,13591,8416,1217,2237
DBD:FECM04:AD:2CDP06,9389,767,1255,338
DBD:FECM04:AD:BCDP01,8442,1438,1226,126
DBD:FECM04:AD:BECM01,7248,874,1127,184
DBD:FECM04:AD:Bcl-2,2777,3407,1498,7755
DBD:FECM04:AD:Bcl-B,22935,6240,1490,204
DBD:FECM04:AD:Bcl-w,3650,664,3748,478
DBD:FECM04:AD:Bcl-xL,2706,2183,1625,10376
DBD:FECM04:AD:Bfl-1,8501,16861,1472,7177
DBD:FECM04:AD:FECM04,7663,945,20,5
DBD:FECM04:AD:Mcl1[151-321],11931,4886,2982,659
DBD:FECM04:AD:XCDP07,1606,137,488,51
DBD:FECM04:AD:alphaBCL2,8075,404,1775,290
DBD:FECM04:AD:alphaBCLB,10066,1130,1103,404
DBD:FECM04:AD:alphaBFL1,15989,1504,1314,117
DBD:FECM04:AD:alphaMCL1,11748,1902,1191,238
DBD:Mcl1[151-321]:AD:2CDP06,9347,992,1353,396
DBD:Mcl1[151-321]:AD:BCDP01,11477,30617,1575,12123
DBD:Mcl1[151-321]:AD:BECM01,7968,5212,1672,926
DBD:Mcl1[151-321]:AD:Bcl-2,4098,1687,2227,502
DBD:Mcl1[151-321]:AD:Bcl-B,19552,14078,1536,173
DBD:Mcl1[151-321]:AD:Bcl-w,2013,644,4801,800
DBD:Mcl1[151-321]:AD:Bcl-xL,1936,607,2950,471
DBD:Mcl1[151-321]:AD:Bfl-1,7282,3466,2841,684
DBD:Mcl1[151-321]:AD:FECM04,8777,7380,2304,967
DBD:Mcl1[151-321]:AD:Mcl1[151-321],4936,3361,866,248
DBD:Mcl1[151-321]:AD:XCDP07,2070,1609,619,5191
DBD:Mcl1[151-321]:AD:alphaBCL2,8790,901,2205,317
DBD:Mcl1[151-321]:AD:alphaBCLB,10304,3010,1493,227
DBD:Mcl1[151-321]:AD:alphaBFL1,13738,7778,1789,811
DBD:Mcl1[151-321]:AD:alphaMCL1,11884,34855,1457,7195
DBD:XCDP07:AD:2CDP06,11349,1174,648,675
DBD:XCDP07:AD:BCDP01,6804,6258,673,356
DBD:XCDP07:AD:BECM01,6572,3630,549,243
DBD:XCDP07:AD:Bcl-2,3256,6120,705,4653
DBD:XCDP07:AD:Bcl-B,24752,212432,532,922
DBD:XCDP07:AD:Bcl-w,2188,2028,763,9197
DBD:XCDP07:AD:Bcl-xL,2145,3030,472,3732
DBD:XCDP07:AD:Bfl-1,5969,5830,1008,317
DBD:XCDP07:AD:FECM04,8574,2467,756,216
DBD:XCDP07:AD:Mcl1[151-321],10848,48913,1130,12462
DBD:XCDP07:AD:XCDP07,695,370,76,45
DBD:XCDP07:AD:alphaBCL2,6651,2025,890,360
DBD:XCDP07:AD:alphaBCLB,7288,4575,520,66
DBD:XCDP07:AD:alphaBFL1,10580,3742,529,188
DBD:XCDP07:AD:alphaMCL1,10619,2466,552,91
DBD:alphaBCL2:AD:2CDP06,8165,459,1390,222
DBD:alphaBCL2:AD:BCDP01,6432,725,1312,389
DBD:alphaBCL2:AD:BECM01,5870,603,1210,262
DBD:alphaBCL2:AD:Bcl-2,2649,3522,1409,8719
DBD:alphaBCL2:AD:Bcl-B,16502,2192,1452,145
DBD:alphaBCL2:AD:Bcl-w,2669,459,3598,8807
DBD:alphaBCL2:AD:Bcl-xL,1579,209,2144,8450
DBD:alphaBCL2:AD:Bfl-1,5781,775,2377,421
DBD:alphaBCL2:AD:FECM04,6238,506,1429,269
DBD:alphaBCL2:AD:Mcl1[151-321],8939,762,3843,590
DBD:alphaBCL2:AD:XCDP07,1770,77,402,335
DBD:alphaBCL2:AD:alphaBCL2,2153,106,9,5
DBD:alphaBCL2:AD:alphaBCLB,7112,450,1299,161
