,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
BW3_A:BW3_B,1553.0,1720.0,212.0,422.0
BW3_A:BW5_A,2389.0,1734.0,383.0,292.0
BW3_A:BW5_B,1129.0,1378.0,149.0,409.0
BW3_A:BW8_A,1562.0,551.0,127.0,59.0
BW3_A:BW8_B,1892.0,1274.0,199.0,457.0
BW10_A:BW3_A,1356.0,919.0,136.0,108.0
BW10_B:BW3_A,1003.0,721.0,121.0,95.0
BW3_A:IL8_A,1773.0,1241.0,489.0,204.0
BW3_A:IL8_B,1768.0,2093.0,456.0,414.0
BW3_A:IL9_A,1781.0,1099.0,1641.0,163.0
BW3_A:IL9_B,2913.0,1828.0,305.0,492.0
BW3_A:IL14_A,1027.0,681.0,1058.0,554.0
BW3_A:IL14_B,1400.0,1128.0,210.0,167.0
BW3_A:IL19_A,2612.0,1501.0,371.0,232.0
BW3_A:IL19_B,2319.0,1888.0,400.0,531.0
BW3_A:mALb8_A,1204.0,895.0,176.0,213.0
BW3_A:mALb8_B,1847.0,1102.0,594.0,330.0
BW3_A:mALb8_cutT1_A,1254.0,1015.0,118.0,426.0
BW3_A:mALb8_cutT1_B,1737.0,384.0,152.0,401.0
BW3_A:mALb8_cutT2_A,1899.0,868.0,100.0,249.0
BW3_A:mALb8_cutT2_B,435.0,800.0,45.0,226.0
BW3_A:MCL1,2847.0,1304.0,1127.0,249.0
BW3_A:PUMA_M144A,1788.0,527.0,136.0,122.0
BW3_A:PUMA_M144A_L141A,1906.0,819.0,120.0,117.0
BW3_A:PUMA_M144A_L148A,1633.0,735.0,43.0,58.0
BW3_A:Jerala_P1,921.0,237.0,68.0,20.0
BW3_A:Jerala_P2,741.0,304.0,34.0,57.0
BW3_A:Jerala_P3,862.0,163.0,192.0,26.0
BW3_A:Jerala_P4,812.0,294.0,64.0,42.0
BW3_A:Jerala_P5,927.0,265.0,47.0,27.0
BW3_A:Jerala_P6,955.0,158.0,51.0,27.0
BW3_A:Jerala_P7,961.0,132.0,34.0,28.0
BW3_A:Jerala_P8,700.0,255.0,70.0,13.0
BW3_A:Jerala_P9,654.0,250.0,226.0,30.0
BW3_A:Jerala_P10,949.0,306.0,42.0,42.0
BW3_A:Jerala_P11,980.0,650.0,86.0,45.0
BW3_A:Jerala_P12,897.0,154.0,34.0,484.0
BW3_B:BW5_A,2840.0,1225.0,27128.0,10310.0
BW3_B:BW5_B,1465.0,1587.0,229.0,1404.0
BW3_B:BW8_A,2052.0,473.0,190.0,197.0
BW3_B:BW8_B,2446.0,1298.0,982.0,261.0
BW10_A:BW3_B,1727.0,969.0,709.0,472.0
BW10_B:BW3_B,1342.0,848.0,205.0,275.0
BW3_B:IL8_A,1972.0,1229.0,27322.0,19369.0
BW3_B:IL8_B,2760.0,2230.0,363.0,597.0
BW3_B:IL9_A,2149.0,1126.0,304.0,248.0
BW3_B:IL9_B,2961.0,1802.0,533.0,421.0
BW3_B:IL14_A,1227.0,813.0,420.0,220.0
BW3_B:IL14_B,2076.0,1343.0,2065.0,186.0
BW3_B:IL19_A,3220.0,1860.0,395.0,404.0
BW3_B:IL19_B,2476.0,1466.0,652.0,364.0
BW3_B:mALb8_A,1632.0,999.0,367.0,581.0
BW3_B:mALb8_B,1759.0,1000.0,20249.0,20408.0
BW3_B:mALb8_cutT1_A,1226.0,1083.0,772.0,321.0
BW3_B:mALb8_cutT1_B,2195.0,649.0,215.0,8377.0
BW3_B:mALb8_cutT2_A,2269.0,804.0,175.0,159.0
BW3_B:mALb8_cutT2_B,480.0,934.0,22.0,2651.0
BW3_B:MCL1,3617.0,1468.0,382.0,479.0
BW3_B:PUMA_M144A,2740.0,701.0,503.0,80.0
BW3_B:PUMA_M144A_L141A,2623.0,612.0,94.0,375.0
BW3_B:PUMA_M144A_L148A,2066.0,747.0,318.0,183.0
BW3_B:Jerala_P1,850.0,292.0,58.0,37.0
BW3_B:Jerala_P2,1330.0,337.0,133.0,57.0
BW3_B:Jerala_P3,1116.0,144.0,77.0,18.0
BW3_B:Jerala_P4,947.0,220.0,45.0,384.0
BW3_B:Jerala_P5,1389.0,190.0,83.0,51.0
BW3_B:Jerala_P6,1172.0,258.0,104.0,72.0
BW3_B:Jerala_P7,1133.0,161.0,155.0,55.0
BW3_B:Jerala_P8,1162.0,296.0,52.0,380.0
BW3_B:Jerala_P9,1295.0,160.0,85.0,34.0
BW3_B:Jerala_P10,908.0,304.0,336.0,271.0
BW3_B:Jerala_P11,1272.0,843.0,224.0,118.0
BW3_B:Jerala_P12,1236.0,174.0,92.0,289.0
BW5_A:BW5_B,1023.0,1500.0,16382.0,36067.0
BW5_A:BW8_A,2198.0,839.0,233.0,631.0
BW5_A:BW8_B,2312.0,2248.0,422.0,1459.0
BW10_A:BW5_A,1934.0,1345.0,184.0,248.0
BW10_B:BW5_A,1509.0,1509.0,482.0,365.0
BW5_A:IL8_A,2057.0,2010.0,611.0,1732.0
BW5_A:IL8_B,1680.0,4202.0,302.0,1376.0
BW5_A:IL9_A,1737.0,1808.0,644.0,417.0
BW5_A:IL9_B,3037.0,3377.0,335.0,1432.0
BW5_A:IL14_A,1182.0,784.0,355.0,186.0
BW5_A:IL14_B,1693.0,2054.0,312.0,564.0
BW5_A:IL19_A,3638.0,2820.0,458.0,905.0
