"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P1:Jerala_P2",1523,1811,53793,51509,93523.066761868,8.52927044355492,0.297608142142601,1.5269700627694e-181,1.19103664896013e-179
"Jerala_P1:Jerala_P3",4103,3445,210,194,918.432624099424,-0.597893158643789,0.12782953929508,9.26171139115722e-07,6.0201124042522e-06
"Jerala_P1:Jerala_P4",2693,3790,167,209,810.388087186202,-0.469004787302709,0.150532895546072,0.000894161904774243,0.00268248571432273
"Jerala_P1:Jerala_P5",5479,3504,289,184,1090.77573729917,-0.628893751489982,0.1181216746942,2.87331853856499e-08,2.24118846008069e-07
"Jerala_P1:Jerala_P6",3346,2680,184,152,746.033578072216,-0.536792081747006,0.136770721369905,3.44747509609955e-05,0.000168064410934853
"Jerala_P1:Jerala_P7",2158,1340,3621,72,3658.71204532424,0.378592360476009,0.845454863796933,0.210106063961444,0.259634333980522
"Jerala_P1:Jerala_P8",3075,4876,158,313,998.252577756569,-0.485691381313518,0.144438057889359,0.000360036997436044,0.00131717935320468
"Jerala_P1:Jerala_P9",3525,1977,167,126,670.572161762596,-0.535446849030198,0.173835439910562,0.000781005675157602,0.00243673770649172
"Jerala_P1:Jerala_P10",5302,5098,289,337,1323.38796821408,-0.441542319145959,0.13169233849965,0.000431526148782453,0.00146343650456658
"Jerala_P1:Jerala_P11",2414,2447,114,188,624.829434635923,-0.370935745906904,0.212792241971574,0.0476299159734518,0.070096857470363
"Jerala_P1:Jerala_P12",2235,834,136,50,397.000797070517,-0.404887346057883,0.164158227186293,0.00782294229836239,0.0160576184019018
"Jerala_P2:Jerala_P3",2610,4677,141,1749,2151.26093583466,0.22983828077131,0.46521591183135,0.340985600812983,0.374603899484685
"Jerala_P2:Jerala_P4",2812,1817,175,102,592.18323573867,-0.442251195327191,0.151920238568603,0.00189431714030821,0.00492522456480135
"Jerala_P2:Jerala_P5",5276,3895,356,255,1225.95094313165,-0.310338660213903,0.115931079200352,0.0054920617265985,0.0115778598560725
"Jerala_P2:Jerala_P6",4938,2270,290,149,931.304412268346,-0.403724598838976,0.127831703749542,0.000949652372571692,0.00274344018742933
"Jerala_P2:Jerala_P7",4089,2149,289,119,832.12142662399,-0.339073391185973,0.191635728209338,0.0499363494343799,0.0721302825163266
"Jerala_P2:Jerala_P8",2798,3787,180,315,919.990279275932,-0.167934896068829,0.148988507852396,0.231365660030898,0.269351066901643
"Jerala_P2:Jerala_P9",1772,2000,128,106,487.203938131159,-0.357318214875191,0.195472004940701,0.0418967791164394,0.0640774268839662
"Jerala_P10:Jerala_P2",2418,6044,187,422,1153.04246388388,-0.18331614439416,0.12909388244369,0.137542058329734,0.175873451634742
"Jerala_P11:Jerala_P2",1720,1686,94,171,484.209149135322,-0.115355332731832,0.237911090586926,0.569042848080654,0.58401765987225
"Jerala_P12:Jerala_P2",3162,3205,175,200,802.847611595972,-0.467656121815439,0.136374635132534,0.000301319697321625,0.00117514681955434
"Jerala_P3:Jerala_P4",1106,1087,11380,70559,70509.6125876136,7.9830659288891,0.882101372680289,2.25364029953881e-20,5.85946477880091e-19
"Jerala_P3:Jerala_P5",1660,2417,106,147,523.654920128065,-0.388567775644344,0.146213337106312,0.00479818910890115,0.0106931071569797
"Jerala_P3:Jerala_P6",1552,1166,95,75,353.133462747234,-0.365447311137076,0.162823743645828,0.0156896110616549,0.0278134014274791
"Jerala_P3:Jerala_P7",1893,1483,537,92,823.73133118066,0.15839016872767,0.496305868972953,0.496354323666194,0.519093208993968
"Jerala_P3:Jerala_P8",2795,1757,1792,89,2065.82234509666,0.2848351798114,0.5573407066117,0.256942077721432,0.290456261772053
"Jerala_P3:Jerala_P9",1690,3530,97,163,612.300277192839,-0.620629669216289,0.18173830342253,0.000169120618328402,0.000732856012756408
"Jerala_P10:Jerala_P3",3994,4536,236,309,1111.2421333089,-0.372355084839182,0.118695569975835,0.00110901936369451,0.00308941108457756
"Jerala_P11:Jerala_P3",912,3184,54,572,835.787950047402,0.181747457491425,0.321405444807889,0.439166741151622,0.46924665492913
"Jerala_P12:Jerala_P3",1037,1265,77,75,304.939646972644,-0.279332592198287,0.190671921541159,0.105096770597504,0.138941493332294
"Jerala_P4:Jerala_P5",4110,1255,229,77,677.627504076771,-0.475468894806316,0.145873544381447,0.00053635959622312,0.00174316868772514
"Jerala_P4:Jerala_P6",1570,1061,97,66,341.046943530132,-0.376430807908124,0.166385897466451,0.0145323316071303,0.0265749874019716
