PPI,trp1,his1
DBD:Jerala_P1:AD:Jerala_P1,5,13
DBD:Jerala_P1:AD:Jerala_P2,1523,53793
DBD:Jerala_P1:AD:Jerala_P3,4103,210
DBD:Jerala_P1:AD:Jerala_P4,2693,167
DBD:Jerala_P1:AD:Jerala_P5,5479,289
DBD:Jerala_P1:AD:Jerala_P6,3346,184
DBD:Jerala_P1:AD:Jerala_P7,2158,3621
DBD:Jerala_P1:AD:Jerala_P8,3075,158
DBD:Jerala_P1:AD:Jerala_P9,3525,167
DBD:Jerala_P1:AD:Jerala_P10,5302,289
DBD:Jerala_P1:AD:Jerala_P11,2414,114
DBD:Jerala_P1:AD:Jerala_P12,2235,136
DBD:Jerala_P2:AD:Jerala_P1,1811,51509
DBD:Jerala_P2:AD:Jerala_P2,23,6
DBD:Jerala_P2:AD:Jerala_P3,2610,141
DBD:Jerala_P2:AD:Jerala_P4,2812,175
DBD:Jerala_P2:AD:Jerala_P5,5276,356
DBD:Jerala_P2:AD:Jerala_P6,4938,290
DBD:Jerala_P2:AD:Jerala_P7,4089,289
DBD:Jerala_P2:AD:Jerala_P8,2798,180
DBD:Jerala_P2:AD:Jerala_P9,1772,128
DBD:Jerala_P2:AD:Jerala_P10,2418,187
DBD:Jerala_P2:AD:Jerala_P11,1720,94
DBD:Jerala_P2:AD:Jerala_P12,3162,175
DBD:Jerala_P3:AD:Jerala_P1,3445,194
DBD:Jerala_P3:AD:Jerala_P2,4677,1749
DBD:Jerala_P3:AD:Jerala_P3,1676,3723
DBD:Jerala_P3:AD:Jerala_P4,1106,11380
DBD:Jerala_P3:AD:Jerala_P5,1660,106
DBD:Jerala_P3:AD:Jerala_P6,1552,95
DBD:Jerala_P3:AD:Jerala_P7,1893,537
DBD:Jerala_P3:AD:Jerala_P8,2795,1792
DBD:Jerala_P3:AD:Jerala_P9,1690,97
DBD:Jerala_P3:AD:Jerala_P10,3994,236
DBD:Jerala_P3:AD:Jerala_P11,912,54
DBD:Jerala_P3:AD:Jerala_P12,1037,77
DBD:Jerala_P4:AD:Jerala_P1,3790,209
DBD:Jerala_P4:AD:Jerala_P2,1817,102
DBD:Jerala_P4:AD:Jerala_P3,1087,70559
DBD:Jerala_P4:AD:Jerala_P4,5,4
DBD:Jerala_P4:AD:Jerala_P5,4110,229
DBD:Jerala_P4:AD:Jerala_P6,1570,97
DBD:Jerala_P4:AD:Jerala_P7,2778,670
DBD:Jerala_P4:AD:Jerala_P8,2830,174
DBD:Jerala_P4:AD:Jerala_P9,1438,96
DBD:Jerala_P4:AD:Jerala_P10,4222,2446
DBD:Jerala_P4:AD:Jerala_P11,1717,128
DBD:Jerala_P4:AD:Jerala_P12,1136,15557
DBD:Jerala_P5:AD:Jerala_P1,3504,184
DBD:Jerala_P5:AD:Jerala_P2,3895,255
DBD:Jerala_P5:AD:Jerala_P3,2417,147
DBD:Jerala_P5:AD:Jerala_P4,1255,77
DBD:Jerala_P5:AD:Jerala_P5,1909,169
DBD:Jerala_P5:AD:Jerala_P6,2184,9798
DBD:Jerala_P5:AD:Jerala_P7,6117,342
DBD:Jerala_P5:AD:Jerala_P8,2363,153
DBD:Jerala_P5:AD:Jerala_P9,2292,143
DBD:Jerala_P5:AD:Jerala_P10,5026,270
DBD:Jerala_P5:AD:Jerala_P11,1664,89
DBD:Jerala_P5:AD:Jerala_P12,3938,221
DBD:Jerala_P6:AD:Jerala_P1,2680,152
DBD:Jerala_P6:AD:Jerala_P2,2270,149
DBD:Jerala_P6:AD:Jerala_P3,1166,75
DBD:Jerala_P6:AD:Jerala_P4,1061,66
DBD:Jerala_P6:AD:Jerala_P5,1499,332
DBD:Jerala_P6:AD:Jerala_P6,6,2
DBD:Jerala_P6:AD:Jerala_P7,1850,115
DBD:Jerala_P6:AD:Jerala_P8,1720,117
DBD:Jerala_P6:AD:Jerala_P9,1299,95
DBD:Jerala_P6:AD:Jerala_P10,741,44
DBD:Jerala_P6:AD:Jerala_P11,2009,111
DBD:Jerala_P6:AD:Jerala_P12,1407,91
DBD:Jerala_P7:AD:Jerala_P1,1340,72
DBD:Jerala_P7:AD:Jerala_P2,2149,119
DBD:Jerala_P7:AD:Jerala_P3,1483,92
DBD:Jerala_P7:AD:Jerala_P4,1347,88
DBD:Jerala_P7:AD:Jerala_P5,2053,107
DBD:Jerala_P7:AD:Jerala_P6,1417,95
DBD:Jerala_P7:AD:Jerala_P7,1508,100
DBD:Jerala_P7:AD:Jerala_P8,1392,746
DBD:Jerala_P7:AD:Jerala_P9,983,56
DBD:Jerala_P7:AD:Jerala_P10,1790,110
DBD:Jerala_P7:AD:Jerala_P11,1954,136
DBD:Jerala_P7:AD:Jerala_P12,1444,75
DBD:Jerala_P8:AD:Jerala_P1,4876,313
DBD:Jerala_P8:AD:Jerala_P2,3787,315
DBD:Jerala_P8:AD:Jerala_P3,1757,89
DBD:Jerala_P8:AD:Jerala_P4,2412,169
DBD:Jerala_P8:AD:Jerala_P5,2825,171
DBD:Jerala_P8:AD:Jerala_P6,4016,254
DBD:Jerala_P8:AD:Jerala_P7,2410,18154
DBD:Jerala_P8:AD:Jerala_P8,6,2
DBD:Jerala_P8:AD:Jerala_P9,3173,209
DBD:Jerala_P8:AD:Jerala_P10,3672,228
DBD:Jerala_P8:AD:Jerala_P11,3954,220
DBD:Jerala_P8:AD:Jerala_P12,3632,164
DBD:Jerala_P9:AD:Jerala_P1,1977,126
DBD:Jerala_P9:AD:Jerala_P2,2000,106
DBD:Jerala_P9:AD:Jerala_P3,3530,163
DBD:Jerala_P9:AD:Jerala_P4,1269,67
DBD:Jerala_P9:AD:Jerala_P5,3753,4194
DBD:Jerala_P9:AD:Jerala_P6,2971,159
DBD:Jerala_P9:AD:Jerala_P7,4101,178
DBD:Jerala_P9:AD:Jerala_P8,2754,126
DBD:Jerala_P9:AD:Jerala_P9,6,12
DBD:Jerala_P9:AD:Jerala_P10,2408,42353
DBD:Jerala_P9:AD:Jerala_P11,2956,130
DBD:Jerala_P9:AD:Jerala_P12,2564,229
DBD:Jerala_P10:AD:Jerala_P1,5098,337
DBD:Jerala_P10:AD:Jerala_P2,6044,422
DBD:Jerala_P10:AD:Jerala_P3,4536,309
DBD:Jerala_P10:AD:Jerala_P4,3674,219
DBD:Jerala_P10:AD:Jerala_P5,3297,218
DBD:Jerala_P10:AD:Jerala_P6,4966,333
DBD:Jerala_P10:AD:Jerala_P7,1732,107
DBD:Jerala_P10:AD:Jerala_P8,11007,741
DBD:Jerala_P10:AD:Jerala_P9,1733,70229
DBD:Jerala_P10:AD:Jerala_P10,4,6
DBD:Jerala_P10:AD:Jerala_P11,4496,310
DBD:Jerala_P10:AD:Jerala_P12,3496,227
DBD:Jerala_P11:AD:Jerala_P1,2447,188
DBD:Jerala_P11:AD:Jerala_P2,1686,171
DBD:Jerala_P11:AD:Jerala_P3,3184,572
DBD:Jerala_P11:AD:Jerala_P4,2329,351
DBD:Jerala_P11:AD:Jerala_P5,3164,6665
DBD:Jerala_P11:AD:Jerala_P6,3874,272
DBD:Jerala_P11:AD:Jerala_P7,3782,382
DBD:Jerala_P11:AD:Jerala_P8,2516,199
DBD:Jerala_P11:AD:Jerala_P9,835,78
DBD:Jerala_P11:AD:Jerala_P10,2542,389
DBD:Jerala_P11:AD:Jerala_P11,198,77
DBD:Jerala_P11:AD:Jerala_P12,1351,5200
DBD:Jerala_P12:AD:Jerala_P1,834,50
DBD:Jerala_P12:AD:Jerala_P2,3205,200
DBD:Jerala_P12:AD:Jerala_P3,1265,75
DBD:Jerala_P12:AD:Jerala_P4,2022,117
DBD:Jerala_P12:AD:Jerala_P5,4485,274
DBD:Jerala_P12:AD:Jerala_P6,3638,242
DBD:Jerala_P12:AD:Jerala_P7,5175,265
DBD:Jerala_P12:AD:Jerala_P8,2890,194
DBD:Jerala_P12:AD:Jerala_P9,1442,241
DBD:Jerala_P12:AD:Jerala_P10,3535,5395
DBD:Jerala_P12:AD:Jerala_P11,822,15002
DBD:Jerala_P12:AD:Jerala_P12,1433,86
