,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
2CDP06:BCDP01,11188.0,16257.0,1123.0,2538.0
2CDP06:BECM01,10174.0,17280.0,845.0,1811.0
2CDP06:Bcl-2,4361.0,5066.0,6881.0,8438.0
2CDP06:Bcl-B,25903.0,41065.0,3673.0,6453.0
2CDP06:Bcl-w,4840.0,4536.0,911.0,1460.0
2CDP06:Bcl-xL,5016.0,2924.0,870.0,316.0
2CDP06:Bfl-1,8989.0,9182.0,1353.0,771.0
2CDP06:FECM04,15362.0,9389.0,1115.0,767.0
2CDP06:Mcl1[151-321],22149.0,9347.0,1860.0,992.0
2CDP06:XCDP07,2307.0,11349.0,205.0,1174.0
2CDP06:alphaBCL2,9792.0,8165.0,1202.0,459.0
2CDP06:alphaBCLB,11107.0,17537.0,831.0,1697.0
2CDP06:alphaBFL1,18577.0,13920.0,1751.0,787.0
2CDP06:alphaMCL1,335018.0,10218.0,1229.0,594.0
BCDP01:BECM01,9991.0,12410.0,7418.0,8275.0
BCDP01:Bcl-2,5000.0,5018.0,9433.0,10889.0
BCDP01:Bcl-B,31856.0,29484.0,285929.0,148095.0
BCDP01:Bcl-w,5548.0,3623.0,1651.0,5193.0
BCDP01:Bcl-xL,3279.0,3051.0,6745.0,5946.0
BCDP01:Bfl-1,11389.0,7443.0,42071.0,17342.0
BCDP01:FECM04,15351.0,8442.0,4743.0,1438.0
BCDP01:Mcl1[151-321],21209.0,11477.0,101986.0,30617.0
BCDP01:XCDP07,2920.0,6804.0,1236.0,6258.0
BCDP01:alphaBCL2,20796.0,6432.0,3667.0,725.0
BCDP01:alphaBCLB,12867.0,13886.0,7294.0,5989.0
BCDP01:alphaBFL1,20953.0,12476.0,8118.0,3366.0
BCDP01:alphaMCL1,23672.0,9809.0,5904.0,2744.0
BECM01:Bcl-2,5752.0,4774.0,2324.0,2030.0
BECM01:Bcl-B,28449.0,20283.0,183089.0,77386.0
BECM01:Bcl-w,5001.0,4308.0,1481.0,729.0
BECM01:Bcl-xL,4314.0,1878.0,2027.0,1517.0
BECM01:Bfl-1,10926.0,7589.0,21019.0,18056.0
BECM01:FECM04,12651.0,7248.0,2636.0,874.0
BECM01:Mcl1[151-321],18335.0,7968.0,11216.0,5212.0
BECM01:XCDP07,3637.0,6572.0,529.0,3630.0
BECM01:alphaBCL2,16195.0,5870.0,1694.0,603.0
BECM01:alphaBCLB,13706.0,10330.0,4909.0,3393.0
BECM01:alphaBFL1,30279.0,10172.0,5332.0,1822.0
BECM01:alphaMCL1,19925.0,9565.0,3844.0,1704.0
Bcl-2:Bcl-B,16111.0,11240.0,10054.0,3774.0
Bcl-2:Bcl-w,1287.0,2599.0,166.0,151.0
Bcl-2:Bcl-xL,1552.0,876.0,469.0,336.0
Bcl-2:Bfl-1,3878.0,5096.0,2271.0,1584.0
