,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
N5:N6,1937.0,1736.0,102019.0,47795.0
N5:N7,6874.0,12510.0,1107.0,1449.0
N5:N8,7233.0,5670.0,777.0,442.0
N5:P5A,8702.0,9520.0,810.0,3111.0
N5:P6A,6925.0,4045.0,330383.0,178054.0
N5:P7A,4275.0,6526.0,559.0,1561.0
N5:P8A,8017.0,6325.0,605.0,615.0
N1:N5,2183.0,1772.0,339.0,268.0
N2:N5,8765.0,10890.0,1053.0,891.0
AN3:N5,10896.0,19968.0,906.0,1707.0
AN35:N5,6175.0,10444.0,484.0,1662.0
AN4:N5,7249.0,5882.0,86741.0,68516.0
BN3:N5,5167.0,13710.0,341.0,957.0
BN35:N5,7439.0,35243.0,7365.0,3505.0
BN4:N5,8018.0,15576.0,11401.0,97652.0
N5:PUMA_M144A_A139G,4691.0,9771.0,489.0,905.0
N5:PUMA_M144A_A139G_A150G,10406.0,5561.0,2638.0,383.0
N5:PUMA_M144A_D147G,8391.0,7648.0,494.0,1832.0
N5:PUMA_M144A_E132A,10389.0,10325.0,7770.0,581.0
N5:PUMA_M144A_E136G,11711.0,7547.0,1248.0,638.0
N5:PUMA_M144A_E158A,7801.0,11916.0,649.0,593.0
N5:PUMA_M144A_I137A,7385.0,4758.0,610.0,271.0
N5:PUMA_M144A_R143A,10509.0,6400.0,2141.0,591.0
N5:PUMA_M144A_W133F,10951.0,4418.0,683.0,257.0
N5:PUMA_M144A_Y152A,7203.0,6248.0,834.0,426.0
Jerala_P1:N5,1531.0,1038.0,163.0,59.0
Jerala_P2:N5,1342.0,2064.0,81.0,86.0
Jerala_P3:N5,1731.0,1197.0,131.0,94.0
Jerala_P4:N5,3122.0,1841.0,440.0,121.0
Jerala_P5:N5,1385.0,1048.0,1105.0,111.0
Jerala_P6:N5,1779.0,1563.0,2264.0,81523.0
Jerala_P7:N5,2418.0,1669.0,294.0,157.0
Jerala_P8:N5,791.0,3569.0,66.0,8183.0
Jerala_P9:N5,1650.0,1949.0,145.0,2401.0
Jerala_P10:N5,365.0,3365.0,59.0,152.0
Jerala_P11:N5,1635.0,1327.0,270.0,214.0
Jerala_P12:N5,2388.0,2438.0,135.0,320.0
N6:N7,4353.0,5889.0,1020.0,6645.0
N6:N8,3057.0,3818.0,468.0,554.0
N6:P5A,1974.0,2659.0,47798.0,74455.0
N6:P6A,5521.0,4449.0,783.0,367.0
N6:P7A,2654.0,2867.0,2464.0,193.0
N6:P8A,7679.0,4970.0,845.0,370.0
N1:N6,1296.0,1052.0,231.0,183.0
N2:N6,9337.0,8146.0,107295.0,706.0
AN3:N6,6459.0,11521.0,899.0,1179.0
AN35:N6,9429.0,8650.0,899.0,3661.0
AN4:N6,6409.0,5200.0,766.0,606.0
BN3:N6,3999.0,9193.0,427.0,926.0
BN35:N6,9296.0,13955.0,1090.0,2269.0
BN4:N6,9701.0,5792.0,151242.0,58615.0
N6:PUMA_M144A_A139G,5182.0,1530.0,1448.0,116.0
N6:PUMA_M144A_A139G_A150G,8707.0,4403.0,1034.0,258.0
N6:PUMA_M144A_D147G,6691.0,5945.0,706.0,258.0
N6:PUMA_M144A_E132A,6606.0,4387.0,764.0,212.0
N6:PUMA_M144A_E136G,8406.0,4486.0,1668.0,298.0
N6:PUMA_M144A_E158A,4294.0,4359.0,338.0,203.0
N6:PUMA_M144A_I137A,4852.0,2955.0,656.0,200.0
N6:PUMA_M144A_R143A,8926.0,5452.0,626.0,239.0
N6:PUMA_M144A_W133F,5433.0,4228.0,2428.0,258.0
N6:PUMA_M144A_Y152A,5438.0,4405.0,6505.0,257.0
Jerala_P1:N6,999.0,1823.0,100.0,147.0
Jerala_P2:N6,1842.0,595.0,189.0,100.0
Jerala_P3:N6,1052.0,745.0,150.0,131.0
Jerala_P4:N6,1066.0,1453.0,118.0,231.0
Jerala_P5:N6,655.0,397.0,3686.0,13640.0
Jerala_P6:N6,1834.0,606.0,259.0,76.0
Jerala_P7:N6,402.0,1571.0,273.0,208.0
Jerala_P8:N6,2696.0,1118.0,287.0,119.0
Jerala_P9:N6,1289.0,555.0,208.0,45.0
Jerala_P10:N6,2923.0,813.0,525.0,70.0
Jerala_P11:N6,2708.0,2198.0,661.0,523.0
Jerala_P12:N6,1069.0,1779.0,64.0,141.0
N7:N8,5759.0,2821.0,268528.0,142539.0
N7:P5A,6285.0,9521.0,753.0,1079.0
N7:P6A,10626.0,6648.0,799.0,789.0
N7:P7A,6394.0,7401.0,580.0,717.0
N7:P8A,7981.0,3727.0,16593.0,157743.0
N1:N7,3473.0,2818.0,377.0,298.0
N2:N7,12257.0,6883.0,6179.0,584.0
AN3:N7,12518.0,16107.0,826.0,2005.0
AN35:N7,12540.0,10802.0,1070.0,1038.0
AN4:N7,9280.0,7530.0,1137.0,899.0
BN3:N7,9936.0,18054.0,687.0,3485.0
BN35:N7,12632.0,28228.0,1177.0,3613.0
BN4:N7,16183.0,14499.0,2241.0,3546.0
N7:PUMA_M144A_A139G,9309.0,3888.0,881.0,306.0
N7:PUMA_M144A_A139G_A150G,10346.0,5515.0,852.0,569.0
N7:PUMA_M144A_D147G,13760.0,5637.0,1144.0,388.0
N7:PUMA_M144A_E132A,13312.0,6394.0,1056.0,485.0
N7:PUMA_M144A_E136G,13668.0,5646.0,1133.0,562.0
N7:PUMA_M144A_E158A,8701.0,8525.0,802.0,622.0
N7:PUMA_M144A_I137A,12184.0,4585.0,1012.0,527.0
N7:PUMA_M144A_R143A,13522.0,9015.0,975.0,604.0
N7:PUMA_M144A_W133F,8950.0,3815.0,2292.0,350.0
N7:PUMA_M144A_Y152A,12204.0,6537.0,1271.0,513.0
Jerala_P1:N7,3299.0,589.0,347.0,72.0
Jerala_P2:N7,2630.0,1092.0,353.0,64.0
Jerala_P3:N7,1234.0,3317.0,172.0,271.0
Jerala_P4:N7,994.0,1811.0,100.0,166.0
Jerala_P5:N7,2230.0,1700.0,266.0,348.0
Jerala_P6:N7,2100.0,1157.0,94.0,149.0
Jerala_P7:N7,3928.0,2142.0,313.0,305.0
Jerala_P8:N7,2525.0,575.0,385.0,4228.0
Jerala_P9:N7,2727.0,1185.0,1041.0,159.0
Jerala_P10:N7,2257.0,771.0,241.0,16237.0
Jerala_P11:N7,3861.0,3133.0,425.0,336.0
Jerala_P12:N7,690.0,2472.0,32.0,287.0
N8:P5A,5435.0,7969.0,463.0,585.0
N8:P6A,6373.0,7340.0,2654.0,875.0
N8:P7A,2538.0,4493.0,33157.0,212699.0
N8:P8A,5717.0,11174.0,10036.0,831.0
N1:N8,1441.0,1170.0,231.0,183.0
N2:N8,9708.0,7260.0,1838.0,607.0
AN3:N8,9635.0,17835.0,738.0,1248.0
AN35:N8,6078.0,8466.0,490.0,851.0
AN4:N8,6972.0,5657.0,602.0,476.0
BN3:N8,2475.0,16213.0,632.0,1164.0
BN35:N8,8738.0,27606.0,812.0,2097.0
BN4:N8,7182.0,15376.0,493.0,1059.0
N8:PUMA_M144A_A139G,9405.0,2733.0,924.0,1668.0
N8:PUMA_M144A_A139G_A150G,7760.0,6037.0,614.0,442.0
N8:PUMA_M144A_D147G,10192.0,9398.0,937.0,532.0
N8:PUMA_M144A_E132A,14137.0,8433.0,1178.0,315.0
N8:PUMA_M144A_E136G,10164.0,5929.0,758.0,447.0
N8:PUMA_M144A_E158A,9090.0,6089.0,902.0,285.0
N8:PUMA_M144A_I137A,13670.0,5816.0,1020.0,918.0
N8:PUMA_M144A_R143A,10141.0,4560.0,814.0,288.0
N8:PUMA_M144A_W133F,12415.0,4756.0,816.0,335.0
N8:PUMA_M144A_Y152A,8343.0,6862.0,620.0,444.0
Jerala_P1:N8,4173.0,1875.0,383.0,154.0
Jerala_P2:N8,3745.0,2218.0,337.0,135.0
Jerala_P3:N8,2016.0,830.0,161.0,50.0
Jerala_P4:N8,727.0,2182.0,76.0,181.0
Jerala_P5:N8,1841.0,2686.0,140.0,370.0
Jerala_P6:N8,1548.0,2420.0,174.0,197.0
Jerala_P7:N8,764.0,1012.0,3760.0,21930.0
Jerala_P8:N8,3414.0,1266.0,322.0,92.0
Jerala_P9:N8,1608.0,1615.0,143.0,3914.0
Jerala_P10:N8,1753.0,1569.0,2537.0,189.0
Jerala_P11:N8,4134.0,3355.0,558.0,441.0
Jerala_P12:N8,2651.0,749.0,342.0,38.0
P5A:P6A,4939.0,4380.0,339642.0,184122.0
P5A:P7A,4525.0,6688.0,345.0,407.0
P5A:P8A,9916.0,10628.0,923.0,24971.0
N1:P5A,2673.0,2169.0,553.0,437.0
N2:P5A,8860.0,6012.0,1176.0,494.0
AN3:P5A,12937.0,13046.0,954.0,1489.0
AN35:P5A,10966.0,6614.0,693.0,608.0
AN4:P5A,10322.0,8375.0,3353.0,2649.0
BN3:P5A,7688.0,13673.0,556.0,1334.0
BN35:P5A,10471.0,20755.0,690.0,2087.0
BN4:P5A,10102.0,17894.0,753.0,1344.0
P5A:PUMA_M144A_A139G,6607.0,6209.0,412.0,464.0
P5A:PUMA_M144A_A139G_A150G,8871.0,6763.0,505.0,603.0
P5A:PUMA_M144A_D147G,14857.0,8432.0,922.0,445.0
P5A:PUMA_M144A_E132A,8252.0,8340.0,564.0,433.0
P5A:PUMA_M144A_E136G,13132.0,5054.0,780.0,316.0
P5A:PUMA_M144A_E158A,9059.0,6978.0,740.0,450.0
P5A:PUMA_M144A_I137A,6904.0,5120.0,854.0,542.0
P5A:PUMA_M144A_R143A,8517.0,6734.0,1311.0,454.0
P5A:PUMA_M144A_W133F,8256.0,5272.0,637.0,378.0
P5A:PUMA_M144A_Y152A,5914.0,6084.0,427.0,319.0
Jerala_P1:P5A,1840.0,1744.0,130.0,112.0
Jerala_P2:P5A,3570.0,964.0,2055.0,70.0
Jerala_P3:P5A,1893.0,1039.0,123.0,58.0
Jerala_P4:P5A,2773.0,1088.0,1871.0,81.0
Jerala_P5:P5A,3803.0,1498.0,4917.0,112.0
Jerala_P6:P5A,761.0,541.0,43883.0,26852.0
Jerala_P7:P5A,1766.0,656.0,172.0,67.0
Jerala_P8:P5A,4554.0,1173.0,366.0,144.0
Jerala_P9:P5A,339.0,1004.0,60.0,66.0
Jerala_P10:P5A,155.0,5557.0,23.0,363.0
Jerala_P11:P5A,1516.0,1231.0,173.0,137.0
Jerala_P12:P5A,2943.0,1485.0,437.0,196.0
P6A:P7A,4866.0,10427.0,476.0,710.0
P6A:P8A,11084.0,8237.0,4252.0,542.0
N1:P6A,3093.0,2510.0,691.0,546.0
N2:P6A,10604.0,13603.0,896.0,628.0
AN3:P6A,11280.0,16328.0,843.0,2658.0
AN35:P6A,4300.0,10351.0,454.0,738.0
AN4:P6A,9549.0,7748.0,11870.0,9376.0
BN3:P6A,9613.0,12595.0,744.0,681.0
BN35:P6A,8240.0,30329.0,580.0,2182.0
BN4:P6A,9552.0,18776.0,17077.0,2690.0
P6A:PUMA_M144A_A139G,10745.0,5315.0,738.0,329.0
P6A:PUMA_M144A_A139G_A150G,12623.0,9304.0,767.0,508.0
P6A:PUMA_M144A_D147G,11998.0,7632.0,840.0,433.0
P6A:PUMA_M144A_E132A,8872.0,6094.0,854.0,332.0
P6A:PUMA_M144A_E136G,13870.0,4706.0,1063.0,300.0
P6A:PUMA_M144A_E158A,12269.0,11234.0,998.0,561.0
P6A:PUMA_M144A_I137A,7030.0,6649.0,424.0,549.0
P6A:PUMA_M144A_R143A,6879.0,5369.0,612.0,335.0
P6A:PUMA_M144A_W133F,8737.0,4263.0,688.0,249.0
P6A:PUMA_M144A_Y152A,6852.0,5883.0,574.0,362.0
Jerala_P1:P6A,2143.0,2192.0,187.0,87.0
Jerala_P2:P6A,4291.0,2598.0,390.0,141.0
Jerala_P3:P6A,1493.0,2679.0,77.0,176.0
Jerala_P4:P6A,2193.0,4473.0,253.0,321.0
Jerala_P5:P6A,1562.0,1690.0,67431.0,109985.0
Jerala_P6:P6A,1804.0,1501.0,232.0,200.0
Jerala_P7:P6A,1594.0,805.0,103.0,36.0
Jerala_P8:P6A,3394.0,2543.0,179.0,198.0
Jerala_P9:P6A,1598.0,1338.0,84.0,247.0
Jerala_P10:P6A,2916.0,4210.0,313.0,236.0
Jerala_P11:P6A,1894.0,1537.0,186.0,147.0
Jerala_P12:P6A,1132.0,2823.0,99.0,161.0
P7A:P8A,5811.0,2859.0,230863.0,188292.0
N1:P7A,2242.0,1820.0,308.0,244.0
N2:P7A,8978.0,6761.0,2689.0,404.0
AN3:P7A,13040.0,10013.0,917.0,729.0
AN35:P7A,6610.0,6587.0,453.0,516.0
AN4:P7A,6089.0,4941.0,2241.0,1771.0
BN3:P7A,5511.0,7548.0,230.0,704.0
BN35:P7A,6950.0,14229.0,2127.0,986.0
BN4:P7A,11542.0,12703.0,2059.0,950.0
P7A:PUMA_M144A_A139G,7099.0,4986.0,306.0,295.0
P7A:PUMA_M144A_A139G_A150G,5204.0,2523.0,356.0,130.0
P7A:PUMA_M144A_D147G,9568.0,4759.0,977.0,257.0
P7A:PUMA_M144A_E132A,10101.0,5906.0,2971.0,407.0
P7A:PUMA_M144A_E136G,8971.0,2969.0,585.0,208.0
P7A:PUMA_M144A_E158A,7837.0,6730.0,543.0,271.0
P7A:PUMA_M144A_I137A,10123.0,3513.0,575.0,404.0
P7A:PUMA_M144A_R143A,6587.0,4661.0,479.0,310.0
P7A:PUMA_M144A_W133F,9642.0,2568.0,716.0,174.0
P7A:PUMA_M144A_Y152A,8130.0,2526.0,603.0,107.0
Jerala_P1:P7A,2035.0,850.0,108.0,63.0
Jerala_P2:P7A,1097.0,314.0,181.0,25.0
Jerala_P3:P7A,2498.0,1044.0,219.0,55.0
Jerala_P4:P7A,1947.0,1358.0,166.0,68.0
Jerala_P5:P7A,1048.0,1182.0,137.0,212.0
Jerala_P6:P7A,1022.0,1876.0,68.0,138.0
Jerala_P7:P7A,2039.0,866.0,440.0,1166.0
Jerala_P8:P7A,1541.0,1219.0,46666.0,23654.0
Jerala_P9:P7A,3348.0,527.0,215.0,42.0
Jerala_P10:P7A,2976.0,841.0,230.0,30.0
Jerala_P11:P7A,1560.0,1266.0,103.0,82.0
Jerala_P12:P7A,2441.0,401.0,106.0,35.0
N1:P8A,2800.0,2272.0,503.0,398.0
N2:P8A,11804.0,14933.0,12107.0,631.0
AN3:P8A,11724.0,12906.0,571.0,1116.0
AN35:P8A,12296.0,9042.0,5165.0,693.0
AN4:P8A,8408.0,6822.0,718.0,568.0
BN3:P8A,5657.0,14157.0,353.0,895.0
BN35:P8A,10388.0,26355.0,838.0,2549.0
BN4:P8A,12984.0,20825.0,23979.0,4931.0
P8A:PUMA_M144A_A139G,12874.0,6857.0,5079.0,397.0
P8A:PUMA_M144A_A139G_A150G,9736.0,6876.0,630.0,1122.0
P8A:PUMA_M144A_D147G,10729.0,9942.0,1134.0,605.0
P8A:PUMA_M144A_E132A,11584.0,6530.0,979.0,473.0
P8A:PUMA_M144A_E136G,12128.0,5159.0,823.0,296.0
P8A:PUMA_M144A_E158A,10226.0,9502.0,784.0,465.0
P8A:PUMA_M144A_I137A,13831.0,6213.0,886.0,889.0
P8A:PUMA_M144A_R143A,13233.0,12682.0,988.0,767.0
P8A:PUMA_M144A_W133F,8123.0,4626.0,1139.0,234.0
P8A:PUMA_M144A_Y152A,7557.0,6105.0,466.0,324.0
Jerala_P1:P8A,1619.0,2102.0,417.0,199.0
Jerala_P2:P8A,3005.0,1337.0,212.0,184.0
Jerala_P3:P8A,2266.0,904.0,302.0,133.0
Jerala_P4:P8A,701.0,2009.0,58.0,190.0
Jerala_P5:P8A,1886.0,3080.0,100.0,523.0
Jerala_P6:P8A,4604.0,1125.0,403.0,128.0
Jerala_P7:P8A,863.0,139.0,30952.0,4613.0
Jerala_P8:P8A,3320.0,1960.0,242.0,158.0
Jerala_P9:P8A,1546.0,997.0,178.0,108.0
Jerala_P10:P8A,1423.0,4969.0,192.0,7764.0
Jerala_P11:P8A,3593.0,2916.0,212.0,168.0
Jerala_P12:P8A,507.0,921.0,24.0,73.0
N1:N2,2113.0,1714.0,97516.0,77317.0
AN3:N1,6968.0,5653.0,964.0,764.0
AN35:N1,3244.0,2632.0,424.0,336.0
AN4:N1,6734.0,1820.0,2760.0,37065.0
BN3:N1,6443.0,5227.0,859.0,681.0
BN35:N1,11177.0,9068.0,3457.0,2741.0
BN4:N1,5109.0,4145.0,33762.0,26773.0
N1:PUMA_M144A_A139G,1825.0,1480.0,183.0,145.0
N1:PUMA_M144A_A139G_A150G,2914.0,2364.0,325.0,257.0
N1:PUMA_M144A_D147G,2673.0,2168.0,202.0,160.0
