,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
Jerala_P1:Jerala_P2,1523.0,1811.0,61887.0,109859.0
Jerala_P1:Jerala_P3,4103.0,3445.0,137.0,88.0
Jerala_P1:Jerala_P4,2693.0,3790.0,72.0,186.0
Jerala_P1:Jerala_P5,5479.0,3504.0,164.0,99.0
Jerala_P1:Jerala_P6,3346.0,2680.0,79.0,63.0
Jerala_P1:Jerala_P7,2158.0,1340.0,198.0,37.0
Jerala_P1:Jerala_P8,3075.0,4876.0,72.0,185.0
Jerala_P1:Jerala_P9,3525.0,1977.0,88.0,84.0
Jerala_P1:Jerala_P10,5302.0,5098.0,144.0,217.0
Jerala_P1:Jerala_P11,2414.0,2447.0,56.0,62.0
Jerala_P1:Jerala_P12,2235.0,834.0,94.0,38.0
Jerala_P2:Jerala_P3,2610.0,4677.0,134.0,314.0
Jerala_P2:Jerala_P4,2812.0,1817.0,111.0,73.0
Jerala_P2:Jerala_P5,5276.0,3895.0,198.0,122.0
Jerala_P2:Jerala_P6,4938.0,2270.0,155.0,67.0
Jerala_P2:Jerala_P7,4089.0,2149.0,130.0,65.0
Jerala_P2:Jerala_P8,2798.0,3787.0,108.0,160.0
Jerala_P2:Jerala_P9,1772.0,2000.0,53.0,55.0
Jerala_P10:Jerala_P2,2418.0,6044.0,85.0,236.0
Jerala_P11:Jerala_P2,1720.0,1686.0,55.0,46.0
Jerala_P12:Jerala_P2,3162.0,3205.0,131.0,103.0
Jerala_P3:Jerala_P4,1106.0,1087.0,1328.0,95134.0
Jerala_P3:Jerala_P5,1660.0,2417.0,72.0,100.0
Jerala_P3:Jerala_P6,1552.0,1166.0,50.0,41.0
Jerala_P3:Jerala_P7,1893.0,1483.0,89.0,36.0
Jerala_P3:Jerala_P8,2795.0,1757.0,1712.0,48.0
Jerala_P3:Jerala_P9,1690.0,3530.0,54.0,107.0
Jerala_P10:Jerala_P3,3994.0,4536.0,130.0,157.0
Jerala_P11:Jerala_P3,912.0,3184.0,33.0,113.0
Jerala_P12:Jerala_P3,1037.0,1265.0,40.0,34.0
Jerala_P4:Jerala_P5,4110.0,1255.0,108.0,54.0
Jerala_P4:Jerala_P6,1570.0,1061.0,42.0,36.0
Jerala_P4:Jerala_P7,2778.0,1347.0,136.0,53.0
Jerala_P4:Jerala_P8,2830.0,2412.0,85.0,94.0
Jerala_P4:Jerala_P9,1438.0,1269.0,59.0,37.0
Jerala_P10:Jerala_P4,4222.0,3674.0,652.0,108.0
Jerala_P11:Jerala_P4,1717.0,2329.0,58.0,378.0
Jerala_P12:Jerala_P4,1136.0,2022.0,69797.0,64.0
Jerala_P5:Jerala_P6,2184.0,1499.0,1190.0,59.0
Jerala_P5:Jerala_P7,6117.0,2053.0,194.0,62.0
Jerala_P5:Jerala_P8,2363.0,2825.0,85.0,96.0
Jerala_P5:Jerala_P9,2292.0,3753.0,83.0,1413.0
Jerala_P10:Jerala_P5,5026.0,3297.0,159.0,142.0
Jerala_P11:Jerala_P5,1664.0,3164.0,56.0,24380.0
Jerala_P12:Jerala_P5,3938.0,4485.0,146.0,143.0
Jerala_P6:Jerala_P7,1850.0,1417.0,54.0,64.0
Jerala_P6:Jerala_P8,1720.0,4016.0,61.0,113.0
Jerala_P6:Jerala_P9,1299.0,2971.0,42.0,73.0
Jerala_P10:Jerala_P6,741.0,4966.0,19.0,154.0
Jerala_P11:Jerala_P6,2009.0,3874.0,57.0,97.0
Jerala_P12:Jerala_P6,1407.0,3638.0,37.0,95.0
Jerala_P7:Jerala_P8,1392.0,2410.0,83.0,2622.0
Jerala_P7:Jerala_P9,983.0,4101.0,27.0,95.0
Jerala_P10:Jerala_P7,1790.0,1732.0,56.0,61.0
Jerala_P11:Jerala_P7,1954.0,3782.0,55.0,84.0
Jerala_P12:Jerala_P7,1444.0,5175.0,55.0,136.0
Jerala_P8:Jerala_P9,3173.0,2754.0,130.0,51.0
Jerala_P10:Jerala_P8,3672.0,11007.0,137.0,399.0
Jerala_P11:Jerala_P8,3954.0,2516.0,121.0,56.0
Jerala_P12:Jerala_P8,3632.0,2890.0,125.0,110.0
Jerala_P10:Jerala_P9,2408.0,1733.0,29946.0,28748.0
Jerala_P11:Jerala_P9,2956.0,835.0,66.0,25.0
Jerala_P12:Jerala_P9,2564.0,1442.0,88.0,57.0
Jerala_P10:Jerala_P11,4496.0,2542.0,162.0,73.0
Jerala_P10:Jerala_P12,3496.0,3535.0,144.0,1860.0
Jerala_P11:Jerala_P12,1351.0,822.0,266.0,2571.0
Jerala_P1:Jerala_P1,5.0,5.0,21.0,31.0
Jerala_P2:Jerala_P2,23.0,23.0,16.0,24.0
Jerala_P3:Jerala_P3,1676.0,1676.0,666.0,983.0
Jerala_P4:Jerala_P4,5.0,5.0,6.0,9.0
Jerala_P5:Jerala_P5,1909.0,1909.0,72.0,105.0
Jerala_P6:Jerala_P6,6.0,6.0,2.0,3.0
Jerala_P7:Jerala_P7,1508.0,1508.0,63.0,93.0
Jerala_P8:Jerala_P8,6.0,6.0,2.0,3.0
Jerala_P9:Jerala_P9,6.0,6.0,5.0,7.0
Jerala_P10:Jerala_P10,4.0,4.0,3.0,4.0
Jerala_P11:Jerala_P11,198.0,198.0,9.0,13.0
Jerala_P12:Jerala_P12,1433.0,1433.0,31.0,45.0
