PPI,trp1,his1
DBD:Jerala_P9:AD:Jerala_P10,1339,69496.0
DBD:Jerala_P9:AD:Jerala_P11,2204,137.0
DBD:Jerala_P9:AD:Jerala_P12,3540,219.0
DBD:Jerala_P10:AD:Jerala_P1,4259,326.0
DBD:Jerala_P10:AD:Jerala_P2,5282,415.0
DBD:Jerala_P10:AD:Jerala_P3,6396,1021.0
DBD:Jerala_P10:AD:Jerala_P4,1905,160.0
DBD:Jerala_P10:AD:Jerala_P5,5595,7314.0
DBD:Jerala_P10:AD:Jerala_P6,5601,2544.0
DBD:Jerala_P10:AD:Jerala_P7,5186,418.0
DBD:Jerala_P10:AD:Jerala_P8,3338,280.0
DBD:Jerala_P10:AD:Jerala_P9,1561,59826.0
DBD:Jerala_P10:AD:Jerala_P10,8,8.0
DBD:Jerala_P10:AD:Jerala_P11,2959,2000.0
DBD:Jerala_P10:AD:Jerala_P12,7001,604.0
DBD:Jerala_P11:AD:Jerala_P1,1736,190.0
DBD:Jerala_P11:AD:Jerala_P2,3909,383.0
DBD:Jerala_P11:AD:Jerala_P3,2653,291.0
DBD:Jerala_P11:AD:Jerala_P4,1747,262.0
DBD:Jerala_P11:AD:Jerala_P5,2224,258.0
DBD:Jerala_P11:AD:Jerala_P6,2725,259.0
DBD:Jerala_P11:AD:Jerala_P7,1566,478.0
DBD:Jerala_P11:AD:Jerala_P8,2400,273.0
DBD:Jerala_P11:AD:Jerala_P9,2218,278.0
DBD:Jerala_P11:AD:Jerala_P10,1520,2162.0
DBD:Jerala_P11:AD:Jerala_P11,75,231.0
DBD:Jerala_P11:AD:Jerala_P12,1073,8068.0
DBD:Jerala_P12:AD:Jerala_P1,3432,264.0
DBD:Jerala_P12:AD:Jerala_P2,4263,289.0
DBD:Jerala_P12:AD:Jerala_P3,3173,284.0
DBD:Jerala_P12:AD:Jerala_P4,1707,113.0
DBD:Jerala_P12:AD:Jerala_P5,3629,255.0
DBD:Jerala_P12:AD:Jerala_P6,3169,220.0
DBD:Jerala_P12:AD:Jerala_P7,3227,461.0
DBD:Jerala_P12:AD:Jerala_P8,3097,217.0
DBD:Jerala_P12:AD:Jerala_P9,2249,144.0
DBD:Jerala_P12:AD:Jerala_P10,3112,496.0
DBD:Jerala_P12:AD:Jerala_P11,1503,35130.0
DBD:Jerala_P12:AD:Jerala_P12,3174,353.0
