PPI,trp1,his1
DBD:Jerala_P1:AD:Jerala_P1,14,36
DBD:Jerala_P1:AD:Jerala_P2,1356,102351
DBD:Jerala_P1:AD:Jerala_P3,3068,120
DBD:Jerala_P1:AD:Jerala_P4,1644,81
DBD:Jerala_P1:AD:Jerala_P5,2895,122
DBD:Jerala_P1:AD:Jerala_P6,4762,182
DBD:Jerala_P1:AD:Jerala_P7,3556,140
DBD:Jerala_P1:AD:Jerala_P8,2271,93
DBD:Jerala_P1:AD:Jerala_P9,2007,839
DBD:Jerala_P1:AD:Jerala_P10,4838,199
DBD:Jerala_P1:AD:Jerala_P11,2468,93
DBD:Jerala_P1:AD:Jerala_P12,2808,832
DBD:Jerala_P2:AD:Jerala_P1,571,93558
DBD:Jerala_P2:AD:Jerala_P2,48,46
DBD:Jerala_P2:AD:Jerala_P3,3980,2103
DBD:Jerala_P2:AD:Jerala_P4,2330,106
DBD:Jerala_P2:AD:Jerala_P5,5504,4773
DBD:Jerala_P2:AD:Jerala_P6,3296,3527
DBD:Jerala_P2:AD:Jerala_P7,4359,149
DBD:Jerala_P2:AD:Jerala_P8,4395,775
DBD:Jerala_P2:AD:Jerala_P9,1814,118
DBD:Jerala_P2:AD:Jerala_P10,3133,140
DBD:Jerala_P2:AD:Jerala_P11,3345,119
DBD:Jerala_P2:AD:Jerala_P12,3622,168
DBD:Jerala_P3:AD:Jerala_P1,1615,89
DBD:Jerala_P3:AD:Jerala_P2,3416,115
DBD:Jerala_P3:AD:Jerala_P3,1540,82
DBD:Jerala_P3:AD:Jerala_P4,269,3217
DBD:Jerala_P3:AD:Jerala_P5,2565,127
DBD:Jerala_P3:AD:Jerala_P6,1728,56
DBD:Jerala_P3:AD:Jerala_P7,2176,70
DBD:Jerala_P3:AD:Jerala_P8,1716,57
DBD:Jerala_P3:AD:Jerala_P9,2965,104
DBD:Jerala_P3:AD:Jerala_P10,3781,133
DBD:Jerala_P3:AD:Jerala_P11,1641,55
DBD:Jerala_P3:AD:Jerala_P12,1691,68
DBD:Jerala_P4:AD:Jerala_P1,2322,108
DBD:Jerala_P4:AD:Jerala_P2,2577,487
DBD:Jerala_P4:AD:Jerala_P3,1484,67082
DBD:Jerala_P4:AD:Jerala_P4,9,5
DBD:Jerala_P4:AD:Jerala_P5,4121,173
DBD:Jerala_P4:AD:Jerala_P6,4917,188
DBD:Jerala_P4:AD:Jerala_P7,3106,114
DBD:Jerala_P4:AD:Jerala_P8,2262,116
DBD:Jerala_P4:AD:Jerala_P9,4152,183
DBD:Jerala_P4:AD:Jerala_P10,4647,839
DBD:Jerala_P4:AD:Jerala_P11,2266,1062
DBD:Jerala_P4:AD:Jerala_P12,3052,171
DBD:Jerala_P5:AD:Jerala_P1,3203,139
DBD:Jerala_P5:AD:Jerala_P2,4294,152
DBD:Jerala_P5:AD:Jerala_P3,3212,134
DBD:Jerala_P5:AD:Jerala_P4,2329,363
DBD:Jerala_P5:AD:Jerala_P5,1320,80
DBD:Jerala_P5:AD:Jerala_P6,1203,6755
DBD:Jerala_P5:AD:Jerala_P7,3083,425
DBD:Jerala_P5:AD:Jerala_P8,2649,151
DBD:Jerala_P5:AD:Jerala_P9,2917,125
DBD:Jerala_P5:AD:Jerala_P10,2038,78
DBD:Jerala_P5:AD:Jerala_P11,2945,307
DBD:Jerala_P5:AD:Jerala_P12,3141,146
DBD:Jerala_P6:AD:Jerala_P1,2453,96
DBD:Jerala_P6:AD:Jerala_P2,2679,700
DBD:Jerala_P6:AD:Jerala_P3,2999,108
DBD:Jerala_P6:AD:Jerala_P4,1449,49
DBD:Jerala_P6:AD:Jerala_P5,1663,620
DBD:Jerala_P6:AD:Jerala_P6,23,10
DBD:Jerala_P6:AD:Jerala_P7,3166,95
