"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P1:Jerala_P2",1356,571,62934,31951,69857.9259282537,8.79819543665144,0.175020199093957,0,0
"Jerala_P1:Jerala_P3",3068,1615,215,117,633.125711499999,-0.647493752358381,0.112952198644928,4.67600037829078e-09,4.05253366118534e-08
"Jerala_P1:Jerala_P4",1644,2322,129,174,554.309417447069,-0.547898709029329,0.118946942145438,2.38732306976434e-06,9.31055997208091e-06
"Jerala_P1:Jerala_P5",2895,3203,251,221,856.071081543963,-0.517087493294362,0.146033225061509,0.000240831486542101,0.000647753653458064
"Jerala_P1:Jerala_P6",4762,2453,381,166,1001.53455160398,-0.56743557010654,0.162163666084355,0.000250847950118401,0.000652204670307843
"Jerala_P1:Jerala_P7",3556,1688,281,122,731.690836105627,-0.549991436450511,0.116323141295242,1.31661916421762e-06,5.40506814784076e-06
"Jerala_P1:Jerala_P8",2271,3013,171,238,742.200748256651,-0.539442947829448,0.107543152005321,3.14700409601527e-07,1.36370177493995e-06
"Jerala_P1:Jerala_P9",2007,2816,951,1140,1937.9548378379,1.39063244931884,0.59638672823008,0.000101704441242347,0.000317317856676124
"Jerala_P1:Jerala_P10",4838,4259,250,326,1181.5295793255,-0.692383464600167,0.247967956891899,0.00175067324737506,0.00379312536931263
"Jerala_P1:Jerala_P11",2468,1736,144,190,595.193516512513,-0.431538076072083,0.21208891881599,0.0276319802777392,0.0468542274274708
"Jerala_P1:Jerala_P12",2808,3432,1334,264,1696.77492238993,0.224498441950396,0.500023486040199,0.402285878483638,0.482743054180366
"Jerala_P2:Jerala_P3",3980,3416,599,241,1234.12118992567,-0.0875554548007143,0.339997905697303,0.745540345262242,0.775361959072732
"Jerala_P2:Jerala_P4",2330,2577,211,713,1087.19054928421,0.301701250054582,0.345076199627482,0.266853934229841,0.346910114498793
"Jerala_P2:Jerala_P5",5504,4294,1073,280,1811.27280502444,-0.00424370343949689,0.445022333889672,0.987759934750193,0.987759934750193
"Jerala_P2:Jerala_P6",3296,2679,1184,1363,2367.073537129,1.21989213825494,0.619500591752049,0.000598439639841303,0.00145869662211318
"Jerala_P2:Jerala_P7",4359,2073,341,117,870.877466191409,-0.673862374415449,0.185948262457198,0.000116798890043998,0.000337419015682662
"Jerala_P2:Jerala_P8",4395,3599,363,276,1135.71534706812,-0.459019158135905,0.183443054560352,0.00799420950817354,0.014846389086608
"Jerala_P2:Jerala_P9",1814,2271,138,866,1077.06390368831,0.154114910246676,0.511246297695151,0.552096514230987,0.631901807562457
"Jerala_P10:Jerala_P2",3133,5282,253,415,1195.28853746941,-0.447222354966891,0.202876877905783,0.0178276807435125,0.0316036158634994
"Jerala_P11:Jerala_P2",3345,3909,247,383,1068.54441734219,-0.372025441609267,0.181097766855823,0.0297306744694074,0.0493402682683783
"Jerala_P12:Jerala_P2",3622,4263,349,289,1127.5977498306,-0.407781280983122,0.231413156094341,0.0525088870750207,0.0835855753439105
"Jerala_P3:Jerala_P4",269,1484,11454,79476,66744.4765458169,8.71043253248702,0.196946972534935,0,0
