PPI,trp1,his1
DBD:Jerala_P10:AD:Jerala_P6,4966,154
DBD:Jerala_P10:AD:Jerala_P7,1732,61
DBD:Jerala_P10:AD:Jerala_P8,11007,399
DBD:Jerala_P10:AD:Jerala_P9,1733,28748
DBD:Jerala_P10:AD:Jerala_P10,4,3
DBD:Jerala_P10:AD:Jerala_P11,4496,162
DBD:Jerala_P10:AD:Jerala_P12,3496,144
DBD:Jerala_P11:AD:Jerala_P1,2447,62
DBD:Jerala_P11:AD:Jerala_P2,1686,46
DBD:Jerala_P11:AD:Jerala_P3,3184,113
DBD:Jerala_P11:AD:Jerala_P4,2329,378
DBD:Jerala_P11:AD:Jerala_P5,3164,24380
DBD:Jerala_P11:AD:Jerala_P6,3874,97
DBD:Jerala_P11:AD:Jerala_P7,3782,84
DBD:Jerala_P11:AD:Jerala_P8,2516,56
DBD:Jerala_P11:AD:Jerala_P9,835,25
DBD:Jerala_P11:AD:Jerala_P10,2542,73
DBD:Jerala_P11:AD:Jerala_P11,198,11
DBD:Jerala_P11:AD:Jerala_P12,1351,266
DBD:Jerala_P12:AD:Jerala_P1,834,38
DBD:Jerala_P12:AD:Jerala_P2,3205,103
DBD:Jerala_P12:AD:Jerala_P3,1265,34
DBD:Jerala_P12:AD:Jerala_P4,2022,64
DBD:Jerala_P12:AD:Jerala_P5,4485,143
DBD:Jerala_P12:AD:Jerala_P6,3638,95
DBD:Jerala_P12:AD:Jerala_P7,5175,136
DBD:Jerala_P12:AD:Jerala_P8,2890,110
DBD:Jerala_P12:AD:Jerala_P9,1442,57
DBD:Jerala_P12:AD:Jerala_P10,3535,1860
DBD:Jerala_P12:AD:Jerala_P11,822,2571
DBD:Jerala_P12:AD:Jerala_P12,1433,38
