PPI,trp1,his1
DBD:BW3_A:AD:BW3_B,1553.0,212.0
DBD:BW3_A:AD:BW5_A,2389.0,383.0
DBD:BW3_A:AD:BW5_B,1129.0,149.0
DBD:BW3_A:AD:BW8_A,1562.0,127.0
DBD:BW3_A:AD:BW8_B,1892.0,199.0
DBD:BW3_A:AD:BW10_A,1356.0,136.0
DBD:BW3_A:AD:BW10_B,1003.0,121.0
DBD:BW3_A:AD:IL8_A,1773.0,489.0
DBD:BW3_A:AD:IL8_B,1768.0,456.0
DBD:BW3_A:AD:IL9_A,1781.0,1641.0
DBD:BW3_A:AD:IL9_B,2913.0,305.0
DBD:BW3_A:AD:IL14_A,1027.0,1058.0
DBD:BW3_A:AD:IL14_B,1400.0,210.0
DBD:BW3_A:AD:IL19_A,2612.0,371.0
DBD:BW3_A:AD:IL19_B,2319.0,400.0
DBD:BW3_A:AD:mALb8_A,1204.0,176.0
DBD:BW3_A:AD:mALb8_B,1847.0,594.0
DBD:BW3_A:AD:mALb8_cutT1_A,1254.0,118.0
DBD:BW3_A:AD:mALb8_cutT1_B,1737.0,152.0
DBD:BW3_A:AD:mALb8_cutT2_A,1899.0,100.0
DBD:BW3_A:AD:mALb8_cutT2_B,435.0,45.0
DBD:BW3_A:AD:MCL1,2847.0,1127.0
DBD:BW3_A:AD:PUMA_M144A,1788.0,136.0
DBD:BW3_A:AD:PUMA_M144A_L141A,1906.0,120.0
DBD:BW3_A:AD:PUMA_M144A_L148A,1633.0,43.0
DBD:BW3_A:AD:Jerala_P1,921.0,68.0
DBD:BW3_A:AD:Jerala_P2,741.0,34.0
DBD:BW3_A:AD:Jerala_P3,862.0,192.0
DBD:BW3_A:AD:Jerala_P4,812.0,64.0
DBD:BW3_A:AD:Jerala_P5,927.0,47.0
DBD:BW3_A:AD:Jerala_P6,955.0,51.0
DBD:BW3_A:AD:Jerala_P7,961.0,34.0
DBD:BW3_A:AD:Jerala_P8,700.0,70.0
DBD:BW3_A:AD:Jerala_P9,654.0,226.0
DBD:BW3_A:AD:Jerala_P10,949.0,42.0
DBD:BW3_A:AD:Jerala_P11,980.0,86.0
DBD:BW3_A:AD:Jerala_P12,897.0,34.0
DBD:BW3_B:AD:BW5_A,2840.0,27128.0
DBD:BW3_B:AD:BW5_B,1465.0,229.0
DBD:BW3_B:AD:BW8_A,2052.0,190.0
DBD:BW3_B:AD:BW8_B,2446.0,982.0
DBD:BW3_B:AD:BW10_A,1727.0,709.0
DBD:BW3_B:AD:BW10_B,1342.0,205.0
DBD:BW3_B:AD:IL8_A,1972.0,27322.0
DBD:BW3_B:AD:IL8_B,2760.0,363.0
DBD:BW3_B:AD:IL9_A,2149.0,304.0
DBD:BW3_B:AD:IL9_B,2961.0,533.0
DBD:BW3_B:AD:IL14_A,1227.0,420.0
DBD:BW3_B:AD:IL14_B,2076.0,2065.0
DBD:BW3_B:AD:IL19_A,3220.0,395.0
DBD:BW3_B:AD:IL19_B,2476.0,652.0
DBD:BW3_B:AD:mALb8_A,1632.0,367.0
DBD:BW3_B:AD:mALb8_B,1759.0,20249.0
DBD:BW3_B:AD:mALb8_cutT1_A,1226.0,772.0
DBD:BW3_B:AD:mALb8_cutT1_B,2195.0,215.0
DBD:BW3_B:AD:mALb8_cutT2_A,2269.0,175.0
DBD:BW3_B:AD:mALb8_cutT2_B,480.0,22.0
DBD:BW3_B:AD:MCL1,3617.0,382.0
DBD:BW3_B:AD:PUMA_M144A,2740.0,503.0
DBD:BW3_B:AD:PUMA_M144A_L141A,2623.0,94.0
DBD:BW3_B:AD:PUMA_M144A_L148A,2066.0,318.0
DBD:BW3_B:AD:Jerala_P1,850.0,58.0
DBD:BW3_B:AD:Jerala_P2,1330.0,133.0
DBD:BW3_B:AD:Jerala_P3,1116.0,77.0
DBD:BW3_B:AD:Jerala_P4,947.0,45.0
DBD:BW3_B:AD:Jerala_P5,1389.0,83.0
DBD:BW3_B:AD:Jerala_P6,1172.0,104.0
DBD:BW3_B:AD:Jerala_P7,1133.0,155.0
DBD:BW3_B:AD:Jerala_P8,1162.0,52.0
DBD:BW3_B:AD:Jerala_P9,1295.0,85.0
DBD:BW3_B:AD:Jerala_P10,908.0,336.0
