,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
Jerala_P1:Jerala_P2,1356.0,571.0,102351.0,93558.0
Jerala_P1:Jerala_P3,3068.0,1615.0,120.0,89.0
Jerala_P1:Jerala_P4,1644.0,2322.0,81.0,108.0
Jerala_P1:Jerala_P5,2895.0,3203.0,122.0,139.0
Jerala_P1:Jerala_P6,4762.0,2453.0,182.0,96.0
Jerala_P1:Jerala_P7,3556.0,1688.0,140.0,60.0
Jerala_P1:Jerala_P8,2271.0,3013.0,93.0,125.0
Jerala_P1:Jerala_P9,2007.0,2816.0,839.0,3700.0
Jerala_P1:Jerala_P10,4838.0,4259.0,199.0,167.0
Jerala_P1:Jerala_P11,2468.0,1736.0,93.0,55.0
Jerala_P1:Jerala_P12,2808.0,3432.0,832.0,103.0
Jerala_P2:Jerala_P3,3980.0,3416.0,2103.0,115.0
Jerala_P2:Jerala_P4,2330.0,2577.0,106.0,487.0
Jerala_P2:Jerala_P5,5504.0,4294.0,4773.0,152.0
Jerala_P2:Jerala_P6,3296.0,2679.0,3527.0,700.0
Jerala_P2:Jerala_P7,4359.0,2073.0,149.0,80.0
Jerala_P2:Jerala_P8,4395.0,3599.0,775.0,170.0
Jerala_P2:Jerala_P9,1814.0,2271.0,118.0,137.0
Jerala_P10:Jerala_P2,3133.0,5282.0,140.0,256.0
Jerala_P11:Jerala_P2,3345.0,3909.0,119.0,123.0
Jerala_P12:Jerala_P2,3622.0,4263.0,168.0,127.0
Jerala_P3:Jerala_P4,269.0,1484.0,3217.0,67082.0
Jerala_P3:Jerala_P5,2565.0,3212.0,127.0,134.0
Jerala_P3:Jerala_P6,1728.0,2999.0,56.0,108.0
Jerala_P3:Jerala_P7,2176.0,1745.0,70.0,49.0
Jerala_P3:Jerala_P8,1716.0,2486.0,57.0,121.0
Jerala_P3:Jerala_P9,2965.0,4845.0,104.0,154.0
Jerala_P10:Jerala_P3,3781.0,6396.0,133.0,484.0
Jerala_P11:Jerala_P3,1641.0,2653.0,55.0,103.0
Jerala_P12:Jerala_P3,1691.0,3173.0,68.0,107.0
Jerala_P4:Jerala_P5,4121.0,2329.0,173.0,363.0
Jerala_P4:Jerala_P6,4917.0,1449.0,188.0,49.0
Jerala_P4:Jerala_P7,3106.0,1048.0,114.0,39.0
Jerala_P4:Jerala_P8,2262.0,2153.0,116.0,96.0
Jerala_P4:Jerala_P9,4152.0,1896.0,183.0,73.0
Jerala_P10:Jerala_P4,4647.0,1905.0,839.0,83.0
Jerala_P11:Jerala_P4,2266.0,1747.0,1062.0,81.0
Jerala_P12:Jerala_P4,3052.0,1707.0,171.0,101.0
Jerala_P5:Jerala_P6,1203.0,1663.0,6755.0,620.0
Jerala_P5:Jerala_P7,3083.0,3027.0,425.0,114.0
Jerala_P5:Jerala_P8,2649.0,3406.0,151.0,115.0
Jerala_P5:Jerala_P9,2917.0,7351.0,125.0,209.0
Jerala_P10:Jerala_P5,2038.0,5595.0,78.0,1559.0
Jerala_P11:Jerala_P5,2945.0,2224.0,307.0,87.0
Jerala_P12:Jerala_P5,3141.0,3629.0,146.0,147.0
Jerala_P6:Jerala_P7,3166.0,2176.0,95.0,73.0
Jerala_P6:Jerala_P8,2849.0,2744.0,105.0,117.0
Jerala_P6:Jerala_P9,1546.0,3432.0,3516.0,107.0
Jerala_P10:Jerala_P6,2524.0,5601.0,91.0,16754.0
Jerala_P11:Jerala_P6,2376.0,2725.0,88.0,58.0
Jerala_P12:Jerala_P6,1919.0,3169.0,66.0,116.0
Jerala_P7:Jerala_P8,2019.0,2071.0,184.0,4609.0
Jerala_P7:Jerala_P9,2028.0,2664.0,66.0,1085.0
Jerala_P10:Jerala_P7,1334.0,5186.0,58.0,185.0
Jerala_P11:Jerala_P7,2102.0,1566.0,5954.0,89.0
Jerala_P12:Jerala_P7,2541.0,3227.0,106.0,775.0
Jerala_P8:Jerala_P9,3133.0,4258.0,150.0,196.0
Jerala_P10:Jerala_P8,1600.0,3338.0,1617.0,144.0
Jerala_P11:Jerala_P8,2190.0,2400.0,99.0,90.0
Jerala_P12:Jerala_P8,3965.0,3097.0,189.0,97.0
Jerala_P10:Jerala_P9,1339.0,1561.0,43612.0,29637.0
Jerala_P11:Jerala_P9,2204.0,2218.0,60.0,97.0
Jerala_P12:Jerala_P9,3540.0,2249.0,108.0,63.0
Jerala_P10:Jerala_P11,2959.0,1520.0,1250.0,6147.0
Jerala_P10:Jerala_P12,7001.0,3112.0,287.0,209.0
Jerala_P11:Jerala_P12,1073.0,1503.0,531.0,6321.0
Jerala_P1:Jerala_P1,14.0,14.0,32.0,39.0
Jerala_P2:Jerala_P2,48.0,48.0,41.0,50.0
Jerala_P3:Jerala_P3,1540.0,1540.0,73.0,89.0
Jerala_P4:Jerala_P4,9.0,9.0,5.0,6.0
Jerala_P5:Jerala_P5,1320.0,1320.0,71.0,87.0
Jerala_P6:Jerala_P6,23.0,23.0,9.0,11.0
Jerala_P7:Jerala_P7,1564.0,1564.0,61.0,75.0
Jerala_P8:Jerala_P8,3.0,3.0,1.0,2.0
Jerala_P9:Jerala_P9,7.0,7.0,8.0,9.0
Jerala_P10:Jerala_P10,8.0,8.0,5.0,6.0
Jerala_P11:Jerala_P11,75.0,75.0,14.0,17.0
Jerala_P12:Jerala_P12,3174.0,3174.0,157.0,193.0
