PPI,trp1,his1
DBD:FECM04:AD:BCDP01,8442,1438
DBD:FECM04:AD:BECM01,7248,874
DBD:FECM04:AD:Bcl-2,2777,3407
DBD:FECM04:AD:Bcl-B,22935,6240
DBD:FECM04:AD:Bcl-w,3650,664
DBD:FECM04:AD:Bcl-xL,2706,2183
DBD:FECM04:AD:Bfl-1,8501,16861
DBD:FECM04:AD:FECM04,7663,945
DBD:FECM04:AD:Mcl1[151-321],11931,4886
DBD:FECM04:AD:XCDP07,1606,137
DBD:FECM04:AD:alphaBCL2,8075,404
DBD:FECM04:AD:alphaBCLB,10066,1130
DBD:FECM04:AD:alphaBFL1,15989,1504
DBD:FECM04:AD:alphaMCL1,11748,1902
DBD:Mcl1[151-321]:AD:2CDP06,9347,992
DBD:Mcl1[151-321]:AD:BCDP01,11477,30617
DBD:Mcl1[151-321]:AD:BECM01,7968,5212
DBD:Mcl1[151-321]:AD:Bcl-2,4098,1687
DBD:Mcl1[151-321]:AD:Bcl-B,19552,14078
DBD:Mcl1[151-321]:AD:Bcl-w,2013,644
DBD:Mcl1[151-321]:AD:Bcl-xL,1936,607
DBD:Mcl1[151-321]:AD:Bfl-1,7282,3466
DBD:Mcl1[151-321]:AD:FECM04,8777,7380
DBD:Mcl1[151-321]:AD:Mcl1[151-321],4936,3361
DBD:Mcl1[151-321]:AD:XCDP07,2070,1609
DBD:Mcl1[151-321]:AD:alphaBCL2,8790,901
DBD:Mcl1[151-321]:AD:alphaBCLB,10304,3010
DBD:Mcl1[151-321]:AD:alphaBFL1,13738,7778
DBD:Mcl1[151-321]:AD:alphaMCL1,11884,34855
DBD:XCDP07:AD:2CDP06,11349,1174
DBD:XCDP07:AD:BCDP01,6804,6258
DBD:XCDP07:AD:BECM01,6572,3630
DBD:XCDP07:AD:Bcl-2,3256,6120
DBD:XCDP07:AD:Bcl-B,24752,212432
DBD:XCDP07:AD:Bcl-w,2188,2028
DBD:XCDP07:AD:Bcl-xL,2145,3030
DBD:XCDP07:AD:Bfl-1,5969,5830
DBD:XCDP07:AD:FECM04,8574,2467
DBD:XCDP07:AD:Mcl1[151-321],10848,48913
DBD:XCDP07:AD:XCDP07,695,370
DBD:XCDP07:AD:alphaBCL2,6651,2025
DBD:XCDP07:AD:alphaBCLB,7288,4575
DBD:XCDP07:AD:alphaBFL1,10580,3742
DBD:XCDP07:AD:alphaMCL1,10619,2466
DBD:alphaBCL2:AD:2CDP06,8165,459
DBD:alphaBCL2:AD:BCDP01,6432,725
DBD:alphaBCL2:AD:BECM01,5870,603
DBD:alphaBCL2:AD:Bcl-2,2649,3522
DBD:alphaBCL2:AD:Bcl-B,16502,2192
DBD:alphaBCL2:AD:Bcl-w,2669,459
DBD:alphaBCL2:AD:Bcl-xL,1579,209
DBD:alphaBCL2:AD:Bfl-1,5781,775
DBD:alphaBCL2:AD:FECM04,6238,506
DBD:alphaBCL2:AD:Mcl1[151-321],8939,762
DBD:alphaBCL2:AD:XCDP07,1770,77
DBD:alphaBCL2:AD:alphaBCL2,2153,106
DBD:alphaBCL2:AD:alphaBCLB,7112,450
DBD:alphaBCL2:AD:alphaBFL1,11828,645
DBD:alphaBCL2:AD:alphaMCL1,11492,447
DBD:alphaBCLB:AD:2CDP06,17537,1697
DBD:alphaBCLB:AD:BCDP01,13886,5989
DBD:alphaBCLB:AD:BECM01,10330,3393
DBD:alphaBCLB:AD:Bcl-2,6562,1534
DBD:alphaBCLB:AD:Bcl-B,30109,164246
DBD:alphaBCLB:AD:Bcl-w,4554,417
DBD:alphaBCLB:AD:Bcl-xL,4418,985
DBD:alphaBCLB:AD:Bfl-1,11961,4222
DBD:alphaBCLB:AD:FECM04,14578,2742
DBD:alphaBCLB:AD:Mcl1[151-321],21979,8049
DBD:alphaBCLB:AD:XCDP07,4159,498
DBD:alphaBCLB:AD:alphaBCL2,19627,1598
DBD:alphaBCLB:AD:alphaBCLB,8010,3249
DBD:alphaBCLB:AD:alphaBFL1,24575,3957
DBD:alphaBCLB:AD:alphaMCL1,21093,2722
DBD:alphaBFL1:AD:2CDP06,13920,787
DBD:alphaBFL1:AD:BCDP01,12476,3366
DBD:alphaBFL1:AD:BECM01,10172,1822
DBD:alphaBFL1:AD:Bcl-2,4698,4483
DBD:alphaBFL1:AD:Bcl-B,34596,12615
DBD:alphaBFL1:AD:Bcl-w,3986,617
DBD:alphaBFL1:AD:Bcl-xL,3066,3875
DBD:alphaBFL1:AD:Bfl-1,10719,45510
DBD:alphaBFL1:AD:FECM04,11538,1759
DBD:alphaBFL1:AD:Mcl1[151-321],16689,9164
DBD:alphaBFL1:AD:XCDP07,2509,235
DBD:alphaBFL1:AD:alphaBCL2,15257,1725
DBD:alphaBFL1:AD:alphaBCLB,12279,1669
DBD:alphaBFL1:AD:alphaBFL1,2260,771
DBD:alphaBFL1:AD:alphaMCL1,19340,1445
DBD:alphaMCL1:AD:2CDP06,10218,594
DBD:alphaMCL1:AD:BCDP01,9809,2744
DBD:alphaMCL1:AD:BECM01,9565,1704
DBD:alphaMCL1:AD:Bcl-2,3453,586
DBD:alphaMCL1:AD:Bcl-B,27384,12004
DBD:alphaMCL1:AD:Bcl-w,3012,177
DBD:alphaMCL1:AD:Bcl-xL,2322,338
DBD:alphaMCL1:AD:Bfl-1,5932,5662
DBD:alphaMCL1:AD:FECM04,7601,1114
DBD:alphaMCL1:AD:Mcl1[151-321],11830,46823
DBD:alphaMCL1:AD:XCDP07,3279,298
DBD:alphaMCL1:AD:alphaBCL2,8717,882
DBD:alphaMCL1:AD:alphaBCLB,8230,1790
DBD:alphaMCL1:AD:alphaBFL1,13820,2100
DBD:alphaMCL1:AD:alphaMCL1,7951,1164
