PPI,trp1,his1
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_76_swap,1348.0,1765.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_77_swap,300.0,187.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_78_swap,417.0,302.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_79_swap,601.0,507.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_7_swap,80.0,40.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_80_swap,229.0,165.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_81_swap,357.0,303.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_82_swap,214.0,772.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_83_swap,352.0,336.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_84_swap,670.0,1422.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_85_swap,59.0,52.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_86_swap,217.0,246.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_87_swap,4.0,1.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_88_swap,269.0,906.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_89_swap,533.0,223.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_8_swap,35.0,23.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_90_swap,107.0,198.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_91_swap,686.0,1044.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_92_swap,207.0,353.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_93_swap,344.0,125.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_94_swap,486.0,281.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_95_swap,345.0,354.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_96_swap,206.0,61.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_97_swap,173.0,146.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_98_swap,1048.0,758.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_99_swap,248.0,96.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_9_swap,216.0,17.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_13_swap,318.0,226.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_150_swap,1258.0,249.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_154_swap,743.0,498.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_155_swap,413.0,361.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_15_re_loop_swap,273.0,648.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_162_swap,373.0,279.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_37_3_swap,615.0,138.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_37_swap,286.0,265.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_6_swap,244.0,442.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_100_swap,490.0,252.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_10_swap,149.0,421.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_11_swap,327.0,573.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_12_swap,174.0,278.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_13_swap,702.0,1069.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_14_swap,7.0,2.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_15_swap,124.0,38.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_16_swap,592.0,440.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_17_swap,828.0,9364.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_18_swap,785.0,451.0
