,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
A_HT_DHD_100_swap:A_HT_DHD_10_swap,117.0,95.0,13.0,11.0
A_HT_DHD_100_swap:A_HT_DHD_11_swap,647.0,529.0,42.0,36.0
A_HT_DHD_100_swap:A_HT_DHD_12_swap,364.0,298.0,11.0,9.0
A_HT_DHD_100_swap:A_HT_DHD_13_swap,167.0,136.0,6.0,5.0
A_HT_DHD_100_swap:A_HT_DHD_14_swap,303.0,248.0,5.0,4.0
A_HT_DHD_100_swap:A_HT_DHD_15_swap,306.0,250.0,8.0,6.0
A_HT_DHD_100_swap:A_HT_DHD_16_swap,410.0,335.0,59.0,50.0
A_HT_DHD_100_swap:A_HT_DHD_17_swap,245.0,200.0,467.0,399.0
A_HT_DHD_100_swap:A_HT_DHD_18_swap,62.0,50.0,372.0,314.0
A_HT_DHD_100_swap:A_HT_DHD_19_swap,272.0,222.0,1.0,0.0
A_HT_DHD_100_swap:A_HT_DHD_1_swap,209.0,171.0,32.0,27.0
A_HT_DHD_100_swap:A_HT_DHD_20_swap,320.0,262.0,33.0,28.0
A_HT_DHD_100_swap:A_HT_DHD_21_swap,247.0,202.0,9.0,7.0
A_HT_DHD_100_swap:A_HT_DHD_22_swap,542.0,443.0,25.0,21.0
A_HT_DHD_100_swap:A_HT_DHD_23_swap,501.0,410.0,955.0,819.0
A_HT_DHD_100_swap:A_HT_DHD_24_swap,185.0,151.0,101.0,86.0
A_HT_DHD_100_swap:A_HT_DHD_25_swap,268.0,219.0,561.0,480.0
A_HT_DHD_100_swap:A_HT_DHD_26_swap,93.0,76.0,1.0,0.0
A_HT_DHD_100_swap:A_HT_DHD_27_swap,294.0,240.0,4.0,3.0
A_HT_DHD_100_swap:A_HT_DHD_28_swap,460.0,376.0,151.0,129.0
A_HT_DHD_100_swap:A_HT_DHD_29_swap,941.0,770.0,12653.0,10854.0
A_HT_DHD_100_swap:A_HT_DHD_2_swap,323.0,264.0,12.0,10.0
A_HT_DHD_100_swap:A_HT_DHD_30_swap,367.0,300.0,12.0,10.0
A_HT_DHD_100_swap:A_HT_DHD_31_swap,355.0,290.0,510.0,436.0
A_HT_DHD_100_swap:A_HT_DHD_32_swap,130.0,106.0,32.0,27.0
A_HT_DHD_100_swap:A_HT_DHD_33_swap,167.0,177.0,17.0,94.0
A_HT_DHD_100_swap:A_HT_DHD_34_swap,108.0,88.0,345.0,294.0
A_HT_DHD_100_swap:A_HT_DHD_35_swap,160.0,131.0,9.0,7.0
A_HT_DHD_100_swap:A_HT_DHD_36_swap,661.0,541.0,44.0,37.0
A_HT_DHD_100_swap:A_HT_DHD_37_swap,156.0,127.0,5.0,4.0
A_HT_DHD_100_swap:A_HT_DHD_38_swap,180.0,147.0,12.0,10.0
A_HT_DHD_100_swap:A_HT_DHD_39_swap,203.0,166.0,42.0,36.0
A_HT_DHD_100_swap:A_HT_DHD_3_swap,407.0,333.0,1362.0,1168.0
A_HT_DHD_100_swap:A_HT_DHD_40_swap,164.0,134.0,20.0,17.0
A_HT_DHD_100_swap:A_HT_DHD_41_swap,53.0,43.0,69.0,58.0
A_HT_DHD_100_swap:A_HT_DHD_42_swap,162.0,132.0,25.0,21.0
A_HT_DHD_100_swap:A_HT_DHD_43_swap,130.0,106.0,384.0,328.0
A_HT_DHD_100_swap:A_HT_DHD_44_swap,93.0,76.0,17.0,14.0
A_HT_DHD_100_swap:A_HT_DHD_45_swap,457.0,374.0,16.0,13.0
A_HT_DHD_100_swap:A_HT_DHD_46_swap,237.0,194.0,11.0,9.0
A_HT_DHD_100_swap:A_HT_DHD_47_swap,40.0,32.0,3.0,2.0
A_HT_DHD_100_swap:A_HT_DHD_48_swap,214.0,175.0,18.0,15.0
A_HT_DHD_100_swap:A_HT_DHD_49_swap,247.0,202.0,6.0,5.0
A_HT_DHD_100_swap:A_HT_DHD_4_swap,318.0,260.0,70.0,60.0
A_HT_DHD_100_swap:A_HT_DHD_50_swap,608.0,497.0,57.0,48.0
A_HT_DHD_100_swap:A_HT_DHD_51_swap,130.0,106.0,71.0,60.0
A_HT_DHD_100_swap:A_HT_DHD_52_swap,317.0,259.0,30.0,25.0
A_HT_DHD_100_swap:A_HT_DHD_53_swap,110.0,90.0,11.0,9.0
A_HT_DHD_100_swap:A_HT_DHD_54_swap,192.0,157.0,30.0,25.0
A_HT_DHD_100_swap:A_HT_DHD_55_swap,267.0,218.0,215.0,184.0
A_HT_DHD_100_swap:A_HT_DHD_56_swap,206.0,168.0,15.0,12.0
A_HT_DHD_100_swap:A_HT_DHD_57_swap,467.0,382.0,40.0,34.0
A_HT_DHD_100_swap:A_HT_DHD_58_swap,379.0,310.0,21.0,18.0
A_HT_DHD_100_swap:A_HT_DHD_59_swap,143.0,117.0,3.0,2.0
A_HT_DHD_100_swap:A_HT_DHD_5_swap,484.0,396.0,69.0,59.0
A_HT_DHD_100_swap:A_HT_DHD_60_swap,196.0,160.0,3.0,2.0
A_HT_DHD_100_swap:A_HT_DHD_61_swap,110.0,90.0,9.0,7.0
A_HT_DHD_100_swap:A_HT_DHD_62_swap,825.0,675.0,105.0,90.0
