"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P1:Jerala_P2",1523,1811,61887,109859,217014.900304148,10.145949355553,0.321219072035652,7.86957777614393e-220,6.13827066539227e-218
"Jerala_P1:Jerala_P3",4103,3445,137,88,694.098831946253,-0.461156283841432,0.165739445434453,0.00259261246741424,0.00842599051909629
"Jerala_P1:Jerala_P4",2693,3790,72,186,674.374374141946,-0.151497054440429,0.234343215509141,0.445628659437136,0.489563879381642
"Jerala_P1:Jerala_P5",5479,3504,164,99,820.918561149402,-0.499768733767408,0.131606367164864,6.5945296539656e-05,0.000367409509292369
"Jerala_P1:Jerala_P6",3346,2680,79,63,506.132483360474,-0.7511495456829,0.168155919869989,1.03417882957134e-06,8.06659487065644e-06
"Jerala_P1:Jerala_P7",2158,1340,198,37,490.129704112647,0.135841299905882,0.327418348947487,0.548343862818559,0.586015061303698
"Jerala_P1:Jerala_P8",3075,4876,72,185,751.932593967432,-0.386644095217643,0.20577349735659,0.0333065428232703,0.0666130856465407
"Jerala_P1:Jerala_P9",3525,1977,88,84,516.235804616253,-0.286234830475756,0.232145917459271,0.147187959280508,0.220781938920762
"Jerala_P1:Jerala_P10",5302,5098,144,217,1018.04485687823,-0.249616951152449,0.207116368249022,0.171706403879468,0.238349414334491
"Jerala_P1:Jerala_P11",2414,2447,56,62,411.945524977785,-0.702381245707744,0.175563685431092,1.07883780251364e-05,7.64994078146034e-05
"Jerala_P1:Jerala_P12",2235,834,94,38,334.960803397491,0.0216690267280859,0.170875896743323,0.890435895749854,0.901999998292059
"Jerala_P2:Jerala_P3",2610,4677,134,314,956.800124982403,0.413181245624414,0.163277011045531,0.00629779548314716,0.0175438588459099
