"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"2CDP06:BCDP01",1121,1497,734,1008,1174.73024605117,1.29108504103467,0.233430921893275,2.15153370173851e-09,1.54004517598125e-08
"2CDP06:BECM01",1247,1388,152,124,465.013983226088,-1.10465059814918,0.359917816852988,0.000321372975414202,0.00101643545712399
"2CDP06:Bcl-2",1377,912,5169,1291,3487.49537705488,3.03028862653712,0.589568921638513,5.30945280767101e-08,3.00868992434691e-07
"2CDP06:Bcl-B",1007,1573,92,360,541.537235788259,-0.598129746347507,0.407614688535636,0.0767918213825729,0.125827562747348
"2CDP06:Bcl-w",2808,2257,7222,10084,9034.10466568165,3.67188725443362,0.35069020512843,4.644759375496e-26,6.31687275067456e-25
"2CDP06:Bcl-w-trunc",2779,2298,992,13845,7697.55805534232,1.70573197637471,1.07990322822744,0.0101317033060654,0.0229651941604148
"2CDP06:Bcl-xL",2282,1859,1024,627,1326.92898487435,0.522163190568914,0.268053377579883,0.0347731266485948,0.0651112550524165
"2CDP06:Bfl-1",2233,1107,243,401,725.621664158394,-0.243215304823915,0.434009927407519,0.488290492634646,0.592924169627785
"2CDP06:FECM04",1292,1255,106,338,531.824784822793,-0.525891186926171,0.453948180790749,0.145085548142261,0.219240383859417
"2CDP06:Mcl1[151-321]",2633,1353,397,396,880.660278748233,-0.22830311014394,0.327535119916177,0.432615976321136,0.553583683676573
"2CDP06:XCDP07",424,648,41,675,475.587811161794,0.160545975708623,0.582461949831716,0.689068988640008,0.792604130382767
"2CDP06:alphaBCL2",1895,1390,315,222,672.152548186461,-0.558409487873823,0.281504064735657,0.0300804761554974,0.0584420679592521
"2CDP06:alphaBCLB",1085,887,211,96,397.174157566566,-0.619109282699581,0.383146394531264,0.0563022053648988,0.100751314863503
"2CDP06:alphaBFL1",1217,1272,153,121,445.525574037611,-1.04510388406633,0.347411006435511,0.000483325089307128,0.00146071582546154
"2CDP06:alphaMCL1",1222,1259,192,115,461.160089640369,-0.861506054063246,0.395382360101683,0.00904287418103647,0.0208445913325586
"BCDP01:BECM01",1503,1403,314,108,571.637223599469,-0.692125435718951,0.478777512188233,0.0633719941938099,0.109096091270356
"BCDP01:Bcl-2",1663,969,9039,1830,5724.7640236105,3.46909801789796,0.641058714829585,1.69281057607444e-08,1.04646471975511e-07
"BCDP01:Bcl-B",1314,1103,1509,6737,4253.38678139932,3.11018659622179,0.77987022730211,7.5097994891306e-06,3.1916647828805e-05
"BCDP01:Bcl-w",3784,2419,1210,10187,6209.30929939815,1.3408838105576,0.990104884907984,0.0239080364121967,0.0478160728243934
"BCDP01:Bcl-w-trunc",3562,2316,878,14486,8041.89428449776,1.32741290956725,1.06227756883422,0.0312000327073379,0.0597634429323656
