PPI,trp1,his1
DBD:2CDP06:AD:2CDP06,84,1
DBD:2CDP06:AD:BCDP01,4820,829
DBD:2CDP06:AD:BECM01,3469,595
DBD:2CDP06:AD:Bcl-2,1682,625
DBD:2CDP06:AD:Bcl-B,9245,1477
DBD:2CDP06:AD:Bcl-w,1217,493
DBD:2CDP06:AD:Bcl-xL,985,242
DBD:2CDP06:AD:Bfl-1,3007,262
DBD:2CDP06:AD:FECM04,2876,174
DBD:2CDP06:AD:Mcl1[151-321],3703,156
DBD:2CDP06:AD:XCDP07,1080,185
DBD:2CDP06:AD:alphaBCL2,3120,128
DBD:2CDP06:AD:alphaBCLB,5280,686
DBD:2CDP06:AD:alphaBFL1,3982,318
DBD:2CDP06:AD:alphaMCL1,10753,555
DBD:BCDP01:AD:2CDP06,6886,340
DBD:BCDP01:AD:BCDP01,1940,2301
DBD:BCDP01:AD:BECM01,5852,3043
DBD:BCDP01:AD:Bcl-2,2973,2218
DBD:BCDP01:AD:Bcl-B,11366,26614
DBD:BCDP01:AD:Bcl-w,1975,232
DBD:BCDP01:AD:Bcl-xL,1315,502
DBD:BCDP01:AD:Bfl-1,3225,3014
DBD:BCDP01:AD:FECM04,5298,459
DBD:BCDP01:AD:Mcl1[151-321],5542,1739
DBD:BCDP01:AD:XCDP07,2146,563
DBD:BCDP01:AD:alphaBCL2,5021,228
DBD:BCDP01:AD:alphaBCLB,7782,3446
DBD:BCDP01:AD:alphaBFL1,7255,835
DBD:BCDP01:AD:alphaMCL1,8286,890
DBD:BECM01:AD:2CDP06,7200,529
DBD:BECM01:AD:BCDP01,8236,8348
DBD:BECM01:AD:BECM01,4587,6158
DBD:BECM01:AD:Bcl-2,3429,1273
DBD:BECM01:AD:Bcl-B,12021,66723
DBD:BECM01:AD:Bcl-w,2335,412
DBD:BECM01:AD:Bcl-xL,1576,2787
DBD:BECM01:AD:Bfl-1,4005,10478
DBD:BECM01:AD:FECM04,5294,878
DBD:BECM01:AD:Mcl1[151-321],6140,1133
DBD:BECM01:AD:XCDP07,1858,1027
DBD:BECM01:AD:alphaBCL2,5499,329
DBD:BECM01:AD:alphaBCLB,9090,7406
DBD:BECM01:AD:alphaBFL1,7075,1362
DBD:BECM01:AD:alphaMCL1,9207,1696
DBD:Bcl-2:AD:2CDP06,1674,432
DBD:Bcl-2:AD:BCDP01,1552,1642
DBD:Bcl-2:AD:BECM01,1315,989
DBD:Bcl-2:AD:Bcl-2,874,136
DBD:Bcl-2:AD:Bcl-B,4682,1186
DBD:Bcl-2:AD:Bcl-w,741,215
DBD:Bcl-2:AD:Bcl-xL,447,706
DBD:Bcl-2:AD:Bfl-1,1586,1442
DBD:Bcl-2:AD:FECM04,1131,707
DBD:Bcl-2:AD:Mcl1[151-321],2217,166
DBD:Bcl-2:AD:XCDP07,343,197
DBD:Bcl-2:AD:alphaBCL2,1210,444
DBD:Bcl-2:AD:alphaBCLB,2223,725
DBD:Bcl-2:AD:alphaBFL1,1471,848
DBD:Bcl-2:AD:alphaMCL1,1938,296
DBD:Bcl-B:AD:2CDP06,15024,2151
DBD:Bcl-B:AD:BCDP01,12424,158820
DBD:Bcl-B:AD:BECM01,9478,130751
DBD:Bcl-B:AD:Bcl-2,8629,4451
DBD:Bcl-B:AD:Bcl-B,534,2404
DBD:Bcl-B:AD:Bcl-w,5486,1715
DBD:Bcl-B:AD:Bcl-xL,4426,4950
DBD:Bcl-B:AD:Bfl-1,11934,7820
DBD:Bcl-B:AD:FECM04,9896,4383
DBD:Bcl-B:AD:Mcl1[151-321],14477,4879
DBD:Bcl-B:AD:XCDP07,4469,18612
DBD:Bcl-B:AD:alphaBCL2,12319,1864
DBD:Bcl-B:AD:alphaBCLB,13880,165467
DBD:Bcl-B:AD:alphaBFL1,13829,8466
DBD:Bcl-B:AD:alphaMCL1,17182,17440
DBD:Bcl-w:AD:2CDP06,673,290
DBD:Bcl-w:AD:BCDP01,699,286
DBD:Bcl-w:AD:BECM01,676,178
DBD:Bcl-w:AD:Bcl-2,362,32
DBD:Bcl-w:AD:Bcl-B,1773,222
DBD:Bcl-w:AD:Bcl-w,223,211
DBD:Bcl-w:AD:Bcl-xL,385,27
DBD:Bcl-w:AD:Bfl-1,539,48
DBD:Bcl-w:AD:FECM04,526,73
DBD:Bcl-w:AD:Mcl1[151-321],794,41
DBD:Bcl-w:AD:XCDP07,163,34
DBD:Bcl-w:AD:alphaBCL2,489,34
DBD:Bcl-w:AD:alphaBCLB,947,153
DBD:Bcl-w:AD:alphaBFL1,774,253
DBD:Bcl-w:AD:alphaMCL1,987,53
DBD:Bcl-xL:AD:2CDP06,1269,158
DBD:Bcl-xL:AD:BCDP01,1083,4182
DBD:Bcl-xL:AD:BECM01,1036,1867
DBD:Bcl-xL:AD:Bcl-2,626,303
DBD:Bcl-xL:AD:Bcl-B,2832,2189
DBD:Bcl-xL:AD:Bcl-w,391,249
DBD:Bcl-xL:AD:Bcl-xL,108,87
DBD:Bcl-xL:AD:Bfl-1,935,485
DBD:Bcl-xL:AD:FECM04,746,1930
DBD:Bcl-xL:AD:Mcl1[151-321],1553,194
DBD:Bcl-xL:AD:XCDP07,321,890
DBD:Bcl-xL:AD:alphaBCL2,901,223
DBD:Bcl-xL:AD:alphaBCLB,1251,1279
DBD:Bcl-xL:AD:alphaBFL1,1021,2107
DBD:Bcl-xL:AD:alphaMCL1,1250,315
DBD:Bfl-1:AD:2CDP06,2831,298
DBD:Bfl-1:AD:BCDP01,2353,14749
DBD:Bfl-1:AD:BECM01,1918,7464
DBD:Bfl-1:AD:Bcl-2,1397,513
DBD:Bfl-1:AD:Bcl-B,7284,4816
DBD:Bfl-1:AD:Bcl-w,975,174
DBD:Bfl-1:AD:Bcl-xL,753,602
DBD:Bfl-1:AD:Bfl-1,1206,683
DBD:Bfl-1:AD:FECM04,1680,5147
DBD:Bfl-1:AD:Mcl1[151-321],3165,597
DBD:Bfl-1:AD:XCDP07,814,568
DBD:Bfl-1:AD:alphaBCL2,2182,220
DBD:Bfl-1:AD:alphaBCLB,3604,3503
DBD:Bfl-1:AD:alphaBFL1,1994,7661
DBD:Bfl-1:AD:alphaMCL1,2973,1855
DBD:FECM04:AD:2CDP06,3271,160
DBD:FECM04:AD:BCDP01,3490,915
DBD:FECM04:AD:BECM01,3013,735
DBD:FECM04:AD:Bcl-2,2834,4744
DBD:FECM04:AD:Bcl-B,6698,1229
DBD:FECM04:AD:Bcl-w,1104,291
DBD:FECM04:AD:Bcl-xL,793,503
DBD:FECM04:AD:Bfl-1,1473,1484
DBD:FECM04:AD:FECM04,1982,145
DBD:FECM04:AD:Mcl1[151-321],2593,217
DBD:FECM04:AD:XCDP07,894,119
DBD:FECM04:AD:alphaBCL2,2311,124
DBD:FECM04:AD:alphaBCLB,4518,852
DBD:FECM04:AD:alphaBFL1,2904,239
DBD:FECM04:AD:alphaMCL1,3251,343
DBD:Mcl1[151-321]:AD:2CDP06,1888,309
DBD:Mcl1[151-321]:AD:BCDP01,2023,12177
DBD:Mcl1[151-321]:AD:BECM01,1733,2444
DBD:Mcl1[151-321]:AD:Bcl-2,948,342
DBD:Mcl1[151-321]:AD:Bcl-B,4881,3901
DBD:Mcl1[151-321]:AD:Bcl-w,569,118
DBD:Mcl1[151-321]:AD:Bcl-xL,468,455
DBD:Mcl1[151-321]:AD:Bfl-1,1309,689
DBD:Mcl1[151-321]:AD:FECM04,1478,550
DBD:Mcl1[151-321]:AD:Mcl1[151-321],1068,384
DBD:Mcl1[151-321]:AD:XCDP07,540,3779
DBD:Mcl1[151-321]:AD:alphaBCL2,1201,155
DBD:Mcl1[151-321]:AD:alphaBCLB,2010,3037
DBD:Mcl1[151-321]:AD:alphaBFL1,1907,1108
DBD:Mcl1[151-321]:AD:alphaMCL1,2414,10447
DBD:XCDP07:AD:2CDP06,1793,249
DBD:XCDP07:AD:BCDP01,2686,2967
DBD:XCDP07:AD:BECM01,1817,2233
DBD:XCDP07:AD:Bcl-2,752,558
DBD:XCDP07:AD:Bcl-B,3979,19979
DBD:XCDP07:AD:Bcl-w,579,250
DBD:XCDP07:AD:Bcl-xL,515,346
DBD:XCDP07:AD:Bfl-1,1283,771
DBD:XCDP07:AD:FECM04,1670,303
DBD:XCDP07:AD:Mcl1[151-321],1557,3882
DBD:XCDP07:AD:XCDP07,294,291
DBD:XCDP07:AD:alphaBCL2,1402,149
DBD:XCDP07:AD:alphaBCLB,2203,2701
DBD:XCDP07:AD:alphaBFL1,1641,702
DBD:XCDP07:AD:alphaMCL1,2163,589
DBD:alphaBCL2:AD:2CDP06,2784,113
DBD:alphaBCL2:AD:BCDP01,3106,707
DBD:alphaBCL2:AD:BECM01,2691,695
DBD:alphaBCL2:AD:Bcl-2,1101,929
DBD:alphaBCL2:AD:Bcl-B,6581,999
DBD:alphaBCL2:AD:Bcl-w,1034,696
DBD:alphaBCL2:AD:Bcl-xL,690,516
DBD:alphaBCL2:AD:Bfl-1,2169,414
DBD:alphaBCL2:AD:FECM04,1866,138
DBD:alphaBCL2:AD:Mcl1[151-321],2720,158
DBD:alphaBCL2:AD:XCDP07,710,84
DBD:alphaBCL2:AD:alphaBCL2,1133,44
DBD:alphaBCL2:AD:alphaBCLB,3452,736
DBD:alphaBCL2:AD:alphaBFL1,2694,240
DBD:alphaBCL2:AD:alphaMCL1,3275,265
DBD:alphaBCLB:AD:2CDP06,7708,870
DBD:alphaBCLB:AD:BCDP01,7989,6399
DBD:alphaBCLB:AD:BECM01,5783,4786
DBD:alphaBCLB:AD:Bcl-2,3439,773
DBD:alphaBCLB:AD:Bcl-B,10691,56135
DBD:alphaBCLB:AD:Bcl-w,2551,431
DBD:alphaBCLB:AD:Bcl-xL,1984,538
DBD:alphaBCLB:AD:Bfl-1,5529,1553
DBD:alphaBCLB:AD:FECM04,6040,711
DBD:alphaBCLB:AD:Mcl1[151-321],7364,855
DBD:alphaBCLB:AD:XCDP07,1733,793
DBD:alphaBCLB:AD:alphaBCL2,5524,352
DBD:alphaBCLB:AD:alphaBCLB,5355,5504
DBD:alphaBCLB:AD:alphaBFL1,6692,1136
DBD:alphaBCLB:AD:alphaMCL1,8029,1393
DBD:alphaBFL1:AD:2CDP06,5457,298
DBD:alphaBFL1:AD:BCDP01,5380,1911
DBD:alphaBFL1:AD:BECM01,5093,1582
DBD:alphaBFL1:AD:Bcl-2,2491,2251
DBD:alphaBFL1:AD:Bcl-B,13309,2972
DBD:alphaBFL1:AD:Bcl-w,2248,1073
DBD:alphaBFL1:AD:Bcl-xL,1238,2581
DBD:alphaBFL1:AD:Bfl-1,2394,4257
DBD:alphaBFL1:AD:FECM04,3926,310
DBD:alphaBFL1:AD:Mcl1[151-321],4282,447
DBD:alphaBFL1:AD:XCDP07,1242,247
DBD:alphaBFL1:AD:alphaBCL2,4038,200
DBD:alphaBFL1:AD:alphaBCLB,6836,2037
DBD:alphaBFL1:AD:alphaBFL1,1881,170
DBD:alphaBFL1:AD:alphaMCL1,5722,537
DBD:alphaMCL1:AD:2CDP06,3197,144
DBD:alphaMCL1:AD:BCDP01,3584,1190
DBD:alphaMCL1:AD:BECM01,2812,986
DBD:alphaMCL1:AD:Bcl-2,1569,176
DBD:alphaMCL1:AD:Bcl-B,6790,1981
DBD:alphaMCL1:AD:Bcl-w,1337,121
DBD:alphaMCL1:AD:Bcl-xL,857,126
DBD:alphaMCL1:AD:Bfl-1,3092,770
DBD:alphaMCL1:AD:FECM04,2434,193
DBD:alphaMCL1:AD:Mcl1[151-321],2160,5383
DBD:alphaMCL1:AD:XCDP07,820,340
DBD:alphaMCL1:AD:alphaBCL2,2692,140
DBD:alphaMCL1:AD:alphaBCLB,3919,1254
DBD:alphaMCL1:AD:alphaBFL1,2891,324
DBD:alphaMCL1:AD:alphaMCL1,2346,281
