"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"P7A:PUMA_M144A_Y152A",8130,2526,603,107,1306.92173927053,-0.38283607094238,0.298151498313783,0.0772165342075056,0.185838300611347
"Jerala_P1:P7A",2035,850,108,63,349.452969877837,-0.359538552069172,0.257951058210826,0.080302883429998,0.191834665971662
"Jerala_P3:P7A",2498,1044,219,55,470.644224699363,-0.240875471945183,0.276486006142412,0.253684262057486,0.408471907081332
"Jerala_P4:P7A",1947,1358,166,68,434.867046236263,-0.272571158926039,0.282249716590449,0.199732666350854,0.349094182817844
"Jerala_P5:P7A",1048,1182,137,212,475.911644276293,0.516988227354175,0.247274579946993,0.0102287042588974,0.0366528569277158
"Jerala_P6:P7A",1022,1876,68,138,413.524963997843,-0.284691060669344,0.215760504444235,0.125059715261171,0.259245427648912
"Jerala_P7:P7A",2039,866,440,1166,1648.44441725927,1.66249467192879,1.08305602672604,0.000425109383235837,0.0023041643040934
"Jerala_P8:P7A",1541,1219,46666,23654,56857.1346176968,8.02408142310616,0.366478653843137,1.34518412334509e-106,3.77236417198949e-105
"Jerala_P9:P7A",3348,527,215,42,467.232039098688,-0.265350162281023,0.23366764729517,0.173700023549963,0.32194400916588
"Jerala_P11:P7A",1560,1266,103,82,368.384381327874,-0.36700237485942,0.211786862287577,0.0452116133834939,0.123511409287901
"N1:P8A",2800,2272,503,398,1133.04719137799,0.867815863482285,0.141628260971,4.38245047969588e-11,5.76873583551804e-10
"N2:P8A",11804,14933,12107,631,11520.8625395985,0.14205678081473,0.493801976972389,0.374956252499313,0.530365751890475
"AN3:P8A",11724,12906,571,1116,3394.08754590214,-0.298816415087186,0.272460028560048,0.155118325802157,0.30135939801925
"AN35:P8A",12296,9042,5165,693,6039.8057172361,0.22831476411852,0.415955790828201,0.236328678376935,0.390643631179509
"AN4:P8A",8408,6822,718,568,2224.67750908314,-0.10881624269249,0.115881716084988,0.328633650017222,0.48234598922279
"BN3:P8A",5657,14157,353,895,2726.02588660219,-0.493595004680372,0.128267173325649,5.19323885468141e-05,0.000345323614563867
"BN35:P8A",10388,26355,838,2549,6041.74695028376,-0.0356440199825479,0.227236611041009,0.852570342083549,0.920345501560167
"BN4:P8A",12984,20825,23979,4931,24881.1511287271,1.16894671216906,1.2515922852777,0.00454135742528302,0.0186828399731579
"P8A:PUMA_M144A_A139G",12874,6857,5079,397,5542.32317518099,0.152831604785116,0.410069423119314,0.406748702138274,0.564199812643412
"P8A:PUMA_M144A_A139G_A150G",9736,6876,630,1122,2784.30921454044,0.0784125373152609,0.314539948464953,0.714637272386023,0.82310900123033
"P8A:PUMA_M144A_D147G",10729,9942,1134,605,2990.6714206667,-0.120231344009353,0.256685091425518,0.556964600198185,0.697267436960708
"P8A:PUMA_M144A_E132A",11584,6530,979,473,2511.48985063437,-0.194587041122968,0.151986727155768,0.169761042080496,0.318301953900929
"P8A:PUMA_M144A_E136G",12128,5159,823,296,2145.46672365409,-0.479954315282966,0.150763298723792,0.00063685550358834,0.00331267580495548
"P8A:PUMA_M144A_E158A",10226,9502,784,465,2529.55382296837,-0.412872972807657,0.231883415950725,0.0334610321600883,0.0976577635441492
"P8A:PUMA_M144A_I137A",13831,6213,886,889,2964.72624470129,0.0330777446771371,0.300582629040957,0.877246371915824,0.93524613204249
"P8A:PUMA_M144A_R143A",13233,12682,988,767,3445.77211783793,-0.366320507551405,0.179659599657035,0.0241114380933021,0.0751298433342021
"P8A:PUMA_M144A_W133F",8123,4626,1139,234,2001.59589138275,-0.0521826538887903,0.316462128201436,0.807564921765683,0.888844440455138
"P8A:PUMA_M144A_Y152A",7557,6105,466,324,1688.03344555373,-0.606912573120777,0.138876224862724,3.39961011544053e-06,2.84772535644045e-05
"Jerala_P1:P8A",1619,2102,417,199,785.98782842894,0.323866127754537,0.344612065763503,0.135606903792451,0.273332665456658
"Jerala_P2:P8A",3005,1337,212,184,648.474112896602,0.0545634385756334,0.296948931957299,0.798657228065215,0.885109814608357
"Jerala_P3:P8A",2266,904,302,133,578.027120962337,0.484278071128915,0.1972553879866,0.00541113607054203,0.0215154475850938
"Jerala_P4:P8A",701,2009,58,190,446.056496017632,-0.0281442009991351,0.218331142338847,0.880404462988046,0.936134640153053
"Jerala_P5:P8A",1886,3080,100,523,968.004678565474,0.0230696225571891,0.345356995691158,0.91200570375647,0.952619411083393
"Jerala_P6:P8A",4604,1125,403,128,822.835799980531,0.0857346682462731,0.213894227428116,0.642266931186619,0.768575455687141
"Jerala_P7:P8A",863,139,30952,4613,27045.265028906,8.53919689337529,0.321471565017714,7.67619384777807e-156,3.09446564488553e-154
"Jerala_P8:P8A",3320,1960,242,158,720.849448740367,-0.206919094208836,0.188242245608075,0.219372588374173,0.369654051339079
"Jerala_P9:P8A",1546,997,178,108,423.559265865768,0.22463403334339,0.200492496921823,0.203054240619925,0.350187126202812
"Jerala_P10:P8A",1423,4969,192,7764,8096.61030757318,0.509867237707878,0.787293616612059,0.0356727770537142,0.10317910851859
"Jerala_P11:P8A",3593,2916,212,168,810.125224781947,-0.545694267569358,0.174783377531317,0.000579696433453891,0.00306478852112918
"N1:N2",2113,1714,97516,77317,145348.030683905,8.95908282617028,0.115754024327473,0,0
"AN3:N1",6968,5653,964,764,2393.16571976586,0.537197907940154,0.116589722616132,1.55676621771786e-06,1.37549891839454e-05
"AN35:N1",3244,2632,424,336,1077.26311989277,0.440636416967867,0.144895340127675,0.00118240816593102,0.00591204082965508
"AN4:N1",6734,1820,2760,37065,38084.7496358929,3.65845811608062,2.26233796819513,0.000794094647940608,0.00409752838337354
"BN3:N1",6443,5227,859,681,2164.91596608564,0.489670979170259,0.113413900273452,7.14728072373755e-06,5.6219464229399e-05
"BN35:N1",11177,9068,3457,2741,6681.53989867041,1.62755407335603,0.289632255840531,1.8381665632446e-12,2.57742920281036e-11
"BN4:N1",5109,4145,33762,26773,50929.325934162,6.14924076144258,0.243588597048675,8.33614011999505e-141,2.98711687633156e-139
"N1:PUMA_M144A_A139G",1825,1480,183,145,523.380120031594,0.0925101727825104,0.188624968612692,0.583567141330586,0.719401237449313
"N1:PUMA_M144A_A139G_A150G",2914,2364,325,257,884.04841222165,0.22786290679804,0.16263184427132,0.128747287500877,0.261962146492322
"N1:PUMA_M144A_D147G",2673,2168,202,160,668.355152247867,-0.240170453355574,0.179985501229015,0.140024204884374,0.280483267547892
"N1:PUMA_M144A_E132A",4410,3578,2736,2169,4676.87652910963,2.74241852173011,0.180687340177929,3.99114960401393e-52,9.90112113303455e-51
"N1:PUMA_M144A_E136G",2472,2005,326,258,824.8340216488,0.433463629940761,0.166132261584846,0.00447091746259784,0.0186545090304904
"N1:PUMA_M144A_E158A",3120,2531,317,251,900.832052257761,0.114054219999902,0.161972608096446,0.445612834442135,0.600042334478449
"N1:PUMA_M144A_I137A",2403,1949,316,250,800.387260482055,0.42831590661377,0.167687634272665,0.00530828881753484,0.0213990392956873
"N1:PUMA_M144A_R143A",3842,3117,403,319,1128.02321780627,0.159699444701316,0.140049868910122,0.226554070196109,0.377590116993515
"N1:PUMA_M144A_W133F",2037,1652,181,143,549.202158429143,-0.0489481153562913,0.187505909269481,0.770783632885175,0.862263017470824
"N1:PUMA_M144A_Y152A",1754,1423,330,261,731.793936903936,0.880817852674644,0.179660037280574,3.44091829124646e-08,3.57966499653866e-07
"Jerala_P1:N1",731,593,82,65,222.618177582884,0.198818161880116,0.226685980068209,0.299265794338207,0.455002947086309
"Jerala_P2:N1",543,440,61,48,165.115903373583,0.18978903881706,0.237526225580099,0.334987928455196,0.484589626100445
"Jerala_P4:N1",835,677,148,117,334.768147406364,0.734709683927912,0.216801714365905,6.88451510515035e-05,0.000453113494165507
"Jerala_P5:N1",2262,1835,362,287,849.936731971235,0.680748472381409,0.166250011975012,7.30606843197419e-06,5.67760739593175e-05
"Jerala_P6:N1",267,216,54,42,116.259622889927,0.799891476838,0.270841240678688,0.000139809232756765,0.000850725991774656
"Jerala_P7:N1",993,805,67,53,236.23234623081,-0.323443454855682,0.23244539750147,0.0962585552174043,0.214086793528556
"Jerala_P8:N1",828,671,94,74,253.272849882877,0.211977990453682,0.221461282777316,0.26147565900423,0.416989451361655
"Jerala_P9:N1",722,585,716,567,1163.75924288568,3.41997634965787,0.144618684513891,1.07064985793687e-123,3.45284579184641e-122
"Jerala_P10:N1",1397,1133,173,137,449.52029883552,0.332185240703475,0.195099645704358,0.0547742639023048,0.1456158508382
"Jerala_P11:N1",1136,381,437,4765,4986.92523722852,3.67947302809204,1.91689853275178,0.000396113881806882,0.00216519876072406
"AN3:N2",12435,22592,560,2367,5474.39521926299,-0.172236986040012,0.332521724634519,0.420369001511669,0.580938730413841
"AN35:N2",11970,15023,603,1266,3761.8292032395,-0.304122967587075,0.265837053259476,0.144055664568571,0.28589508814378
"AN4:N2",8874,7200,575,455,2076.4891947253,-0.477654783837617,0.116350509079786,1.89279045814855e-05,0.000137174139944473
"BN3:N2",12582,14642,535,1822,4252.06591771822,-0.124581112878473,0.343561878392213,0.554031115287165,0.69590738278668
"BN35:N2",16737,31556,1142,3471,8024.12722916503,-0.0391121537705436,0.30322117953588,0.855183217380452,0.920345501560167
"BN4:N2",10912,16664,574,1970,4486.28845040135,-0.097451482492045,0.317317288325689,0.649497535778178,0.774354733044223
"N2:PUMA_M144A_A139G",9971,10723,461,712,2619.70211814195,-0.544789473476773,0.21945538670903,0.00362707496109049,0.0153912062493643
"N2:PUMA_M144A_A139G_A150G",10614,8425,573,520,2360.56544557815,-0.588161747444169,0.148372934200929,2.13925148885674e-05,0.000149734150790734
"N2:PUMA_M144A_D147G",16036,9046,906,1380,3843.66721905815,0.00880551105369262,0.330783143859232,0.966928354283025,0.985258749624883
"N2:PUMA_M144A_E132A",16850,10723,764,522,3119.88948648486,-0.868394448438649,0.146911636653136,1.62275841604691e-10,2.01284457375049e-09
"N2:PUMA_M144A_E136G",11464,11604,47307,860,37085.3527855966,0.374090275740982,0.833294611638947,0.0854086797224489,0.196744994360641
"N2:PUMA_M144A_E158A",6220,12579,362,1347,3065.33100190816,-0.124202940387468,0.27226260871121,0.553423714404985,0.69590738278668
"N2:PUMA_M144A_I137A",14432,8542,788,775,3027.38150249828,-0.246572537240176,0.253424737796975,0.225998095572861,0.377590116993515
"N2:PUMA_M144A_R143A",8318,7989,701,566,2305.99544810009,-0.212691688277062,0.149424022795344,0.127824681882706,0.261663816216085
"N2:PUMA_M144A_W133F",6679,10904,311,816,2404.96670795032,-0.429218665152572,0.246408031529472,0.0327033401186581,0.0963180565138562
"N2:PUMA_M144A_Y152A",13309,8096,664,356,2421.9775482842,-0.862352346454744,0.152494840141325,7.67483712319629e-10,9.00049080811201e-09
"Jerala_P1:N2",2544,2848,148,223,739.857185033901,-0.306982670629304,0.233462587597665,0.115352455306472,0.24235287841262
"Jerala_P2:N2",1799,1735,118,350,692.609476717843,0.122610681153247,0.348166210615672,0.557813949568566,0.697267436960708
"Jerala_P3:N2",2437,2845,362,251,915.203236340345,0.202187751587716,0.263493196095362,0.329042225206244,0.48234598922279
"Jerala_P4:N2",5651,1089,472,107,920.085538856097,-0.020727678103013,0.189447986379324,0.902567117349975,0.951234952109042
"Jerala_P5:N2",4490,3395,194,334,1057.68234157605,-0.238371920655444,0.310928802355984,0.269842629139195,0.424508526328734
"Jerala_P6:N2",1290,391,73,145,312.474827181279,0.144304452060756,0.405345730752107,0.436112616810441,0.591142658513566
"Jerala_P7:N2",4784,3587,1465,326,2012.9241658511,0.355591772969059,0.353446418600368,0.102563558308188,0.222739040770308
"Jerala_P8:N2",3534,1712,162,233,727.035584702357,-0.0786913717181127,0.343421771350791,0.707625285093433,0.817626110678683
"Jerala_P9:N2",1283,2207,47,208,511.520326668561,-0.25339716126637,0.340415768655402,0.238020072951236,0.390643631179509
"Jerala_P10:N2",4848,4743,212,262,1143.33508230824,-0.704250410815953,0.213008025738371,0.000115604874653908,0.000710144230016862
"Jerala_P11:N2",2302,1868,241,191,675.441938342588,0.146513347762055,0.176430249003954,0.360570996111474,0.513395789165344
"Jerala_P12:N2",2734,3041,3291,261,3096.77445199937,0.380713726902094,0.577812429265254,0.0676205579065934,0.169328717436678
"AN3:AN35",24139,11618,1865,817,4771.24201053485,-0.252529729794772,0.184651723115136,0.128194985929121,0.261663816216085
"AN3:AN4",20633,16741,1844,1457,5579.51844833789,-0.0423496906624373,0.189942613490066,0.802871861193451,0.886733476831808
"AN3:BN3",15522,19953,1091,1058,4586.07813422981,-0.431118703495039,0.222262917667108,0.022618251657241,0.0718658734922188
"AN3:BN35",26331,36591,1972,2190,8485.19730783115,-0.281009108983502,0.264821203885888,0.176239455836079,0.325563400465216
"AN3:BN4",22009,20162,1789,1301,5780.40525819469,-0.239786181836774,0.229398614568776,0.213917642288943,0.364055090438966
"AN3:PUMA_M144A_A139G",17914,7799,1622,496,3537.04632116335,-0.19567740096245,0.219976766278086,0.297868494905146,0.454196641167421
"AN3:PUMA_M144A_A139G_A150G",16450,7852,1360,565,3318.56803145551,-0.206059507956211,0.168607538737251,0.182332090245813,0.333156368862745
"AN3:PUMA_M144A_D147G",22742,8406,2122,408,4193.81644212408,-0.240026573409265,0.291911006958528,0.262477081012143,0.416989451361655
"AN3:PUMA_M144A_E132A",21502,11368,1985,606,4458.29304568027,-0.223813107317193,0.27673821560217,0.288859610561325,0.442552134945498
"AN3:PUMA_M144A_E136G",16297,7940,1283,441,3141.2100260801,-0.349774764429296,0.214086993455624,0.0581336671040134,0.151806539603598
"AN3:PUMA_M144A_E158A",13261,8718,1341,481,3086.02134866486,-0.175963726100488,0.268662158793061,0.399116897255656,0.556005180842113
"AN3:PUMA_M144A_I137A",18487,5965,1137,474,3041.11996481929,-0.312121901054204,0.191887511837118,0.0677314869746713,0.169328717436678
"AN3:PUMA_M144A_R143A",20941,10755,1702,529,4087.33278718782,-0.333866452710659,0.264601413924877,0.108239932963405,0.232715855871322
"AN3:PUMA_M144A_W133F",21357,6612,2137,483,4027.39646491327,-0.0698184821879768,0.217895219504254,0.708609295921525,0.817626110678683
