,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
A_HT_DHD_100_swap:A_HT_DHD_75_swap,405.0,332.0,432.0,367.0
A_HT_DHD_100_swap:A_HT_DHD_76_swap,188.0,154.0,215.0,182.0
A_HT_DHD_100_swap:A_HT_DHD_77_swap,268.0,220.0,150.0,127.0
A_HT_DHD_100_swap:A_HT_DHD_78_swap,1266.0,1040.0,718.0,611.0
A_HT_DHD_100_swap:A_HT_DHD_79_swap,319.0,262.0,83.0,70.0
A_HT_DHD_100_swap:A_HT_DHD_7_swap,333.0,273.0,396.0,336.0
A_HT_DHD_100_swap:A_HT_DHD_80_swap,140.0,115.0,42.0,35.0
A_HT_DHD_100_swap:A_HT_DHD_81_swap,221.0,181.0,38.0,32.0
A_HT_DHD_100_swap:A_HT_DHD_82_swap,181.0,148.0,97.0,82.0
A_HT_DHD_100_swap:A_HT_DHD_83_swap,89.0,73.0,28.0,23.0
A_HT_DHD_100_swap:A_HT_DHD_84_swap,204.0,167.0,78.0,66.0
A_HT_DHD_100_swap:A_HT_DHD_85_swap,35.0,28.0,9.0,7.0
A_HT_DHD_100_swap:A_HT_DHD_86_swap,1002.0,823.0,551.0,469.0
A_HT_DHD_100_swap:A_HT_DHD_87_swap,3.0,2.0,3.0,2.0
A_HT_DHD_100_swap:A_HT_DHD_88_swap,1560.0,1281.0,1303.0,1109.0
A_HT_DHD_100_swap:A_HT_DHD_89_swap,395.0,324.0,236.0,200.0
A_HT_DHD_100_swap:A_HT_DHD_8_swap,103.0,84.0,40.0,33.0
A_HT_DHD_100_swap:A_HT_DHD_90_swap,115.0,94.0,167.0,141.0
A_HT_DHD_100_swap:A_HT_DHD_91_swap,678.0,557.0,455.0,387.0
A_HT_DHD_100_swap:A_HT_DHD_92_swap,128.0,105.0,38.0,32.0
A_HT_DHD_100_swap:A_HT_DHD_93_swap,195.0,160.0,102.0,86.0
A_HT_DHD_100_swap:A_HT_DHD_94_swap,221.0,181.0,243.0,206.0
A_HT_DHD_100_swap:A_HT_DHD_95_swap,1532.0,1258.0,617.0,525.0
A_HT_DHD_100_swap:A_HT_DHD_96_swap,210.0,446.0,50.0,430.0
A_HT_DHD_100_swap:A_HT_DHD_97_swap,78.0,1285.0,80.0,2581.0
A_HT_DHD_100_swap:A_HT_DHD_98_swap,115.0,94.0,41.0,34.0
A_HT_DHD_100_swap:A_HT_DHD_99_swap,10.0,8.0,4.0,3.0
A_HT_DHD_100_swap:A_HT_DHD_9_swap,21.0,17.0,5.0,4.0
A_HT_DHD_100_swap:A_ZCON_13_swap,16.0,13.0,6.0,5.0
A_HT_DHD_100_swap:A_ZCON_150_swap,978.0,803.0,458.0,389.0
A_HT_DHD_100_swap:A_ZCON_154_swap,178.0,146.0,45.0,38.0
A_HT_DHD_100_swap:A_ZCON_155_swap,361.0,296.0,244.0,207.0
A_HT_DHD_100_swap:A_ZCON_15_re_loop_swap,160.0,131.0,89.0,75.0
A_HT_DHD_100_swap:A_ZCON_162_swap,61.0,50.0,18.0,15.0
A_HT_DHD_100_swap:A_ZCON_37_3_swap,509.0,418.0,266.0,226.0
A_HT_DHD_100_swap:A_ZCON_37_swap,195.0,160.0,68.0,57.0
A_HT_DHD_100_swap:A_ZCON_6_swap,206.0,169.0,271.0,230.0
A_HT_DHD_100_swap:B_HT_DHD_100_swap,24.0,19.0,20.0,16.0
A_HT_DHD_100_swap:B_HT_DHD_10_swap,2129.0,1749.0,1148.0,977.0
A_HT_DHD_100_swap:B_HT_DHD_11_swap,378.0,310.0,175.0,148.0
A_HT_DHD_100_swap:B_HT_DHD_12_swap,46.0,37.0,4.0,3.0
A_HT_DHD_100_swap:B_HT_DHD_13_swap,148.0,121.0,26.0,22.0
A_HT_DHD_100_swap:B_HT_DHD_14_swap,10.0,8.0,11.0,9.0
A_HT_DHD_100_swap:B_HT_DHD_15_swap,35.0,28.0,7.0,5.0
A_HT_DHD_100_swap:B_HT_DHD_16_swap,172.0,141.0,59.0,50.0
A_HT_DHD_100_swap:B_HT_DHD_17_swap,296.0,243.0,394.0,335.0
A_HT_DHD_100_swap:B_HT_DHD_18_swap,603.0,495.0,297.0,252.0
A_HT_DHD_100_swap:B_HT_DHD_19_swap,179.0,147.0,67.0,57.0
A_HT_DHD_100_swap:B_HT_DHD_1_swap,46.0,37.0,23.0,19.0
A_HT_DHD_100_swap:B_HT_DHD_20_swap,72.0,59.0,42.0,35.0
A_HT_DHD_100_swap:B_HT_DHD_21_swap,346.0,284.0,120.0,102.0
A_HT_DHD_100_swap:B_HT_DHD_22_swap,318.0,261.0,330.0,280.0
A_HT_DHD_100_swap:B_HT_DHD_23_swap,307.0,252.0,98.0,83.0
A_HT_DHD_100_swap:B_HT_DHD_24_swap,369.0,303.0,225.0,191.0
A_HT_DHD_100_swap:B_HT_DHD_25_swap,18.0,14.0,2.0,1.0
A_HT_DHD_100_swap:B_HT_DHD_26_swap,119.0,97.0,231.0,195.0
A_HT_DHD_100_swap:B_HT_DHD_27_swap,26.0,21.0,15.0,12.0
A_HT_DHD_100_swap:B_HT_DHD_28_swap,1220.0,1002.0,1180.0,1004.0
A_HT_DHD_100_swap:B_HT_DHD_29_swap,3.0,2.0,3.0,2.0
A_HT_DHD_100_swap:B_HT_DHD_2_swap,112.0,92.0,17.0,14.0
A_HT_DHD_100_swap:B_HT_DHD_30_swap,4.0,3.0,3.0,2.0
A_HT_DHD_100_swap:B_HT_DHD_31_swap,302.0,248.0,112.0,95.0
A_HT_DHD_100_swap:B_HT_DHD_32_swap,3.0,2.0,6.0,4.0
A_HT_DHD_100_swap:B_HT_DHD_33_swap,65.0,53.0,62.0,52.0
A_HT_DHD_100_swap:B_HT_DHD_34_swap,130.0,106.0,56.0,47.0
A_HT_DHD_100_swap:B_HT_DHD_35_swap,978.0,803.0,646.0,549.0
A_HT_DHD_100_swap:B_HT_DHD_36_swap,237.0,194.0,37.0,31.0
A_HT_DHD_100_swap:B_HT_DHD_37_swap,1406.0,1155.0,954.0,812.0
A_HT_DHD_100_swap:B_HT_DHD_38_swap,46.0,37.0,38.0,31.0
A_HT_DHD_100_swap:B_HT_DHD_39_swap,213.0,175.0,77.0,65.0
A_HT_DHD_100_swap:B_HT_DHD_3_swap,87.0,71.0,48.0,40.0
A_HT_DHD_100_swap:B_HT_DHD_40_swap,541.0,444.0,224.0,190.0
A_HT_DHD_100_swap:B_HT_DHD_41_swap,105.0,86.0,50.0,42.0
A_HT_DHD_100_swap:B_HT_DHD_42_swap,122.0,100.0,43.0,36.0
A_HT_DHD_100_swap:B_HT_DHD_43_swap,1759.0,1445.0,924.0,786.0
A_HT_DHD_100_swap:B_HT_DHD_44_swap,689.0,566.0,475.0,404.0
A_HT_DHD_100_swap:B_HT_DHD_45_swap,22.0,1977.0,87.0,3325.0
A_HT_DHD_100_swap:B_HT_DHD_46_swap,2364.0,1942.0,2369.0,2017.0
A_HT_DHD_100_swap:B_HT_DHD_47_swap,495.0,406.0,1691.0,1437.0
A_HT_DHD_100_swap:B_HT_DHD_48_swap,594.0,488.0,2088.0,1778.0
A_HT_DHD_100_swap:B_HT_DHD_49_swap,194.0,159.0,82.0,69.0
A_HT_DHD_100_swap:B_HT_DHD_4_swap,989.0,812.0,533.0,453.0
A_HT_DHD_100_swap:B_HT_DHD_50_swap,106.0,87.0,32.0,27.0
A_HT_DHD_100_swap:B_HT_DHD_51_swap,238.0,195.0,157.0,133.0
