PPI,trp1,his1
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_78_swap,1186.0,229.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_79_swap,305.0,43.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_7_swap,226.0,32.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_80_swap,578.0,66.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_81_swap,487.0,31.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_82_swap,90.0,3.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_83_swap,159.0,6.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_84_swap,318.0,12.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_85_swap,137.0,25.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_86_swap,452.0,107.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_87_swap,150.0,4.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_88_swap,478.0,33.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_89_swap,505.0,42.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_8_swap,98.0,9.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_90_swap,374.0,222.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_91_swap,322.0,6.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_92_swap,342.0,54.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_93_swap,366.0,46.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_94_swap,537.0,214.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_95_swap,529.0,90.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_96_swap,317.0,115.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_97_swap,228.0,80.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_98_swap,698.0,982.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_99_swap,21.0,2.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_9_swap,86.0,3.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_13_swap,95.0,2.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_150_swap,159.0,4.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_154_swap,136.0,36.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_155_swap,556.0,19.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_15_re_loop_swap,400.0,3.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_162_swap,333.0,10.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_37_3_swap,499.0,66.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_37_swap,446.0,4.0
DBD:A_HT_DHD_100_swap:AD:A_ZCON_6_swap,445.0,2645.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_100_swap,198.0,12.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_10_swap,700.0,63.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_11_swap,226.0,30.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_12_swap,433.0,16.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_13_swap,257.0,25.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_14_swap,117.0,3.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_15_swap,236.0,54.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_16_swap,345.0,3.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_17_swap,275.0,281.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_18_swap,311.0,29.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_19_swap,445.0,9.0
