,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
A_HT_DHD_100_swap:A_HT_DHD_10_swap,98.0,83.0,17.0,0.0
A_HT_DHD_100_swap:A_HT_DHD_11_swap,588.0,230.0,1017.0,9.0
A_HT_DHD_100_swap:A_HT_DHD_12_swap,142.0,171.0,77.0,8.0
A_HT_DHD_100_swap:A_HT_DHD_13_swap,133.0,140.0,438.0,6.0
A_HT_DHD_100_swap:A_HT_DHD_14_swap,159.0,70.0,137.0,1.0
A_HT_DHD_100_swap:A_HT_DHD_15_swap,832.0,85.0,519.0,2.0
A_HT_DHD_100_swap:A_HT_DHD_16_swap,10.0,9.0,41.0,1.0
A_HT_DHD_100_swap:A_HT_DHD_17_swap,349.0,36.0,637.0,5.0
A_HT_DHD_100_swap:A_HT_DHD_18_swap,286.0,78.0,3176.0,511.0
A_HT_DHD_100_swap:A_HT_DHD_19_swap,589.0,212.0,738.0,19.0
A_HT_DHD_100_swap:A_HT_DHD_1_swap,13.0,23.0,20.0,43.0
A_HT_DHD_100_swap:A_HT_DHD_20_swap,1131.0,143.0,1780.0,3.0
A_HT_DHD_100_swap:A_HT_DHD_21_swap,280.0,28.0,612.0,0.0
A_HT_DHD_100_swap:A_HT_DHD_22_swap,96.0,52.0,29.0,1.0
A_HT_DHD_100_swap:A_HT_DHD_23_swap,54.0,82.0,42.0,1.0
A_HT_DHD_100_swap:A_HT_DHD_24_swap,222.0,249.0,2637.0,11.0
A_HT_DHD_100_swap:A_HT_DHD_25_swap,1071.0,49.0,9334.0,1.0
A_HT_DHD_100_swap:A_HT_DHD_26_swap,432.0,219.0,227.0,8.0
A_HT_DHD_100_swap:A_HT_DHD_27_swap,364.0,57.0,426.0,6.0
A_HT_DHD_100_swap:A_HT_DHD_28_swap,466.0,260.0,379.0,28.0
A_HT_DHD_100_swap:A_HT_DHD_29_swap,20.0,156.0,53.0,384.0
A_HT_DHD_100_swap:A_HT_DHD_2_swap,2.0,77.0,3.0,3.0
A_HT_DHD_100_swap:A_HT_DHD_30_swap,890.0,113.0,1212.0,12.0
A_HT_DHD_100_swap:A_HT_DHD_31_swap,125.0,4.0,45.0,4.0
A_HT_DHD_100_swap:A_HT_DHD_32_swap,296.0,116.0,2168.0,19.0
A_HT_DHD_100_swap:A_HT_DHD_33_swap,5.0,4.0,1.0,1.0
A_HT_DHD_100_swap:A_HT_DHD_34_swap,114.0,3.0,8.0,0.0
A_HT_DHD_100_swap:A_HT_DHD_35_swap,11.0,38.0,42.0,3.0
A_HT_DHD_100_swap:A_HT_DHD_36_swap,480.0,3.0,1258.0,1.0
A_HT_DHD_100_swap:A_HT_DHD_37_swap,250.0,45.0,47.0,141.0
A_HT_DHD_100_swap:A_HT_DHD_38_swap,55.0,19.0,20.0,1.0
A_HT_DHD_100_swap:A_HT_DHD_39_swap,227.0,7.0,173.0,0.0
A_HT_DHD_100_swap:A_HT_DHD_3_swap,210.0,29.0,438.0,3.0
