,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
A_HT_DHD_100:B_HT_DHD_100,14.0,13.0,3.0,2.0
A_HT_DHD_10:A_HT_DHD_100,7.0,17.0,0.0,3.0
A_HT_DHD_100:B_HT_DHD_10,61.0,2.0,5.0,0.0
A_HT_DHD_100:A_HT_DHD_11,37.0,9.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_11,48.0,16.0,15.0,17.0
A_HT_DHD_100:A_HT_DHD_12,9.0,17.0,5.0,0.0
A_HT_DHD_100:B_HT_DHD_12,7.0,46.0,2.0,0.0
A_HT_DHD_100:A_HT_DHD_13,12.0,6.0,3.0,0.0
A_HT_DHD_100:B_HT_DHD_13,26.0,7.0,67.0,1.0
A_HT_DHD_100:A_HT_DHD_14,5.0,5.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_14,18.0,2.0,9.0,2.0
A_HT_DHD_100:A_HT_DHD_15,24.0,11.0,1.0,0.0
A_HT_DHD_100:B_HT_DHD_15,7.0,0.0,7.0,0.0
A_HT_DHD_100:A_HT_DHD_16,40.0,6.0,2.0,2.0
A_HT_DHD_100:B_HT_DHD_16,16.0,4.0,4.0,1.0
A_HT_DHD_100:A_HT_DHD_17,25.0,7.0,60.0,0.0
A_HT_DHD_100:B_HT_DHD_17,16.0,11.0,4.0,0.0
A_HT_DHD_100:A_HT_DHD_18,33.0,8.0,11.0,0.0
A_HT_DHD_100:B_HT_DHD_18,29.0,9.0,0.0,0.0
A_HT_DHD_100:A_HT_DHD_19,38.0,4.0,1.0,0.0
A_HT_DHD_100:B_HT_DHD_19,64.0,8.0,23.0,0.0
A_HT_DHD_1:A_HT_DHD_100,16.0,4.0,7.0,0.0
A_HT_DHD_100:B_HT_DHD_1,12.0,3.0,0.0,0.0
A_HT_DHD_100:A_HT_DHD_20,22.0,5.0,1.0,1.0
A_HT_DHD_100:B_HT_DHD_20,23.0,6.0,0.0,1.0
A_HT_DHD_100:A_HT_DHD_21,68.0,5.0,2.0,0.0
A_HT_DHD_100:B_HT_DHD_21,21.0,11.0,0.0,0.0
A_HT_DHD_100:A_HT_DHD_22,9.0,4.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_22,17.0,9.0,2.0,2.0
A_HT_DHD_100:A_HT_DHD_23,16.0,4.0,4.0,0.0
A_HT_DHD_100:B_HT_DHD_23,26.0,19.0,3.0,2.0
A_HT_DHD_100:A_HT_DHD_24,43.0,2.0,1.0,3.0
A_HT_DHD_100:B_HT_DHD_24,35.0,20.0,0.0,6.0
A_HT_DHD_100:A_HT_DHD_25,14.0,3.0,8.0,0.0
A_HT_DHD_100:B_HT_DHD_25,15.0,3.0,3.0,0.0
A_HT_DHD_100:A_HT_DHD_26,17.0,3.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_26,105.0,22.0,12.0,7.0
A_HT_DHD_100:A_HT_DHD_27,40.0,1.0,1.0,0.0
A_HT_DHD_100:B_HT_DHD_27,19.0,6.0,1.0,1.0
A_HT_DHD_100:A_HT_DHD_28,41.0,7.0,3.0,20.0
A_HT_DHD_100:B_HT_DHD_28,10.0,2.0,1.0,4.0
A_HT_DHD_100:A_HT_DHD_29,28.0,7.0,1.0,1.0
A_HT_DHD_100:A_HT_DHD_2,4.0,2.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_2,28.0,17.0,1.0,3.0
A_HT_DHD_100:A_HT_DHD_30,20.0,4.0,10.0,2.0
A_HT_DHD_100:B_HT_DHD_30,18.0,5.0,0.0,0.0
A_HT_DHD_100:A_HT_DHD_31,8.0,2.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_31,16.0,9.0,17.0,1.0
A_HT_DHD_100:A_HT_DHD_32,9.0,4.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_32,17.0,7.0,2.0,18.0
A_HT_DHD_100:A_HT_DHD_33,24.0,6.0,0.0,2.0
A_HT_DHD_100:B_HT_DHD_33,60.0,11.0,3.0,0.0
A_HT_DHD_100:A_HT_DHD_34,4.0,2.0,0.0,1.0
A_HT_DHD_100:B_HT_DHD_34,11.0,6.0,0.0,0.0
A_HT_DHD_100:A_HT_DHD_35,31.0,6.0,1.0,0.0
A_HT_DHD_100:B_HT_DHD_35,43.0,12.0,5.0,1.0
A_HT_DHD_100:A_HT_DHD_36,12.0,4.0,1.0,0.0
A_HT_DHD_100:B_HT_DHD_36,48.0,11.0,3.0,4.0
A_HT_DHD_100:A_HT_DHD_37,16.0,3.0,2.0,0.0
A_HT_DHD_100:B_HT_DHD_37,78.0,9.0,11.0,0.0
A_HT_DHD_100:A_HT_DHD_38,29.0,4.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_38,45.0,2.0,2.0,1.0
A_HT_DHD_100:A_HT_DHD_39,9.0,4.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_39,43.0,8.0,0.0,1.0
A_HT_DHD_100:A_HT_DHD_3,15.0,2.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_3,52.0,9.0,3.0,0.0
A_HT_DHD_100:A_HT_DHD_40,29.0,3.0,1.0,0.0
A_HT_DHD_100:B_HT_DHD_40,45.0,8.0,3.0,0.0
A_HT_DHD_100:A_HT_DHD_41,24.0,2.0,1.0,0.0
A_HT_DHD_100:B_HT_DHD_41,20.0,6.0,0.0,0.0
A_HT_DHD_100:A_HT_DHD_42,28.0,9.0,1.0,0.0
A_HT_DHD_100:B_HT_DHD_42,9.0,13.0,1.0,0.0
A_HT_DHD_100:A_HT_DHD_43,18.0,4.0,2.0,1.0
A_HT_DHD_100:B_HT_DHD_43,39.0,10.0,0.0,2.0
A_HT_DHD_100:A_HT_DHD_44,15.0,7.0,3.0,0.0
A_HT_DHD_100:B_HT_DHD_44,25.0,5.0,5.0,0.0
A_HT_DHD_100:A_HT_DHD_45,5.0,8.0,11.0,1.0
A_HT_DHD_100:B_HT_DHD_45,46.0,17.0,5.0,29.0
A_HT_DHD_100:A_HT_DHD_46,26.0,5.0,17.0,0.0
A_HT_DHD_100:B_HT_DHD_46,59.0,9.0,0.0,0.0
A_HT_DHD_100:A_HT_DHD_47,17.0,3.0,1.0,0.0
A_HT_DHD_100:B_HT_DHD_47,22.0,4.0,7.0,13.0
A_HT_DHD_100:A_HT_DHD_48,8.0,9.0,0.0,0.0
A_HT_DHD_100:B_HT_DHD_48,10.0,5.0,10.0,3.0
A_HT_DHD_100:A_HT_DHD_49,26.0,8.0,1.0,1.0
A_HT_DHD_100:B_HT_DHD_49,34.0,6.0,3.0,1.0
