"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"BW3_A:BW3_B",1553,1720,212,422,776.527230446982,0.43309969522023,0.349989457772883,0.178935392773438,0.329241122703125
"BW3_A:BW5_A",2389,1734,383,292,857.627672435345,0.295619658502378,0.365550511981206,0.376095112273466,0.536445741537346
"BW3_A:BW5_B",1129,1378,149,409,652.534991415879,0.507931925150604,0.394285767415526,0.151902994511809,0.296553326155679
"BW3_A:BW8_A",1562,551,127,59,307.478109312785,-0.365566242016742,0.413624133287295,0.320150454574345,0.485836566116944
"BW3_A:BW8_B",1892,1274,199,457,763.803099626024,0.467996633667557,0.425488251614622,0.212566867241125,0.371613335604436
"BW10_A:BW3_A",1356,919,136,108,380.006367876656,-0.190948661128068,0.423689768507636,0.610007753987737,0.744675964347561
"BW10_B:BW3_A",1003,721,121,95,311.326475305988,-0.0219825871333104,0.421547101070353,0.953003844456006,0.973508636108787
"BW3_A:IL8_A",1773,1241,489,204,762.132569888897,0.5521620062426,0.455474329938701,0.161049188785806,0.307078245975009
"BW3_A:IL8_B",1768,2093,456,414,998.223416662103,0.651619880584781,0.409804981262678,0.0742398355867671,0.179149242596264
"BW3_A:IL9_A",1781,1099,1641,163,1506.31094113714,0.903084130827025,0.623213749858154,0.0531001876573104,0.137611753928804
"BW3_A:IL9_B",2913,1828,305,492,1001.26882037278,0.318894328655932,0.374082632944142,0.34861065449519,0.510541887388026
"BW3_A:IL14_A",1027,681,1058,554,1293.79769219309,2.455147542979,0.476588988425941,4.72024456540538e-10,1.28670370375495e-08
"BW3_A:IL14_B",1400,1128,210,167,503.069245273067,0.164132602873865,0.43292825073854,0.666006391010173,0.781630326178811
"BW3_A:IL19_A",2612,1501,371,232,792.301467452503,0.170939942120243,0.367163761939908,0.610108161007581,0.744675964347561
"BW3_A:IL19_B",2319,1888,400,531,1061.01228193889,0.671206149241844,0.336070401246486,0.0310929366632249,0.0922281058584182
"BW3_A:mALb8_A",1204,895,176,213,472.131373625078,0.427438653363741,0.409618180381214,0.241594428619696,0.403205214204299
"BW3_A:mALb8_B",1847,1102,594,330,916.600131044569,1.06120124102272,0.386179328810852,0.00232276660433255,0.0122989656171853
"BW3_A:mALb8_cutT1_A",1254,1015,118,426,608.975904250121,0.455375935278601,0.488452938520712,0.269489724784414,0.434014086304878
"BW3_A:mALb8_cutT1_B",1737,384,152,401,571.674278201636,0.725180686311535,0.612850630532255,0.116830728969616,0.248616641425455
"BW3_A:mALb8_cutT2_A",1899,868,100,249,492.40388594876,-0.040670722549442,0.524186751514904,0.924550727023616,0.961321386646332
"BW3_A:mALb8_cutT2_B",435,800,45,226,326.28425396593,0.323364468915101,0.444571841582064,0.403932428205706,0.56267202213851
"BW3_A:MCL1",2847,1304,1127,249,1317.04399803362,0.808545985580546,0.484524981142511,0.0489085083687818,0.127910838445031
"BW3_A:PUMA_M144A",1788,527,136,122,373.613079850598,0.03148045258946,0.457191150668019,0.936475520720945,0.966671778457695
"BW3_A:PUMA_M144A_L141A",1906,819,120,117,402.376209372778,-0.342548580929203,0.430392737518769,0.36560349097616,0.525555018278229
"BW3_A:PUMA_M144A_L148A",1633,735,43,58,276.197451842948,-1.15757891784161,0.458849800428377,0.00346848774090873,0.0170187131820588
"BW3_A:Jerala_P1",921,237,68,20,154.96445749804,-0.564742295138751,0.375378207189661,0.0977121759167814,0.2179277620447
"BW3_A:Jerala_P2",741,304,34,57,154.585738152931,-0.355308885704007,0.434742449712359,0.351493395898009,0.512275523526604
"BW3_A:Jerala_P3",862,163,192,26,231.540821987824,0.451148530754748,0.446874169002904,0.245924950567466,0.407659377517242
"BW3_A:Jerala_P4",812,294,64,42,167.80626461295,-0.238648116332287,0.353882606455692,0.463169945181793,0.623204898818646
"BW3_A:Jerala_P5",927,265,47,27,149.551220147429,-0.717349643858983,0.366102960782041,0.0317930019824282,0.0935985978362686
"BW3_A:Jerala_P6",955,158,51,27,141.379180863191,-0.369191873574907,0.406238647607817,0.30881706453967,0.475500752094554
"BW3_A:Jerala_P7",961,132,34,28,127.737658076734,-0.429301782777419,0.483922261036066,0.295031776124484,0.460049549211059
"BW3_A:Jerala_P8",700,255,70,13,137.740341636644,-0.575381171263348,0.457493475134927,0.145370536778149,0.290181135527493
"BW3_A:Jerala_P9",654,250,226,30,253.719469564028,0.460268127271109,0.541859886990681,0.292711233781061,0.458460160035277
"BW3_A:Jerala_P10",949,306,42,42,163.780616199935,-0.585530272774384,0.405895351081959,0.106180854890145,0.232591689132183
"BW3_A:Jerala_P11",980,650,86,45,239.859166740305,-0.551461298645298,0.437161538162412,0.149718653160139,0.294633499267011
"BW3_A:Jerala_P12",897,154,34,484,465.655744794889,0.583317174234145,0.751501113778977,0.213146457700364,0.371704665371022
"BW3_B:BW5_A",2840,1225,27128,10310,26662.8425631727,6.09912418739421,0.352681740017682,2.88518017870882e-67,1.51678043680692e-65
"BW3_B:BW5_B",1465,1587,229,1404,1497.69034602137,1.11477334657794,0.509256064633005,0.00854226350695098,0.0357221928472496
"BW3_B:BW8_A",2052,473,190,197,478.658315498209,0.425406376951208,0.505026549747093,0.312032338959345,0.477933609238386
"BW3_B:BW8_B",2446,1298,982,261,1197.4508835784,0.852930860895681,0.477870313441786,0.0360806338214444,0.102135948048396
