PPI,trp1,his1
DBD:Jerala_P4:AD:Jerala_P3,1087.0,95134.0
DBD:Jerala_P5:AD:Jerala_P3,2417.0,100.0
DBD:Jerala_P6:AD:Jerala_P3,1166.0,41.0
DBD:Jerala_P7:AD:Jerala_P3,1483.0,36.0
DBD:Jerala_P8:AD:Jerala_P3,1757.0,48.0
DBD:Jerala_P9:AD:Jerala_P3,3530.0,107.0
DBD:Jerala_P10:AD:Jerala_P3,4536.0,157.0
DBD:Jerala_P11:AD:Jerala_P3,3184.0,113.0
DBD:Jerala_P12:AD:Jerala_P3,1265.0,34.0
DBD:Jerala_P5:AD:Jerala_P4,1255.0,54.0
DBD:Jerala_P6:AD:Jerala_P4,1061.0,36.0
DBD:Jerala_P7:AD:Jerala_P4,1347.0,53.0
DBD:Jerala_P8:AD:Jerala_P4,2412.0,94.0
DBD:Jerala_P9:AD:Jerala_P4,1269.0,37.0
DBD:Jerala_P10:AD:Jerala_P4,3674.0,108.0
DBD:Jerala_P11:AD:Jerala_P4,2329.0,378.0
DBD:Jerala_P12:AD:Jerala_P4,2022.0,64.0
DBD:Jerala_P6:AD:Jerala_P5,1499.0,59.0
DBD:Jerala_P7:AD:Jerala_P5,2053.0,62.0
DBD:Jerala_P8:AD:Jerala_P5,2825.0,96.0
DBD:Jerala_P9:AD:Jerala_P5,3753.0,1413.0
DBD:Jerala_P10:AD:Jerala_P5,3297.0,142.0
DBD:Jerala_P11:AD:Jerala_P5,3164.0,24380.0
DBD:Jerala_P12:AD:Jerala_P5,4485.0,143.0
DBD:Jerala_P7:AD:Jerala_P6,1417.0,64.0
DBD:Jerala_P8:AD:Jerala_P6,4016.0,113.0
DBD:Jerala_P9:AD:Jerala_P6,2971.0,73.0
DBD:Jerala_P10:AD:Jerala_P6,4966.0,154.0
DBD:Jerala_P11:AD:Jerala_P6,3874.0,97.0
DBD:Jerala_P12:AD:Jerala_P6,3638.0,95.0
DBD:Jerala_P8:AD:Jerala_P7,2410.0,2622.0
DBD:Jerala_P9:AD:Jerala_P7,4101.0,95.0
DBD:Jerala_P10:AD:Jerala_P7,1732.0,61.0
DBD:Jerala_P11:AD:Jerala_P7,3782.0,84.0
DBD:Jerala_P12:AD:Jerala_P7,5175.0,136.0
DBD:Jerala_P9:AD:Jerala_P8,2754.0,51.0
DBD:Jerala_P10:AD:Jerala_P8,11007.0,399.0
DBD:Jerala_P11:AD:Jerala_P8,2516.0,56.0
DBD:Jerala_P12:AD:Jerala_P8,2890.0,110.0
DBD:Jerala_P10:AD:Jerala_P9,1733.0,28748.0
DBD:Jerala_P11:AD:Jerala_P9,835.0,25.0
DBD:Jerala_P12:AD:Jerala_P9,1442.0,57.0
DBD:Jerala_P11:AD:Jerala_P10,2542.0,73.0
DBD:Jerala_P12:AD:Jerala_P10,3535.0,1860.0
DBD:Jerala_P12:AD:Jerala_P11,822.0,2571.0
