PPI,trp1,his1
DBD:2CDP06:AD:2CDP06,1902,38
DBD:2CDP06:AD:BCDP01,2519,49
DBD:2CDP06:AD:BECM01,4179,108
DBD:2CDP06:AD:Bcl-2,623,4284
DBD:2CDP06:AD:Bcl-B,13850,235
DBD:2CDP06:AD:Bcl-w,4863,2629
DBD:2CDP06:AD:Bcl-xL,3603,64
DBD:2CDP06:AD:Bfl-1,1927,82
DBD:2CDP06:AD:FECM04,3103,84
DBD:2CDP06:AD:Mcl1[151-321],6318,65
DBD:2CDP06:AD:XCDP07,6,5
DBD:2CDP06:AD:alphaBCL2,2908,59
DBD:2CDP06:AD:alphaBCLB,8820,182
DBD:2CDP06:AD:alphaBFL1,10995,167
DBD:2CDP06:AD:alphaMCL1,2809,55
DBD:BCDP01:AD:2CDP06,5923,425
DBD:BCDP01:AD:BCDP01,4784,633
DBD:BCDP01:AD:BECM01,1226,115
DBD:BCDP01:AD:Bcl-2,489,9256
DBD:BCDP01:AD:Bcl-B,10148,141364
DBD:BCDP01:AD:Bcl-w,2399,336
DBD:BCDP01:AD:Bcl-xL,4033,10986
DBD:BCDP01:AD:Bfl-1,1728,6965
DBD:BCDP01:AD:FECM04,8295,817
DBD:BCDP01:AD:Mcl1[151-321],2045,8937
DBD:BCDP01:AD:XCDP07,1262,95
DBD:BCDP01:AD:alphaBCL2,399,136
DBD:BCDP01:AD:alphaBCLB,2139,339
DBD:BCDP01:AD:alphaBFL1,4138,360
DBD:BCDP01:AD:alphaMCL1,11996,409
DBD:BECM01:AD:2CDP06,6093,109
DBD:BECM01:AD:BCDP01,1354,98
DBD:BECM01:AD:BECM01,6,17
DBD:BECM01:AD:Bcl-2,742,102
DBD:BECM01:AD:Bcl-B,2481,14176
DBD:BECM01:AD:Bcl-w,2912,39
DBD:BECM01:AD:Bcl-xL,3075,1828
DBD:BECM01:AD:Bfl-1,799,2569
DBD:BECM01:AD:FECM04,2300,138
DBD:BECM01:AD:Mcl1[151-321],2397,185
DBD:BECM01:AD:XCDP07,1259,24
DBD:BECM01:AD:alphaBCL2,1428,39
DBD:BECM01:AD:alphaBCLB,1141,60
DBD:BECM01:AD:alphaBFL1,79,39
DBD:BECM01:AD:alphaMCL1,2270,44
DBD:Bcl-2:AD:2CDP06,748,17078
DBD:Bcl-2:AD:BCDP01,8182,23707
DBD:Bcl-2:AD:BECM01,4606,1154
DBD:Bcl-2:AD:Bcl-2,763,202
DBD:Bcl-2:AD:Bcl-B,5274,4077
DBD:Bcl-2:AD:Bcl-w,1023,111
DBD:Bcl-2:AD:Bcl-xL,2958,959
DBD:Bcl-2:AD:Bfl-1,3371,417
DBD:Bcl-2:AD:FECM04,5648,248520
DBD:Bcl-2:AD:Mcl1[151-321],9012,846
DBD:Bcl-2:AD:XCDP07,610,1874
DBD:Bcl-2:AD:alphaBCL2,2333,5243
DBD:Bcl-2:AD:alphaBCLB,984,457
DBD:Bcl-2:AD:alphaBFL1,2397,21153
DBD:Bcl-2:AD:alphaMCL1,797,148
DBD:Bcl-B:AD:2CDP06,10924,660
DBD:Bcl-B:AD:BCDP01,6324,43468
DBD:Bcl-B:AD:BECM01,4024,14903
DBD:Bcl-B:AD:Bcl-2,2509,258
