"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"A_ZCON_13_swap:A_ZCON_150_swap",2038,1410,138,56,396.88460645228,-0.0504564612393685,0.345690367651706,0.564812342833565,0.905248978111908
"A_ZCON_13_swap:A_ZCON_154_swap",2382,1835,100,67,426.814819881608,-0.103058555184126,0.440817635364691,0.335775660788955,0.785070593808019
"A_ZCON_13_swap:A_ZCON_155_swap",1758,1818,197,111,504.314877167933,0.00300015599804767,0.28303670128573,0.96807363602721,0.996087703207281
"A_ZCON_13_swap:A_ZCON_15_re_loop_swap",532,351,160,1,195.400786302202,-0.100300910293182,0.541227282937934,0.483645155047013,0.873881903576822
"A_ZCON_13_swap:A_ZCON_162_swap",1173,499,46,27,173.502038660624,-0.0694809899580094,0.416371055147099,0.516441015843755,0.882467622817289
"A_ZCON_13_swap:A_ZCON_37_3_swap",512,555,6,19,94.0273191021029,-0.287955073440645,0.833697633968515,0.180157102112922,0.624814664769441
"A_ZCON_13_swap:A_ZCON_37_swap",1151,1069,198,36,348.59329527703,-0.00497318744311381,0.316592225087557,0.953504061863282,0.993105368853549
"A_ZCON_13_swap:A_ZCON_6_swap",4161,135,89,18,370.203042013832,-0.0493020641581639,0.366188312368976,0.603213219917783,0.916719231063063
"A_ZCON_13_swap:B_ZCON_13_swap",3046,165,2231,15,2104.4423039592,0.299097415808167,0.751324113783745,0.116793290708328,0.506549698882532
"A_ZCON_13_swap:B_ZCON_150_swap",1751,444,172,8,297.260741779547,-0.0790758074509949,0.426902933874533,0.46523162743973,0.865210865696023
"A_ZCON_13_swap:B_ZCON_154_swap",1578,263,252,108,425.611991634157,0.276721257812433,0.720206876673165,0.12656383601085,0.530802693198086
"A_ZCON_13_swap:B_ZCON_155_swap",2,703,2,6,57.0376624297928,-0.00672739862419253,0.585718016515714,0.968056666320333,0.996087703207281
"A_ZCON_13_swap:B_ZCON_15_re_loop_swap",1887,860,243,35,418.598195359214,-0.010180275910974,0.301407781895916,0.899124725226437,0.983413173031419
"A_ZCON_13_swap:B_ZCON_162_swap",697,177,172,122,306.682260123494,0.727115524126536,1.16881644154406,0.0387267452054997,0.298455697481353
"A_ZCON_13_swap:B_ZCON_37_3_swap",798,346,74,101,224.764158532106,0.0995729441696793,0.462343737870962,0.388777180474074,0.821410367098465
"A_ZCON_13_swap:B_ZCON_37_swap",1155,900,24,19,175.562843759426,-0.341256093136191,0.844529549172579,0.118563892475089,0.511255809015472
"A_ZCON_13_swap:B_ZCON_6_swap",1125,1108,95,18,247.491867512799,-0.108871769723853,0.486243357457871,0.371163052390555,0.80756366242754
"A_ZCON_13_swap:DHDr2_00_A",1696,54,8,0,120.729070726348,-1.96855637669277,2.02400206654814,0.0110628553059347,0.139960343732881
"A_ZCON_13_swap:DHDr2_00_B",320,472,39,65,142.581626103062,0.0574346728911373,0.407644138306846,0.5914899753241,0.916058933122009
"A_ZCON_13_swap:DHDr2_01_A",233,141,0,84,96.5818406272355,-0.102479842670737,0.629664953838237,0.551930656356342,0.899552737467845
"A_ZCON_13_swap:DHDr2_01_B",1207,613,36,3,155.001407138469,-0.691595318393209,1.23954449267139,0.0542010391798308,0.352237297730842
"A_ZCON_13_swap:DHDr2_02_A",329,199,5,36,70.3692877364302,-0.0475765012417896,0.496162705884059,0.730419973833512,0.952698948474239
