"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Bcl-2:FECM04",4309,2777,14314,3407,8394.2663130838,2.44389725877133,0.452873154928836,1.74461130014734e-08,4.55115991342783e-08
"Bcl-2:Mcl1[151-321]",7011,4098,2866,1687,3485.10913995762,0.324586649966348,0.198752069368742,0.0840017210775202,0.106107437150552
"Bcl-2:XCDP07",961,3256,1184,6120,3997.51210907235,2.18901200259481,0.227897641100437,2.79236752037646e-22,1.52310955656898e-21
"Bcl-2:alphaBCL2",4244,2649,12761,3522,7788.30319259398,2.46898835128687,0.405314553659284,2.8580130740546e-10,9.02530444438296e-10
"Bcl-2:alphaBCLB",5070,6562,1590,1534,3058.75717186019,-0.240491994600998,0.29516919101381,0.386911710046125,0.432429377102865
"Bcl-2:alphaBFL1",8501,4698,18124,4483,11274.9186592529,2.01360251974538,0.394468562288042,1.36191802015173e-07,3.14288773881169e-07
"Bcl-2:alphaMCL1",7505,3453,1300,586,2288.52738266874,-0.903715923813834,0.212503195674825,1.77947643001002e-05,3.50060937051152e-05
"Bcl-B:Bcl-w",9875,9904,1347,1535,4096.47386098463,-1.14778421034508,0.158352511439736,3.24250168703422e-13,1.21593813263783e-12
"Bcl-B:Bcl-xL",8609,9712,4116,3060,5748.93540910778,0.236771586356564,0.292012294121331,0.389186439392579,0.432429377102865
"Bcl-B:Bfl-1",25072,20127,9680,13658,16697.1083463216,0.6407749503822,0.241818658306551,0.00677488582045325,0.00991446705432183
"Bcl-B:FECM04",32384,22935,9261,6240,14408.8142016944,-0.205392145756084,0.161208888654104,0.168441410655527,0.201780631381416
"Bcl-B:Mcl1[151-321]",44382,19552,16030,14078,21752.5773208095,0.626038392513302,0.293278039451212,0.0268249179556125,0.0369998868353276
"Bcl-B:XCDP07",8069,24752,6947,212432,107366.853201735,2.38897179673023,0.801774799889325,0.000587743186959696,0.000966153184043336
"Bcl-B:alphaBCL2",32142,16502,5833,2192,10039.9471087962,-1.03577708438918,0.261003974063405,5.74647400481872e-05,0.00010320895292618
"Bcl-B:alphaBCLB",24285,30109,95229,164246,123528.645480038,3.7347280853433,0.282244014504141,1.94965964595314e-41,2.12690143194888e-40
"Bcl-B:alphaBFL1",47620,34596,14656,12615,23362.7241684681,0.0387892131438939,0.121432993692406,0.727866081447785,0.766174822576616
"Bcl-B:alphaMCL1",40916,27384,18777,12004,22749.716355287,0.459693429562522,0.1718730997186,0.00639898784161654,0.00947998198758006
"Bcl-w:Bcl-xL",732,527,78,45,228.74357722517,-1.71266939701867,0.20405875888526,2.60562004443574e-17,1.0781876045941e-16
"Bcl-w:Bfl-1",3121,2496,354,3366,2511.55176217243,0.203779640906654,0.763988791095543,0.75816447287901,0.78430807539208
"Bcl-w:FECM04",4289,3650,1050,664,1860.48960639265,-0.595436112865993,0.291466764980264,0.0336653949970353,0.0459073568141391
"Bcl-w:Mcl1[151-321]",4316,2013,548,644,1383.25607912539,-0.641199117812113,0.384496057546371,0.0782626909453525,0.0999098182281096
"Bcl-w:XCDP07",784,2188,1181,2028,1883.33020269228,1.77692474300103,0.349539744419535,1.87996903720964e-07,4.25653366915391e-07
"Bcl-w:alphaBCL2",4573,2669,986,459,1613.21120490992,-0.730904524855047,0.257598949643079,0.00381238642680979,0.00586520988739968
"Bcl-w:alphaBCLB",3656,4554,269,417,1497.27239333308,-1.95992594359584,0.174816398370429,1.63727974673551e-29,1.1557268800486e-28
"Bcl-w:alphaBFL1",4898,3986,1569,617,2179.01249550272,-0.490967382067357,0.432838883028677,0.225240303568411,0.259892657963551
"Bcl-w:alphaMCL1",6207,3012,269,177,1446.57790242133,-2.6516561154627,0.196495047679724,3.72131114567518e-42,4.46557337481021e-41
"Bcl-xL:Bfl-1",2301,2425,779,1328,1617.18545251561,0.38960697556404,0.250616333670111,0.100881398769017,0.124801730435898
"Bcl-xL:FECM04",2974,2706,5599,2183,4104.53782303929,1.78227777795889,0.447193356468152,3.28865822771299e-05,6.16623417696186e-05
"Bcl-xL:Mcl1[151-321]",3573,1936,1011,607,1450.16530234233,-0.111119205783809,0.157389803367777,0.444341956413607,0.48918380522599
"Bcl-xL:XCDP07",3323,2145,359,3030,2323.70838599535,0.200135350423864,0.779074799308251,0.765589667895054,0.785220172200055
"Bcl-xL:alphaBCL2",4719,1579,1219,209,1430.76756722177,-0.750888039976388,0.394098485526952,0.0451186455861904,0.0601581941149206
"Bcl-xL:alphaBCLB",2889,4418,535,985,1754.97236936451,-0.667737114485611,0.172404500664073,9.71031661224387e-05,0.000168875071517285
"Bcl-xL:alphaBFL1",3681,3066,5568,3875,5030.18945238915,2.05257000074022,0.222361904324585,1.12227814152157e-20,5.85536421663429e-20
"Bcl-xL:alphaMCL1",4051,2322,598,338,1278.10688659691,-1.13014223602064,0.181843631894727,3.9681277099129e-10,1.155074388761e-09
