PPI,trp1,his1
DBD:1001__mALb8x1_fdrtc_A:AD:1034__BW1_2Hx1_A,1328.0,186.0
DBD:1001__mALb8x1_fdrtc_A:AD:1034__BW1_2Hx1_B,711.0,181.0
DBD:1001__mALb8x1_fdrtc_A:AD:1035__BW2_2Hx1_A,870.0,116.0
DBD:1001__mALb8x1_fdrtc_A:AD:1035__BW2_2Hx1_B,742.0,2409.0
DBD:1001__mALb8x1_fdrtc_A:AD:1036__BW3_2Hx1_A,1414.0,224.0
DBD:1001__mALb8x1_fdrtc_A:AD:1036__BW3_2Hx1_B,613.0,143.0
DBD:1001__mALb8x1_fdrtc_A:AD:1037__BW9_2Hx1_A,1443.0,373.0
DBD:1001__mALb8x1_fdrtc_A:AD:1037__BW9_2Hx1_B,455.0,38.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P1,514.0,38.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P2,1097.0,74.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P3,530.0,57.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P4,306.0,10.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P5,921.0,52.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P6,473.0,121.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P7,175.0,28.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P8,1230.0,87.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P9,541.0,93.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P10,1140.0,82.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P11,191.0,19.0
DBD:1001__mALb8x1_fdrtc_A:AD:Jerala_P12,129.0,46.0
DBD:1001__mALb8x1_fdrtc_B:AD:1002__mALb8x1_rprtc_A,1632.0,39141.0
DBD:1001__mALb8x1_fdrtc_B:AD:1002__mALb8x1_rprtc_B,6044.0,829.0
DBD:1001__mALb8x1_fdrtc_B:AD:1003__mALb8x2_fdrtc_A,2302.0,410.0
DBD:1001__mALb8x1_fdrtc_B:AD:1003__mALb8x2_fdrtc_B,1905.0,444.0
DBD:1001__mALb8x1_fdrtc_B:AD:1004__mALb8x2_rprtc_A,4582.0,2218.0
DBD:1001__mALb8x1_fdrtc_B:AD:1004__mALb8x2_rprtc_B,2357.0,8486.0
DBD:1001__mALb8x1_fdrtc_B:AD:1005__mALb8x12_fdrtc_A,1448.0,31290.0
DBD:1001__mALb8x1_fdrtc_B:AD:1005__mALb8x12_fdrtc_B,2227.0,243.0
DBD:1001__mALb8x1_fdrtc_B:AD:1006__mALb8x12_rprtc_A,1234.0,3238.0
DBD:1001__mALb8x1_fdrtc_B:AD:1006__mALb8x12_rprtc_B,267.0,28.0
DBD:1001__mALb8x1_fdrtc_B:AD:1007__mALb8x12j_fdrtc_A,1604.0,6190.0
DBD:1001__mALb8x1_fdrtc_B:AD:1007__mALb8x12j_fdrtc_B,1809.0,317.0
DBD:1001__mALb8x1_fdrtc_B:AD:1008__mALb8x12j_rprtc_A,1982.0,242.0
DBD:1001__mALb8x1_fdrtc_B:AD:1008__mALb8x12j_rprtc_B,3718.0,1499.0
DBD:1001__mALb8x1_fdrtc_B:AD:1009__IL8_2H_A,676.0,321.0
DBD:1001__mALb8x1_fdrtc_B:AD:1009__IL8_2H_B,2103.0,477.0
DBD:1001__mALb8x1_fdrtc_B:AD:1010__IL9_2H_A,3098.0,890.0
DBD:1001__mALb8x1_fdrtc_B:AD:1010__IL9_2H_B,2668.0,247.0
DBD:1001__mALb8x1_fdrtc_B:AD:1011__IL14_2H_A,4596.0,610.0
DBD:1001__mALb8x1_fdrtc_B:AD:1011__IL14_2H_B,2933.0,611.0
DBD:1001__mALb8x1_fdrtc_B:AD:1012__IL8_2Hx1_A,1490.0,286.0
DBD:1001__mALb8x1_fdrtc_B:AD:1012__IL8_2Hx1_B,2357.0,885.0
DBD:1001__mALb8x1_fdrtc_B:AD:1013__IL9_2Hx1_A,2479.0,392.0
DBD:1001__mALb8x1_fdrtc_B:AD:1013__IL9_2Hx1_B,4131.0,1026.0
DBD:1001__mALb8x1_fdrtc_B:AD:1014__IL9_2Hx2_A,2314.0,268.0
DBD:1001__mALb8x1_fdrtc_B:AD:1014__IL9_2Hx2_B,330.0,26.0
DBD:1001__mALb8x1_fdrtc_B:AD:1015__IL9_2Hx12j_A,7489.0,1103.0
DBD:1001__mALb8x1_fdrtc_B:AD:1015__IL9_2Hx12j_B,2691.0,2127.0
DBD:1001__mALb8x1_fdrtc_B:AD:1016__IL14_2Hx1_A,4884.0,1073.0
DBD:1001__mALb8x1_fdrtc_B:AD:1016__IL14_2Hx1_B,2071.0,479.0
DBD:1001__mALb8x1_fdrtc_B:AD:1017__IL14_2Hx2_A,2714.0,664.0
DBD:1001__mALb8x1_fdrtc_B:AD:1017__IL14_2Hx2_B,1897.0,465.0
DBD:1001__mALb8x1_fdrtc_B:AD:1018__BW1_2H_A,1591.0,314.0
DBD:1001__mALb8x1_fdrtc_B:AD:1018__BW1_2H_B,1975.0,277.0
DBD:1001__mALb8x1_fdrtc_B:AD:1019__BW2_2H_A,2297.0,823.0
DBD:1001__mALb8x1_fdrtc_B:AD:1019__BW2_2H_B,3463.0,286.0
DBD:1001__mALb8x1_fdrtc_B:AD:1020__BW3_2H_A,1777.0,445.0
DBD:1001__mALb8x1_fdrtc_B:AD:1020__BW3_2H_B,1768.0,247.0
DBD:1001__mALb8x1_fdrtc_B:AD:1021__BW5_2H_A,2731.0,29594.0
DBD:1001__mALb8x1_fdrtc_B:AD:1021__BW5_2H_B,3332.0,345.0
DBD:1001__mALb8x1_fdrtc_B:AD:1022__BW8_2H_A,3378.0,364.0
DBD:1001__mALb8x1_fdrtc_B:AD:1022__BW8_2H_B,2707.0,308.0
DBD:1001__mALb8x1_fdrtc_B:AD:1023__BW9_2H_A,3262.0,615.0
DBD:1001__mALb8x1_fdrtc_B:AD:1023__BW9_2H_B,2681.0,955.0
DBD:1001__mALb8x1_fdrtc_B:AD:1024__BW11_2H_A,2670.0,279.0
DBD:1001__mALb8x1_fdrtc_B:AD:1024__BW11_2H_B,562.0,6184.0
DBD:1001__mALb8x1_fdrtc_B:AD:1025__BW5_2Hx1_A,2835.0,8424.0
DBD:1001__mALb8x1_fdrtc_B:AD:1025__BW5_2Hx1_B,5054.0,721.0
DBD:1001__mALb8x1_fdrtc_B:AD:1026__BW5_2Hx2_A,1780.0,26216.0
DBD:1001__mALb8x1_fdrtc_B:AD:1026__BW5_2Hx2_B,2439.0,472.0
DBD:1001__mALb8x1_fdrtc_B:AD:1027__BW5_2Hx12j_A,3412.0,94414.0
DBD:1001__mALb8x1_fdrtc_B:AD:1027__BW5_2Hx12j_B,1185.0,10146.0
DBD:1001__mALb8x1_fdrtc_B:AD:1028__BW8_2Hx1_A,1288.0,173.0
DBD:1001__mALb8x1_fdrtc_B:AD:1028__BW8_2Hx1_B,2606.0,729.0
DBD:1001__mALb8x1_fdrtc_B:AD:1029__BW8_2Hx2_A,3765.0,638.0
DBD:1001__mALb8x1_fdrtc_B:AD:1029__BW8_2Hx2_B,2251.0,343.0
DBD:1001__mALb8x1_fdrtc_B:AD:1030__BW8_2Hx12j_A,1871.0,246.0
DBD:1001__mALb8x1_fdrtc_B:AD:1030__BW8_2Hx12j_B,2343.0,29656.0
