,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
1001__mALb8x1_fdrtc_A:1001__mALb8x1_fdrtc_B,1046.0,951.0,35752.0,33811.0
1001__mALb8x1_fdrtc_A:1002__mALb8x1_rprtc_A,985.0,2411.0,3375.0,522.0
1001__mALb8x1_fdrtc_A:1002__mALb8x1_rprtc_B,745.0,1407.0,22165.0,33738.0
1001__mALb8x1_fdrtc_A:1003__mALb8x2_fdrtc_A,1255.0,539.0,1200.0,121.0
1001__mALb8x1_fdrtc_A:1003__mALb8x2_fdrtc_B,638.0,580.0,65.0,65.0
1001__mALb8x1_fdrtc_A:1004__mALb8x2_rprtc_A,1044.0,1354.0,211.0,255.0
1001__mALb8x1_fdrtc_A:1004__mALb8x2_rprtc_B,926.0,841.0,750.0,748.0
1001__mALb8x1_fdrtc_A:1005__mALb8x12_fdrtc_A,1344.0,1471.0,4232.0,216.0
1001__mALb8x1_fdrtc_A:1005__mALb8x12_fdrtc_B,1305.0,1186.0,263.0,263.0
1001__mALb8x1_fdrtc_A:1006__mALb8x12_rprtc_A,622.0,845.0,7814.0,5437.0
1001__mALb8x1_fdrtc_A:1006__mALb8x12_rprtc_B,126.0,984.0,287.0,1536.0
1001__mALb8x1_fdrtc_A:1007__mALb8x12j_fdrtc_A,623.0,1098.0,127.0,259.0
1001__mALb8x1_fdrtc_A:1007__mALb8x12j_fdrtc_B,470.0,427.0,133.0,133.0
1001__mALb8x1_fdrtc_A:1008__mALb8x12j_rprtc_A,1071.0,812.0,6126.0,1058.0
1001__mALb8x1_fdrtc_A:1008__mALb8x12j_rprtc_B,945.0,859.0,15129.0,15086.0
1001__mALb8x1_fdrtc_A:1009__IL8_2H_A,257.0,1984.0,24.0,364.0
1001__mALb8x1_fdrtc_A:1009__IL8_2H_B,541.0,1175.0,97.0,291.0
1001__mALb8x1_fdrtc_A:1010__IL9_2H_A,999.0,618.0,139.0,132.0
1001__mALb8x1_fdrtc_A:1010__IL9_2H_B,778.0,1208.0,196.0,295.0
1001__mALb8x1_fdrtc_A:1011__IL14_2H_A,2159.0,953.0,232.0,304.0
1001__mALb8x1_fdrtc_A:1011__IL14_2H_B,467.0,2108.0,121.0,263.0
1001__mALb8x1_fdrtc_A:1012__IL8_2Hx1_A,374.0,734.0,156.0,111.0
1001__mALb8x1_fdrtc_A:1012__IL8_2Hx1_B,1786.0,1558.0,376.0,2099.0
1001__mALb8x1_fdrtc_A:1013__IL9_2Hx1_A,1325.0,1011.0,333.0,294.0
1001__mALb8x1_fdrtc_A:1013__IL9_2Hx1_B,1296.0,2145.0,331.0,893.0
1001__mALb8x1_fdrtc_A:1014__IL9_2Hx2_A,599.0,444.0,606.0,99.0
1001__mALb8x1_fdrtc_A:1014__IL9_2Hx2_B,117.0,692.0,3.0,170.0
1001__mALb8x1_fdrtc_A:1015__IL9_2Hx12j_A,2416.0,1193.0,523.0,247.0
1001__mALb8x1_fdrtc_A:1015__IL9_2Hx12j_B,2257.0,1355.0,509.0,419.0
1001__mALb8x1_fdrtc_A:1016__IL14_2Hx1_A,2215.0,771.0,286.0,183.0
1001__mALb8x1_fdrtc_A:1016__IL14_2Hx1_B,1284.0,1735.0,340.0,435.0
1001__mALb8x1_fdrtc_A:1017__IL14_2Hx2_A,1046.0,340.0,388.0,97.0
1001__mALb8x1_fdrtc_A:1017__IL14_2Hx2_B,603.0,940.0,136.0,116.0
1001__mALb8x1_fdrtc_A:1018__BW1_2H_A,763.0,1123.0,122.0,347.0
1001__mALb8x1_fdrtc_A:1018__BW1_2H_B,434.0,541.0,47.0,52.0
1001__mALb8x1_fdrtc_A:1019__BW2_2H_A,948.0,1974.0,169.0,569.0
1001__mALb8x1_fdrtc_A:1019__BW2_2H_B,1743.0,2372.0,110.0,686.0
1001__mALb8x1_fdrtc_A:1020__BW3_2H_A,452.0,1527.0,79.0,323.0
1001__mALb8x1_fdrtc_A:1020__BW3_2H_B,988.0,435.0,150.0,122.0
1001__mALb8x1_fdrtc_A:1021__BW5_2H_A,2295.0,2611.0,873.0,792.0
1001__mALb8x1_fdrtc_A:1021__BW5_2H_B,1354.0,735.0,207.0,156.0
1001__mALb8x1_fdrtc_A:1022__BW8_2H_A,1951.0,942.0,237.0,186.0
1001__mALb8x1_fdrtc_A:1022__BW8_2H_B,772.0,840.0,210.0,154.0
1001__mALb8x1_fdrtc_A:1023__BW9_2H_A,934.0,594.0,325.0,160.0
1001__mALb8x1_fdrtc_A:1023__BW9_2H_B,2086.0,1164.0,483.0,151.0
1001__mALb8x1_fdrtc_A:1024__BW11_2H_A,1092.0,743.0,163.0,182.0
1001__mALb8x1_fdrtc_A:1024__BW11_2H_B,536.0,909.0,186.0,189.0
1001__mALb8x1_fdrtc_A:1025__BW5_2Hx1_A,560.0,1652.0,118.0,284.0
1001__mALb8x1_fdrtc_A:1025__BW5_2Hx1_B,999.0,383.0,139.0,104.0
1001__mALb8x1_fdrtc_A:1026__BW5_2Hx2_A,1226.0,1486.0,1085.0,365.0
1001__mALb8x1_fdrtc_A:1026__BW5_2Hx2_B,1155.0,984.0,181.0,256.0
1001__mALb8x1_fdrtc_A:1027__BW5_2Hx12j_A,994.0,1719.0,358.0,841.0
1001__mALb8x1_fdrtc_A:1027__BW5_2Hx12j_B,694.0,515.0,138.0,90.0
1001__mALb8x1_fdrtc_A:1028__BW8_2Hx1_A,486.0,429.0,60.0,113.0
1001__mALb8x1_fdrtc_A:1028__BW8_2Hx1_B,766.0,726.0,141.0,251.0
1001__mALb8x1_fdrtc_A:1029__BW8_2Hx2_A,1003.0,821.0,99.0,187.0
1001__mALb8x1_fdrtc_A:1029__BW8_2Hx2_B,297.0,1002.0,878.0,135.0
1001__mALb8x1_fdrtc_A:1030__BW8_2Hx12j_A,903.0,684.0,171.0,215.0
1001__mALb8x1_fdrtc_A:1030__BW8_2Hx12j_B,867.0,707.0,131.0,171.0
1001__mALb8x1_fdrtc_A:1031__BW11_2Hx1_A,273.0,753.0,113.0,214.0
1001__mALb8x1_fdrtc_A:1031__BW11_2Hx1_B,659.0,1565.0,842.0,1967.0
1001__mALb8x1_fdrtc_A:1032__BW11_2Hx2_A,1.0,712.0,0.0,131.0
1001__mALb8x1_fdrtc_A:1032__BW11_2Hx2_B,1451.0,883.0,1585.0,194.0
1001__mALb8x1_fdrtc_A:1033__BW11_2Hx12j_A,877.0,357.0,63.0,33.0
1001__mALb8x1_fdrtc_A:1033__BW11_2Hx12j_B,1341.0,1392.0,165.0,233.0
1001__mALb8x1_fdrtc_A:1034__BW1_2Hx1_A,1328.0,951.0,186.0,205.0
1001__mALb8x1_fdrtc_A:1034__BW1_2Hx1_B,711.0,1327.0,181.0,168.0
1001__mALb8x1_fdrtc_A:1035__BW2_2Hx1_A,870.0,988.0,116.0,185.0
1001__mALb8x1_fdrtc_A:1035__BW2_2Hx1_B,742.0,1034.0,2409.0,214.0
1001__mALb8x1_fdrtc_A:1036__BW3_2Hx1_A,1414.0,1054.0,224.0,3759.0
1001__mALb8x1_fdrtc_A:1036__BW3_2Hx1_B,613.0,1072.0,143.0,226.0
1001__mALb8x1_fdrtc_A:1037__BW9_2Hx1_A,1443.0,1555.0,373.0,369.0
1001__mALb8x1_fdrtc_A:1037__BW9_2Hx1_B,455.0,614.0,38.0,516.0
1001__mALb8x1_fdrtc_A:Jerala_P1,514.0,121.0,38.0,63.0
1001__mALb8x1_fdrtc_A:Jerala_P2,1097.0,2.0,74.0,0.0
1001__mALb8x1_fdrtc_A:Jerala_P3,530.0,117.0,57.0,48.0
1001__mALb8x1_fdrtc_A:Jerala_P4,306.0,210.0,10.0,42.0
1001__mALb8x1_fdrtc_A:Jerala_P5,921.0,23.0,52.0,5.0
1001__mALb8x1_fdrtc_A:Jerala_P6,473.0,121.0,121.0,14.0
1001__mALb8x1_fdrtc_A:Jerala_P7,175.0,140.0,28.0,22.0
1001__mALb8x1_fdrtc_A:Jerala_P8,1230.0,126.0,87.0,29.0
1001__mALb8x1_fdrtc_A:Jerala_P9,541.0,43.0,93.0,4.0
1001__mALb8x1_fdrtc_A:Jerala_P10,1140.0,336.0,82.0,72.0
1001__mALb8x1_fdrtc_A:Jerala_P11,191.0,174.0,19.0,19.0
1001__mALb8x1_fdrtc_A:Jerala_P12,129.0,377.0,46.0,41.0
1001__mALb8x1_fdrtc_B:1002__mALb8x1_rprtc_A,1632.0,1230.0,39141.0,32563.0
1001__mALb8x1_fdrtc_B:1002__mALb8x1_rprtc_B,6044.0,3331.0,829.0,2083.0
1001__mALb8x1_fdrtc_B:1003__mALb8x2_fdrtc_A,2302.0,3422.0,410.0,762.0
1001__mALb8x1_fdrtc_B:1003__mALb8x2_fdrtc_B,1905.0,1730.0,444.0,443.0
