Binder,x,y
A_ZCON_155,0,0
A_ZCON_162,1,0
ZCON_152_B,2,0
A_ZCON_37,3,0
DHDr2_02_B,4,0
DHDr2_17_A,5,0
B_ZCON_37,6,0
DHDr2_05_A,7,0
A_ZCON_37_3,8,0
ZCON_15_re_loop_LL_A,9,0
B_ZCON_6,10,1
ZCON_155_resurf_B,0,1
B_ZCON_162,1,1
ZCON_152_T2_A,2,1
mALb8_B,3,1
DHDr2_03_A,4,1
DHDr2_17_B,5,1
DHDr2_06_B,6,1
ZCON_154_resurf_A,7,1
DHDr2_13_B,8,1
ZCON_VR_2_cutT2_B,9,1
DHDr2_18_A,10,1
